wifi_client_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-WIFI_CLIENT_HOURLY-00-60,CPE0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,25.41,index,valid,synthetic_acs,43.76,302400,2,-48.7
ACS-WIFI_CLIENT_HOURLY-00-61,CPE0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,39.37,index,valid,synthetic_acs,51.26,306000,0,-69.46
ACS-WIFI_CLIENT_HOURLY-00-62,CPE0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,38.89,index,valid,synthetic_acs,38.81,309600,5,-46.69
ACS-WIFI_CLIENT_HOURLY-00-63,CPE0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,21.3,index,valid,synthetic_acs,45.21,313200,2,-69.85
ACS-WIFI_CLIENT_HOURLY-00-64,CPE0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,70.65,index,valid,synthetic_acs,41.07,316800,4,-67.48
ACS-WIFI_CLIENT_HOURLY-00-65,CPE0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,27.79,index,valid,synthetic_acs,54.87,320400,0,-66.51
ACS-WIFI_CLIENT_HOURLY-00-66,CPE0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,70.04,index,valid,synthetic_acs,51.95,324000,1,-71.05
ACS-WIFI_CLIENT_HOURLY-00-67,CPE0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,38.58,index,valid,synthetic_acs,35.77,327600,1,-65.35
ACS-WIFI_CLIENT_HOURLY-00-68,CPE0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,15.52,index,valid,synthetic_acs,35.77,331200,5,-74.76
ACS-WIFI_CLIENT_HOURLY-00-69,CPE0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,81.41,index,valid,synthetic_acs,51.46,334800,2,-72.9
ACS-WIFI_CLIENT_HOURLY-00-70,CPE0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.63,index,valid,synthetic_acs,37.17,338400,0,-45.81
ACS-WIFI_CLIENT_HOURLY-00-71,CPE0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,27.03,index,valid,synthetic_acs,52.02,342000,4,-55.17
ACS-WIFI_CLIENT_HOURLY-01-00,CPE0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,49.53,index,valid,synthetic_acs,47.97,86400,4,-61.78
ACS-WIFI_CLIENT_HOURLY-01-01,CPE0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,33.53,index,valid,synthetic_acs,47.08,90000,5,-73.49
ACS-WIFI_CLIENT_HOURLY-01-02,CPE0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,17.18,index,valid,synthetic_acs,42.57,93600,2,-55.54
ACS-WIFI_CLIENT_HOURLY-01-03,CPE0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,76.1,index,valid,synthetic_acs,46.08,97200,2,-49.83
ACS-WIFI_CLIENT_HOURLY-01-04,CPE0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,53.32,index,valid,synthetic_acs,54.55,100800,1,-62.44
ACS-WIFI_CLIENT_HOURLY-01-05,CPE0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,19.65,index,valid,synthetic_acs,49.3,104400,5,-67.93
ACS-WIFI_CLIENT_HOURLY-01-06,CPE0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,53.74,index,valid,synthetic_acs,39.15,108000,1,-54.58
ACS-WIFI_CLIENT_HOURLY-01-07,CPE0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,74.24,index,valid,synthetic_acs,48.02,111600,4,-56.87
ACS-WIFI_CLIENT_HOURLY-01-08,CPE0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,68.5,index,valid,synthetic_acs,47.98,115200,3,-53.75
ACS-WIFI_CLIENT_HOURLY-01-09,CPE0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,63.05,index,valid,synthetic_acs,48.49,118800,3,-52.9
ACS-WIFI_CLIENT_HOURLY-01-10,CPE0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,39.15,index,valid,synthetic_acs,50.83,122400,2,-51.86
ACS-WIFI_CLIENT_HOURLY-01-11,CPE0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,71.01,index,valid,synthetic_acs,35.01,126000,2,-57.4
ACS-WIFI_CLIENT_HOURLY-01-12,CPE0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,48.65,index,valid,synthetic_acs,45.59,129600,2,-67.81
ACS-WIFI_CLIENT_HOURLY-01-13,CPE0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,77.91,index,valid,synthetic_acs,44.4,133200,1,-56.84
ACS-WIFI_CLIENT_HOURLY-01-14,CPE0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,55.59,index,valid,synthetic_acs,54.4,136800,1,-68.15
ACS-WIFI_CLIENT_HOURLY-01-15,CPE0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,80.02,index,valid,synthetic_acs,39.43,140400,3,-57.76
ACS-WIFI_CLIENT_HOURLY-01-16,CPE0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,74.77,index,valid,synthetic_acs,52.49,144000,2,-54.22
ACS-WIFI_CLIENT_HOURLY-01-17,CPE0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,32.2,index,valid,synthetic_acs,43.32,147600,5,-45.9
ACS-WIFI_CLIENT_HOURLY-01-18,CPE0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,16.24,index,valid,synthetic_acs,48.47,151200,3,-71.77
ACS-WIFI_CLIENT_HOURLY-01-19,CPE0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,62.54,index,valid,synthetic_acs,48.92,154800,4,-68.59
ACS-WIFI_CLIENT_HOURLY-01-20,CPE0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,32.21,index,valid,synthetic_acs,53.11,158400,0,-63.77
ACS-WIFI_CLIENT_HOURLY-01-21,CPE0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,74.34,index,valid,synthetic_acs,51.52,162000,1,-59.26
ACS-WIFI_CLIENT_HOURLY-01-22,CPE0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,69.69,index,valid,synthetic_acs,41.14,165600,0,-60.02
ACS-WIFI_CLIENT_HOURLY-01-23,CPE0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.05,index,valid,synthetic_acs,41.28,169200,5,-56.36
ACS-WIFI_CLIENT_HOURLY-01-24,CPE0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.32,index,valid,synthetic_acs,35.15,172800,4,-53.81
ACS-WIFI_CLIENT_HOURLY-01-25,CPE0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,69.85,index,valid,synthetic_acs,51.54,176400,3,-57.28
ACS-WIFI_CLIENT_HOURLY-01-26,CPE0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,57.97,index,valid,synthetic_acs,54.49,180000,0,-71.35
ACS-WIFI_CLIENT_HOURLY-01-27,CPE0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,39.83,index,valid,synthetic_acs,40.79,183600,4,-45.82
ACS-WIFI_CLIENT_HOURLY-01-28,CPE0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,60.33,index,valid,synthetic_acs,36.04,187200,0,-64.37
ACS-WIFI_CLIENT_HOURLY-01-29,CPE0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,72.02,index,valid,synthetic_acs,45.87,190800,4,-48.66
ACS-WIFI_CLIENT_HOURLY-01-30,CPE0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.34,index,valid,synthetic_acs,49.32,194400,3,-60.63
ACS-WIFI_CLIENT_HOURLY-01-31,CPE0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,34.8,index,valid,synthetic_acs,46.98,198000,1,-53.22
ACS-WIFI_CLIENT_HOURLY-01-32,CPE0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,68.39,index,valid,synthetic_acs,38.51,201600,5,-45.93
ACS-WIFI_CLIENT_HOURLY-01-33,CPE0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,78.23,index,valid,synthetic_acs,51.75,205200,3,-66.64
ACS-WIFI_CLIENT_HOURLY-01-34,CPE0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,29.05,index,valid,synthetic_acs,52.75,208800,2,-47.85
ACS-WIFI_CLIENT_HOURLY-01-35,CPE0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,60.0,index,valid,synthetic_acs,52.22,212400,0,-56.18
ACS-WIFI_CLIENT_HOURLY-01-36,CPE0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,72.93,index,valid,synthetic_acs,47.64,216000,3,-70.7
ACS-WIFI_CLIENT_HOURLY-01-37,CPE0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,48.64,index,valid,synthetic_acs,39.41,219600,4,-74.02
ACS-WIFI_CLIENT_HOURLY-01-38,CPE0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,73.72,index,valid,synthetic_acs,37.54,223200,4,-64.03
ACS-WIFI_CLIENT_HOURLY-01-39,CPE0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,48.34,index,valid,synthetic_acs,53.05,226800,4,-63.64
ACS-WIFI_CLIENT_HOURLY-01-40,CPE0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,77.33,index,valid,synthetic_acs,52.25,230400,5,-62.01
ACS-WIFI_CLIENT_HOURLY-01-41,CPE0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.34,index,valid,synthetic_acs,39.84,234000,0,-57.1
ACS-WIFI_CLIENT_HOURLY-01-42,CPE0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,21.41,index,valid,synthetic_acs,43.87,237600,0,-46.45
ACS-WIFI_CLIENT_HOURLY-01-43,CPE0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,72.69,index,valid,synthetic_acs,54.36,241200,2,-48.4
ACS-WIFI_CLIENT_HOURLY-01-44,CPE0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,69.08,index,valid,synthetic_acs,48.6,244800,3,-45.34
ACS-WIFI_CLIENT_HOURLY-01-45,CPE0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,83.37,index,degraded,synthetic_acs,44.95,248400,2,-46.33
ACS-WIFI_CLIENT_HOURLY-01-46,CPE0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,32.37,index,valid,synthetic_acs,49.12,252000,2,-55.73
ACS-WIFI_CLIENT_HOURLY-01-47,CPE0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,74.32,index,valid,synthetic_acs,51.39,255600,2,-48.54
ACS-WIFI_CLIENT_HOURLY-01-48,CPE0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,32.87,index,valid,synthetic_acs,43.17,259200,2,-70.5
ACS-WIFI_CLIENT_HOURLY-01-49,CPE0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.39,index,valid,synthetic_acs,44.12,262800,4,-74.06
ACS-WIFI_CLIENT_HOURLY-01-50,CPE0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,16.7,index,valid,synthetic_acs,42.43,266400,5,-61.32
ACS-WIFI_CLIENT_HOURLY-01-51,CPE0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,39.86,index,valid,synthetic_acs,40.98,270000,1,-50.24
ACS-WIFI_CLIENT_HOURLY-01-52,CPE0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,22.69,index,valid,synthetic_acs,48.7,273600,4,-61.93
ACS-WIFI_CLIENT_HOURLY-01-53,CPE0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,25.73,index,valid,synthetic_acs,53.35,277200,0,-59.02
ACS-WIFI_CLIENT_HOURLY-01-54,CPE0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,55.69,index,valid,synthetic_acs,40.36,280800,2,-55.9
ACS-WIFI_CLIENT_HOURLY-01-55,CPE0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.6,index,valid,synthetic_acs,51.56,284400,4,-63.74
ACS-WIFI_CLIENT_HOURLY-01-56,CPE0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,56.2,index,valid,synthetic_acs,51.92,288000,1,-57.87
ACS-WIFI_CLIENT_HOURLY-01-57,CPE0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,32.88,index,valid,synthetic_acs,46.21,291600,1,-62.79
ACS-WIFI_CLIENT_HOURLY-01-58,CPE0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,50.26,index,valid,synthetic_acs,44.91,295200,0,-57.28
ACS-WIFI_CLIENT_HOURLY-01-59,CPE0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,22.48,index,valid,synthetic_acs,48.52,298800,1,-55.73
ACS-WIFI_CLIENT_HOURLY-01-60,CPE0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,73.94,index,valid,synthetic_acs,52.84,302400,0,-66.6
ACS-WIFI_CLIENT_HOURLY-01-61,CPE0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,55.75,index,valid,synthetic_acs,43.92,306000,2,-67.38
ACS-WIFI_CLIENT_HOURLY-01-62,CPE0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,40.35,index,valid,synthetic_acs,36.22,309600,5,-72.89
ACS-WIFI_CLIENT_HOURLY-01-63,CPE0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,71.0,index,valid,synthetic_acs,36.21,313200,1,-48.12
ACS-WIFI_CLIENT_HOURLY-01-64,CPE0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,71.71,index,valid,synthetic_acs,49.74,316800,0,-69.68
ACS-WIFI_CLIENT_HOURLY-01-65,CPE0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,71.58,index,valid,synthetic_acs,54.53,320400,2,-68.72
ACS-WIFI_CLIENT_HOURLY-01-66,CPE0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,79.98,index,valid,synthetic_acs,38.01,324000,3,-70.12
ACS-WIFI_CLIENT_HOURLY-01-67,CPE0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,69.48,index,valid,synthetic_acs,42.24,327600,3,-54.92
ACS-WIFI_CLIENT_HOURLY-01-68,CPE0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,63.99,index,valid,synthetic_acs,38.73,331200,2,-47.12
ACS-WIFI_CLIENT_HOURLY-01-69,CPE0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,77.56,index,valid,synthetic_acs,49.08,334800,5,-57.35
ACS-WIFI_CLIENT_HOURLY-01-70,CPE0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,84.25,index,valid,synthetic_acs,41.74,338400,5,-60.19
ACS-WIFI_CLIENT_HOURLY-01-71,CPE0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,50.74,index,valid,synthetic_acs,51.4,342000,3,-63.05
ACS-WIFI_CLIENT_HOURLY-02-00,CPE0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,41.17,index,valid,synthetic_acs,47.23,86400,3,-46.38
ACS-WIFI_CLIENT_HOURLY-02-01,CPE0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,69.09,index,valid,synthetic_acs,39.63,90000,5,-59.51
ACS-WIFI_CLIENT_HOURLY-02-02,CPE0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,50.07,index,valid,synthetic_acs,37.93,93600,5,-49.81
