wifi_id,device_id,record_time,date_hour,ssid,band,channel,standard,signal_dbm,noise_dbm,client_count,tx_rate_mbps,rx_rate_mbps,retry_rate,province_code,duration,ne_id,created_date,wifi_name,wifi_max_bit_rate,wifi_channel,wifi_ssid,wifi_standard,wifi_regulatory_domain,wifi_total_bytes_sent,wifi_total_bytes_received,wifi_total_packets_sent,wifi_total_packets_received,wifi_total_associations,wifi_error_sent,wifi_error_received,wifi_total_psk_failures,wifi_total_integrity_failures,wifi_transmit_power,ip_address,connect_status,product_class,sw_version,hardware_version,manufacture
WIFI001001,CPE0002,2026-08-18 01:00:00,2026-08-18-01,SYNTH-001,5GHz,40,802.11ac,-60.81,-90,5,358.64,86.94,0.04,DBN,3600,NE0002,2026-08-18 01:00:00,SYNTH-001,358.64,40,SYNTH-001,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.1,connected,CPE,1.2.1,,ZTE
WIFI004001,CPE0005,2026-08-18 01:00:00,2026-08-18-01,SYNTH-004,5GHz,36,802.11ac,-57.08,-90,6,274.65,366.55,0.08,DBN,3600,NE0005,2026-08-18 01:00:00,SYNTH-004,274.65,36,SYNTH-004,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.4,connected,CPE,1.2.1,,ZTE
WIFI007001,CPE0008,2026-08-18 01:00:00,2026-08-18-01,SYNTH-007,5GHz,48,802.11ac,-57.93,-90,8,344.52,316.58,0.12,SLA,3600,NE0008,2026-08-18 01:00:00,SYNTH-007,344.52,48,SYNTH-007,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.7,connected,CPE,1.2.1,,ZTE
WIFI010001,CPE0011,2026-08-18 01:00:00,2026-08-18-01,SYNTH-010,5GHz,44,802.11ac,-71.14,-90,4,317.93,140.01,0.06,CMU,3600,NE0011,2026-08-18 01:00:00,SYNTH-010,317.93,44,SYNTH-010,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.10,connected,CPE,1.2.1,,ZTE
WIFI013001,CPE0014,2026-08-18 01:00:00,2026-08-18-01,SYNTH-013,5GHz,40,802.11ac,-60.2,-90,1,113.24,238.59,0.11,CMU,3600,NE0014,2026-08-18 01:00:00,SYNTH-013,113.24,40,SYNTH-013,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.13,connected,CPE,1.2.1,,ZTE
WIFI016001,CPE0017,2026-08-18 01:00:00,2026-08-18-01,SYNTH-016,5GHz,36,802.11ac,-54.51,-90,2,313.82,143.38,0.02,NBH,3600,NE0017,2026-08-18 01:00:00,SYNTH-016,313.82,36,SYNTH-016,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.16,connected,CPE,1.2.1,,ZTE
WIFI019001,CPE0020,2026-08-18 01:00:00,2026-08-18-01,SYNTH-019,5GHz,48,802.11ac,-68.75,-90,2,89.9,342.43,0.05,NBH,3600,NE0020,2026-08-18 01:00:00,SYNTH-019,89.9,48,SYNTH-019,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.19,connected,CPE,1.2.1,,ZTE
WIFI022001,CPE0023,2026-08-18 01:00:00,2026-08-18-01,SYNTH-022,5GHz,44,802.11ac,-60.7,-90,1,214.03,342.13,0.06,HCM,3600,NE0023,2026-08-18 01:00:00,SYNTH-022,214.03,44,SYNTH-022,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.22,connected,CPE,1.2.1,,ZTE
WIFI025001,CPE0026,2026-08-18 01:00:00,2026-08-18-01,SYNTH-025,5GHz,40,802.11ac,-49.48,-90,4,158.99,195.58,0.05,KHA,3600,NE0026,2026-08-18 01:00:00,SYNTH-025,158.99,40,SYNTH-025,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.25,connected,CPE,1.2.1,,ZTE
WIFI028001,CPE0029,2026-08-18 01:00:00,2026-08-18-01,SYNTH-028,5GHz,36,802.11ac,-60.38,-90,9,362.2,377.41,0.03,KHA,3600,NE0029,2026-08-18 01:00:00,SYNTH-028,362.2,36,SYNTH-028,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.28,connected,CPE,1.2.1,,ZTE
WIFI002002,CPE0003,2026-08-18 02:00:00,2026-08-18-02,SYNTH-002,5GHz,44,802.11ac,-71.27,-90,5,331.02,96.12,0.07,DBN,3600,NE0003,2026-08-18 02:00:00,SYNTH-002,331.02,44,SYNTH-002,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.2,connected,CPE,1.2.1,,ZTE
WIFI005002,CPE0006,2026-08-18 02:00:00,2026-08-18-02,SYNTH-005,5GHz,40,802.11ac,-48.9,-90,3,120.88,236.91,0.12,SLA,3600,NE0006,2026-08-18 02:00:00,SYNTH-005,120.88,40,SYNTH-005,802.11ac,VN,150000000,450000000,150000,450000,3,0,0,0,0,18,100.64.0.5,connected,CPE,1.2.1,,ZTE
WIFI008002,CPE0009,2026-08-18 02:00:00,2026-08-18-02,SYNTH-008,5GHz,36,802.11ac,-48.55,-90,4,116.6,290.8,0.11,SLA,3600,NE0009,2026-08-18 02:00:00,SYNTH-008,116.6,36,SYNTH-008,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.8,connected,CPE,1.2.1,,ZTE
WIFI011002,CPE0012,2026-08-18 02:00:00,2026-08-18-02,SYNTH-011,5GHz,48,802.11ac,-59.65,-90,2,201.34,356.32,0.09,CMU,3600,NE0012,2026-08-18 02:00:00,SYNTH-011,201.34,48,SYNTH-011,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.11,connected,CPE,1.2.1,,ZTE
WIFI014002,CPE0015,2026-08-18 02:00:00,2026-08-18-02,SYNTH-014,5GHz,44,802.11ac,-54.24,-90,6,204.26,252.9,0.06,CMU,3600,NE0015,2026-08-18 02:00:00,SYNTH-014,204.26,44,SYNTH-014,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.14,connected,CPE,1.2.1,,ZTE
WIFI017002,CPE0018,2026-08-18 02:00:00,2026-08-18-02,SYNTH-017,5GHz,40,802.11ac,-47.91,-90,1,279.08,225.1,0.08,NBH,3600,NE0018,2026-08-18 02:00:00,SYNTH-017,279.08,40,SYNTH-017,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.17,connected,CPE,1.2.1,,ZTE
WIFI020002,CPE0021,2026-08-18 02:00:00,2026-08-18-02,SYNTH-020,5GHz,36,802.11ac,-54.07,-90,8,91.53,269.53,0.02,HCM,3600,NE0021,2026-08-18 02:00:00,SYNTH-020,91.53,36,SYNTH-020,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.20,connected,CPE,1.2.1,,ZTE
WIFI023002,CPE0024,2026-08-18 02:00:00,2026-08-18-02,SYNTH-023,5GHz,48,802.11ac,-53.91,-90,6,265.8,209.23,0.08,HCM,3600,NE0024,2026-08-18 02:00:00,SYNTH-023,265.8,48,SYNTH-023,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.23,connected,CPE,1.2.1,,ZTE
WIFI026002,CPE0027,2026-08-18 02:00:00,2026-08-18-02,SYNTH-026,5GHz,44,802.11ac,-69.25,-90,1,379.89,291.18,0.06,KHA,3600,NE0027,2026-08-18 02:00:00,SYNTH-026,379.89,44,SYNTH-026,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.26,connected,CPE,1.2.1,,ZTE
WIFI029002,CPE0030,2026-08-18 02:00:00,2026-08-18-02,SYNTH-029,5GHz,40,802.11ac,-50.63,-90,5,84.15,144.85,0.12,KHA,3600,NE0030,2026-08-18 02:00:00,SYNTH-029,84.15,40,SYNTH-029,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.29,connected,CPE,1.2.1,,ZTE
WIFI000003,CPE0001,2026-08-18 03:00:00,2026-08-18-03,SYNTH-000,5GHz,36,802.11ac,-47.63,-90,8,329.85,192.47,0.1,DBN,3600,NE0001,2026-08-18 03:00:00,SYNTH-000,329.85,36,SYNTH-000,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.0,connected,CPE,1.2.1,,ZTE
WIFI003003,CPE0004,2026-08-18 03:00:00,2026-08-18-03,SYNTH-003,5GHz,48,802.11ac,-50.43,-90,4,112.97,267.66,0.03,DBN,3600,NE0004,2026-08-18 03:00:00,SYNTH-003,112.97,48,SYNTH-003,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.3,connected,CPE,1.2.1,,ZTE
WIFI006003,CPE0007,2026-08-18 03:00:00,2026-08-18-03,SYNTH-006,5GHz,44,802.11ac,-63.45,-90,9,229.33,191.63,0.09,SLA,3600,NE0007,2026-08-18 03:00:00,SYNTH-006,229.33,44,SYNTH-006,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.6,connected,CPE,1.2.1,,ZTE
WIFI009003,CPE0010,2026-08-18 03:00:00,2026-08-18-03,SYNTH-009,5GHz,40,802.11ac,-70.08,-90,9,262.63,171.42,0.06,SLA,3600,NE0010,2026-08-18 03:00:00,SYNTH-009,262.63,40,SYNTH-009,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.9,connected,CPE,1.2.1,,ZTE
WIFI012003,CPE0013,2026-08-18 03:00:00,2026-08-18-03,SYNTH-012,5GHz,36,802.11ac,-69.75,-90,9,203.91,365.04,0.05,CMU,3600,NE0013,2026-08-18 03:00:00,SYNTH-012,203.91,36,SYNTH-012,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.12,connected,CPE,1.2.1,,ZTE
WIFI015003,CPE0016,2026-08-18 03:00:00,2026-08-18-03,SYNTH-015,5GHz,48,802.11ac,-59.49,-90,7,281.24,231.14,0.06,NBH,3600,NE0016,2026-08-18 03:00:00,SYNTH-015,281.24,48,SYNTH-015,802.11ac,VN,350000000,1050000000,350000,1050000,7,0,0,0,0,18,100.64.0.15,connected,CPE,1.2.1,,ZTE
WIFI018003,CPE0019,2026-08-18 03:00:00,2026-08-18-03,SYNTH-018,5GHz,44,802.11ac,-69.23,-90,4,196.71,82.65,0.06,NBH,3600,NE0019,2026-08-18 03:00:00,SYNTH-018,196.71,44,SYNTH-018,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.18,connected,CPE,1.2.1,,ZTE
WIFI021003,CPE0022,2026-08-18 03:00:00,2026-08-18-03,SYNTH-021,5GHz,40,802.11ac,-68.98,-90,8,320.2,370.12,0.1,HCM,3600,NE0022,2026-08-18 03:00:00,SYNTH-021,320.2,40,SYNTH-021,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.21,connected,CPE,1.2.1,,ZTE
WIFI024003,CPE0025,2026-08-18 03:00:00,2026-08-18-03,SYNTH-024,5GHz,36,802.11ac,-52.76,-90,4,292.05,227.01,0.02,HCM,3600,NE0025,2026-08-18 03:00:00,SYNTH-024,292.05,36,SYNTH-024,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.24,connected,CPE,1.2.1,,ZTE
WIFI027003,CPE0028,2026-08-18 03:00:00,2026-08-18-03,SYNTH-027,5GHz,48,802.11ac,-60.92,-90,8,214.96,352.56,0.06,KHA,3600,NE0028,2026-08-18 03:00:00,SYNTH-027,214.96,48,SYNTH-027,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.27,connected,CPE,1.2.1,,ZTE
WIFI001004,CPE0002,2026-08-18 04:00:00,2026-08-18-04,SYNTH-001,5GHz,40,802.11ac,-55.18,-90,1,87.85,191.49,0.06,DBN,3600,NE0002,2026-08-18 04:00:00,SYNTH-001,87.85,40,SYNTH-001,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.1,connected,CPE,1.2.1,,ZTE
WIFI004004,CPE0005,2026-08-18 04:00:00,2026-08-18-04,SYNTH-004,5GHz,36,802.11ac,-61.31,-90,1,384.95,216.42,0.02,DBN,3600,NE0005,2026-08-18 04:00:00,SYNTH-004,384.95,36,SYNTH-004,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.4,connected,CPE,1.2.1,,ZTE
WIFI007004,CPE0008,2026-08-18 04:00:00,2026-08-18-04,SYNTH-007,5GHz,48,802.11ac,-46.24,-90,1,152.41,180.29,0.09,SLA,3600,NE0008,2026-08-18 04:00:00,SYNTH-007,152.41,48,SYNTH-007,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.7,connected,CPE,1.2.1,,ZTE
WIFI010004,CPE0011,2026-08-18 04:00:00,2026-08-18-04,SYNTH-010,5GHz,44,802.11ac,-61.12,-90,5,246.62,284.76,0.05,CMU,3600,NE0011,2026-08-18 04:00:00,SYNTH-010,246.62,44,SYNTH-010,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.10,connected,CPE,1.2.1,,ZTE
WIFI013004,CPE0014,2026-08-18 04:00:00,2026-08-18-04,SYNTH-013,5GHz,40,802.11ac,-59.93,-90,8,207.33,267.53,0.01,CMU,3600,NE0014,2026-08-18 04:00:00,SYNTH-013,207.33,40,SYNTH-013,802.11ac,VN,400000000,1200000000,400000,1200000,8,0,0,0,0,18,100.64.0.13,connected,CPE,1.2.1,,ZTE
WIFI016004,CPE0017,2026-08-18 04:00:00,2026-08-18-04,SYNTH-016,5GHz,36,802.11ac,-71.08,-90,1,174.04,348.53,0.09,NBH,3600,NE0017,2026-08-18 04:00:00,SYNTH-016,174.04,36,SYNTH-016,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.16,connected,CPE,1.2.1,,ZTE
WIFI019004,CPE0020,2026-08-18 04:00:00,2026-08-18-04,SYNTH-019,5GHz,48,802.11ac,-55.69,-90,5,392.7,111.07,0.01,NBH,3600,NE0020,2026-08-18 04:00:00,SYNTH-019,392.7,48,SYNTH-019,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.19,connected,CPE,1.2.1,,ZTE
WIFI022004,CPE0023,2026-08-18 04:00:00,2026-08-18-04,SYNTH-022,5GHz,44,802.11ac,-58.4,-90,2,178.71,168.88,0.02,HCM,3600,NE0023,2026-08-18 04:00:00,SYNTH-022,178.71,44,SYNTH-022,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.22,connected,CPE,1.2.1,,ZTE
WIFI025004,CPE0026,2026-08-18 04:00:00,2026-08-18-04,SYNTH-025,5GHz,40,802.11ac,-45.61,-90,7,346.6,313.08,0.03,KHA,3600,NE0026,2026-08-18 04:00:00,SYNTH-025,346.6,40,SYNTH-025,802.11ac,VN,350000000,1050000000,350000,1050000,7,0,0,0,0,18,100.64.0.25,connected,CPE,1.2.1,,ZTE
WIFI028004,CPE0029,2026-08-18 04:00:00,2026-08-18-04,SYNTH-028,5GHz,36,802.11ac,-65.43,-90,3,110.92,296.7,0.04,KHA,3600,NE0029,2026-08-18 04:00:00,SYNTH-028,110.92,36,SYNTH-028,802.11ac,VN,150000000,450000000,150000,450000,3,0,0,0,0,18,100.64.0.28,connected,CPE,1.2.1,,ZTE
WIFI002005,CPE0003,2026-08-18 05:00:00,2026-08-18-05,SYNTH-002,5GHz,44,802.11ac,-54.61,-90,2,149.96,149.49,0.05,DBN,3600,NE0003,2026-08-18 05:00:00,SYNTH-002,149.96,44,SYNTH-002,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.2,connected,CPE,1.2.1,,ZTE
WIFI005005,CPE0006,2026-08-18 05:00:00,2026-08-18-05,SYNTH-005,5GHz,40,802.11ac,-62.17,-90,9,396.72,359.68,0.08,SLA,3600,NE0006,2026-08-18 05:00:00,SYNTH-005,396.72,40,SYNTH-005,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.5,connected,CPE,1.2.1,,ZTE
WIFI008005,CPE0009,2026-08-18 05:00:00,2026-08-18-05,SYNTH-008,5GHz,36,802.11ac,-54.96,-90,4,333.51,131.25,0.08,SLA,3600,NE0009,2026-08-18 05:00:00,SYNTH-008,333.51,36,SYNTH-008,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.8,connected,CPE,1.2.1,,ZTE
WIFI011005,CPE0012,2026-08-18 05:00:00,2026-08-18-05,SYNTH-011,5GHz,48,802.11ac,-54.71,-90,1,304.93,148.96,0.02,CMU,3600,NE0012,2026-08-18 05:00:00,SYNTH-011,304.93,48,SYNTH-011,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.11,connected,CPE,1.2.1,,ZTE
WIFI014005,CPE0015,2026-08-18 05:00:00,2026-08-18-05,SYNTH-014,5GHz,44,802.11ac,-55.82,-90,2,175.79,145.85,0.11,CMU,3600,NE0015,2026-08-18 05:00:00,SYNTH-014,175.79,44,SYNTH-014,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.14,connected,CPE,1.2.1,,ZTE
WIFI017005,CPE0018,2026-08-18 05:00:00,2026-08-18-05,SYNTH-017,5GHz,40,802.11ac,-53.94,-90,5,375.6,375.92,0.09,NBH,3600,NE0018,2026-08-18 05:00:00,SYNTH-017,375.6,40,SYNTH-017,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.17,connected,CPE,1.2.1,,ZTE
WIFI020005,CPE0021,2026-08-18 05:00:00,2026-08-18-05,SYNTH-020,5GHz,36,802.11ac,-46.94,-90,4,336.72,231.65,0.01,HCM,3600,NE0021,2026-08-18 05:00:00,SYNTH-020,336.72,36,SYNTH-020,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.20,connected,CPE,1.2.1,,ZTE
WIFI023005,CPE0024,2026-08-18 05:00:00,2026-08-18-05,SYNTH-023,5GHz,48,802.11ac,-51.58,-90,9,316.46,293.22,0.02,HCM,3600,NE0024,2026-08-18 05:00:00,SYNTH-023,316.46,48,SYNTH-023,802.11ac,VN,450000000,1350000000,450000,1350000,9,0,0,0,0,18,100.64.0.23,connected,CPE,1.2.1,,ZTE
WIFI026005,CPE0027,2026-08-18 05:00:00,2026-08-18-05,SYNTH-026,5GHz,44,802.11ac,-47.99,-90,5,253.36,239.24,0.12,KHA,3600,NE0027,2026-08-18 05:00:00,SYNTH-026,253.36,44,SYNTH-026,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.26,connected,CPE,1.2.1,,ZTE
WIFI029005,CPE0030,2026-08-18 05:00:00,2026-08-18-05,SYNTH-029,5GHz,40,802.11ac,-70.16,-90,1,215.09,86.13,0.12,KHA,3600,NE0030,2026-08-18 05:00:00,SYNTH-029,215.09,40,SYNTH-029,802.11ac,VN,50000000,150000000,50000,150000,1,0,0,0,0,18,100.64.0.29,connected,CPE,1.2.1,,ZTE
WIFI000006,CPE0001,2026-08-18 06:00:00,2026-08-18-06,SYNTH-000,5GHz,36,802.11ac,-62.41,-90,4,101.31,362.42,0.06,DBN,3600,NE0001,2026-08-18 06:00:00,SYNTH-000,101.31,36,SYNTH-000,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.0,connected,CPE,1.2.1,,ZTE
WIFI003006,CPE0004,2026-08-18 06:00:00,2026-08-18-06,SYNTH-003,5GHz,48,802.11ac,-58.88,-90,5,248.11,136.44,0.08,DBN,3600,NE0004,2026-08-18 06:00:00,SYNTH-003,248.11,48,SYNTH-003,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.3,connected,CPE,1.2.1,,ZTE
WIFI006006,CPE0007,2026-08-18 06:00:00,2026-08-18-06,SYNTH-006,5GHz,44,802.11ac,-45.54,-90,6,307.69,130.56,0.05,SLA,3600,NE0007,2026-08-18 06:00:00,SYNTH-006,307.69,44,SYNTH-006,802.11ac,VN,300000000,900000000,300000,900000,6,0,0,0,0,18,100.64.0.6,connected,CPE,1.2.1,,ZTE
WIFI009006,CPE0010,2026-08-18 06:00:00,2026-08-18-06,SYNTH-009,5GHz,40,802.11ac,-67.75,-90,7,253.07,373.41,0.08,SLA,3600,NE0010,2026-08-18 06:00:00,SYNTH-009,253.07,40,SYNTH-009,802.11ac,VN,350000000,1050000000,350000,1050000,7,0,0,0,0,18,100.64.0.9,connected,CPE,1.2.1,,ZTE
WIFI012006,CPE0013,2026-08-18 06:00:00,2026-08-18-06,SYNTH-012,5GHz,36,802.11ac,-68.24,-90,2,359.67,206.81,0.09,CMU,3600,NE0013,2026-08-18 06:00:00,SYNTH-012,359.67,36,SYNTH-012,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.12,connected,CPE,1.2.1,,ZTE
WIFI015006,CPE0016,2026-08-18 06:00:00,2026-08-18-06,SYNTH-015,5GHz,48,802.11ac,-59.48,-90,3,92.3,80.97,0.11,NBH,3600,NE0016,2026-08-18 06:00:00,SYNTH-015,92.3,48,SYNTH-015,802.11ac,VN,150000000,450000000,150000,450000,3,0,0,0,0,18,100.64.0.15,connected,CPE,1.2.1,,ZTE
WIFI018006,CPE0019,2026-08-18 06:00:00,2026-08-18-06,SYNTH-018,5GHz,44,802.11ac,-49.99,-90,2,375.25,112.88,0.03,NBH,3600,NE0019,2026-08-18 06:00:00,SYNTH-018,375.25,44,SYNTH-018,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.18,connected,CPE,1.2.1,,ZTE
WIFI021006,CPE0022,2026-08-18 06:00:00,2026-08-18-06,SYNTH-021,5GHz,40,802.11ac,-70.26,-90,4,327.61,166.42,0.07,HCM,3600,NE0022,2026-08-18 06:00:00,SYNTH-021,327.61,40,SYNTH-021,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.21,connected,CPE,1.2.1,,ZTE
WIFI024006,CPE0025,2026-08-18 06:00:00,2026-08-18-06,SYNTH-024,5GHz,36,802.11ac,-62.0,-90,2,156.17,390.07,0.07,HCM,3600,NE0025,2026-08-18 06:00:00,SYNTH-024,156.17,36,SYNTH-024,802.11ac,VN,100000000,300000000,100000,300000,2,0,0,0,0,18,100.64.0.24,connected,CPE,1.2.1,,ZTE
WIFI027006,CPE0028,2026-08-18 06:00:00,2026-08-18-06,SYNTH-027,5GHz,48,802.11ac,-48.03,-90,4,208.68,189.71,0.06,KHA,3600,NE0028,2026-08-18 06:00:00,SYNTH-027,208.68,48,SYNTH-027,802.11ac,VN,200000000,600000000,200000,600000,4,0,0,0,0,18,100.64.0.27,connected,CPE,1.2.1,,ZTE
WIFI001007,CPE0002,2026-08-18 07:00:00,2026-08-18-07,SYNTH-001,5GHz,40,802.11ac,-70.37,-90,5,310.08,239.61,0.05,DBN,3600,NE0002,2026-08-18 07:00:00,SYNTH-001,310.08,40,SYNTH-001,802.11ac,VN,250000000,750000000,250000,750000,5,0,0,0,0,18,100.64.0.1,connected,CPE,1.2.1,,ZTE
