optical_tx_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-OPTICAL_TX_HOURLY-00-20,CPE0001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,79.48,index,valid,synthetic_acs,35.56,158400,4,-46.11
ACS-OPTICAL_TX_HOURLY-00-21,CPE0001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,17.88,index,valid,synthetic_acs,40.39,162000,4,-72.27
ACS-OPTICAL_TX_HOURLY-00-22,CPE0001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,37.44,index,valid,synthetic_acs,37.54,165600,3,-60.92
ACS-OPTICAL_TX_HOURLY-00-23,CPE0001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,54.52,index,valid,synthetic_acs,37.66,169200,2,-59.98
ACS-OPTICAL_TX_HOURLY-00-24,CPE0001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,36.49,index,valid,synthetic_acs,52.73,172800,1,-48.26
ACS-OPTICAL_TX_HOURLY-00-25,CPE0001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,17.39,index,valid,synthetic_acs,40.73,176400,0,-46.84
ACS-OPTICAL_TX_HOURLY-00-26,CPE0001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,60.29,index,valid,synthetic_acs,44.06,180000,4,-65.32
ACS-OPTICAL_TX_HOURLY-00-27,CPE0001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,99.33,index,degraded,synthetic_acs,36.05,183600,4,-56.49
ACS-OPTICAL_TX_HOURLY-00-28,CPE0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,49.43,index,valid,synthetic_acs,42.88,187200,5,-52.68
ACS-OPTICAL_TX_HOURLY-00-29,CPE0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,58.51,index,valid,synthetic_acs,43.65,190800,2,-59.07
ACS-OPTICAL_TX_HOURLY-00-30,CPE0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,21.6,index,valid,synthetic_acs,52.66,194400,1,-52.1
ACS-OPTICAL_TX_HOURLY-00-31,CPE0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,22.85,index,valid,synthetic_acs,42.53,198000,0,-54.89
ACS-OPTICAL_TX_HOURLY-00-32,CPE0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,43.2,index,valid,synthetic_acs,47.92,201600,2,-55.42
ACS-OPTICAL_TX_HOURLY-00-33,CPE0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.61,index,valid,synthetic_acs,51.11,205200,5,-60.77
ACS-OPTICAL_TX_HOURLY-00-34,CPE0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.88,index,valid,synthetic_acs,41.26,208800,1,-62.49
ACS-OPTICAL_TX_HOURLY-00-35,CPE0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.77,index,valid,synthetic_acs,39.96,212400,2,-54.31
ACS-OPTICAL_TX_HOURLY-00-36,CPE0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,50.99,index,valid,synthetic_acs,43.58,216000,2,-49.63
ACS-OPTICAL_TX_HOURLY-00-37,CPE0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,64.5,index,valid,synthetic_acs,51.91,219600,3,-60.7
ACS-OPTICAL_TX_HOURLY-00-38,CPE0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,44.28,index,valid,synthetic_acs,44.5,223200,4,-68.89
ACS-OPTICAL_TX_HOURLY-00-39,CPE0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,69.98,index,valid,synthetic_acs,41.41,226800,5,-65.31
ACS-OPTICAL_TX_HOURLY-00-40,CPE0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,37.21,index,valid,synthetic_acs,43.79,230400,3,-56.18
ACS-OPTICAL_TX_HOURLY-00-41,CPE0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,80.39,index,valid,synthetic_acs,42.34,234000,1,-67.88
ACS-OPTICAL_TX_HOURLY-00-42,CPE0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,37.91,index,valid,synthetic_acs,40.44,237600,5,-63.52
ACS-OPTICAL_TX_HOURLY-00-43,CPE0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,24.62,index,valid,synthetic_acs,51.51,241200,5,-57.99
ACS-OPTICAL_TX_HOURLY-00-44,CPE0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,20.12,index,valid,synthetic_acs,38.43,244800,1,-64.73
ACS-OPTICAL_TX_HOURLY-00-45,CPE0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,70.27,index,valid,synthetic_acs,38.75,248400,1,-54.0
ACS-OPTICAL_TX_HOURLY-00-46,CPE0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.41,index,valid,synthetic_acs,35.95,252000,4,-74.98
ACS-OPTICAL_TX_HOURLY-00-47,CPE0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,72.05,index,valid,synthetic_acs,43.18,255600,0,-58.92
ACS-OPTICAL_TX_HOURLY-00-48,CPE0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,54.94,index,valid,synthetic_acs,40.7,259200,2,-62.21
ACS-OPTICAL_TX_HOURLY-00-49,CPE0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,78.04,index,valid,synthetic_acs,50.45,262800,5,-50.91
ACS-OPTICAL_TX_HOURLY-00-50,CPE0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,59.6,index,valid,synthetic_acs,54.48,266400,5,-64.29
ACS-OPTICAL_TX_HOURLY-00-51,CPE0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,78.25,index,valid,synthetic_acs,47.33,270000,0,-66.21
ACS-OPTICAL_TX_HOURLY-00-52,CPE0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,67.61,index,valid,synthetic_acs,35.63,273600,1,-67.43
ACS-OPTICAL_TX_HOURLY-00-53,CPE0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,77.06,index,valid,synthetic_acs,44.88,277200,3,-65.21
ACS-OPTICAL_TX_HOURLY-00-54,CPE0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.0,index,valid,synthetic_acs,45.48,280800,0,-62.57
ACS-OPTICAL_TX_HOURLY-00-55,CPE0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,75.5,index,valid,synthetic_acs,43.47,284400,0,-49.77
ACS-OPTICAL_TX_HOURLY-00-56,CPE0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,23.92,index,valid,synthetic_acs,50.66,288000,4,-65.98
ACS-OPTICAL_TX_HOURLY-00-57,CPE0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,55.58,index,valid,synthetic_acs,46.83,291600,0,-45.59
ACS-OPTICAL_TX_HOURLY-00-58,CPE0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,73.76,index,valid,synthetic_acs,42.63,295200,4,-52.43
ACS-OPTICAL_TX_HOURLY-00-59,CPE0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,32.66,index,valid,synthetic_acs,51.25,298800,5,-66.05
ACS-OPTICAL_TX_HOURLY-00-60,CPE0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,20.1,index,valid,synthetic_acs,51.84,302400,3,-69.12
ACS-OPTICAL_TX_HOURLY-00-61,CPE0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,19.65,index,valid,synthetic_acs,38.92,306000,4,-56.49
ACS-OPTICAL_TX_HOURLY-00-62,CPE0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,72.29,index,valid,synthetic_acs,52.13,309600,4,-54.01
ACS-OPTICAL_TX_HOURLY-00-63,CPE0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,21.35,index,valid,synthetic_acs,38.62,313200,4,-66.38
ACS-OPTICAL_TX_HOURLY-00-64,CPE0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,56.24,index,valid,synthetic_acs,36.92,316800,2,-67.06
ACS-OPTICAL_TX_HOURLY-00-65,CPE0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,77.08,index,valid,synthetic_acs,35.88,320400,4,-57.35
ACS-OPTICAL_TX_HOURLY-00-66,CPE0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,16.79,index,valid,synthetic_acs,41.05,324000,3,-62.02
ACS-OPTICAL_TX_HOURLY-00-67,CPE0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,72.69,index,valid,synthetic_acs,45.41,327600,3,-48.02
ACS-OPTICAL_TX_HOURLY-00-68,CPE0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,21.25,index,valid,synthetic_acs,53.83,331200,0,-55.53
ACS-OPTICAL_TX_HOURLY-00-69,CPE0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,84.68,index,valid,synthetic_acs,37.82,334800,5,-54.58
ACS-OPTICAL_TX_HOURLY-00-70,CPE0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,62.49,index,valid,synthetic_acs,48.67,338400,0,-55.19
ACS-OPTICAL_TX_HOURLY-00-71,CPE0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,25.12,index,valid,synthetic_acs,35.1,342000,5,-53.24
ACS-OPTICAL_TX_HOURLY-01-00,CPE0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,82.56,index,valid,synthetic_acs,47.81,86400,0,-59.18
ACS-OPTICAL_TX_HOURLY-01-01,CPE0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,44.21,index,valid,synthetic_acs,50.47,90000,2,-53.35
ACS-OPTICAL_TX_HOURLY-01-02,CPE0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,62.49,index,valid,synthetic_acs,49.75,93600,5,-48.13
ACS-OPTICAL_TX_HOURLY-01-03,CPE0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,53.56,index,valid,synthetic_acs,53.34,97200,1,-56.45
ACS-OPTICAL_TX_HOURLY-01-04,CPE0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,73.32,index,valid,synthetic_acs,40.56,100800,1,-65.49
ACS-OPTICAL_TX_HOURLY-01-05,CPE0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,40.98,index,valid,synthetic_acs,43.85,104400,1,-54.98
ACS-OPTICAL_TX_HOURLY-01-06,CPE0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,18.31,index,valid,synthetic_acs,39.19,108000,2,-61.07
ACS-OPTICAL_TX_HOURLY-01-07,CPE0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,33.66,index,valid,synthetic_acs,35.75,111600,3,-72.51
ACS-OPTICAL_TX_HOURLY-01-08,CPE0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,72.26,index,valid,synthetic_acs,38.98,115200,0,-72.65
ACS-OPTICAL_TX_HOURLY-01-09,CPE0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,39.86,index,valid,synthetic_acs,40.78,118800,4,-50.33
ACS-OPTICAL_TX_HOURLY-01-10,CPE0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,59.53,index,valid,synthetic_acs,51.66,122400,5,-48.83
ACS-OPTICAL_TX_HOURLY-01-11,CPE0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,25.23,index,valid,synthetic_acs,46.98,126000,0,-51.29
ACS-OPTICAL_TX_HOURLY-01-12,CPE0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,71.77,index,valid,synthetic_acs,38.12,129600,1,-71.32
ACS-OPTICAL_TX_HOURLY-01-13,CPE0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,43.41,index,valid,synthetic_acs,44.11,133200,5,-65.63
ACS-OPTICAL_TX_HOURLY-01-14,CPE0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,58.41,index,valid,synthetic_acs,51.74,136800,5,-73.08
ACS-OPTICAL_TX_HOURLY-01-15,CPE0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,34.68,index,valid,synthetic_acs,51.96,140400,1,-65.66
ACS-OPTICAL_TX_HOURLY-01-16,CPE0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.86,index,valid,synthetic_acs,41.93,144000,2,-68.81
ACS-OPTICAL_TX_HOURLY-01-17,CPE0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,15.76,index,valid,synthetic_acs,35.62,147600,1,-52.5
ACS-OPTICAL_TX_HOURLY-01-18,CPE0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,51.39,index,valid,synthetic_acs,53.34,151200,5,-58.11
ACS-OPTICAL_TX_HOURLY-01-19,CPE0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,80.29,index,valid,synthetic_acs,39.5,154800,4,-46.0
ACS-OPTICAL_TX_HOURLY-01-20,CPE0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,69.46,index,valid,synthetic_acs,37.74,158400,5,-74.84
ACS-OPTICAL_TX_HOURLY-01-21,CPE0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.41,index,valid,synthetic_acs,41.86,162000,2,-46.78
ACS-OPTICAL_TX_HOURLY-01-22,CPE0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,37.7,index,valid,synthetic_acs,35.67,165600,2,-57.27
ACS-OPTICAL_TX_HOURLY-01-23,CPE0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,78.61,index,valid,synthetic_acs,49.71,169200,5,-49.01
ACS-OPTICAL_TX_HOURLY-01-24,CPE0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,72.23,index,valid,synthetic_acs,53.12,172800,0,-50.67
ACS-OPTICAL_TX_HOURLY-01-25,CPE0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,61.1,index,valid,synthetic_acs,41.92,176400,5,-59.7
ACS-OPTICAL_TX_HOURLY-01-26,CPE0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,60.7,index,valid,synthetic_acs,41.47,180000,3,-64.51
ACS-OPTICAL_TX_HOURLY-01-27,CPE0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,81.89,index,valid,synthetic_acs,43.3,183600,1,-50.42
ACS-OPTICAL_TX_HOURLY-01-28,CPE0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,36.84,index,valid,synthetic_acs,49.25,187200,0,-59.73
ACS-OPTICAL_TX_HOURLY-01-29,CPE0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.26,index,valid,synthetic_acs,37.64,190800,0,-63.42
ACS-OPTICAL_TX_HOURLY-01-30,CPE0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,29.01,index,valid,synthetic_acs,54.28,194400,0,-53.29
ACS-OPTICAL_TX_HOURLY-01-31,CPE0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.94,index,valid,synthetic_acs,36.14,198000,1,-64.88
ACS-OPTICAL_TX_HOURLY-01-32,CPE0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,69.59,index,valid,synthetic_acs,36.72,201600,3,-62.8
ACS-OPTICAL_TX_HOURLY-01-33,CPE0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.36,index,valid,synthetic_acs,38.09,205200,4,-69.29
ACS-OPTICAL_TX_HOURLY-01-34,CPE0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,75.3,index,valid,synthetic_acs,53.54,208800,1,-59.83
ACS-OPTICAL_TX_HOURLY-01-35,CPE0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,83.24,index,valid,synthetic_acs,47.93,212400,4,-54.59
ACS-OPTICAL_TX_HOURLY-01-36,CPE0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,60.43,index,valid,synthetic_acs,42.82,216000,5,-49.44
ACS-OPTICAL_TX_HOURLY-01-37,CPE0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,41.13,index,valid,synthetic_acs,40.82,219600,4,-71.88
ACS-OPTICAL_TX_HOURLY-01-38,CPE0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,53.65,index,valid,synthetic_acs,52.4,223200,2,-61.87
ACS-OPTICAL_TX_HOURLY-01-39,CPE0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.42,index,valid,synthetic_acs,39.08,226800,2,-63.05
ACS-OPTICAL_TX_HOURLY-01-40,CPE0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,53.96,index,valid,synthetic_acs,54.06,230400,5,-60.96
ACS-OPTICAL_TX_HOURLY-01-41,CPE0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,67.83,index,valid,synthetic_acs,53.07,234000,2,-56.56
ACS-OPTICAL_TX_HOURLY-01-42,CPE0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.99,index,valid,synthetic_acs,54.33,237600,4,-66.52
ACS-OPTICAL_TX_HOURLY-01-43,CPE0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,59.57,index,valid,synthetic_acs,40.19,241200,3,-54.59
ACS-OPTICAL_TX_HOURLY-01-44,CPE0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,60.7,index,valid,synthetic_acs,51.77,244800,4,-58.39
ACS-OPTICAL_TX_HOURLY-01-45,CPE0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,96.54,index,degraded,synthetic_acs,42.34,248400,5,-57.81
ACS-OPTICAL_TX_HOURLY-01-46,CPE0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,72.21,index,valid,synthetic_acs,44.14,252000,4,-73.44
ACS-OPTICAL_TX_HOURLY-01-47,CPE0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,46.27,index,valid,synthetic_acs,46.17,255600,1,-51.02
ACS-OPTICAL_TX_HOURLY-01-48,CPE0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,78.02,index,valid,synthetic_acs,44.79,259200,3,-58.24
ACS-OPTICAL_TX_HOURLY-01-49,CPE0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,64.03,index,valid,synthetic_acs,37.51,262800,0,-73.17
ACS-OPTICAL_TX_HOURLY-01-50,CPE0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,36.9,index,valid,synthetic_acs,47.94,266400,1,-58.32
ACS-OPTICAL_TX_HOURLY-01-51,CPE0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.56,index,valid,synthetic_acs,45.42,270000,3,-61.49
ACS-OPTICAL_TX_HOURLY-01-52,CPE0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,15.22,index,valid,synthetic_acs,52.74,273600,1,-49.62
ACS-OPTICAL_TX_HOURLY-01-53,CPE0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,25.97,index,valid,synthetic_acs,39.31,277200,4,-71.76
ACS-OPTICAL_TX_HOURLY-01-54,CPE0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,58.79,index,valid,synthetic_acs,44.63,280800,5,-51.06
ACS-OPTICAL_TX_HOURLY-01-55,CPE0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,84.14,index,valid,synthetic_acs,43.53,284400,4,-73.72
ACS-OPTICAL_TX_HOURLY-01-56,CPE0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,83.67,index,valid,synthetic_acs,46.95,288000,5,-58.23
ACS-OPTICAL_TX_HOURLY-01-57,CPE0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,69.35,index,valid,synthetic_acs,44.76,291600,2,-47.61
ACS-OPTICAL_TX_HOURLY-01-58,CPE0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,67.82,index,valid,synthetic_acs,44.78,295200,4,-63.55
ACS-OPTICAL_TX_HOURLY-01-59,CPE0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,26.71,index,valid,synthetic_acs,44.65,298800,1,-50.42
ACS-OPTICAL_TX_HOURLY-01-60,CPE0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,16.36,index,valid,synthetic_acs,44.13,302400,4,-74.32
ACS-OPTICAL_TX_HOURLY-01-61,CPE0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,65.71,index,valid,synthetic_acs,44.75,306000,5,-45.28
ACS-OPTICAL_TX_HOURLY-01-62,CPE0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,59.67,index,valid,synthetic_acs,54.08,309600,2,-64.27
ACS-OPTICAL_TX_HOURLY-01-63,CPE0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,57.83,index,valid,synthetic_acs,50.52,313200,1,-73.09
ACS-OPTICAL_TX_HOURLY-01-64,CPE0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,15.53,index,valid,synthetic_acs,42.13,316800,1,-53.2
ACS-OPTICAL_TX_HOURLY-01-65,CPE0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,42.25,index,valid,synthetic_acs,48.71,320400,0,-45.51
ACS-OPTICAL_TX_HOURLY-01-66,CPE0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,31.98,index,valid,synthetic_acs,45.65,324000,3,-55.33
ACS-OPTICAL_TX_HOURLY-01-67,CPE0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,44.18,index,valid,synthetic_acs,48.67,327600,3,-57.69
ACS-OPTICAL_TX_HOURLY-01-68,CPE0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,34.49,index,valid,synthetic_acs,43.27,331200,3,-50.99
ACS-OPTICAL_TX_HOURLY-01-69,CPE0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,70.97,index,valid,synthetic_acs,42.75,334800,0,-48.32
ACS-OPTICAL_TX_HOURLY-01-70,CPE0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,44.98,index,valid,synthetic_acs,51.29,338400,0,-50.82
ACS-OPTICAL_TX_HOURLY-01-71,CPE0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,19.26,index,valid,synthetic_acs,38.46,342000,4,-65.04
ACS-OPTICAL_TX_HOURLY-02-00,CPE0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,40.04,index,valid,synthetic_acs,47.93,86400,4,-50.47
ACS-OPTICAL_TX_HOURLY-02-01,CPE0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,83.25,index,valid,synthetic_acs,37.16,90000,2,-64.97
ACS-OPTICAL_TX_HOURLY-02-02,CPE0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,41.49,index,valid,synthetic_acs,45.13,93600,3,-73.93
ACS-OPTICAL_TX_HOURLY-02-03,CPE0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,59.94,index,valid,synthetic_acs,43.44,97200,5,-47.87
