wan_hourly_id,device_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,temperature_c,uptime_s,retry_count,signal_dbm
ACS-WAN_HOURLY-00-28,CPE0001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.36,index,valid,synthetic_acs,53.06,187200,0,-55.4
ACS-WAN_HOURLY-00-29,CPE0001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,31.39,index,valid,synthetic_acs,35.86,190800,4,-60.67
ACS-WAN_HOURLY-00-30,CPE0001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,54.41,index,valid,synthetic_acs,45.12,194400,2,-65.92
ACS-WAN_HOURLY-00-31,CPE0001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,56.58,index,valid,synthetic_acs,35.08,198000,3,-69.23
ACS-WAN_HOURLY-00-32,CPE0001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,32.92,index,valid,synthetic_acs,50.09,201600,2,-72.7
ACS-WAN_HOURLY-00-33,CPE0001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,61.34,index,valid,synthetic_acs,50.08,205200,4,-48.24
ACS-WAN_HOURLY-00-34,CPE0001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,55.45,index,valid,synthetic_acs,46.85,208800,3,-67.43
ACS-WAN_HOURLY-00-35,CPE0001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,78.83,index,valid,synthetic_acs,53.01,212400,2,-70.42
ACS-WAN_HOURLY-00-36,CPE0001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,19.94,index,valid,synthetic_acs,39.66,216000,2,-63.26
ACS-WAN_HOURLY-00-37,CPE0001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.82,index,valid,synthetic_acs,40.35,219600,2,-50.11
ACS-WAN_HOURLY-00-38,CPE0001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,24.11,index,valid,synthetic_acs,51.23,223200,1,-56.7
ACS-WAN_HOURLY-00-39,CPE0001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,47.36,index,valid,synthetic_acs,43.62,226800,3,-55.04
ACS-WAN_HOURLY-00-40,CPE0001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,29.5,index,valid,synthetic_acs,50.49,230400,5,-60.04
ACS-WAN_HOURLY-00-41,CPE0001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,16.7,index,valid,synthetic_acs,54.27,234000,2,-62.72
ACS-WAN_HOURLY-00-42,CPE0001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,34.82,index,valid,synthetic_acs,51.88,237600,3,-65.29
ACS-WAN_HOURLY-00-43,CPE0001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,30.9,index,valid,synthetic_acs,36.71,241200,2,-56.56
ACS-WAN_HOURLY-00-44,CPE0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,40.17,index,valid,synthetic_acs,37.87,244800,4,-57.34
ACS-WAN_HOURLY-00-45,CPE0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,17.88,index,valid,synthetic_acs,44.36,248400,1,-56.3
ACS-WAN_HOURLY-00-46,CPE0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,78.61,index,valid,synthetic_acs,47.76,252000,5,-70.44
ACS-WAN_HOURLY-00-47,CPE0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,22.12,index,valid,synthetic_acs,44.48,255600,4,-49.4
ACS-WAN_HOURLY-00-48,CPE0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,52.08,index,valid,synthetic_acs,47.6,259200,2,-58.16
ACS-WAN_HOURLY-00-49,CPE0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,19.9,index,valid,synthetic_acs,40.76,262800,2,-72.33
ACS-WAN_HOURLY-00-50,CPE0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.85,index,valid,synthetic_acs,36.27,266400,3,-69.08
ACS-WAN_HOURLY-00-51,CPE0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,53.82,index,valid,synthetic_acs,38.08,270000,2,-46.36
ACS-WAN_HOURLY-00-52,CPE0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,82.86,index,valid,synthetic_acs,43.7,273600,1,-47.07
ACS-WAN_HOURLY-00-53,CPE0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,58.37,index,valid,synthetic_acs,41.24,277200,0,-72.0
ACS-WAN_HOURLY-00-54,CPE0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,82.19,index,valid,synthetic_acs,49.55,280800,3,-49.82
ACS-WAN_HOURLY-00-55,CPE0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,58.57,index,valid,synthetic_acs,52.61,284400,5,-53.72
ACS-WAN_HOURLY-00-56,CPE0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,67.34,index,valid,synthetic_acs,48.58,288000,2,-50.74
ACS-WAN_HOURLY-00-57,CPE0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,34.67,index,valid,synthetic_acs,54.89,291600,5,-58.69
ACS-WAN_HOURLY-00-58,CPE0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,24.06,index,valid,synthetic_acs,36.28,295200,5,-60.16
ACS-WAN_HOURLY-00-59,CPE0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,55.69,index,valid,synthetic_acs,41.76,298800,5,-64.07
ACS-WAN_HOURLY-00-60,CPE0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,54.3,index,valid,synthetic_acs,48.4,302400,5,-68.77
ACS-WAN_HOURLY-00-61,CPE0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,67.56,index,valid,synthetic_acs,41.04,306000,3,-69.65
ACS-WAN_HOURLY-00-62,CPE0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,67.68,index,valid,synthetic_acs,43.38,309600,4,-73.15
ACS-WAN_HOURLY-00-63,CPE0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,31.02,index,valid,synthetic_acs,51.11,313200,1,-45.26
ACS-WAN_HOURLY-00-64,CPE0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,45.44,index,valid,synthetic_acs,42.28,316800,0,-61.9
ACS-WAN_HOURLY-00-65,CPE0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,17.84,index,valid,synthetic_acs,40.57,320400,4,-69.65
ACS-WAN_HOURLY-00-66,CPE0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,41.79,index,valid,synthetic_acs,51.35,324000,1,-59.51
ACS-WAN_HOURLY-00-67,CPE0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,59.5,index,valid,synthetic_acs,44.3,327600,5,-53.79
ACS-WAN_HOURLY-00-68,CPE0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,33.1,index,valid,synthetic_acs,47.53,331200,3,-48.55
ACS-WAN_HOURLY-00-69,CPE0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,38.49,index,valid,synthetic_acs,42.21,334800,0,-53.9
ACS-WAN_HOURLY-00-70,CPE0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,29.8,index,valid,synthetic_acs,41.81,338400,1,-71.1
ACS-WAN_HOURLY-00-71,CPE0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,63.49,index,valid,synthetic_acs,36.38,342000,2,-65.24
ACS-WAN_HOURLY-01-00,CPE0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,33.74,index,valid,synthetic_acs,36.54,86400,0,-64.86
ACS-WAN_HOURLY-01-01,CPE0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,35.17,index,valid,synthetic_acs,37.0,90000,1,-66.51
ACS-WAN_HOURLY-01-02,CPE0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,15.69,index,valid,synthetic_acs,51.11,93600,2,-48.65
ACS-WAN_HOURLY-01-03,CPE0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,40.32,index,valid,synthetic_acs,52.1,97200,5,-51.42
ACS-WAN_HOURLY-01-04,CPE0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.37,index,valid,synthetic_acs,53.3,100800,4,-50.43
ACS-WAN_HOURLY-01-05,CPE0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.36,index,valid,synthetic_acs,54.28,104400,2,-55.79
ACS-WAN_HOURLY-01-06,CPE0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,79.66,index,valid,synthetic_acs,45.13,108000,1,-66.41
ACS-WAN_HOURLY-01-07,CPE0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,26.19,index,valid,synthetic_acs,40.44,111600,5,-67.04
ACS-WAN_HOURLY-01-08,CPE0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,24.38,index,valid,synthetic_acs,54.69,115200,2,-66.42
ACS-WAN_HOURLY-01-09,CPE0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,68.55,index,valid,synthetic_acs,39.47,118800,1,-51.77
ACS-WAN_HOURLY-01-10,CPE0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,69.86,index,valid,synthetic_acs,36.86,122400,0,-73.83
ACS-WAN_HOURLY-01-11,CPE0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,46.45,index,valid,synthetic_acs,54.16,126000,3,-62.07
ACS-WAN_HOURLY-01-12,CPE0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,31.56,index,valid,synthetic_acs,44.1,129600,4,-59.14
ACS-WAN_HOURLY-01-13,CPE0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,28.22,index,valid,synthetic_acs,35.06,133200,4,-55.68
ACS-WAN_HOURLY-01-14,CPE0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,79.03,index,valid,synthetic_acs,40.59,136800,2,-74.7
ACS-WAN_HOURLY-01-15,CPE0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,45.85,index,valid,synthetic_acs,40.88,140400,1,-64.29
ACS-WAN_HOURLY-01-16,CPE0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,51.81,index,valid,synthetic_acs,48.77,144000,5,-59.07
ACS-WAN_HOURLY-01-17,CPE0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,50.63,index,valid,synthetic_acs,48.07,147600,3,-48.06
ACS-WAN_HOURLY-01-18,CPE0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,29.01,index,valid,synthetic_acs,35.08,151200,2,-57.59
ACS-WAN_HOURLY-01-19,CPE0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,36.96,index,valid,synthetic_acs,35.82,154800,4,-61.87
ACS-WAN_HOURLY-01-20,CPE0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.57,index,valid,synthetic_acs,54.04,158400,0,-50.27
ACS-WAN_HOURLY-01-21,CPE0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,28.1,index,valid,synthetic_acs,48.08,162000,0,-59.74
ACS-WAN_HOURLY-01-22,CPE0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,61.39,index,valid,synthetic_acs,36.55,165600,4,-52.86
ACS-WAN_HOURLY-01-23,CPE0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,30.87,index,valid,synthetic_acs,42.05,169200,2,-48.12
ACS-WAN_HOURLY-01-24,CPE0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,38.35,index,valid,synthetic_acs,37.8,172800,2,-68.36
ACS-WAN_HOURLY-01-25,CPE0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,15.46,index,valid,synthetic_acs,53.27,176400,1,-68.94
ACS-WAN_HOURLY-01-26,CPE0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,50.01,index,valid,synthetic_acs,41.97,180000,3,-65.57
ACS-WAN_HOURLY-01-27,CPE0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.63,index,valid,synthetic_acs,49.02,183600,3,-58.53
ACS-WAN_HOURLY-01-28,CPE0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,59.36,index,valid,synthetic_acs,40.01,187200,4,-74.41
ACS-WAN_HOURLY-01-29,CPE0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,23.9,index,valid,synthetic_acs,44.23,190800,2,-51.59
ACS-WAN_HOURLY-01-30,CPE0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.53,index,valid,synthetic_acs,50.4,194400,3,-45.85
ACS-WAN_HOURLY-01-31,CPE0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,38.95,index,valid,synthetic_acs,50.43,198000,0,-47.53
ACS-WAN_HOURLY-01-32,CPE0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,60.64,index,valid,synthetic_acs,52.6,201600,0,-46.7
ACS-WAN_HOURLY-01-33,CPE0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,43.82,index,valid,synthetic_acs,54.9,205200,1,-51.56
ACS-WAN_HOURLY-01-34,CPE0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,69.64,index,valid,synthetic_acs,52.56,208800,2,-61.55
ACS-WAN_HOURLY-01-35,CPE0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,20.39,index,valid,synthetic_acs,51.87,212400,3,-52.79
ACS-WAN_HOURLY-01-36,CPE0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,39.66,index,valid,synthetic_acs,38.42,216000,0,-46.2
ACS-WAN_HOURLY-01-37,CPE0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,47.82,index,valid,synthetic_acs,39.74,219600,3,-63.34
ACS-WAN_HOURLY-01-38,CPE0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,70.33,index,valid,synthetic_acs,42.13,223200,2,-72.03
ACS-WAN_HOURLY-01-39,CPE0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,43.32,index,valid,synthetic_acs,39.22,226800,1,-53.56
ACS-WAN_HOURLY-01-40,CPE0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,59.35,index,valid,synthetic_acs,40.72,230400,1,-65.97
ACS-WAN_HOURLY-01-41,CPE0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,25.25,index,valid,synthetic_acs,42.83,234000,1,-57.2
ACS-WAN_HOURLY-01-42,CPE0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,32.13,index,valid,synthetic_acs,46.11,237600,0,-57.54
ACS-WAN_HOURLY-01-43,CPE0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,35.43,index,valid,synthetic_acs,40.34,241200,1,-54.78
ACS-WAN_HOURLY-01-44,CPE0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,47.25,index,valid,synthetic_acs,49.04,244800,2,-54.43
ACS-WAN_HOURLY-01-45,CPE0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,42.34,index,degraded,synthetic_acs,43.9,248400,1,-68.75
ACS-WAN_HOURLY-01-46,CPE0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,76.29,index,valid,synthetic_acs,51.73,252000,1,-69.5
ACS-WAN_HOURLY-01-47,CPE0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,80.69,index,valid,synthetic_acs,43.37,255600,3,-59.84
ACS-WAN_HOURLY-01-48,CPE0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,44.9,index,valid,synthetic_acs,54.3,259200,0,-69.54
ACS-WAN_HOURLY-01-49,CPE0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,18.94,index,valid,synthetic_acs,46.46,262800,2,-46.81
ACS-WAN_HOURLY-01-50,CPE0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,37.98,index,valid,synthetic_acs,47.71,266400,5,-54.14
ACS-WAN_HOURLY-01-51,CPE0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,83.4,index,valid,synthetic_acs,48.33,270000,1,-48.78
ACS-WAN_HOURLY-01-52,CPE0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,33.6,index,valid,synthetic_acs,41.62,273600,2,-71.04
ACS-WAN_HOURLY-01-53,CPE0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,78.1,index,valid,synthetic_acs,52.45,277200,3,-60.55
ACS-WAN_HOURLY-01-54,CPE0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,21.85,index,valid,synthetic_acs,35.27,280800,2,-61.52
ACS-WAN_HOURLY-01-55,CPE0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.91,index,valid,synthetic_acs,51.46,284400,1,-59.04
ACS-WAN_HOURLY-01-56,CPE0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,69.94,index,valid,synthetic_acs,47.88,288000,3,-59.34
ACS-WAN_HOURLY-01-57,CPE0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,30.77,index,valid,synthetic_acs,53.18,291600,4,-50.27
ACS-WAN_HOURLY-01-58,CPE0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,44.0,index,valid,synthetic_acs,38.16,295200,4,-55.79
ACS-WAN_HOURLY-01-59,CPE0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,31.47,index,valid,synthetic_acs,53.35,298800,3,-47.11
ACS-WAN_HOURLY-01-60,CPE0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,44.94,index,valid,synthetic_acs,39.96,302400,1,-64.43
ACS-WAN_HOURLY-01-61,CPE0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,77.2,index,valid,synthetic_acs,41.05,306000,1,-62.68
ACS-WAN_HOURLY-01-62,CPE0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,83.74,index,valid,synthetic_acs,54.76,309600,5,-62.46
ACS-WAN_HOURLY-01-63,CPE0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,48.08,index,valid,synthetic_acs,41.28,313200,0,-52.43
ACS-WAN_HOURLY-01-64,CPE0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,27.39,index,valid,synthetic_acs,54.64,316800,2,-58.87
ACS-WAN_HOURLY-01-65,CPE0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,82.82,index,valid,synthetic_acs,38.59,320400,2,-74.51
ACS-WAN_HOURLY-01-66,CPE0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,50.66,index,valid,synthetic_acs,44.39,324000,5,-51.14
ACS-WAN_HOURLY-01-67,CPE0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,78.6,index,valid,synthetic_acs,54.32,327600,3,-57.27
ACS-WAN_HOURLY-01-68,CPE0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,82.33,index,valid,synthetic_acs,48.74,331200,3,-55.51
ACS-WAN_HOURLY-01-69,CPE0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,61.13,index,valid,synthetic_acs,50.17,334800,1,-59.05
ACS-WAN_HOURLY-01-70,CPE0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,58.46,index,valid,synthetic_acs,38.41,338400,1,-62.18
ACS-WAN_HOURLY-01-71,CPE0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,38.43,index,valid,synthetic_acs,41.55,342000,0,-45.57
ACS-WAN_HOURLY-02-00,CPE0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,49.6,index,valid,synthetic_acs,43.34,86400,1,-49.54
ACS-WAN_HOURLY-02-01,CPE0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,20.19,index,valid,synthetic_acs,41.65,90000,1,-69.31
ACS-WAN_HOURLY-02-02,CPE0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,54.1,index,valid,synthetic_acs,49.11,93600,2,-64.62
ACS-WAN_HOURLY-02-03,CPE0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,53.26,index,valid,synthetic_acs,47.84,97200,5,-73.11
ACS-WAN_HOURLY-02-04,CPE0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,47.96,index,valid,synthetic_acs,40.84,100800,4,-51.05
ACS-WAN_HOURLY-02-05,CPE0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,61.4,index,valid,synthetic_acs,54.12,104400,0,-52.11
ACS-WAN_HOURLY-02-06,CPE0013,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,28.86,index,valid,synthetic_acs,39.68,108000,3,-56.42
ACS-WAN_HOURLY-02-07,CPE0013,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,49.88,index,valid,synthetic_acs,46.21,111600,0,-62.82
ACS-WAN_HOURLY-02-08,CPE0013,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,30.39,index,valid,synthetic_acs,46.2,115200,1,-66.36
ACS-WAN_HOURLY-02-09,CPE0013,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,23.5,index,valid,synthetic_acs,47.98,118800,2,-70.57
ACS-WAN_HOURLY-02-10,CPE0013,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,76.14,index,valid,synthetic_acs,38.89,122400,4,-64.11
ACS-WAN_HOURLY-02-11,CPE0013,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,45.98,index,valid,synthetic_acs,50.26,126000,2,-72.41
ACS-WAN_HOURLY-02-12,CPE0013,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,48.52,index,valid,synthetic_acs,47.3,129600,0,-48.57
ACS-WAN_HOURLY-02-13,CPE0013,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,64.33,index,valid,synthetic_acs,49.43,133200,3,-52.25
ACS-WAN_HOURLY-02-14,CPE0013,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,78.49,index,valid,synthetic_acs,46.94,136800,3,-50.04
