cell_latency_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_LATENCY_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,80.25,index,valid,synthetic_ran_kpi,290,288,6.07,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,53.78,index,valid,synthetic_ran_kpi,177,175,2.05,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,55.74,index,valid,synthetic_ran_kpi,193,191,5.61,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,16.65,index,valid,synthetic_ran_kpi,145,141,6.94,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,47.19,index,valid,synthetic_ran_kpi,178,170,3.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,73.92,index,valid,synthetic_ran_kpi,300,295,4.75,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.09,index,valid,synthetic_ran_kpi,164,156,2.89,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,18.7,index,valid,synthetic_ran_kpi,266,261,1.41,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,40.77,index,valid,synthetic_ran_kpi,98,92,3.51,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.51,index,valid,synthetic_ran_kpi,139,131,1.6,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,60.45,index,valid,synthetic_ran_kpi,240,236,6.06,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,22.12,index,valid,synthetic_ran_kpi,204,202,5.41,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,30.22,index,degraded,synthetic_ran_kpi,123,97,7.83,98.0
RAN_KPI-CELL_LATENCY_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,26.24,index,valid,synthetic_ran_kpi,119,117,0.72,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.99,index,valid,synthetic_ran_kpi,226,223,3.65,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,68.46,index,valid,synthetic_ran_kpi,90,87,4.94,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,35.24,index,valid,synthetic_ran_kpi,208,206,0.78,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,27.55,index,valid,synthetic_ran_kpi,189,184,3.74,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,74.95,index,valid,synthetic_ran_kpi,188,181,5.42,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,26.03,index,valid,synthetic_ran_kpi,119,112,4.29,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,45.25,index,valid,synthetic_ran_kpi,279,272,8.0,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,48.74,index,valid,synthetic_ran_kpi,262,254,7.13,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,78.7,index,valid,synthetic_ran_kpi,227,220,5.84,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,38.4,index,valid,synthetic_ran_kpi,266,262,3.5,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,59.31,index,valid,synthetic_ran_kpi,92,86,1.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,81.89,index,valid,synthetic_ran_kpi,221,215,4.26,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.44,index,valid,synthetic_ran_kpi,85,83,4.96,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,39.55,index,valid,synthetic_ran_kpi,268,266,2.96,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,46.46,index,valid,synthetic_ran_kpi,277,272,1.66,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,78.73,index,valid,synthetic_ran_kpi,159,157,6.01,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,27.68,index,valid,synthetic_ran_kpi,93,85,6.67,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,82.52,index,valid,synthetic_ran_kpi,199,191,6.16,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,60.43,index,valid,synthetic_ran_kpi,82,74,7.65,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,25.77,index,valid,synthetic_ran_kpi,162,154,3.78,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,38.54,index,valid,synthetic_ran_kpi,237,235,4.21,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,58.9,index,valid,synthetic_ran_kpi,96,89,5.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,33.01,index,valid,synthetic_ran_kpi,205,201,3.01,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,68.98,index,valid,synthetic_ran_kpi,114,113,6.35,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,47.69,index,valid,synthetic_ran_kpi,173,167,2.82,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,50.39,index,valid,synthetic_ran_kpi,257,250,1.42,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,25.74,index,valid,synthetic_ran_kpi,281,274,6.87,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,49.73,index,valid,synthetic_ran_kpi,203,202,2.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,78.17,index,valid,synthetic_ran_kpi,281,279,3.24,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,38.91,index,valid,synthetic_ran_kpi,142,134,5.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,75.28,index,valid,synthetic_ran_kpi,219,215,4.51,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,51.25,index,valid,synthetic_ran_kpi,124,121,6.24,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.79,index,valid,synthetic_ran_kpi,299,292,5.6,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,66.5,index,valid,synthetic_ran_kpi,253,248,7.63,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,62.02,index,valid,synthetic_ran_kpi,195,193,7.24,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,47.63,index,valid,synthetic_ran_kpi,260,259,7.43,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,84.31,index,valid,synthetic_ran_kpi,108,100,5.93,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,22.71,index,valid,synthetic_ran_kpi,278,272,5.71,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,55.13,index,valid,synthetic_ran_kpi,126,125,2.68,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,35.17,index,valid,synthetic_ran_kpi,249,248,7.59,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,56.74,index,valid,synthetic_ran_kpi,122,117,1.04,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,58.77,index,valid,synthetic_ran_kpi,140,135,6.09,99.9
RAN_KPI-CELL_LATENCY_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,16.47,index,valid,synthetic_ran_kpi,96,91,2.18,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,83.99,index,valid,synthetic_ran_kpi,277,270,4.69,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,47.82,index,valid,synthetic_ran_kpi,288,284,4.9,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,62.48,index,valid,synthetic_ran_kpi,263,257,2.84,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,32.72,index,valid,synthetic_ran_kpi,142,134,7.96,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,83.66,index,valid,synthetic_ran_kpi,81,76,0.9,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,68.2,index,valid,synthetic_ran_kpi,281,273,2.85,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,20.91,index,valid,synthetic_ran_kpi,210,207,1.13,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,84.04,index,valid,synthetic_ran_kpi,201,200,4.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,61.04,index,valid,synthetic_ran_kpi,213,207,5.56,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,18.46,index,valid,synthetic_ran_kpi,150,146,3.9,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,49.22,index,valid,synthetic_ran_kpi,173,165,6.82,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,29.49,index,valid,synthetic_ran_kpi,167,159,1.57,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,67.97,index,valid,synthetic_ran_kpi,264,259,4.85,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,70.14,index,valid,synthetic_ran_kpi,156,152,4.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,28.51,index,valid,synthetic_ran_kpi,254,253,7.28,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,52.82,index,valid,synthetic_ran_kpi,275,272,2.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,50.42,index,valid,synthetic_ran_kpi,260,259,7.64,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,42.25,index,valid,synthetic_ran_kpi,181,173,1.06,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,25.83,index,valid,synthetic_ran_kpi,250,242,3.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,56.4,index,valid,synthetic_ran_kpi,114,106,3.17,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,18.98,index,valid,synthetic_ran_kpi,84,82,1.15,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.16,index,valid,synthetic_ran_kpi,296,290,4.93,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,79.19,index,valid,synthetic_ran_kpi,151,149,3.32,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,51.52,index,valid,synthetic_ran_kpi,238,236,4.3,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,15.02,index,valid,synthetic_ran_kpi,260,258,4.8,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,47.23,index,valid,synthetic_ran_kpi,296,293,0.98,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,71.26,index,valid,synthetic_ran_kpi,236,230,6.88,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,63.16,index,valid,synthetic_ran_kpi,99,98,0.93,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,46.34,index,valid,synthetic_ran_kpi,129,128,6.92,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,73.65,index,valid,synthetic_ran_kpi,203,202,3.81,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,54.74,index,valid,synthetic_ran_kpi,287,285,5.27,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,17.91,index,valid,synthetic_ran_kpi,197,189,2.68,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,35.39,index,valid,synthetic_ran_kpi,214,212,5.89,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,75.36,index,valid,synthetic_ran_kpi,174,169,1.3,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,15.84,index,valid,synthetic_ran_kpi,256,255,3.89,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,43.59,index,valid,synthetic_ran_kpi,138,134,4.28,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,19.82,index,valid,synthetic_ran_kpi,240,239,0.73,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,70.45,index,valid,synthetic_ran_kpi,169,168,7.63,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,27.07,index,valid,synthetic_ran_kpi,113,108,7.96,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,76.51,index,valid,synthetic_ran_kpi,138,137,4.08,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,53.38,index,valid,synthetic_ran_kpi,174,166,2.32,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,39.97,index,valid,synthetic_ran_kpi,226,223,0.68,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,70.29,index,valid,synthetic_ran_kpi,119,112,7.51,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,47.48,index,valid,synthetic_ran_kpi,100,97,3.41,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,34.57,index,valid,synthetic_ran_kpi,252,251,4.73,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,96.44,index,degraded,synthetic_ran_kpi,295,268,7.07,98.0
RAN_KPI-CELL_LATENCY_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.25,index,valid,synthetic_ran_kpi,283,282,4.46,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,74.52,index,valid,synthetic_ran_kpi,288,287,6.81,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,38.27,index,valid,synthetic_ran_kpi,281,280,3.41,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,26.44,index,valid,synthetic_ran_kpi,286,282,5.17,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,34.45,index,valid,synthetic_ran_kpi,218,217,3.58,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,38.94,index,valid,synthetic_ran_kpi,268,261,2.37,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,52.79,index,valid,synthetic_ran_kpi,120,114,3.94,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,59.96,index,valid,synthetic_ran_kpi,235,234,1.25,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.08,index,valid,synthetic_ran_kpi,153,146,2.03,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,25.05,index,valid,synthetic_ran_kpi,267,259,1.46,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,84.87,index,valid,synthetic_ran_kpi,236,234,4.43,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,67.68,index,valid,synthetic_ran_kpi,176,175,1.67,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,76.09,index,valid,synthetic_ran_kpi,110,103,3.1,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,52.96,index,valid,synthetic_ran_kpi,283,280,6.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,60.95,index,valid,synthetic_ran_kpi,123,117,7.22,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,34.48,index,valid,synthetic_ran_kpi,265,261,5.39,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,72.58,index,valid,synthetic_ran_kpi,249,246,6.95,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,30.7,index,valid,synthetic_ran_kpi,217,212,6.3,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,59.1,index,valid,synthetic_ran_kpi,105,100,2.91,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,49.08,index,valid,synthetic_ran_kpi,221,219,2.51,99.9
RAN_KPI-CELL_LATENCY_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,40.15,index,valid,synthetic_ran_kpi,157,156,1.94,99.9
