cell_traffic_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_TRAFFIC_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,70.8,index,valid,synthetic_ran_kpi,192,189,5.41,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,42.9,index,valid,synthetic_ran_kpi,87,86,5.92,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,37.26,index,valid,synthetic_ran_kpi,271,268,1.16,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,65.03,index,valid,synthetic_ran_kpi,281,279,6.16,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,52.73,index,valid,synthetic_ran_kpi,196,188,4.82,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,46.77,index,valid,synthetic_ran_kpi,212,211,6.24,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.29,index,valid,synthetic_ran_kpi,223,216,2.16,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,56.38,index,valid,synthetic_ran_kpi,226,218,1.01,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,68.66,index,valid,synthetic_ran_kpi,187,185,3.33,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,63.66,index,valid,synthetic_ran_kpi,286,284,6.46,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,67.54,index,valid,synthetic_ran_kpi,170,168,7.13,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,36.53,index,valid,synthetic_ran_kpi,178,177,3.86,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.91,index,valid,synthetic_ran_kpi,252,244,2.83,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,69.08,index,valid,synthetic_ran_kpi,120,119,4.75,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,34.99,index,valid,synthetic_ran_kpi,111,110,1.03,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,76.11,index,degraded,synthetic_ran_kpi,128,105,7.98,98.0
RAN_KPI-CELL_TRAFFIC_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,54.33,index,valid,synthetic_ran_kpi,201,197,2.1,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.69,index,valid,synthetic_ran_kpi,145,139,7.56,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,63.25,index,valid,synthetic_ran_kpi,296,291,6.31,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,71.82,index,valid,synthetic_ran_kpi,152,144,2.66,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,35.84,index,valid,synthetic_ran_kpi,174,173,4.3,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,78.89,index,valid,synthetic_ran_kpi,86,81,6.11,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,23.59,index,valid,synthetic_ran_kpi,151,150,1.33,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,58.6,index,valid,synthetic_ran_kpi,173,166,1.77,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,72.72,index,valid,synthetic_ran_kpi,282,280,4.62,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,68.43,index,valid,synthetic_ran_kpi,180,172,7.36,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,23.27,index,valid,synthetic_ran_kpi,160,152,3.21,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,33.13,index,valid,synthetic_ran_kpi,291,283,5.61,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,67.04,index,valid,synthetic_ran_kpi,207,201,3.04,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,27.66,index,valid,synthetic_ran_kpi,272,268,1.99,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,19.26,index,valid,synthetic_ran_kpi,209,202,7.08,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,31.73,index,valid,synthetic_ran_kpi,226,223,3.87,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,31.85,index,valid,synthetic_ran_kpi,177,176,6.0,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,81.67,index,valid,synthetic_ran_kpi,198,195,5.84,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.27,index,valid,synthetic_ran_kpi,182,178,6.82,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,74.92,index,valid,synthetic_ran_kpi,170,162,1.58,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,50.54,index,valid,synthetic_ran_kpi,199,197,1.06,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,52.13,index,valid,synthetic_ran_kpi,122,115,4.45,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,79.46,index,valid,synthetic_ran_kpi,268,261,5.79,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,21.62,index,valid,synthetic_ran_kpi,186,178,4.25,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,42.26,index,valid,synthetic_ran_kpi,185,181,2.89,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,36.36,index,valid,synthetic_ran_kpi,264,258,1.21,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.17,index,valid,synthetic_ran_kpi,275,274,7.14,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,78.1,index,valid,synthetic_ran_kpi,162,161,7.94,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,69.38,index,valid,synthetic_ran_kpi,245,242,3.47,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,21.52,index,valid,synthetic_ran_kpi,171,170,3.95,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,47.91,index,valid,synthetic_ran_kpi,130,126,0.82,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,24.68,index,valid,synthetic_ran_kpi,269,265,3.48,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,56.16,index,valid,synthetic_ran_kpi,84,76,4.27,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,19.23,index,valid,synthetic_ran_kpi,85,84,5.19,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,47.62,index,valid,synthetic_ran_kpi,143,142,7.91,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,24.62,index,valid,synthetic_ran_kpi,261,259,1.77,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,27.08,index,valid,synthetic_ran_kpi,115,110,3.38,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.58,index,valid,synthetic_ran_kpi,102,95,4.31,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,35.24,index,valid,synthetic_ran_kpi,239,232,7.29,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.43,index,valid,synthetic_ran_kpi,296,294,6.66,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.68,index,valid,synthetic_ran_kpi,273,268,5.44,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,27.33,index,valid,synthetic_ran_kpi,257,254,2.23,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,67.98,index,valid,synthetic_ran_kpi,225,223,7.53,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,36.56,index,valid,synthetic_ran_kpi,175,173,3.46,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.3,index,valid,synthetic_ran_kpi,133,130,0.56,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,15.61,index,valid,synthetic_ran_kpi,131,128,7.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,61.62,index,valid,synthetic_ran_kpi,266,263,6.11,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,26.71,index,valid,synthetic_ran_kpi,106,105,6.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,83.21,index,valid,synthetic_ran_kpi,119,111,5.64,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,25.48,index,valid,synthetic_ran_kpi,161,154,0.72,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,68.28,index,valid,synthetic_ran_kpi,112,104,2.43,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,29.14,index,valid,synthetic_ran_kpi,97,91,3.95,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,33.12,index,valid,synthetic_ran_kpi,244,236,7.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,82.37,index,valid,synthetic_ran_kpi,126,122,1.07,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,55.5,index,valid,synthetic_ran_kpi,103,99,2.94,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,45.71,index,valid,synthetic_ran_kpi,155,151,5.49,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,56.53,index,valid,synthetic_ran_kpi,150,146,6.85,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,70.44,index,valid,synthetic_ran_kpi,268,263,0.7,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,41.23,index,valid,synthetic_ran_kpi,211,203,0.9,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,67.24,index,valid,synthetic_ran_kpi,132,125,7.02,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,59.78,index,valid,synthetic_ran_kpi,145,144,6.81,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,83.76,index,valid,synthetic_ran_kpi,262,257,3.41,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,26.22,index,valid,synthetic_ran_kpi,155,152,2.94,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,16.96,index,valid,synthetic_ran_kpi,161,156,7.07,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,51.32,index,valid,synthetic_ran_kpi,298,296,6.43,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,52.37,index,valid,synthetic_ran_kpi,250,249,0.6,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,83.17,index,valid,synthetic_ran_kpi,148,140,3.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,29.34,index,valid,synthetic_ran_kpi,182,174,1.73,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,63.31,index,valid,synthetic_ran_kpi,225,217,4.12,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,36.33,index,valid,synthetic_ran_kpi,292,287,4.13,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,81.24,index,valid,synthetic_ran_kpi,94,90,5.64,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,81.51,index,valid,synthetic_ran_kpi,88,86,1.55,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,81.19,index,valid,synthetic_ran_kpi,224,223,0.52,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,69.2,index,valid,synthetic_ran_kpi,276,269,2.55,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,17.99,index,valid,synthetic_ran_kpi,90,85,5.73,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,15.46,index,valid,synthetic_ran_kpi,155,149,2.0,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.81,index,valid,synthetic_ran_kpi,182,174,2.46,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,73.58,index,valid,synthetic_ran_kpi,205,199,3.68,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,39.23,index,valid,synthetic_ran_kpi,206,199,6.39,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,48.6,index,valid,synthetic_ran_kpi,151,143,3.41,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,31.48,index,valid,synthetic_ran_kpi,212,211,3.23,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,22.96,index,valid,synthetic_ran_kpi,274,271,1.91,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,18.3,index,valid,synthetic_ran_kpi,278,274,5.35,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,15.48,index,valid,synthetic_ran_kpi,210,206,5.44,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,77.05,index,valid,synthetic_ran_kpi,267,261,5.93,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,33.98,index,valid,synthetic_ran_kpi,91,87,2.18,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,40.73,index,valid,synthetic_ran_kpi,111,103,3.39,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,35.57,index,valid,synthetic_ran_kpi,170,166,3.55,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,49.43,index,valid,synthetic_ran_kpi,132,131,5.06,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,43.65,index,degraded,synthetic_ran_kpi,215,192,7.91,98.0
RAN_KPI-CELL_TRAFFIC_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,22.6,index,valid,synthetic_ran_kpi,215,213,1.0,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,30.62,index,valid,synthetic_ran_kpi,180,176,4.4,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,15.25,index,valid,synthetic_ran_kpi,130,127,3.92,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,84.07,index,valid,synthetic_ran_kpi,289,286,7.17,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,30.53,index,valid,synthetic_ran_kpi,287,285,5.03,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,27.25,index,valid,synthetic_ran_kpi,173,169,6.19,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,69.31,index,valid,synthetic_ran_kpi,99,94,1.62,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,51.36,index,valid,synthetic_ran_kpi,211,204,2.91,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,50.51,index,valid,synthetic_ran_kpi,184,179,1.98,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,72.85,index,valid,synthetic_ran_kpi,274,272,7.54,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,34.2,index,valid,synthetic_ran_kpi,195,193,7.85,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,72.51,index,valid,synthetic_ran_kpi,220,218,4.98,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,33.0,index,valid,synthetic_ran_kpi,209,208,4.8,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,21.76,index,valid,synthetic_ran_kpi,202,194,5.44,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,37.88,index,valid,synthetic_ran_kpi,152,149,3.63,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,78.21,index,valid,synthetic_ran_kpi,181,179,6.23,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,50.15,index,valid,synthetic_ran_kpi,294,290,3.06,99.9
RAN_KPI-CELL_TRAFFIC_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,53.78,index,valid,synthetic_ran_kpi,257,251,2.78,99.9
