cell_packet_loss_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,58.32,index,valid,synthetic_ran_kpi,141,133,5.1,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,81.82,index,valid,synthetic_ran_kpi,249,246,4.01,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,63.32,index,valid,synthetic_ran_kpi,239,235,1.75,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,43.9,index,valid,synthetic_ran_kpi,150,146,6.69,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,64.21,index,valid,synthetic_ran_kpi,95,88,6.06,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,76.09,index,valid,synthetic_ran_kpi,204,200,2.99,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,21.8,index,valid,synthetic_ran_kpi,134,128,7.42,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,19.09,index,valid,synthetic_ran_kpi,117,114,3.41,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.63,index,valid,synthetic_ran_kpi,274,267,2.13,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,70.48,index,valid,synthetic_ran_kpi,134,132,2.02,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,29.14,index,valid,synthetic_ran_kpi,118,117,3.27,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.64,index,valid,synthetic_ran_kpi,152,145,5.63,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.01,index,valid,synthetic_ran_kpi,90,88,3.34,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,53.88,index,valid,synthetic_ran_kpi,243,236,7.87,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,43.58,index,valid,synthetic_ran_kpi,126,122,2.61,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,46.08,index,degraded,synthetic_ran_kpi,292,270,6.89,98.0
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,36.53,index,valid,synthetic_ran_kpi,101,95,6.63,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,64.47,index,valid,synthetic_ran_kpi,139,132,6.87,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,81.23,index,valid,synthetic_ran_kpi,270,264,5.98,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.14,index,valid,synthetic_ran_kpi,251,243,1.86,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,56.27,index,valid,synthetic_ran_kpi,281,273,3.35,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,59.26,index,valid,synthetic_ran_kpi,219,211,6.33,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,66.88,index,valid,synthetic_ran_kpi,249,243,5.79,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,67.23,index,valid,synthetic_ran_kpi,204,197,2.99,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,15.18,index,valid,synthetic_ran_kpi,199,191,5.78,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,63.51,index,valid,synthetic_ran_kpi,247,244,7.38,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,80.17,index,valid,synthetic_ran_kpi,194,191,1.94,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,81.34,index,valid,synthetic_ran_kpi,125,119,7.14,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,54.45,index,valid,synthetic_ran_kpi,191,187,2.03,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,80.2,index,valid,synthetic_ran_kpi,139,138,0.72,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,50.26,index,valid,synthetic_ran_kpi,200,196,6.64,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,42.63,index,valid,synthetic_ran_kpi,266,264,5.38,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,53.17,index,valid,synthetic_ran_kpi,203,201,4.02,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,16.24,index,valid,synthetic_ran_kpi,154,148,0.64,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,71.81,index,valid,synthetic_ran_kpi,185,183,3.71,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,42.08,index,valid,synthetic_ran_kpi,85,84,2.14,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,68.74,index,valid,synthetic_ran_kpi,280,277,5.22,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,50.84,index,valid,synthetic_ran_kpi,186,182,4.0,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,18.72,index,valid,synthetic_ran_kpi,276,271,4.5,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,63.31,index,valid,synthetic_ran_kpi,231,224,3.42,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.36,index,valid,synthetic_ran_kpi,240,238,5.27,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,58.57,index,valid,synthetic_ran_kpi,257,256,4.12,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,70.46,index,valid,synthetic_ran_kpi,169,161,6.55,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,47.09,index,valid,synthetic_ran_kpi,202,201,2.35,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,60.31,index,valid,synthetic_ran_kpi,263,257,4.19,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,67.21,index,valid,synthetic_ran_kpi,186,178,5.09,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,24.03,index,valid,synthetic_ran_kpi,168,161,0.72,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,31.42,index,valid,synthetic_ran_kpi,97,95,1.4,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,42.81,index,valid,synthetic_ran_kpi,179,171,0.78,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,17.45,index,valid,synthetic_ran_kpi,98,97,1.38,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,34.25,index,valid,synthetic_ran_kpi,169,161,3.29,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,72.58,index,valid,synthetic_ran_kpi,255,252,7.86,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,83.06,index,valid,synthetic_ran_kpi,241,237,2.49,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,16.19,index,valid,synthetic_ran_kpi,136,132,7.71,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,64.75,index,valid,synthetic_ran_kpi,243,239,6.62,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,27.91,index,valid,synthetic_ran_kpi,289,285,2.26,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,22.04,index,valid,synthetic_ran_kpi,293,288,0.73,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,49.73,index,valid,synthetic_ran_kpi,228,225,3.41,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,17.04,index,valid,synthetic_ran_kpi,222,217,7.56,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,61.22,index,valid,synthetic_ran_kpi,93,85,3.96,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.17,index,valid,synthetic_ran_kpi,215,208,2.89,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,40.9,index,valid,synthetic_ran_kpi,211,209,2.36,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,53.46,index,valid,synthetic_ran_kpi,230,225,4.89,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,37.67,index,valid,synthetic_ran_kpi,184,177,3.53,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,70.18,index,valid,synthetic_ran_kpi,126,118,5.24,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,46.95,index,valid,synthetic_ran_kpi,164,163,6.25,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,68.95,index,valid,synthetic_ran_kpi,151,147,3.19,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,75.88,index,valid,synthetic_ran_kpi,198,194,4.02,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,65.17,index,valid,synthetic_ran_kpi,172,170,1.52,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,26.5,index,valid,synthetic_ran_kpi,199,193,7.22,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,75.74,index,valid,synthetic_ran_kpi,181,174,7.21,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,37.56,index,valid,synthetic_ran_kpi,143,141,1.42,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,19.41,index,valid,synthetic_ran_kpi,286,280,7.56,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,22.57,index,valid,synthetic_ran_kpi,147,143,5.27,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,26.11,index,valid,synthetic_ran_kpi,202,200,4.91,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,25.29,index,valid,synthetic_ran_kpi,203,202,2.09,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,44.2,index,valid,synthetic_ran_kpi,135,134,2.86,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,22.33,index,valid,synthetic_ran_kpi,110,105,2.59,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,17.08,index,valid,synthetic_ran_kpi,177,175,6.96,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,76.97,index,valid,synthetic_ran_kpi,210,203,0.61,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,44.39,index,valid,synthetic_ran_kpi,231,228,7.26,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,35.9,index,valid,synthetic_ran_kpi,203,202,7.72,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,58.97,index,valid,synthetic_ran_kpi,133,125,6.49,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,68.97,index,valid,synthetic_ran_kpi,111,106,1.35,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,32.84,index,valid,synthetic_ran_kpi,241,238,5.32,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,42.11,index,valid,synthetic_ran_kpi,226,222,4.77,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,32.77,index,valid,synthetic_ran_kpi,112,108,6.3,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,15.9,index,valid,synthetic_ran_kpi,268,265,3.2,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,51.61,index,valid,synthetic_ran_kpi,106,104,6.07,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,60.21,index,valid,synthetic_ran_kpi,196,188,1.57,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,63.64,index,valid,synthetic_ran_kpi,122,116,4.72,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,49.04,index,valid,synthetic_ran_kpi,194,189,5.3,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,31.73,index,valid,synthetic_ran_kpi,213,211,1.35,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.69,index,valid,synthetic_ran_kpi,122,120,5.39,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,45.3,index,valid,synthetic_ran_kpi,163,162,4.46,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,76.91,index,valid,synthetic_ran_kpi,187,179,1.39,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,45.64,index,valid,synthetic_ran_kpi,216,213,2.63,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,68.67,index,valid,synthetic_ran_kpi,149,147,6.68,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,45.7,index,valid,synthetic_ran_kpi,154,149,3.14,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,43.85,index,valid,synthetic_ran_kpi,177,176,4.04,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,71.98,index,valid,synthetic_ran_kpi,196,195,7.15,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.1,index,valid,synthetic_ran_kpi,168,165,6.43,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,84.43,index,valid,synthetic_ran_kpi,178,174,7.56,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,83.82,index,valid,synthetic_ran_kpi,85,78,4.22,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,35.14,index,valid,synthetic_ran_kpi,165,164,1.7,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,63.31,index,degraded,synthetic_ran_kpi,167,145,2.77,98.0
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,24.02,index,valid,synthetic_ran_kpi,135,133,7.62,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,23.81,index,valid,synthetic_ran_kpi,189,188,7.34,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,21.15,index,valid,synthetic_ran_kpi,274,271,7.51,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,71.04,index,valid,synthetic_ran_kpi,191,184,1.89,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,23.89,index,valid,synthetic_ran_kpi,185,178,7.31,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,50.18,index,valid,synthetic_ran_kpi,117,114,4.13,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,68.79,index,valid,synthetic_ran_kpi,162,157,0.72,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,16.46,index,valid,synthetic_ran_kpi,112,109,2.45,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,29.16,index,valid,synthetic_ran_kpi,260,252,2.07,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,32.35,index,valid,synthetic_ran_kpi,172,164,4.4,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,19.15,index,valid,synthetic_ran_kpi,112,106,4.09,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,18.41,index,valid,synthetic_ran_kpi,237,233,5.87,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,50.55,index,valid,synthetic_ran_kpi,83,75,5.45,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,38.04,index,valid,synthetic_ran_kpi,156,154,5.34,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,73.27,index,valid,synthetic_ran_kpi,209,206,5.1,99.9
RAN_KPI-CELL_PACKET_LOSS_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,50.21,index,valid,synthetic_ran_kpi,179,178,7.65,99.9
