cell_sinr_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_SINR_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,75.43,index,valid,synthetic_ran_kpi,220,216,5.34,99.9
RAN_KPI-CELL_SINR_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,83.47,index,valid,synthetic_ran_kpi,129,127,0.91,99.9
RAN_KPI-CELL_SINR_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,34.09,index,valid,synthetic_ran_kpi,109,106,3.73,99.9
RAN_KPI-CELL_SINR_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,51.85,index,valid,synthetic_ran_kpi,83,76,6.99,99.9
RAN_KPI-CELL_SINR_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,57.02,index,valid,synthetic_ran_kpi,296,295,1.06,99.9
RAN_KPI-CELL_SINR_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,66.01,index,valid,synthetic_ran_kpi,99,97,4.79,99.9
RAN_KPI-CELL_SINR_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,74.44,index,valid,synthetic_ran_kpi,228,224,5.45,99.9
RAN_KPI-CELL_SINR_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,75.32,index,valid,synthetic_ran_kpi,264,260,5.33,99.9
RAN_KPI-CELL_SINR_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,84.04,index,valid,synthetic_ran_kpi,87,85,7.73,99.9
RAN_KPI-CELL_SINR_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,39.27,index,valid,synthetic_ran_kpi,144,143,3.14,99.9
RAN_KPI-CELL_SINR_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,60.4,index,valid,synthetic_ran_kpi,174,167,3.07,99.9
RAN_KPI-CELL_SINR_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,47.85,index,valid,synthetic_ran_kpi,298,296,1.24,99.9
RAN_KPI-CELL_SINR_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,36.74,index,valid,synthetic_ran_kpi,279,278,5.67,99.9
RAN_KPI-CELL_SINR_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.26,index,valid,synthetic_ran_kpi,181,178,3.0,99.9
RAN_KPI-CELL_SINR_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,17.94,index,valid,synthetic_ran_kpi,184,183,2.07,99.9
RAN_KPI-CELL_SINR_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,65.42,index,valid,synthetic_ran_kpi,231,229,4.1,99.9
RAN_KPI-CELL_SINR_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,38.82,index,degraded,synthetic_ran_kpi,128,105,3.9,98.0
RAN_KPI-CELL_SINR_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,62.27,index,valid,synthetic_ran_kpi,171,169,7.79,99.9
RAN_KPI-CELL_SINR_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,73.92,index,valid,synthetic_ran_kpi,155,153,2.18,99.9
RAN_KPI-CELL_SINR_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,55.31,index,valid,synthetic_ran_kpi,209,207,4.34,99.9
RAN_KPI-CELL_SINR_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,20.44,index,valid,synthetic_ran_kpi,244,241,3.97,99.9
RAN_KPI-CELL_SINR_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,48.96,index,valid,synthetic_ran_kpi,191,185,2.65,99.9
RAN_KPI-CELL_SINR_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.15,index,valid,synthetic_ran_kpi,276,271,1.81,99.9
RAN_KPI-CELL_SINR_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,46.76,index,valid,synthetic_ran_kpi,171,167,5.45,99.9
RAN_KPI-CELL_SINR_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.13,index,valid,synthetic_ran_kpi,290,285,7.37,99.9
RAN_KPI-CELL_SINR_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,61.7,index,valid,synthetic_ran_kpi,174,170,1.67,99.9
RAN_KPI-CELL_SINR_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,16.9,index,valid,synthetic_ran_kpi,282,278,2.14,99.9
RAN_KPI-CELL_SINR_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,25.19,index,valid,synthetic_ran_kpi,109,103,2.34,99.9
RAN_KPI-CELL_SINR_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,40.05,index,valid,synthetic_ran_kpi,123,122,1.17,99.9
RAN_KPI-CELL_SINR_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,53.03,index,valid,synthetic_ran_kpi,103,99,5.71,99.9
RAN_KPI-CELL_SINR_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,47.06,index,valid,synthetic_ran_kpi,101,97,3.8,99.9
RAN_KPI-CELL_SINR_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,37.88,index,valid,synthetic_ran_kpi,255,252,6.37,99.9
RAN_KPI-CELL_SINR_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.91,index,valid,synthetic_ran_kpi,251,244,1.14,99.9
RAN_KPI-CELL_SINR_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,29.79,index,valid,synthetic_ran_kpi,223,218,7.5,99.9
RAN_KPI-CELL_SINR_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,33.99,index,valid,synthetic_ran_kpi,195,190,7.21,99.9
RAN_KPI-CELL_SINR_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,68.17,index,valid,synthetic_ran_kpi,132,124,6.8,99.9
RAN_KPI-CELL_SINR_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,42.34,index,valid,synthetic_ran_kpi,267,260,3.78,99.9
RAN_KPI-CELL_SINR_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,34.46,index,valid,synthetic_ran_kpi,226,225,1.51,99.9
RAN_KPI-CELL_SINR_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,53.67,index,valid,synthetic_ran_kpi,281,275,3.96,99.9
RAN_KPI-CELL_SINR_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,66.71,index,valid,synthetic_ran_kpi,297,290,6.38,99.9
RAN_KPI-CELL_SINR_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,57.92,index,valid,synthetic_ran_kpi,198,194,2.03,99.9
RAN_KPI-CELL_SINR_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,79.76,index,valid,synthetic_ran_kpi,233,225,4.78,99.9
RAN_KPI-CELL_SINR_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,42.42,index,valid,synthetic_ran_kpi,136,133,7.34,99.9
RAN_KPI-CELL_SINR_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,73.74,index,valid,synthetic_ran_kpi,156,151,6.72,99.9
RAN_KPI-CELL_SINR_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,18.86,index,valid,synthetic_ran_kpi,297,291,5.93,99.9
RAN_KPI-CELL_SINR_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,75.4,index,valid,synthetic_ran_kpi,180,173,2.34,99.9
RAN_KPI-CELL_SINR_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,38.88,index,valid,synthetic_ran_kpi,173,168,5.27,99.9
RAN_KPI-CELL_SINR_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,53.36,index,valid,synthetic_ran_kpi,185,179,1.21,99.9
RAN_KPI-CELL_SINR_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,67.94,index,valid,synthetic_ran_kpi,119,115,5.11,99.9
RAN_KPI-CELL_SINR_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,61.63,index,valid,synthetic_ran_kpi,121,117,5.16,99.9
RAN_KPI-CELL_SINR_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.17,index,valid,synthetic_ran_kpi,90,84,3.33,99.9
RAN_KPI-CELL_SINR_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,27.68,index,valid,synthetic_ran_kpi,127,124,7.59,99.9
RAN_KPI-CELL_SINR_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,84.88,index,valid,synthetic_ran_kpi,180,176,0.74,99.9
RAN_KPI-CELL_SINR_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,53.78,index,valid,synthetic_ran_kpi,138,136,3.38,99.9
RAN_KPI-CELL_SINR_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,48.45,index,valid,synthetic_ran_kpi,296,289,2.01,99.9
RAN_KPI-CELL_SINR_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,67.42,index,valid,synthetic_ran_kpi,133,132,5.02,99.9
RAN_KPI-CELL_SINR_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,56.1,index,valid,synthetic_ran_kpi,221,215,6.7,99.9
RAN_KPI-CELL_SINR_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,52.67,index,valid,synthetic_ran_kpi,272,271,1.43,99.9
RAN_KPI-CELL_SINR_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.1,index,valid,synthetic_ran_kpi,154,151,4.05,99.9
RAN_KPI-CELL_SINR_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,19.45,index,valid,synthetic_ran_kpi,156,151,4.26,99.9
RAN_KPI-CELL_SINR_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,41.74,index,valid,synthetic_ran_kpi,92,85,1.93,99.9
RAN_KPI-CELL_SINR_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.75,index,valid,synthetic_ran_kpi,245,241,0.89,99.9
RAN_KPI-CELL_SINR_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,28.21,index,valid,synthetic_ran_kpi,86,85,5.91,99.9
RAN_KPI-CELL_SINR_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,59.9,index,valid,synthetic_ran_kpi,209,202,4.12,99.9
RAN_KPI-CELL_SINR_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,36.55,index,valid,synthetic_ran_kpi,196,189,5.3,99.9
RAN_KPI-CELL_SINR_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,48.34,index,valid,synthetic_ran_kpi,245,241,7.32,99.9
RAN_KPI-CELL_SINR_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,27.09,index,valid,synthetic_ran_kpi,264,263,3.28,99.9
RAN_KPI-CELL_SINR_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,46.97,index,valid,synthetic_ran_kpi,157,152,5.46,99.9
RAN_KPI-CELL_SINR_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,37.68,index,valid,synthetic_ran_kpi,248,245,1.03,99.9
RAN_KPI-CELL_SINR_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,69.86,index,valid,synthetic_ran_kpi,163,158,5.16,99.9
RAN_KPI-CELL_SINR_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,40.1,index,valid,synthetic_ran_kpi,297,290,4.09,99.9
RAN_KPI-CELL_SINR_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,35.17,index,valid,synthetic_ran_kpi,87,84,7.03,99.9
RAN_KPI-CELL_SINR_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,16.06,index,valid,synthetic_ran_kpi,90,82,4.22,99.9
RAN_KPI-CELL_SINR_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,69.04,index,valid,synthetic_ran_kpi,261,254,6.17,99.9
RAN_KPI-CELL_SINR_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,68.85,index,valid,synthetic_ran_kpi,85,82,7.7,99.9
RAN_KPI-CELL_SINR_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,45.33,index,valid,synthetic_ran_kpi,240,232,4.77,99.9
RAN_KPI-CELL_SINR_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,76.22,index,valid,synthetic_ran_kpi,150,143,1.45,99.9
RAN_KPI-CELL_SINR_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,58.61,index,valid,synthetic_ran_kpi,156,153,7.58,99.9
RAN_KPI-CELL_SINR_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,82.87,index,valid,synthetic_ran_kpi,116,109,6.42,99.9
RAN_KPI-CELL_SINR_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,70.19,index,valid,synthetic_ran_kpi,245,242,7.57,99.9
RAN_KPI-CELL_SINR_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,51.47,index,valid,synthetic_ran_kpi,82,80,1.64,99.9
RAN_KPI-CELL_SINR_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,76.23,index,valid,synthetic_ran_kpi,268,266,5.41,99.9
RAN_KPI-CELL_SINR_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,55.95,index,valid,synthetic_ran_kpi,154,149,1.53,99.9
RAN_KPI-CELL_SINR_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,70.87,index,valid,synthetic_ran_kpi,185,180,6.53,99.9
RAN_KPI-CELL_SINR_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,40.21,index,valid,synthetic_ran_kpi,199,196,7.08,99.9
RAN_KPI-CELL_SINR_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,15.76,index,valid,synthetic_ran_kpi,139,138,7.72,99.9
RAN_KPI-CELL_SINR_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,79.52,index,valid,synthetic_ran_kpi,275,273,2.0,99.9
RAN_KPI-CELL_SINR_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,40.81,index,valid,synthetic_ran_kpi,167,162,6.5,99.9
RAN_KPI-CELL_SINR_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,60.83,index,valid,synthetic_ran_kpi,127,119,4.14,99.9
RAN_KPI-CELL_SINR_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,58.53,index,valid,synthetic_ran_kpi,263,260,5.67,99.9
RAN_KPI-CELL_SINR_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,67.48,index,valid,synthetic_ran_kpi,193,187,1.86,99.9
RAN_KPI-CELL_SINR_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,69.13,index,valid,synthetic_ran_kpi,212,206,4.98,99.9
RAN_KPI-CELL_SINR_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,25.36,index,valid,synthetic_ran_kpi,256,248,7.99,99.9
RAN_KPI-CELL_SINR_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,66.74,index,valid,synthetic_ran_kpi,240,233,2.9,99.9
RAN_KPI-CELL_SINR_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,44.4,index,valid,synthetic_ran_kpi,163,162,7.13,99.9
RAN_KPI-CELL_SINR_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,83.61,index,valid,synthetic_ran_kpi,137,129,3.88,99.9
RAN_KPI-CELL_SINR_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.91,index,valid,synthetic_ran_kpi,136,131,6.81,99.9
RAN_KPI-CELL_SINR_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,34.38,index,valid,synthetic_ran_kpi,250,242,7.06,99.9
RAN_KPI-CELL_SINR_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,21.1,index,valid,synthetic_ran_kpi,155,153,5.6,99.9
RAN_KPI-CELL_SINR_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,41.54,index,valid,synthetic_ran_kpi,195,187,1.62,99.9
RAN_KPI-CELL_SINR_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,62.79,index,valid,synthetic_ran_kpi,116,115,7.75,99.9
RAN_KPI-CELL_SINR_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,49.59,index,valid,synthetic_ran_kpi,226,221,7.78,99.9
RAN_KPI-CELL_SINR_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,84.09,index,valid,synthetic_ran_kpi,175,168,3.2,99.9
RAN_KPI-CELL_SINR_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.0,index,valid,synthetic_ran_kpi,190,183,6.54,99.9
RAN_KPI-CELL_SINR_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,73.36,index,valid,synthetic_ran_kpi,194,191,5.58,99.9
RAN_KPI-CELL_SINR_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,43.24,index,valid,synthetic_ran_kpi,173,169,3.35,99.9
RAN_KPI-CELL_SINR_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,102.54,index,degraded,synthetic_ran_kpi,105,79,2.26,98.0
RAN_KPI-CELL_SINR_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,47.37,index,valid,synthetic_ran_kpi,176,175,4.97,99.9
RAN_KPI-CELL_SINR_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,30.08,index,valid,synthetic_ran_kpi,218,214,6.52,99.9
RAN_KPI-CELL_SINR_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,82.79,index,valid,synthetic_ran_kpi,238,233,5.26,99.9
RAN_KPI-CELL_SINR_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,39.76,index,valid,synthetic_ran_kpi,287,284,7.76,99.9
RAN_KPI-CELL_SINR_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,32.09,index,valid,synthetic_ran_kpi,120,113,7.49,99.9
RAN_KPI-CELL_SINR_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,54.25,index,valid,synthetic_ran_kpi,296,294,4.22,99.9
RAN_KPI-CELL_SINR_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,15.64,index,valid,synthetic_ran_kpi,118,111,5.81,99.9
RAN_KPI-CELL_SINR_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,73.62,index,valid,synthetic_ran_kpi,159,153,5.36,99.9
RAN_KPI-CELL_SINR_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.89,index,valid,synthetic_ran_kpi,272,267,1.16,99.9
RAN_KPI-CELL_SINR_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,26.77,index,valid,synthetic_ran_kpi,179,175,5.59,99.9
RAN_KPI-CELL_SINR_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,32.2,index,valid,synthetic_ran_kpi,149,143,7.9,99.9
RAN_KPI-CELL_SINR_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,76.35,index,valid,synthetic_ran_kpi,183,181,2.01,99.9
RAN_KPI-CELL_SINR_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,43.0,index,valid,synthetic_ran_kpi,147,144,1.52,99.9
RAN_KPI-CELL_SINR_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,59.29,index,valid,synthetic_ran_kpi,272,266,7.97,99.9
RAN_KPI-CELL_SINR_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,79.33,index,valid,synthetic_ran_kpi,126,122,3.46,99.9
RAN_KPI-CELL_SINR_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,59.82,index,valid,synthetic_ran_kpi,153,151,1.74,99.9
RAN_KPI-CELL_SINR_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,29.71,index,valid,synthetic_ran_kpi,236,234,4.01,99.9
RAN_KPI-CELL_SINR_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.64,index,valid,synthetic_ran_kpi,115,113,0.71,99.9
RAN_KPI-CELL_SINR_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,78.31,index,valid,synthetic_ran_kpi,102,96,4.74,99.9
RAN_KPI-CELL_SINR_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,75.94,index,valid,synthetic_ran_kpi,91,84,5.2,99.9
RAN_KPI-CELL_SINR_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.92,index,valid,synthetic_ran_kpi,169,164,4.35,99.9
RAN_KPI-CELL_SINR_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,43.83,index,valid,synthetic_ran_kpi,283,278,6.82,99.9
RAN_KPI-CELL_SINR_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,49.91,index,valid,synthetic_ran_kpi,190,185,4.06,99.9
RAN_KPI-CELL_SINR_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,40.25,index,valid,synthetic_ran_kpi,127,124,4.24,99.9
