cell_mobility_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MOBILITY_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.44,index,valid,synthetic_ran_kpi,106,104,4.37,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,82.55,index,valid,synthetic_ran_kpi,240,236,2.19,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,49.12,index,valid,synthetic_ran_kpi,179,177,0.76,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,76.83,index,valid,synthetic_ran_kpi,174,172,4.78,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,59.57,index,valid,synthetic_ran_kpi,250,245,1.38,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,48.17,index,valid,synthetic_ran_kpi,184,178,7.14,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,18.65,index,valid,synthetic_ran_kpi,178,174,1.05,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,47.29,index,valid,synthetic_ran_kpi,269,261,3.53,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,58.66,index,valid,synthetic_ran_kpi,277,273,3.77,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,27.89,index,valid,synthetic_ran_kpi,202,199,3.27,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,17.61,index,valid,synthetic_ran_kpi,113,106,6.53,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,46.08,index,valid,synthetic_ran_kpi,139,133,7.06,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,64.51,index,valid,synthetic_ran_kpi,210,209,1.43,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.19,index,valid,synthetic_ran_kpi,266,265,3.35,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,18.4,index,valid,synthetic_ran_kpi,294,291,3.31,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,65.01,index,valid,synthetic_ran_kpi,109,104,0.93,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,69.76,index,valid,synthetic_ran_kpi,191,189,6.61,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,32.46,index,valid,synthetic_ran_kpi,246,243,7.63,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,84.04,index,valid,synthetic_ran_kpi,218,212,7.93,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,26.53,index,valid,synthetic_ran_kpi,210,208,2.78,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.91,index,valid,synthetic_ran_kpi,219,214,6.01,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,62.91,index,valid,synthetic_ran_kpi,230,225,4.59,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,62.32,index,valid,synthetic_ran_kpi,142,140,4.78,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,36.27,index,valid,synthetic_ran_kpi,162,154,7.38,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,83.94,index,valid,synthetic_ran_kpi,232,229,6.36,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,57.68,index,valid,synthetic_ran_kpi,85,78,4.13,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,18.54,index,valid,synthetic_ran_kpi,94,92,2.42,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.18,index,valid,synthetic_ran_kpi,298,290,5.11,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,68.72,index,valid,synthetic_ran_kpi,159,154,0.61,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,78.56,index,valid,synthetic_ran_kpi,294,287,5.26,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,54.09,index,valid,synthetic_ran_kpi,124,121,1.65,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,35.56,index,valid,synthetic_ran_kpi,116,114,6.29,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,62.38,index,valid,synthetic_ran_kpi,155,153,0.52,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,31.06,index,valid,synthetic_ran_kpi,122,115,0.61,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,48.49,index,valid,synthetic_ran_kpi,190,189,2.53,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,50.94,index,valid,synthetic_ran_kpi,121,115,0.8,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,57.79,index,valid,synthetic_ran_kpi,176,168,1.52,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,19.27,index,valid,synthetic_ran_kpi,249,247,3.15,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,17.06,index,valid,synthetic_ran_kpi,89,83,3.53,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,15.11,index,valid,synthetic_ran_kpi,157,150,5.86,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,65.2,index,valid,synthetic_ran_kpi,176,174,5.89,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.57,index,valid,synthetic_ran_kpi,212,210,1.76,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,38.4,index,valid,synthetic_ran_kpi,150,145,4.3,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,43.25,index,valid,synthetic_ran_kpi,198,191,0.68,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,58.91,index,valid,synthetic_ran_kpi,102,96,5.36,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,53.51,index,valid,synthetic_ran_kpi,173,167,5.95,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,60.24,index,valid,synthetic_ran_kpi,274,272,1.18,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,27.12,index,valid,synthetic_ran_kpi,231,230,0.9,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.21,index,valid,synthetic_ran_kpi,227,219,7.05,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,17.75,index,valid,synthetic_ran_kpi,103,101,7.77,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,73.44,index,valid,synthetic_ran_kpi,290,289,1.61,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,60.96,index,valid,synthetic_ran_kpi,90,84,5.93,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,67.6,index,valid,synthetic_ran_kpi,80,72,2.32,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,30.88,index,valid,synthetic_ran_kpi,269,267,5.42,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,70.68,index,valid,synthetic_ran_kpi,226,219,6.16,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,84.42,index,valid,synthetic_ran_kpi,84,77,0.86,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,84.7,index,valid,synthetic_ran_kpi,279,278,1.29,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,28.88,index,valid,synthetic_ran_kpi,217,214,2.53,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,54.24,index,valid,synthetic_ran_kpi,210,203,2.08,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,76.74,index,valid,synthetic_ran_kpi,234,226,5.45,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.79,index,valid,synthetic_ran_kpi,213,207,5.39,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,70.24,index,valid,synthetic_ran_kpi,261,259,7.51,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,61.45,index,valid,synthetic_ran_kpi,247,241,2.84,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.75,index,valid,synthetic_ran_kpi,131,128,4.87,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,42.72,index,valid,synthetic_ran_kpi,281,279,4.36,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,40.12,index,valid,synthetic_ran_kpi,191,185,2.76,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,36.37,index,valid,synthetic_ran_kpi,206,198,3.18,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,42.96,index,valid,synthetic_ran_kpi,82,76,7.52,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,58.85,index,valid,synthetic_ran_kpi,218,210,4.01,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,81.97,index,valid,synthetic_ran_kpi,118,117,6.03,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,73.64,index,valid,synthetic_ran_kpi,160,156,4.44,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,18.18,index,valid,synthetic_ran_kpi,163,156,7.23,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.96,index,valid,synthetic_ran_kpi,204,200,3.77,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,16.03,index,valid,synthetic_ran_kpi,300,299,3.25,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,75.76,index,valid,synthetic_ran_kpi,163,160,4.95,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,15.56,index,valid,synthetic_ran_kpi,179,175,3.43,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,72.68,index,valid,synthetic_ran_kpi,272,265,2.15,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,67.25,index,valid,synthetic_ran_kpi,200,198,5.43,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.02,index,valid,synthetic_ran_kpi,230,224,4.06,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,68.22,index,valid,synthetic_ran_kpi,240,239,3.47,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,31.37,index,valid,synthetic_ran_kpi,95,89,0.64,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,34.6,index,valid,synthetic_ran_kpi,251,244,1.82,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,78.35,index,degraded,synthetic_ran_kpi,155,130,2.21,98.0
RAN_KPI-CELL_MOBILITY_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,26.13,index,valid,synthetic_ran_kpi,237,230,4.34,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,62.54,index,valid,synthetic_ran_kpi,80,74,2.87,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,47.37,index,valid,synthetic_ran_kpi,186,179,2.66,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,40.28,index,valid,synthetic_ran_kpi,264,257,0.67,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,24.67,index,valid,synthetic_ran_kpi,148,141,7.71,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,70.39,index,valid,synthetic_ran_kpi,206,205,7.29,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,39.38,index,valid,synthetic_ran_kpi,159,153,5.05,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,55.31,index,valid,synthetic_ran_kpi,97,95,5.44,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,63.82,index,valid,synthetic_ran_kpi,110,106,6.44,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,51.5,index,valid,synthetic_ran_kpi,237,235,6.55,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,64.45,index,valid,synthetic_ran_kpi,215,207,0.59,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,46.91,index,valid,synthetic_ran_kpi,243,239,6.11,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,54.34,index,valid,synthetic_ran_kpi,204,197,4.06,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,44.3,index,valid,synthetic_ran_kpi,111,103,7.94,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,15.03,index,valid,synthetic_ran_kpi,250,247,5.71,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,79.05,index,valid,synthetic_ran_kpi,165,163,6.94,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.84,index,valid,synthetic_ran_kpi,237,234,7.57,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,79.83,index,valid,synthetic_ran_kpi,87,85,1.16,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,27.35,index,valid,synthetic_ran_kpi,216,209,7.4,99.9
RAN_KPI-CELL_MOBILITY_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.4,index,valid,synthetic_ran_kpi,158,154,5.1,99.9
