cell_cqi_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_CQI_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,82.89,index,valid,synthetic_ran_kpi,268,264,0.52,99.9
RAN_KPI-CELL_CQI_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,61.92,index,valid,synthetic_ran_kpi,284,278,2.67,99.9
RAN_KPI-CELL_CQI_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,34.85,index,valid,synthetic_ran_kpi,156,148,1.01,99.9
RAN_KPI-CELL_CQI_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,44.32,index,valid,synthetic_ran_kpi,103,96,3.52,99.9
RAN_KPI-CELL_CQI_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,44.02,index,valid,synthetic_ran_kpi,231,225,0.5,99.9
RAN_KPI-CELL_CQI_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,42.23,index,valid,synthetic_ran_kpi,112,104,1.75,99.9
RAN_KPI-CELL_CQI_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,60.2,index,valid,synthetic_ran_kpi,296,288,7.12,99.9
RAN_KPI-CELL_CQI_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,70.34,index,valid,synthetic_ran_kpi,100,93,3.1,99.9
RAN_KPI-CELL_CQI_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,84.98,index,valid,synthetic_ran_kpi,129,124,5.44,99.9
RAN_KPI-CELL_CQI_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,76.3,index,valid,synthetic_ran_kpi,215,213,4.31,99.9
RAN_KPI-CELL_CQI_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,42.85,index,valid,synthetic_ran_kpi,258,251,7.59,99.9
RAN_KPI-CELL_CQI_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.66,index,valid,synthetic_ran_kpi,84,78,4.26,99.9
RAN_KPI-CELL_CQI_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,34.7,index,valid,synthetic_ran_kpi,112,107,3.35,99.9
RAN_KPI-CELL_CQI_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,82.49,index,valid,synthetic_ran_kpi,170,165,1.06,99.9
RAN_KPI-CELL_CQI_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.6,index,valid,synthetic_ran_kpi,250,244,6.56,99.9
RAN_KPI-CELL_CQI_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,30.95,index,degraded,synthetic_ran_kpi,274,246,5.41,98.0
RAN_KPI-CELL_CQI_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,75.48,index,valid,synthetic_ran_kpi,132,129,1.22,99.9
RAN_KPI-CELL_CQI_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,20.04,index,valid,synthetic_ran_kpi,94,89,6.14,99.9
RAN_KPI-CELL_CQI_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,70.3,index,valid,synthetic_ran_kpi,146,142,5.22,99.9
RAN_KPI-CELL_CQI_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,45.2,index,valid,synthetic_ran_kpi,187,185,4.86,99.9
RAN_KPI-CELL_CQI_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,79.24,index,valid,synthetic_ran_kpi,98,94,4.34,99.9
RAN_KPI-CELL_CQI_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,50.15,index,valid,synthetic_ran_kpi,171,169,7.33,99.9
RAN_KPI-CELL_CQI_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,46.11,index,valid,synthetic_ran_kpi,244,242,3.83,99.9
RAN_KPI-CELL_CQI_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,19.25,index,valid,synthetic_ran_kpi,86,83,7.17,99.9
RAN_KPI-CELL_CQI_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,82.49,index,valid,synthetic_ran_kpi,136,129,3.27,99.9
RAN_KPI-CELL_CQI_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.17,index,valid,synthetic_ran_kpi,287,284,6.81,99.9
RAN_KPI-CELL_CQI_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,79.8,index,valid,synthetic_ran_kpi,159,155,7.07,99.9
RAN_KPI-CELL_CQI_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,51.21,index,valid,synthetic_ran_kpi,181,177,5.4,99.9
RAN_KPI-CELL_CQI_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,20.99,index,valid,synthetic_ran_kpi,196,191,5.5,99.9
RAN_KPI-CELL_CQI_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,57.31,index,valid,synthetic_ran_kpi,280,276,1.32,99.9
RAN_KPI-CELL_CQI_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,66.98,index,valid,synthetic_ran_kpi,139,133,6.57,99.9
RAN_KPI-CELL_CQI_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,33.7,index,valid,synthetic_ran_kpi,183,177,7.27,99.9
RAN_KPI-CELL_CQI_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,70.31,index,valid,synthetic_ran_kpi,159,151,4.19,99.9
RAN_KPI-CELL_CQI_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,83.65,index,valid,synthetic_ran_kpi,108,107,2.91,99.9
RAN_KPI-CELL_CQI_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,72.99,index,valid,synthetic_ran_kpi,158,156,7.68,99.9
RAN_KPI-CELL_CQI_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,65.99,index,valid,synthetic_ran_kpi,205,204,3.88,99.9
RAN_KPI-CELL_CQI_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,62.2,index,valid,synthetic_ran_kpi,121,117,0.69,99.9
RAN_KPI-CELL_CQI_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,18.4,index,valid,synthetic_ran_kpi,82,75,4.91,99.9
RAN_KPI-CELL_CQI_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,79.41,index,valid,synthetic_ran_kpi,166,158,2.75,99.9
RAN_KPI-CELL_CQI_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,22.06,index,valid,synthetic_ran_kpi,294,293,6.81,99.9
RAN_KPI-CELL_CQI_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,80.45,index,valid,synthetic_ran_kpi,191,184,1.25,99.9
RAN_KPI-CELL_CQI_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,38.56,index,valid,synthetic_ran_kpi,270,263,3.77,99.9
RAN_KPI-CELL_CQI_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,66.59,index,valid,synthetic_ran_kpi,278,275,0.84,99.9
RAN_KPI-CELL_CQI_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,38.88,index,valid,synthetic_ran_kpi,91,86,6.17,99.9
RAN_KPI-CELL_CQI_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,28.89,index,valid,synthetic_ran_kpi,297,292,2.92,99.9
RAN_KPI-CELL_CQI_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,19.68,index,valid,synthetic_ran_kpi,285,280,5.16,99.9
RAN_KPI-CELL_CQI_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,59.37,index,valid,synthetic_ran_kpi,187,185,4.07,99.9
RAN_KPI-CELL_CQI_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,20.64,index,valid,synthetic_ran_kpi,102,100,5.68,99.9
RAN_KPI-CELL_CQI_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,19.04,index,valid,synthetic_ran_kpi,272,270,4.24,99.9
RAN_KPI-CELL_CQI_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,66.91,index,valid,synthetic_ran_kpi,128,127,4.85,99.9
RAN_KPI-CELL_CQI_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,77.32,index,valid,synthetic_ran_kpi,135,130,4.33,99.9
RAN_KPI-CELL_CQI_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,68.57,index,valid,synthetic_ran_kpi,274,268,2.29,99.9
RAN_KPI-CELL_CQI_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,54.13,index,valid,synthetic_ran_kpi,219,214,4.9,99.9
RAN_KPI-CELL_CQI_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,26.29,index,valid,synthetic_ran_kpi,274,266,3.97,99.9
RAN_KPI-CELL_CQI_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,60.84,index,valid,synthetic_ran_kpi,254,247,5.76,99.9
RAN_KPI-CELL_CQI_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,75.75,index,valid,synthetic_ran_kpi,130,129,2.62,99.9
RAN_KPI-CELL_CQI_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.62,index,valid,synthetic_ran_kpi,277,274,3.45,99.9
RAN_KPI-CELL_CQI_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,68.81,index,valid,synthetic_ran_kpi,108,102,7.18,99.9
RAN_KPI-CELL_CQI_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,21.8,index,valid,synthetic_ran_kpi,275,269,2.19,99.9
RAN_KPI-CELL_CQI_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,57.61,index,valid,synthetic_ran_kpi,142,140,4.7,99.9
RAN_KPI-CELL_CQI_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.54,index,valid,synthetic_ran_kpi,126,121,7.96,99.9
RAN_KPI-CELL_CQI_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,64.15,index,valid,synthetic_ran_kpi,122,121,2.51,99.9
RAN_KPI-CELL_CQI_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,54.1,index,valid,synthetic_ran_kpi,96,90,0.96,99.9
RAN_KPI-CELL_CQI_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,50.88,index,valid,synthetic_ran_kpi,158,154,5.25,99.9
RAN_KPI-CELL_CQI_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,37.65,index,valid,synthetic_ran_kpi,262,256,6.02,99.9
RAN_KPI-CELL_CQI_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.82,index,valid,synthetic_ran_kpi,203,195,3.02,99.9
RAN_KPI-CELL_CQI_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,65.47,index,valid,synthetic_ran_kpi,268,266,1.83,99.9
RAN_KPI-CELL_CQI_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,50.81,index,valid,synthetic_ran_kpi,127,126,5.71,99.9
RAN_KPI-CELL_CQI_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,30.41,index,valid,synthetic_ran_kpi,133,129,0.84,99.9
RAN_KPI-CELL_CQI_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,24.55,index,valid,synthetic_ran_kpi,246,239,4.23,99.9
RAN_KPI-CELL_CQI_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,48.42,index,valid,synthetic_ran_kpi,106,100,7.0,99.9
RAN_KPI-CELL_CQI_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,46.69,index,valid,synthetic_ran_kpi,267,259,5.94,99.9
RAN_KPI-CELL_CQI_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,55.21,index,valid,synthetic_ran_kpi,94,91,5.49,99.9
RAN_KPI-CELL_CQI_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,46.92,index,valid,synthetic_ran_kpi,216,212,5.19,99.9
RAN_KPI-CELL_CQI_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,49.69,index,valid,synthetic_ran_kpi,187,185,7.63,99.9
RAN_KPI-CELL_CQI_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,42.87,index,valid,synthetic_ran_kpi,181,179,7.87,99.9
RAN_KPI-CELL_CQI_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.35,index,valid,synthetic_ran_kpi,297,296,3.62,99.9
RAN_KPI-CELL_CQI_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,18.39,index,valid,synthetic_ran_kpi,293,290,1.33,99.9
RAN_KPI-CELL_CQI_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,19.11,index,valid,synthetic_ran_kpi,239,235,7.85,99.9
RAN_KPI-CELL_CQI_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,51.35,index,valid,synthetic_ran_kpi,271,263,2.25,99.9
RAN_KPI-CELL_CQI_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,65.49,index,valid,synthetic_ran_kpi,225,221,6.08,99.9
RAN_KPI-CELL_CQI_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,53.32,index,valid,synthetic_ran_kpi,290,289,6.96,99.9
RAN_KPI-CELL_CQI_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,22.93,index,valid,synthetic_ran_kpi,250,242,3.38,99.9
RAN_KPI-CELL_CQI_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,65.86,index,valid,synthetic_ran_kpi,202,195,5.5,99.9
RAN_KPI-CELL_CQI_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,72.52,index,valid,synthetic_ran_kpi,124,123,7.46,99.9
RAN_KPI-CELL_CQI_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,46.11,index,valid,synthetic_ran_kpi,192,191,7.52,99.9
RAN_KPI-CELL_CQI_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,54.86,index,valid,synthetic_ran_kpi,160,152,3.33,99.9
RAN_KPI-CELL_CQI_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,75.36,index,valid,synthetic_ran_kpi,281,277,4.97,99.9
RAN_KPI-CELL_CQI_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.62,index,valid,synthetic_ran_kpi,240,232,2.04,99.9
RAN_KPI-CELL_CQI_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,15.87,index,valid,synthetic_ran_kpi,261,254,2.9,99.9
RAN_KPI-CELL_CQI_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,37.84,index,valid,synthetic_ran_kpi,182,176,5.1,99.9
RAN_KPI-CELL_CQI_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,67.35,index,valid,synthetic_ran_kpi,266,264,3.67,99.9
RAN_KPI-CELL_CQI_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,74.21,index,valid,synthetic_ran_kpi,217,212,7.57,99.9
RAN_KPI-CELL_CQI_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,15.48,index,valid,synthetic_ran_kpi,132,129,2.21,99.9
RAN_KPI-CELL_CQI_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,27.79,index,valid,synthetic_ran_kpi,186,178,7.01,99.9
RAN_KPI-CELL_CQI_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.03,index,valid,synthetic_ran_kpi,281,277,3.45,99.9
RAN_KPI-CELL_CQI_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,16.9,index,valid,synthetic_ran_kpi,262,259,5.15,99.9
RAN_KPI-CELL_CQI_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,71.28,index,valid,synthetic_ran_kpi,92,88,0.91,99.9
RAN_KPI-CELL_CQI_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.89,index,valid,synthetic_ran_kpi,197,192,3.49,99.9
RAN_KPI-CELL_CQI_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,30.15,index,valid,synthetic_ran_kpi,227,221,3.02,99.9
RAN_KPI-CELL_CQI_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,72.36,index,valid,synthetic_ran_kpi,171,164,7.25,99.9
RAN_KPI-CELL_CQI_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.15,index,valid,synthetic_ran_kpi,193,192,1.5,99.9
RAN_KPI-CELL_CQI_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,17.69,index,valid,synthetic_ran_kpi,155,150,3.95,99.9
RAN_KPI-CELL_CQI_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,17.31,index,valid,synthetic_ran_kpi,228,221,7.05,99.9
RAN_KPI-CELL_CQI_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,52.41,index,valid,synthetic_ran_kpi,161,156,0.64,99.9
RAN_KPI-CELL_CQI_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,101.29,index,degraded,synthetic_ran_kpi,276,251,3.94,98.0
RAN_KPI-CELL_CQI_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,59.35,index,valid,synthetic_ran_kpi,161,160,2.43,99.9
RAN_KPI-CELL_CQI_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,57.05,index,valid,synthetic_ran_kpi,109,102,3.7,99.9
RAN_KPI-CELL_CQI_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.11,index,valid,synthetic_ran_kpi,159,156,0.57,99.9
RAN_KPI-CELL_CQI_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,78.84,index,valid,synthetic_ran_kpi,96,88,7.27,99.9
RAN_KPI-CELL_CQI_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,65.97,index,valid,synthetic_ran_kpi,298,290,3.03,99.9
RAN_KPI-CELL_CQI_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,77.69,index,valid,synthetic_ran_kpi,274,271,5.74,99.9
RAN_KPI-CELL_CQI_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,19.67,index,valid,synthetic_ran_kpi,105,101,7.68,99.9
RAN_KPI-CELL_CQI_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,60.8,index,valid,synthetic_ran_kpi,283,279,7.63,99.9
RAN_KPI-CELL_CQI_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,31.74,index,valid,synthetic_ran_kpi,137,134,1.9,99.9
RAN_KPI-CELL_CQI_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,42.16,index,valid,synthetic_ran_kpi,157,156,4.06,99.9
RAN_KPI-CELL_CQI_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,75.59,index,valid,synthetic_ran_kpi,202,199,5.32,99.9
RAN_KPI-CELL_CQI_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,63.74,index,valid,synthetic_ran_kpi,93,92,6.53,99.9
RAN_KPI-CELL_CQI_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,24.57,index,valid,synthetic_ran_kpi,127,125,0.76,99.9
RAN_KPI-CELL_CQI_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,70.14,index,valid,synthetic_ran_kpi,168,163,7.73,99.9
RAN_KPI-CELL_CQI_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,63.82,index,valid,synthetic_ran_kpi,150,148,2.92,99.9
RAN_KPI-CELL_CQI_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,19.71,index,valid,synthetic_ran_kpi,210,207,3.84,99.9
RAN_KPI-CELL_CQI_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,15.15,index,valid,synthetic_ran_kpi,205,199,4.07,99.9
RAN_KPI-CELL_CQI_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,61.71,index,valid,synthetic_ran_kpi,204,198,4.96,99.9
RAN_KPI-CELL_CQI_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,84.31,index,valid,synthetic_ran_kpi,228,226,1.9,99.9
RAN_KPI-CELL_CQI_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,67.79,index,valid,synthetic_ran_kpi,157,152,4.62,99.9
RAN_KPI-CELL_CQI_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,63.3,index,valid,synthetic_ran_kpi,260,256,7.37,99.9
RAN_KPI-CELL_CQI_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,19.65,index,valid,synthetic_ran_kpi,296,293,4.71,99.9
RAN_KPI-CELL_CQI_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,59.45,index,valid,synthetic_ran_kpi,183,177,0.6,99.9
RAN_KPI-CELL_CQI_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,38.06,index,valid,synthetic_ran_kpi,192,188,7.88,99.9
