cell_access_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_ACCESS_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,36.72,index,valid,synthetic_ran_kpi,275,267,2.95,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,75.63,index,valid,synthetic_ran_kpi,281,278,3.38,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,27.61,index,valid,synthetic_ran_kpi,241,233,4.7,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,48.58,index,valid,synthetic_ran_kpi,137,130,1.78,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,69.83,index,valid,synthetic_ran_kpi,126,125,1.63,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,15.12,index,valid,synthetic_ran_kpi,249,248,2.39,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,26.23,index,valid,synthetic_ran_kpi,100,96,5.55,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,59.69,index,valid,synthetic_ran_kpi,221,215,1.85,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,55.57,index,valid,synthetic_ran_kpi,220,219,7.73,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,30.58,index,valid,synthetic_ran_kpi,267,262,2.57,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,80.15,index,valid,synthetic_ran_kpi,269,267,2.09,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.73,index,valid,synthetic_ran_kpi,188,181,7.18,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,23.33,index,valid,synthetic_ran_kpi,217,211,1.2,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,40.53,index,valid,synthetic_ran_kpi,254,249,7.81,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,33.86,index,valid,synthetic_ran_kpi,139,135,0.71,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,58.07,index,degraded,synthetic_ran_kpi,110,82,3.4,98.0
RAN_KPI-CELL_ACCESS_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,81.49,index,valid,synthetic_ran_kpi,257,249,4.43,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,52.37,index,valid,synthetic_ran_kpi,288,287,2.57,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,46.69,index,valid,synthetic_ran_kpi,148,140,7.85,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,51.8,index,valid,synthetic_ran_kpi,285,281,2.3,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,44.0,index,valid,synthetic_ran_kpi,182,180,5.79,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,16.99,index,valid,synthetic_ran_kpi,234,228,6.77,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,52.14,index,valid,synthetic_ran_kpi,250,249,6.67,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,50.88,index,valid,synthetic_ran_kpi,109,108,5.2,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,39.54,index,valid,synthetic_ran_kpi,257,249,5.18,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,56.26,index,valid,synthetic_ran_kpi,171,165,4.62,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,36.52,index,valid,synthetic_ran_kpi,173,172,4.86,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,29.96,index,valid,synthetic_ran_kpi,154,146,0.66,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,49.68,index,valid,synthetic_ran_kpi,121,119,1.68,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,15.82,index,valid,synthetic_ran_kpi,264,257,7.65,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,16.58,index,valid,synthetic_ran_kpi,98,92,0.64,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.42,index,valid,synthetic_ran_kpi,236,230,1.23,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,36.69,index,valid,synthetic_ran_kpi,287,281,5.95,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,78.65,index,valid,synthetic_ran_kpi,86,85,2.78,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,31.84,index,valid,synthetic_ran_kpi,265,258,1.09,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,16.2,index,valid,synthetic_ran_kpi,204,197,0.99,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,75.37,index,valid,synthetic_ran_kpi,205,197,4.81,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,27.6,index,valid,synthetic_ran_kpi,106,101,2.81,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,56.43,index,valid,synthetic_ran_kpi,258,256,1.48,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,27.01,index,valid,synthetic_ran_kpi,173,167,1.18,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,22.08,index,valid,synthetic_ran_kpi,205,204,6.45,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,59.01,index,valid,synthetic_ran_kpi,300,298,1.72,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,21.99,index,valid,synthetic_ran_kpi,101,99,4.43,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,38.92,index,valid,synthetic_ran_kpi,268,266,3.36,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,30.73,index,valid,synthetic_ran_kpi,150,148,2.89,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,71.52,index,valid,synthetic_ran_kpi,195,189,3.27,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,78.24,index,valid,synthetic_ran_kpi,109,107,7.75,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,57.53,index,valid,synthetic_ran_kpi,200,198,4.4,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,16.28,index,valid,synthetic_ran_kpi,223,222,2.07,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,80.04,index,valid,synthetic_ran_kpi,147,144,1.97,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,45.38,index,valid,synthetic_ran_kpi,96,92,7.86,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,20.07,index,valid,synthetic_ran_kpi,172,170,7.1,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,70.7,index,valid,synthetic_ran_kpi,179,178,0.77,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,23.11,index,valid,synthetic_ran_kpi,163,161,4.4,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,15.04,index,valid,synthetic_ran_kpi,180,179,3.8,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,82.35,index,valid,synthetic_ran_kpi,103,102,7.98,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,29.41,index,valid,synthetic_ran_kpi,205,203,7.74,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,84.49,index,valid,synthetic_ran_kpi,249,247,4.23,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,51.12,index,valid,synthetic_ran_kpi,161,159,7.82,99.9
RAN_KPI-CELL_ACCESS_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,26.16,index,valid,synthetic_ran_kpi,263,256,5.41,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,27.22,index,valid,synthetic_ran_kpi,222,215,2.36,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,55.07,index,valid,synthetic_ran_kpi,270,267,1.15,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,56.94,index,valid,synthetic_ran_kpi,191,189,1.97,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,38.37,index,valid,synthetic_ran_kpi,150,147,4.64,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.23,index,valid,synthetic_ran_kpi,297,291,3.23,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,19.08,index,valid,synthetic_ran_kpi,142,140,3.99,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,40.66,index,valid,synthetic_ran_kpi,242,239,6.62,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,74.79,index,valid,synthetic_ran_kpi,144,137,3.25,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,18.77,index,valid,synthetic_ran_kpi,253,252,5.19,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,70.84,index,valid,synthetic_ran_kpi,250,249,5.36,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,72.6,index,valid,synthetic_ran_kpi,155,147,2.44,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,47.14,index,valid,synthetic_ran_kpi,265,263,4.17,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.3,index,valid,synthetic_ran_kpi,137,131,4.36,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,43.43,index,valid,synthetic_ran_kpi,180,174,0.73,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,19.04,index,valid,synthetic_ran_kpi,168,160,2.89,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,48.3,index,valid,synthetic_ran_kpi,155,151,5.94,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,62.93,index,valid,synthetic_ran_kpi,209,206,1.89,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,38.08,index,valid,synthetic_ran_kpi,255,253,4.53,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.51,index,valid,synthetic_ran_kpi,236,231,3.27,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,52.02,index,valid,synthetic_ran_kpi,181,175,4.69,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,27.7,index,valid,synthetic_ran_kpi,258,254,6.86,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,63.69,index,valid,synthetic_ran_kpi,125,122,4.39,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,71.19,index,valid,synthetic_ran_kpi,158,152,5.31,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,67.35,index,valid,synthetic_ran_kpi,184,179,0.64,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,43.93,index,valid,synthetic_ran_kpi,176,174,1.48,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,74.92,index,valid,synthetic_ran_kpi,253,248,7.97,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,65.39,index,valid,synthetic_ran_kpi,102,96,4.97,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,31.71,index,valid,synthetic_ran_kpi,162,154,1.29,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,36.64,index,valid,synthetic_ran_kpi,86,78,3.65,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,75.88,index,valid,synthetic_ran_kpi,230,227,2.19,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,39.18,index,valid,synthetic_ran_kpi,158,151,5.2,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,79.61,index,valid,synthetic_ran_kpi,242,240,3.98,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,48.4,index,valid,synthetic_ran_kpi,190,183,5.36,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,82.9,index,valid,synthetic_ran_kpi,94,89,5.98,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,68.17,index,valid,synthetic_ran_kpi,239,232,1.61,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,82.22,index,valid,synthetic_ran_kpi,269,267,0.82,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,22.7,index,valid,synthetic_ran_kpi,89,83,5.67,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,44.26,index,valid,synthetic_ran_kpi,205,203,6.83,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,49.64,index,valid,synthetic_ran_kpi,135,131,3.61,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,39.04,index,valid,synthetic_ran_kpi,85,79,2.24,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,76.61,index,valid,synthetic_ran_kpi,117,113,3.15,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,78.73,index,valid,synthetic_ran_kpi,221,220,4.99,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,68.94,index,valid,synthetic_ran_kpi,249,242,7.68,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,43.91,index,valid,synthetic_ran_kpi,178,174,4.16,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,15.88,index,valid,synthetic_ran_kpi,210,204,6.69,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,56.4,index,degraded,synthetic_ran_kpi,192,165,6.14,98.0
RAN_KPI-CELL_ACCESS_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,28.4,index,valid,synthetic_ran_kpi,219,215,5.08,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,50.08,index,valid,synthetic_ran_kpi,90,89,7.7,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,52.33,index,valid,synthetic_ran_kpi,236,234,0.52,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.93,index,valid,synthetic_ran_kpi,217,211,1.25,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.93,index,valid,synthetic_ran_kpi,229,221,2.28,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,32.23,index,valid,synthetic_ran_kpi,292,285,1.03,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,43.17,index,valid,synthetic_ran_kpi,179,173,7.58,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,20.46,index,valid,synthetic_ran_kpi,184,183,6.0,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,58.51,index,valid,synthetic_ran_kpi,113,111,1.44,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.51,index,valid,synthetic_ran_kpi,153,146,2.99,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,71.71,index,valid,synthetic_ran_kpi,292,287,4.0,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,52.98,index,valid,synthetic_ran_kpi,205,197,4.63,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,73.08,index,valid,synthetic_ran_kpi,233,226,0.82,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,51.76,index,valid,synthetic_ran_kpi,109,104,5.17,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,71.4,index,valid,synthetic_ran_kpi,203,202,5.71,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,20.58,index,valid,synthetic_ran_kpi,222,219,0.54,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,33.84,index,valid,synthetic_ran_kpi,225,217,6.24,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,64.56,index,valid,synthetic_ran_kpi,182,177,7.29,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,76.04,index,valid,synthetic_ran_kpi,220,215,1.08,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,33.34,index,valid,synthetic_ran_kpi,162,160,7.6,99.9
RAN_KPI-CELL_ACCESS_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,79.32,index,valid,synthetic_ran_kpi,292,291,6.87,99.9
