cell_id,station_id,province_code,area_code,date_hour,utc_time_ms,availability_pct,dl_traffic_gb,ul_traffic_gb,dl_throughput_mbps,ul_throughput_mbps,rrc_attempt,rrc_success,ho_attempt,ho_success,prb_dl_util_pct,latency_ms,packet_loss_pct,active_users,kpi_quality_flag
CELL010101,ST0101,DBN,KV1,2026-08-18-18,1787050800000,99.45,4.94,1.09,88.92,13.08,148,145,69,66,55.6,27.75,0.14,35,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-19,1787054400000,99.25,3.72,1.17,66.96,14.04,138,134,35,32,55.36,15.19,0.17,124,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-20,1787058000000,99.86,3.1,1.17,55.8,14.04,216,211,33,29,61.71,15.96,0.09,54,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-21,1787061600000,99.71,3.28,0.94,59.04,11.28,123,117,66,65,59.07,13.27,0.13,63,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-22,1787065200000,99.98,5.32,1.29,95.76,15.48,78,77,31,31,58.1,19.45,0.18,44,normal
CELL010101,ST0101,DBN,KV1,2026-08-18-23,1787068800000,100.0,3.2,0.84,57.6,10.08,96,91,80,77,40.53,19.35,0.14,69,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-00,1787072400000,99.45,1.13,0.32,20.34,3.84,100,99,87,84,12.98,29.45,0.15,98,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-01,1787076000000,98.0,0.18,0.05,3.24,0.6,186,151,79,65,39.66,93.07,3.05,76,degraded
CELL010101,ST0101,DBN,KV1,2026-08-19-02,1787079600000,98.0,0.18,0.07,3.24,0.84,101,73,51,37,39.01,93.64,3.1,92,degraded
CELL010101,ST0101,DBN,KV1,2026-08-19-03,1787083200000,98.0,0.15,0.03,2.7,0.36,94,73,35,23,37.78,85.67,3.04,117,degraded
CELL010101,ST0101,DBN,KV1,2026-08-19-04,1787086800000,98.0,0.23,0.07,4.14,0.84,121,89,89,79,38.16,85.9,3.18,148,degraded
CELL010101,ST0101,DBN,KV1,2026-08-19-05,1787090400000,99.56,1.72,0.42,30.96,5.04,125,124,78,75,15.79,25.7,0.1,86,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-06,1787094000000,99.77,1.05,0.3,18.9,3.6,191,188,71,70,11.79,27.29,0.02,57,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-07,1787097600000,99.4,2.42,0.74,43.56,8.88,87,82,61,59,37.05,15.91,0.02,156,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-08,1787101200000,99.29,3.14,1.05,56.52,12.6,174,169,56,53,35.36,15.01,0.04,152,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-09,1787104800000,99.59,2.62,0.79,47.16,9.48,145,141,87,86,41.82,17.27,0.16,153,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-10,1787108400000,99.88,2.66,0.82,47.88,9.84,146,144,30,27,29.84,23.87,0.07,148,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-11,1787112000000,99.66,2.62,0.71,47.16,8.52,78,77,90,87,34.02,13.16,0.09,95,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-12,1787115600000,99.66,2.28,0.74,41.04,8.88,212,211,20,19,28.26,21.33,0.02,56,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-13,1787119200000,99.53,2.6,0.83,46.8,9.96,205,203,80,77,35.72,14.97,0.16,73,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-14,1787122800000,99.44,3.08,0.72,55.44,8.64,130,125,63,63,36.21,27.89,0.09,96,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-15,1787126400000,99.75,2.97,0.99,53.46,11.88,193,189,25,22,34.34,17.62,0.07,59,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-16,1787130000000,99.44,2.79,0.94,50.22,11.28,173,169,58,55,30.79,13.66,0.04,89,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-17,1787133600000,99.78,2.26,0.81,40.68,9.72,193,192,48,48,35.87,16.65,0.07,113,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-18,1787137200000,99.52,4.68,1.26,84.24,15.12,164,162,28,24,50.5,27.0,0.17,109,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-19,1787140800000,99.72,5.6,1.4,100.8,16.8,171,170,89,85,53.31,13.12,0.01,71,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-20,1787144400000,99.81,4.1,1.39,73.8,16.68,80,76,22,20,49.45,22.05,0.05,160,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-21,1787148000000,99.81,4.31,0.95,77.58,11.4,109,105,68,64,54.09,28.47,0.02,58,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-22,1787151600000,99.84,5.08,1.28,91.44,15.36,179,176,27,26,54.1,14.62,0.11,158,normal
CELL010101,ST0101,DBN,KV1,2026-08-19-23,1787155200000,99.73,2.68,0.68,48.24,8.16,164,161,24,21,41.71,19.44,0.14,116,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-00,1787158800000,99.64,1.65,0.39,29.7,4.68,71,66,60,59,13.83,22.26,0.05,75,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-01,1787162400000,99.59,1.83,0.5,32.94,6.0,115,110,59,59,20.35,14.53,0.11,136,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-02,1787166000000,99.96,2.06,0.68,37.08,8.16,80,78,56,56,21.93,26.07,0.11,95,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-03,1787169600000,99.97,1.71,0.49,30.78,5.88,160,158,25,23,13.64,29.58,0.14,150,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-04,1787173200000,99.68,1.45,0.42,26.1,5.04,109,107,81,79,16.18,23.27,0.03,155,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-05,1787176800000,99.42,1.52,0.38,27.36,4.56,213,209,88,85,15.14,13.55,0.19,143,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-06,1787180400000,99.7,1.66,0.54,29.88,6.48,205,200,32,32,16.53,21.8,0.12,122,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-07,1787184000000,99.27,3.61,1.14,64.98,13.68,105,101,78,75,35.75,12.1,0.09,59,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-08,1787187600000,99.22,2.31,0.53,41.58,6.36,176,171,54,51,29.63,17.55,0.18,158,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-09,1787191200000,99.25,2.9,0.73,52.2,8.76,151,145,61,59,38.47,14.79,0.17,75,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-10,1787194800000,99.26,2.71,0.66,48.78,7.92,214,210,39,39,39.1,26.07,0.11,115,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-11,1787198400000,99.37,2.7,0.63,48.6,7.56,123,119,56,55,37.76,26.84,0.09,150,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-12,1787202000000,99.45,2.17,0.56,39.06,6.72,76,73,33,30,40.79,22.78,0.11,154,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-13,1787205600000,99.92,2.26,0.69,40.68,8.28,107,104,43,43,37.13,15.14,0.19,83,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-14,1787209200000,99.93,3.63,1.26,65.34,15.12,219,215,80,77,38.77,27.12,0.06,108,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-15,1787212800000,99.54,3.22,1.13,57.96,13.56,98,93,41,37,29.95,16.11,0.06,44,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-16,1787216400000,99.21,2.37,0.67,42.66,8.04,98,95,51,49,34.09,12.38,0.04,155,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-17,1787220000000,99.22,2.26,0.81,40.68,9.72,218,216,54,51,38.31,16.16,0.16,149,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-18,1787223600000,99.58,4.1,1.22,73.8,14.64,72,68,53,49,58.51,26.9,0.16,55,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-19,1787227200000,99.76,4.75,1.25,85.5,15.0,115,112,80,76,49.06,25.12,0.06,143,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-20,1787230800000,99.87,5.1,1.67,91.8,20.04,141,136,26,25,56.22,23.71,0.12,116,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-21,1787234400000,99.43,3.08,0.94,55.44,11.28,126,124,64,63,52.41,14.11,0.06,59,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-22,1787238000000,99.33,3.43,1.26,61.74,15.12,82,80,54,53,55.14,26.56,0.1,90,normal
CELL010101,ST0101,DBN,KV1,2026-08-20-23,1787241600000,99.23,3.51,1.03,63.18,12.36,118,115,87,86,28.43,13.84,0.13,107,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-00,1786986000000,99.79,0.06,0.02,1.08,0.24,75,69,85,83,20.64,29.84,0.09,64,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-01,1786989600000,99.96,0.05,0.02,0.9,0.24,150,147,90,87,27.16,16.07,0.04,116,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-02,1786993200000,99.73,0.06,0.02,1.08,0.24,184,183,39,39,12.35,17.51,0.06,148,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-03,1786996800000,99.96,0.05,0.01,0.9,0.12,109,108,87,87,12.5,23.22,0.19,84,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-04,1787000400000,99.9,0.07,0.02,1.26,0.24,151,147,71,71,11.49,23.07,0.14,47,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-05,1787004000000,99.65,0.05,0.01,0.9,0.12,128,123,76,76,20.8,19.52,0.15,101,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-06,1787007600000,99.25,0.06,0.02,1.08,0.24,161,159,67,63,21.64,26.57,0.16,36,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-07,1787011200000,99.28,0.07,0.02,1.26,0.24,71,68,59,56,39.15,17.72,0.14,55,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-08,1787014800000,100.0,0.08,0.03,1.44,0.36,118,116,36,36,37.52,23.75,0.18,112,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-09,1787018400000,99.35,0.12,0.03,2.16,0.36,165,164,87,84,42.79,28.63,0.18,47,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-10,1787022000000,99.71,0.08,0.02,1.44,0.24,81,77,72,71,38.58,17.26,0.05,155,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-11,1787025600000,99.98,0.09,0.02,1.62,0.24,148,143,43,40,30.47,17.57,0.15,67,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-12,1787029200000,99.99,0.09,0.03,1.62,0.36,178,176,82,81,35.81,20.12,0.09,99,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-13,1787032800000,99.41,0.11,0.03,1.98,0.36,196,192,54,51,36.38,12.17,0.12,74,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-14,1787036400000,99.96,0.12,0.04,2.16,0.48,132,127,60,59,32.76,17.67,0.15,64,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-15,1787040000000,99.69,0.13,0.03,2.34,0.36,98,94,29,26,37.48,18.28,0.15,30,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-16,1787043600000,99.77,0.08,0.03,1.44,0.36,172,169,25,24,42.5,14.27,0.03,35,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-17,1787047200000,99.87,0.07,0.02,1.26,0.24,176,171,60,56,40.15,12.88,0.02,110,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-18,1787050800000,99.62,0.18,0.07,3.24,0.84,175,171,86,83,53.66,14.1,0.19,38,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-19,1787054400000,99.69,0.18,0.04,3.24,0.48,208,203,72,68,56.81,29.42,0.18,80,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-20,1787058000000,99.37,0.16,0.04,2.88,0.48,216,214,31,29,47.81,20.96,0.12,124,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-21,1787061600000,100.0,0.11,0.03,1.98,0.36,189,183,46,46,49.43,16.84,0.06,132,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-22,1787065200000,99.38,0.15,0.06,2.7,0.72,218,213,47,44,56.78,19.14,0.09,99,normal
CELL010102,ST0101,DBN,KV1,2026-08-18-23,1787068800000,99.5,0.11,0.04,1.98,0.48,94,93,62,62,27.01,14.39,0.03,96,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-00,1787072400000,99.44,0.06,0.02,1.08,0.24,154,153,82,82,12.04,15.5,0.13,124,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-01,1787076000000,99.61,0.04,0.01,0.72,0.12,123,121,61,59,26.54,18.71,0.18,157,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-02,1787079600000,99.24,0.06,0.02,1.08,0.24,172,166,75,75,12.88,29.9,0.15,110,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-03,1787083200000,99.49,0.04,0.01,0.72,0.12,131,125,36,36,13.52,23.59,0.11,149,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-04,1787086800000,99.7,0.04,0.01,0.72,0.12,218,214,89,88,18.45,26.11,0.13,34,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-05,1787090400000,99.63,0.06,0.02,1.08,0.24,211,209,32,28,15.09,12.75,0.17,90,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-06,1787094000000,99.56,0.05,0.02,0.9,0.24,134,128,89,85,15.22,13.59,0.13,100,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-07,1787097600000,99.9,0.12,0.03,2.16,0.36,203,198,40,39,40.87,12.33,0.03,120,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-08,1787101200000,99.56,0.11,0.03,1.98,0.36,174,168,75,74,34.52,12.55,0.1,84,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-09,1787104800000,99.91,0.07,0.02,1.26,0.24,83,79,35,35,29.2,24.57,0.1,154,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-10,1787108400000,99.34,0.12,0.03,2.16,0.36,121,115,39,38,34.46,17.09,0.17,135,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-11,1787112000000,99.74,0.08,0.03,1.44,0.36,140,135,66,64,41.5,15.35,0.02,108,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-12,1787115600000,99.28,0.1,0.02,1.8,0.24,108,102,29,25,30.16,20.8,0.17,106,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-13,1787119200000,99.29,0.13,0.03,2.34,0.36,78,73,86,82,39.67,19.17,0.12,149,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-14,1787122800000,99.87,0.12,0.03,2.16,0.36,181,178,21,20,35.8,16.13,0.12,75,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-15,1787126400000,99.25,0.09,0.03,1.62,0.36,114,110,24,22,28.3,26.64,0.15,119,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-16,1787130000000,99.75,0.12,0.04,2.16,0.48,182,179,33,29,37.68,23.5,0.02,37,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-17,1787133600000,99.91,0.11,0.03,1.98,0.36,94,91,76,73,30.43,22.73,0.16,87,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-18,1787137200000,99.51,0.16,0.05,2.88,0.6,177,176,81,81,51.96,19.74,0.02,49,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-19,1787140800000,99.63,0.11,0.04,1.98,0.48,84,79,79,79,46.65,29.1,0.07,75,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-20,1787144400000,99.75,0.19,0.07,3.42,0.84,121,117,50,47,61.0,22.72,0.07,105,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-21,1787148000000,99.25,0.16,0.05,2.88,0.6,174,169,51,50,48.37,24.69,0.16,48,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-22,1787151600000,99.86,0.1,0.02,1.8,0.24,105,99,44,42,54.57,20.99,0.13,149,normal
CELL010102,ST0101,DBN,KV1,2026-08-19-23,1787155200000,99.79,0.09,0.02,1.62,0.24,98,96,41,37,35.4,12.57,0.14,140,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-00,1787158800000,99.54,0.04,0.01,0.72,0.12,208,202,30,30,23.44,26.8,0.09,62,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-01,1787162400000,99.96,0.07,0.02,1.26,0.24,203,200,24,22,23.77,21.03,0.12,122,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-02,1787166000000,99.57,0.07,0.02,1.26,0.24,118,112,25,23,26.39,18.69,0.16,54,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-03,1787169600000,99.71,0.05,0.01,0.9,0.12,191,187,73,73,22.33,14.06,0.18,69,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-04,1787173200000,99.84,0.05,0.01,0.9,0.12,186,185,27,27,16.14,19.08,0.03,112,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-05,1787176800000,99.72,0.07,0.02,1.26,0.24,93,91,73,72,12.72,13.42,0.08,39,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-06,1787180400000,99.65,0.04,0.01,0.72,0.12,77,74,87,86,26.0,27.22,0.1,54,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-07,1787184000000,99.43,0.1,0.02,1.8,0.24,120,115,20,18,28.02,26.74,0.14,68,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-08,1787187600000,99.39,0.09,0.03,1.62,0.36,206,205,50,46,31.48,13.27,0.01,44,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-09,1787191200000,99.53,0.08,0.02,1.44,0.24,162,158,35,31,40.32,29.58,0.09,154,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-10,1787194800000,99.38,0.1,0.03,1.8,0.36,170,164,71,70,36.3,25.59,0.08,97,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-11,1787198400000,99.91,0.08,0.02,1.44,0.24,75,69,22,19,36.28,28.47,0.09,42,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-12,1787202000000,99.87,0.12,0.04,2.16,0.48,184,183,27,26,33.01,29.42,0.08,146,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-13,1787205600000,99.71,0.08,0.02,1.44,0.24,110,106,51,50,42.31,17.85,0.06,117,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-14,1787209200000,99.82,0.11,0.04,1.98,0.48,180,176,44,44,37.3,27.59,0.11,62,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-15,1787212800000,99.34,0.07,0.02,1.26,0.24,107,102,23,19,37.52,26.32,0.12,152,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-16,1787216400000,99.69,0.13,0.03,2.34,0.36,208,204,35,31,36.51,26.16,0.01,134,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-17,1787220000000,99.67,0.13,0.04,2.34,0.48,185,182,55,54,29.84,23.84,0.2,154,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-18,1787223600000,99.55,0.16,0.05,2.88,0.6,73,67,27,23,49.99,16.98,0.1,93,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-19,1787227200000,99.48,0.16,0.04,2.88,0.48,101,97,56,53,52.27,18.06,0.15,154,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-20,1787230800000,99.22,0.11,0.03,1.98,0.36,169,165,41,40,58.58,12.45,0.07,76,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-21,1787234400000,99.81,0.14,0.05,2.52,0.6,169,168,45,41,48.83,19.94,0.11,118,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-22,1787238000000,99.28,0.2,0.06,3.6,0.72,160,159,73,69,47.75,22.22,0.14,96,normal
CELL010102,ST0101,DBN,KV1,2026-08-20-23,1787241600000,99.64,0.1,0.03,1.8,0.36,73,67,38,35,40.15,22.83,0.18,138,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-00,1786986000000,99.54,2.19,0.58,39.42,6.96,127,126,30,28,20.63,13.36,0.12,123,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-01,1786989600000,99.97,1.84,0.54,33.12,6.48,114,113,38,34,16.0,21.21,0.07,154,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-02,1786993200000,99.35,2.17,0.7,39.06,8.4,104,99,44,43,20.24,18.99,0.03,116,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-03,1786996800000,99.31,2.11,0.72,37.98,8.64,155,153,62,58,26.8,18.7,0.03,36,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-04,1787000400000,99.5,2.84,0.67,51.12,8.04,115,114,56,52,16.37,23.78,0.08,120,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-05,1787004000000,99.84,1.86,0.68,33.48,8.16,98,97,52,50,14.24,18.1,0.12,69,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-06,1787007600000,99.88,2.02,0.51,36.36,6.12,70,68,21,21,17.12,16.75,0.05,124,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-07,1787011200000,99.25,4.92,1.82,88.56,21.84,137,136,23,19,38.36,26.27,0.18,72,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-08,1787014800000,99.66,2.77,0.71,49.86,8.52,156,153,47,43,37.08,21.84,0.02,77,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-09,1787018400000,99.47,3.99,1.14,71.82,13.68,196,194,64,63,34.85,18.97,0.09,82,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-10,1787022000000,99.98,4.3,0.96,77.4,11.52,182,176,20,20,39.77,13.48,0.04,53,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-11,1787025600000,99.33,4.77,1.1,85.86,13.2,135,132,35,33,42.42,18.56,0.12,43,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-12,1787029200000,99.88,5.02,1.84,90.36,22.08,89,86,66,64,39.42,27.93,0.03,39,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-13,1787032800000,99.25,4.3,1.34,77.4,16.08,162,156,59,57,32.49,29.6,0.12,87,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-14,1787036400000,99.23,4.63,1.76,83.34,21.12,171,169,71,67,32.52,28.48,0.12,97,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-15,1787040000000,99.58,3.34,1.04,60.12,12.48,148,142,56,56,29.04,29.92,0.02,113,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-16,1787043600000,99.69,4.25,1.02,76.5,12.24,191,185,59,59,39.44,21.01,0.04,43,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-17,1787047200000,99.8,3.26,1.09,58.68,13.08,203,198,69,66,39.78,18.08,0.05,81,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-18,1787050800000,99.66,6.39,1.94,115.02,23.28,210,205,86,83,60.38,14.0,0.18,135,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-19,1787054400000,99.48,6.7,2.48,120.6,29.76,130,127,87,87,48.01,21.72,0.16,145,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-20,1787058000000,99.76,7.05,2.26,126.9,27.12,113,107,60,59,52.63,24.22,0.03,81,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-21,1787061600000,99.57,8.28,1.82,149.04,21.84,170,168,62,62,60.46,29.63,0.06,125,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-22,1787065200000,99.87,6.13,2.23,110.34,26.76,180,177,80,79,54.48,13.24,0.04,159,normal
CELL010201,ST0102,DBN,KV1,2026-08-18-23,1787068800000,99.59,4.93,1.32,88.74,15.84,108,102,21,21,27.37,24.14,0.19,101,normal
CELL010201,ST0102,DBN,KV1,2026-08-19-00,1787072400000,99.97,1.62,0.48,29.16,5.76,203,199,49,47,20.9,17.6,0.07,123,normal
CELL010201,ST0102,DBN,KV1,2026-08-19-01,1787076000000,99.87,2.22,0.79,39.96,9.48,151,150,79,75,26.15,26.82,0.04,101,normal
CELL010201,ST0102,DBN,KV1,2026-08-19-02,1787079600000,99.8,2.98,1.0,53.64,12.0,88,82,62,59,27.12,22.17,0.07,30,normal
CELL010201,ST0102,DBN,KV1,2026-08-19-03,1787083200000,99.36,1.51,0.45,27.18,5.4,188,186,85,82,14.64,29.01,0.09,154,normal
CELL010201,ST0102,DBN,KV1,2026-08-19-04,1787086800000,99.73,2.06,0.45,37.08,5.4,199,197,50,46,23.47,25.2,0.06,54,normal
