cell_throughput_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,83.46,index,valid,synthetic_ran_kpi,175,170,7.24,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,68.07,index,valid,synthetic_ran_kpi,156,151,1.27,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,60.3,index,valid,synthetic_ran_kpi,189,187,1.95,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,38.77,index,valid,synthetic_ran_kpi,278,270,2.47,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,54.41,index,valid,synthetic_ran_kpi,121,119,1.31,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,20.69,index,valid,synthetic_ran_kpi,283,278,7.06,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,40.29,index,valid,synthetic_ran_kpi,199,193,1.91,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,70.26,index,valid,synthetic_ran_kpi,246,244,3.36,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,36.42,index,valid,synthetic_ran_kpi,250,242,1.58,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,54.67,index,valid,synthetic_ran_kpi,188,182,4.33,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,74.61,index,valid,synthetic_ran_kpi,297,293,1.36,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,49.13,index,valid,synthetic_ran_kpi,203,199,6.68,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,17.4,index,valid,synthetic_ran_kpi,278,273,6.46,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,82.1,index,valid,synthetic_ran_kpi,120,113,3.12,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,60.22,index,valid,synthetic_ran_kpi,138,137,6.97,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,54.37,index,valid,synthetic_ran_kpi,295,294,6.31,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,78.23,index,valid,synthetic_ran_kpi,116,111,2.62,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,81.21,index,valid,synthetic_ran_kpi,138,132,0.85,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,54.85,index,valid,synthetic_ran_kpi,253,245,6.21,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,82.93,index,valid,synthetic_ran_kpi,294,288,1.34,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,75.09,index,valid,synthetic_ran_kpi,165,162,2.11,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,38.06,index,valid,synthetic_ran_kpi,300,296,4.65,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,79.98,index,valid,synthetic_ran_kpi,141,134,5.73,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,48.66,index,valid,synthetic_ran_kpi,119,113,0.76,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,49.07,index,valid,synthetic_ran_kpi,125,118,1.59,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,25.77,index,valid,synthetic_ran_kpi,236,229,0.97,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,58.88,index,valid,synthetic_ran_kpi,202,197,5.43,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,75.24,index,valid,synthetic_ran_kpi,267,261,3.28,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,36.16,index,valid,synthetic_ran_kpi,226,224,4.07,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,51.64,index,valid,synthetic_ran_kpi,165,164,7.7,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,77.44,index,valid,synthetic_ran_kpi,278,270,6.23,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.78,index,valid,synthetic_ran_kpi,88,83,3.09,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,79.06,index,valid,synthetic_ran_kpi,140,136,2.03,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,55.67,index,valid,synthetic_ran_kpi,150,147,3.82,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,19.43,index,valid,synthetic_ran_kpi,192,190,6.88,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,83.19,index,valid,synthetic_ran_kpi,99,92,2.56,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,32.79,index,valid,synthetic_ran_kpi,250,247,4.84,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,69.63,index,valid,synthetic_ran_kpi,175,173,0.93,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,19.43,index,valid,synthetic_ran_kpi,168,164,2.93,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,17.89,index,valid,synthetic_ran_kpi,198,196,1.58,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,50.84,index,valid,synthetic_ran_kpi,169,163,0.74,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,49.94,index,valid,synthetic_ran_kpi,221,217,2.18,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,75.73,index,valid,synthetic_ran_kpi,243,242,6.41,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,39.8,index,valid,synthetic_ran_kpi,236,232,7.39,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,55.13,index,valid,synthetic_ran_kpi,103,101,4.56,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,79.38,index,valid,synthetic_ran_kpi,278,270,6.02,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,79.38,index,valid,synthetic_ran_kpi,137,131,4.81,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,41.59,index,valid,synthetic_ran_kpi,268,260,5.21,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,25.64,index,valid,synthetic_ran_kpi,129,127,1.0,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,80.61,index,valid,synthetic_ran_kpi,220,213,1.81,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,30.95,index,valid,synthetic_ran_kpi,171,166,7.78,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,40.73,index,valid,synthetic_ran_kpi,112,108,3.97,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,24.25,index,valid,synthetic_ran_kpi,88,83,3.0,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,19.02,index,valid,synthetic_ran_kpi,275,274,0.74,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,28.02,index,valid,synthetic_ran_kpi,294,292,7.34,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,59.72,index,valid,synthetic_ran_kpi,158,152,3.62,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,29.39,index,valid,synthetic_ran_kpi,188,181,2.3,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,15.39,index,valid,synthetic_ran_kpi,197,195,1.1,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,16.39,index,valid,synthetic_ran_kpi,141,138,1.13,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,23.97,index,valid,synthetic_ran_kpi,294,292,1.58,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,46.62,index,valid,synthetic_ran_kpi,89,83,4.34,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,41.12,index,valid,synthetic_ran_kpi,287,284,5.6,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,38.29,index,valid,synthetic_ran_kpi,250,244,2.53,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,59.13,index,valid,synthetic_ran_kpi,117,109,3.93,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,51.29,index,valid,synthetic_ran_kpi,98,93,6.13,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,60.9,index,valid,synthetic_ran_kpi,115,112,6.03,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,80.68,index,valid,synthetic_ran_kpi,146,143,0.69,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,33.17,index,valid,synthetic_ran_kpi,173,168,6.13,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,68.82,index,valid,synthetic_ran_kpi,168,165,7.89,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.3,index,valid,synthetic_ran_kpi,212,208,2.05,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,47.41,index,valid,synthetic_ran_kpi,262,260,3.74,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,56.82,index,valid,synthetic_ran_kpi,174,171,0.65,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,54.8,index,valid,synthetic_ran_kpi,280,272,7.38,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,44.44,index,valid,synthetic_ran_kpi,112,107,3.33,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,47.19,index,valid,synthetic_ran_kpi,112,109,3.1,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,45.97,index,valid,synthetic_ran_kpi,132,125,1.4,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,42.32,index,valid,synthetic_ran_kpi,164,160,2.62,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,83.06,index,valid,synthetic_ran_kpi,264,257,4.57,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,55.32,index,valid,synthetic_ran_kpi,196,194,5.92,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,34.03,index,valid,synthetic_ran_kpi,238,235,4.24,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,55.08,index,valid,synthetic_ran_kpi,246,241,5.32,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,25.17,index,valid,synthetic_ran_kpi,193,188,4.67,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,41.2,index,valid,synthetic_ran_kpi,283,281,7.46,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,42.08,index,valid,synthetic_ran_kpi,87,83,2.94,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,49.48,index,valid,synthetic_ran_kpi,102,99,6.01,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,55.24,index,valid,synthetic_ran_kpi,255,253,3.06,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,26.54,index,degraded,synthetic_ran_kpi,221,195,3.46,98.0
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,74.96,index,valid,synthetic_ran_kpi,287,282,2.26,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,77.44,index,valid,synthetic_ran_kpi,131,128,2.62,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,30.17,index,valid,synthetic_ran_kpi,246,240,1.22,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,81.6,index,valid,synthetic_ran_kpi,187,179,0.95,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.11,index,valid,synthetic_ran_kpi,160,155,7.9,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,59.22,index,valid,synthetic_ran_kpi,132,130,7.4,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.3,index,valid,synthetic_ran_kpi,144,136,2.65,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,55.53,index,valid,synthetic_ran_kpi,255,253,3.1,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,42.93,index,valid,synthetic_ran_kpi,212,204,3.98,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,39.05,index,valid,synthetic_ran_kpi,137,135,5.01,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,26.59,index,valid,synthetic_ran_kpi,144,137,4.34,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,47.42,index,valid,synthetic_ran_kpi,265,264,2.82,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,50.25,index,valid,synthetic_ran_kpi,297,295,0.86,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,58.79,index,valid,synthetic_ran_kpi,211,208,2.72,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,23.73,index,valid,synthetic_ran_kpi,116,109,0.85,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,72.03,index,valid,synthetic_ran_kpi,86,81,1.25,99.9
RAN_KPI-CELL_THROUGHPUT_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.14,index,valid,synthetic_ran_kpi,106,99,7.08,99.9
