cell_congestion_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_CONGESTION_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,21.2,index,valid,synthetic_ran_kpi,212,204,6.3,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,73.7,index,valid,synthetic_ran_kpi,101,98,5.98,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,31.67,index,valid,synthetic_ran_kpi,250,247,4.75,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,24.57,index,valid,synthetic_ran_kpi,283,279,3.4,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,42.74,index,valid,synthetic_ran_kpi,128,127,3.61,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,74.14,index,valid,synthetic_ran_kpi,261,257,3.68,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,74.92,index,valid,synthetic_ran_kpi,137,130,3.13,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,29.26,index,valid,synthetic_ran_kpi,100,97,7.6,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.94,index,valid,synthetic_ran_kpi,226,224,2.05,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,48.57,index,valid,synthetic_ran_kpi,106,101,5.75,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,79.36,index,valid,synthetic_ran_kpi,215,213,2.4,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,59.81,index,valid,synthetic_ran_kpi,243,237,0.77,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,34.15,index,valid,synthetic_ran_kpi,178,173,0.58,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,39.38,index,valid,synthetic_ran_kpi,150,147,0.72,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,78.54,index,valid,synthetic_ran_kpi,186,181,2.41,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,42.95,index,valid,synthetic_ran_kpi,82,81,2.41,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,39.09,index,valid,synthetic_ran_kpi,271,269,2.98,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,38.08,index,valid,synthetic_ran_kpi,177,172,3.24,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.19,index,valid,synthetic_ran_kpi,238,231,7.52,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,61.0,index,valid,synthetic_ran_kpi,151,144,4.61,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.92,index,valid,synthetic_ran_kpi,191,188,4.44,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,21.87,index,valid,synthetic_ran_kpi,148,147,2.16,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,68.04,index,valid,synthetic_ran_kpi,116,112,2.0,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,27.82,index,valid,synthetic_ran_kpi,128,127,3.06,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,28.74,index,valid,synthetic_ran_kpi,254,246,5.41,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,60.63,index,valid,synthetic_ran_kpi,234,233,3.46,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,83.41,index,valid,synthetic_ran_kpi,261,259,5.09,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,38.04,index,valid,synthetic_ran_kpi,82,75,4.88,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,61.39,index,valid,synthetic_ran_kpi,96,88,0.73,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,77.24,index,valid,synthetic_ran_kpi,246,244,3.38,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,116.89,index,degraded,synthetic_ran_kpi,250,223,2.05,98.0
RAN_KPI-CELL_CONGESTION_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,66.56,index,valid,synthetic_ran_kpi,288,285,2.19,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,21.65,index,valid,synthetic_ran_kpi,197,189,7.2,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,66.09,index,valid,synthetic_ran_kpi,135,131,2.71,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,66.0,index,valid,synthetic_ran_kpi,257,249,3.31,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,24.6,index,valid,synthetic_ran_kpi,183,179,2.84,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,39.13,index,valid,synthetic_ran_kpi,159,155,6.13,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,25.87,index,valid,synthetic_ran_kpi,198,191,2.54,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,49.53,index,valid,synthetic_ran_kpi,192,184,7.16,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,64.09,index,valid,synthetic_ran_kpi,172,167,2.33,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,84.16,index,valid,synthetic_ran_kpi,126,120,2.03,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,16.72,index,valid,synthetic_ran_kpi,221,220,3.89,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,74.23,index,valid,synthetic_ran_kpi,163,156,1.55,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,79.29,index,valid,synthetic_ran_kpi,121,116,2.2,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,33.1,index,valid,synthetic_ran_kpi,204,197,7.91,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.41,index,valid,synthetic_ran_kpi,218,210,2.25,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,30.9,index,valid,synthetic_ran_kpi,141,133,3.69,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.91,index,valid,synthetic_ran_kpi,292,286,5.82,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,66.07,index,valid,synthetic_ran_kpi,234,232,6.1,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,29.15,index,valid,synthetic_ran_kpi,129,124,1.03,99.9
RAN_KPI-CELL_CONGESTION_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,32.91,index,valid,synthetic_ran_kpi,126,120,2.13,99.9
