cell_handover_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_HANDOVER_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.25,index,valid,synthetic_ran_kpi,140,138,4.11,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,35.24,index,valid,synthetic_ran_kpi,264,259,5.55,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,15.8,index,valid,synthetic_ran_kpi,132,126,3.56,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,72.54,index,valid,synthetic_ran_kpi,113,111,4.76,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,72.76,index,valid,synthetic_ran_kpi,129,127,4.47,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,62.75,index,valid,synthetic_ran_kpi,145,137,3.98,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,15.57,index,valid,synthetic_ran_kpi,138,131,3.6,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,67.09,index,valid,synthetic_ran_kpi,281,275,6.78,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,24.03,index,valid,synthetic_ran_kpi,147,139,2.52,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,40.72,index,valid,synthetic_ran_kpi,106,103,6.83,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,51.02,index,valid,synthetic_ran_kpi,127,121,1.65,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.66,index,valid,synthetic_ran_kpi,176,174,7.75,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,33.44,index,valid,synthetic_ran_kpi,184,183,5.11,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,67.92,index,valid,synthetic_ran_kpi,224,218,2.86,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,41.27,index,valid,synthetic_ran_kpi,256,249,7.32,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,45.66,index,valid,synthetic_ran_kpi,263,257,6.36,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,64.66,index,valid,synthetic_ran_kpi,229,223,4.64,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,48.18,index,valid,synthetic_ran_kpi,92,88,7.56,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,15.66,index,valid,synthetic_ran_kpi,83,79,7.02,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,16.22,index,valid,synthetic_ran_kpi,167,160,4.09,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,31.92,index,valid,synthetic_ran_kpi,222,215,1.43,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.09,index,valid,synthetic_ran_kpi,227,225,6.0,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,30.01,index,valid,synthetic_ran_kpi,116,110,4.16,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,63.48,index,valid,synthetic_ran_kpi,275,271,1.85,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,67.89,index,valid,synthetic_ran_kpi,181,179,2.52,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,26.25,index,valid,synthetic_ran_kpi,104,103,4.64,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,76.81,index,valid,synthetic_ran_kpi,141,135,4.7,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,61.52,index,valid,synthetic_ran_kpi,158,152,5.03,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,23.29,index,valid,synthetic_ran_kpi,137,130,2.96,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,37.81,index,valid,synthetic_ran_kpi,197,189,7.56,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,66.87,index,valid,synthetic_ran_kpi,141,140,2.48,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,54.63,index,valid,synthetic_ran_kpi,271,267,6.07,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,43.67,index,valid,synthetic_ran_kpi,228,226,1.1,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,45.01,index,valid,synthetic_ran_kpi,282,278,5.86,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,31.42,index,valid,synthetic_ran_kpi,155,153,6.07,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.35,index,valid,synthetic_ran_kpi,294,289,4.95,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,24.03,index,valid,synthetic_ran_kpi,88,84,0.9,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,84.84,index,valid,synthetic_ran_kpi,86,78,3.22,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,36.05,index,valid,synthetic_ran_kpi,125,123,5.74,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,21.87,index,valid,synthetic_ran_kpi,96,88,0.89,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,51.13,index,valid,synthetic_ran_kpi,241,238,3.3,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,79.93,index,valid,synthetic_ran_kpi,167,161,5.17,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,79.76,index,valid,synthetic_ran_kpi,255,252,2.11,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,70.81,index,valid,synthetic_ran_kpi,252,246,7.4,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,42.06,index,valid,synthetic_ran_kpi,272,268,6.02,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,23.7,index,valid,synthetic_ran_kpi,123,122,7.98,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,67.07,index,valid,synthetic_ran_kpi,131,127,0.56,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,27.8,index,valid,synthetic_ran_kpi,153,149,1.37,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,48.53,index,valid,synthetic_ran_kpi,95,91,4.56,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,50.09,index,valid,synthetic_ran_kpi,200,197,0.68,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,44.84,index,valid,synthetic_ran_kpi,137,136,5.46,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,24.71,index,valid,synthetic_ran_kpi,267,260,6.37,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,33.77,index,valid,synthetic_ran_kpi,95,92,2.22,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,73.93,index,valid,synthetic_ran_kpi,257,256,6.17,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,82.68,index,valid,synthetic_ran_kpi,101,93,1.32,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,51.68,index,valid,synthetic_ran_kpi,91,85,5.63,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,62.17,index,valid,synthetic_ran_kpi,109,103,5.62,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,31.56,index,valid,synthetic_ran_kpi,282,275,4.41,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,81.79,index,valid,synthetic_ran_kpi,105,104,4.61,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,46.47,index,valid,synthetic_ran_kpi,130,124,4.02,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,28.82,index,valid,synthetic_ran_kpi,232,225,2.96,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,28.17,index,valid,synthetic_ran_kpi,270,268,3.27,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,41.57,index,valid,synthetic_ran_kpi,98,92,1.39,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,43.68,index,valid,synthetic_ran_kpi,195,193,1.78,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,44.39,index,valid,synthetic_ran_kpi,156,155,7.65,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,60.22,index,valid,synthetic_ran_kpi,186,181,2.43,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,53.92,index,valid,synthetic_ran_kpi,299,292,2.18,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,25.4,index,valid,synthetic_ran_kpi,132,124,6.61,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,22.54,index,valid,synthetic_ran_kpi,271,264,3.23,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.82,index,valid,synthetic_ran_kpi,107,103,4.2,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,27.97,index,valid,synthetic_ran_kpi,242,241,1.91,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,70.05,index,valid,synthetic_ran_kpi,82,77,3.42,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,29.79,index,valid,synthetic_ran_kpi,236,235,3.49,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,53.92,index,valid,synthetic_ran_kpi,118,115,2.24,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,42.05,index,valid,synthetic_ran_kpi,150,146,5.75,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,77.31,index,valid,synthetic_ran_kpi,100,94,0.92,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,108.84,index,degraded,synthetic_ran_kpi,204,182,2.03,98.0
RAN_KPI-CELL_HANDOVER_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,43.74,index,valid,synthetic_ran_kpi,149,141,7.89,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,64.48,index,valid,synthetic_ran_kpi,234,228,7.77,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,30.46,index,valid,synthetic_ran_kpi,262,260,2.44,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,24.71,index,valid,synthetic_ran_kpi,217,215,6.85,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,60.65,index,valid,synthetic_ran_kpi,210,208,6.74,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,59.65,index,valid,synthetic_ran_kpi,111,106,2.42,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,41.07,index,valid,synthetic_ran_kpi,196,194,7.54,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,73.19,index,valid,synthetic_ran_kpi,208,202,2.31,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,16.83,index,valid,synthetic_ran_kpi,224,219,5.7,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,56.32,index,valid,synthetic_ran_kpi,288,284,5.77,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,41.45,index,valid,synthetic_ran_kpi,232,230,5.98,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,52.15,index,valid,synthetic_ran_kpi,131,124,0.67,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,52.43,index,valid,synthetic_ran_kpi,289,284,6.15,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,69.17,index,valid,synthetic_ran_kpi,263,258,6.07,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,66.39,index,valid,synthetic_ran_kpi,131,127,3.19,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,32.7,index,valid,synthetic_ran_kpi,187,186,0.67,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,83.03,index,valid,synthetic_ran_kpi,112,110,2.9,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,52.92,index,valid,synthetic_ran_kpi,202,201,6.75,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,23.51,index,valid,synthetic_ran_kpi,200,192,4.07,99.9
RAN_KPI-CELL_HANDOVER_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,17.41,index,valid,synthetic_ran_kpi,93,91,6.26,99.9
