cell_users_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_USERS_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,69.05,index,valid,synthetic_ran_kpi,85,83,0.61,99.9
RAN_KPI-CELL_USERS_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,84.46,index,valid,synthetic_ran_kpi,231,229,7.21,99.9
RAN_KPI-CELL_USERS_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,25.92,index,valid,synthetic_ran_kpi,102,98,2.18,99.9
RAN_KPI-CELL_USERS_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,61.93,index,valid,synthetic_ran_kpi,136,128,6.3,99.9
RAN_KPI-CELL_USERS_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,64.82,index,valid,synthetic_ran_kpi,295,293,2.64,99.9
RAN_KPI-CELL_USERS_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,22.08,index,degraded,synthetic_ran_kpi,110,82,2.85,98.0
RAN_KPI-CELL_USERS_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,54.82,index,valid,synthetic_ran_kpi,275,267,6.66,99.9
RAN_KPI-CELL_USERS_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,66.73,index,valid,synthetic_ran_kpi,142,140,5.56,99.9
RAN_KPI-CELL_USERS_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,16.95,index,valid,synthetic_ran_kpi,80,73,4.29,99.9
RAN_KPI-CELL_USERS_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,18.58,index,valid,synthetic_ran_kpi,157,151,4.55,99.9
RAN_KPI-CELL_USERS_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,65.64,index,valid,synthetic_ran_kpi,133,125,3.52,99.9
RAN_KPI-CELL_USERS_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,17.35,index,valid,synthetic_ran_kpi,152,150,1.2,99.9
RAN_KPI-CELL_USERS_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,28.27,index,valid,synthetic_ran_kpi,284,278,7.55,99.9
RAN_KPI-CELL_USERS_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,82.11,index,valid,synthetic_ran_kpi,158,157,7.87,99.9
RAN_KPI-CELL_USERS_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,77.55,index,valid,synthetic_ran_kpi,161,156,4.06,99.9
RAN_KPI-CELL_USERS_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,42.28,index,valid,synthetic_ran_kpi,146,145,5.31,99.9
RAN_KPI-CELL_USERS_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,19.88,index,valid,synthetic_ran_kpi,141,138,5.61,99.9
RAN_KPI-CELL_USERS_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,41.03,index,valid,synthetic_ran_kpi,199,194,4.37,99.9
RAN_KPI-CELL_USERS_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,41.07,index,valid,synthetic_ran_kpi,109,101,4.72,99.9
RAN_KPI-CELL_USERS_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,28.47,index,valid,synthetic_ran_kpi,297,290,2.76,99.9
RAN_KPI-CELL_USERS_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,16.64,index,valid,synthetic_ran_kpi,169,164,2.15,99.9
RAN_KPI-CELL_USERS_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,40.87,index,valid,synthetic_ran_kpi,241,240,7.83,99.9
RAN_KPI-CELL_USERS_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,43.84,index,valid,synthetic_ran_kpi,161,156,4.74,99.9
RAN_KPI-CELL_USERS_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,78.66,index,valid,synthetic_ran_kpi,160,157,2.76,99.9
RAN_KPI-CELL_USERS_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,40.53,index,valid,synthetic_ran_kpi,286,284,7.3,99.9
RAN_KPI-CELL_USERS_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,51.06,index,valid,synthetic_ran_kpi,266,258,4.25,99.9
RAN_KPI-CELL_USERS_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,60.18,index,valid,synthetic_ran_kpi,224,222,2.4,99.9
RAN_KPI-CELL_USERS_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,74.99,index,valid,synthetic_ran_kpi,293,288,3.98,99.9
RAN_KPI-CELL_USERS_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,36.92,index,valid,synthetic_ran_kpi,261,259,6.03,99.9
RAN_KPI-CELL_USERS_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,61.49,index,valid,synthetic_ran_kpi,178,172,7.73,99.9
RAN_KPI-CELL_USERS_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,70.2,index,valid,synthetic_ran_kpi,163,161,5.09,99.9
RAN_KPI-CELL_USERS_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,46.1,index,valid,synthetic_ran_kpi,118,115,2.81,99.9
RAN_KPI-CELL_USERS_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,41.81,index,valid,synthetic_ran_kpi,296,288,7.0,99.9
RAN_KPI-CELL_USERS_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,26.56,index,valid,synthetic_ran_kpi,160,158,1.06,99.9
RAN_KPI-CELL_USERS_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,34.94,index,valid,synthetic_ran_kpi,213,206,1.9,99.9
RAN_KPI-CELL_USERS_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,22.6,index,valid,synthetic_ran_kpi,199,196,2.83,99.9
RAN_KPI-CELL_USERS_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,77.93,index,valid,synthetic_ran_kpi,230,225,7.09,99.9
RAN_KPI-CELL_USERS_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,64.01,index,valid,synthetic_ran_kpi,263,257,5.54,99.9
RAN_KPI-CELL_USERS_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,45.68,index,valid,synthetic_ran_kpi,153,146,1.67,99.9
RAN_KPI-CELL_USERS_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,35.82,index,valid,synthetic_ran_kpi,198,192,2.41,99.9
RAN_KPI-CELL_USERS_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,21.5,index,valid,synthetic_ran_kpi,237,231,5.67,99.9
RAN_KPI-CELL_USERS_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,18.83,index,valid,synthetic_ran_kpi,286,279,5.13,99.9
RAN_KPI-CELL_USERS_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,17.39,index,valid,synthetic_ran_kpi,112,104,3.26,99.9
RAN_KPI-CELL_USERS_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.53,index,valid,synthetic_ran_kpi,250,242,7.83,99.9
RAN_KPI-CELL_USERS_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,70.53,index,valid,synthetic_ran_kpi,142,136,3.47,99.9
RAN_KPI-CELL_USERS_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,49.91,index,valid,synthetic_ran_kpi,219,217,3.0,99.9
RAN_KPI-CELL_USERS_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,50.28,index,valid,synthetic_ran_kpi,275,270,6.03,99.9
RAN_KPI-CELL_USERS_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,67.37,index,valid,synthetic_ran_kpi,221,218,5.3,99.9
RAN_KPI-CELL_USERS_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,66.71,index,valid,synthetic_ran_kpi,239,232,1.89,99.9
RAN_KPI-CELL_USERS_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,19.52,index,valid,synthetic_ran_kpi,116,111,3.43,99.9
RAN_KPI-CELL_USERS_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,45.76,index,valid,synthetic_ran_kpi,177,173,6.36,99.9
RAN_KPI-CELL_USERS_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,39.55,index,valid,synthetic_ran_kpi,279,274,2.29,99.9
RAN_KPI-CELL_USERS_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.49,index,valid,synthetic_ran_kpi,247,243,4.83,99.9
RAN_KPI-CELL_USERS_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,77.2,index,valid,synthetic_ran_kpi,236,232,5.1,99.9
RAN_KPI-CELL_USERS_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,21.35,index,valid,synthetic_ran_kpi,237,236,6.58,99.9
RAN_KPI-CELL_USERS_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,81.86,index,valid,synthetic_ran_kpi,244,242,0.88,99.9
RAN_KPI-CELL_USERS_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,62.47,index,valid,synthetic_ran_kpi,113,112,7.58,99.9
RAN_KPI-CELL_USERS_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,40.77,index,valid,synthetic_ran_kpi,268,261,1.95,99.9
RAN_KPI-CELL_USERS_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,80.47,index,valid,synthetic_ran_kpi,110,107,5.39,99.9
RAN_KPI-CELL_USERS_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,26.68,index,valid,synthetic_ran_kpi,128,124,5.23,99.9
RAN_KPI-CELL_USERS_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,15.51,index,valid,synthetic_ran_kpi,236,230,0.59,99.9
RAN_KPI-CELL_USERS_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,64.04,index,valid,synthetic_ran_kpi,203,200,5.48,99.9
RAN_KPI-CELL_USERS_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,42.09,index,valid,synthetic_ran_kpi,209,203,1.61,99.9
RAN_KPI-CELL_USERS_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,50.43,index,valid,synthetic_ran_kpi,182,175,6.49,99.9
RAN_KPI-CELL_USERS_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,52.45,index,valid,synthetic_ran_kpi,274,267,4.58,99.9
RAN_KPI-CELL_USERS_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.29,index,valid,synthetic_ran_kpi,200,197,1.34,99.9
RAN_KPI-CELL_USERS_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,61.44,index,valid,synthetic_ran_kpi,209,204,3.26,99.9
RAN_KPI-CELL_USERS_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,18.35,index,valid,synthetic_ran_kpi,156,155,1.23,99.9
RAN_KPI-CELL_USERS_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,76.86,index,valid,synthetic_ran_kpi,94,92,6.56,99.9
RAN_KPI-CELL_USERS_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,73.42,index,valid,synthetic_ran_kpi,186,182,7.86,99.9
RAN_KPI-CELL_USERS_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,37.81,index,valid,synthetic_ran_kpi,167,164,7.75,99.9
RAN_KPI-CELL_USERS_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,73.21,index,valid,synthetic_ran_kpi,221,220,5.17,99.9
RAN_KPI-CELL_USERS_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,51.46,index,valid,synthetic_ran_kpi,145,143,6.19,99.9
RAN_KPI-CELL_USERS_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,48.37,index,valid,synthetic_ran_kpi,103,102,2.05,99.9
RAN_KPI-CELL_USERS_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.77,index,valid,synthetic_ran_kpi,170,164,6.12,99.9
RAN_KPI-CELL_USERS_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,17.67,index,valid,synthetic_ran_kpi,124,122,5.95,99.9
RAN_KPI-CELL_USERS_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,20.83,index,valid,synthetic_ran_kpi,180,178,5.24,99.9
RAN_KPI-CELL_USERS_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,39.73,index,valid,synthetic_ran_kpi,208,202,5.23,99.9
RAN_KPI-CELL_USERS_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,44.83,index,valid,synthetic_ran_kpi,280,276,5.35,99.9
RAN_KPI-CELL_USERS_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,64.34,index,valid,synthetic_ran_kpi,129,124,5.92,99.9
RAN_KPI-CELL_USERS_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,32.97,index,valid,synthetic_ran_kpi,139,131,5.21,99.9
RAN_KPI-CELL_USERS_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,82.94,index,valid,synthetic_ran_kpi,159,158,6.36,99.9
RAN_KPI-CELL_USERS_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,62.65,index,valid,synthetic_ran_kpi,126,124,3.86,99.9
RAN_KPI-CELL_USERS_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,68.59,index,valid,synthetic_ran_kpi,224,219,4.9,99.9
RAN_KPI-CELL_USERS_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,66.11,index,valid,synthetic_ran_kpi,266,265,2.85,99.9
RAN_KPI-CELL_USERS_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.12,index,valid,synthetic_ran_kpi,266,260,1.51,99.9
RAN_KPI-CELL_USERS_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,67.22,index,valid,synthetic_ran_kpi,214,210,4.94,99.9
RAN_KPI-CELL_USERS_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,68.74,index,valid,synthetic_ran_kpi,222,215,4.53,99.9
RAN_KPI-CELL_USERS_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,73.52,index,valid,synthetic_ran_kpi,291,285,1.86,99.9
RAN_KPI-CELL_USERS_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,41.85,index,valid,synthetic_ran_kpi,174,167,5.54,99.9
RAN_KPI-CELL_USERS_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,32.3,index,valid,synthetic_ran_kpi,271,266,5.75,99.9
RAN_KPI-CELL_USERS_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,31.37,index,valid,synthetic_ran_kpi,153,150,4.61,99.9
RAN_KPI-CELL_USERS_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,24.73,index,valid,synthetic_ran_kpi,190,189,3.86,99.9
RAN_KPI-CELL_USERS_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,26.02,index,valid,synthetic_ran_kpi,248,247,2.84,99.9
RAN_KPI-CELL_USERS_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,60.89,index,valid,synthetic_ran_kpi,188,185,0.71,99.9
RAN_KPI-CELL_USERS_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,55.8,index,degraded,synthetic_ran_kpi,142,121,1.14,98.0
RAN_KPI-CELL_USERS_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,70.5,index,valid,synthetic_ran_kpi,235,233,4.78,99.9
RAN_KPI-CELL_USERS_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,54.79,index,valid,synthetic_ran_kpi,271,263,1.28,99.9
RAN_KPI-CELL_USERS_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,21.75,index,valid,synthetic_ran_kpi,122,115,7.71,99.9
RAN_KPI-CELL_USERS_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,47.27,index,valid,synthetic_ran_kpi,110,105,5.76,99.9
RAN_KPI-CELL_USERS_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,58.7,index,valid,synthetic_ran_kpi,187,185,5.0,99.9
RAN_KPI-CELL_USERS_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,67.06,index,valid,synthetic_ran_kpi,116,114,3.2,99.9
RAN_KPI-CELL_USERS_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,41.72,index,valid,synthetic_ran_kpi,284,279,1.6,99.9
RAN_KPI-CELL_USERS_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,18.16,index,valid,synthetic_ran_kpi,155,153,4.71,99.9
RAN_KPI-CELL_USERS_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,57.76,index,valid,synthetic_ran_kpi,245,243,2.72,99.9
RAN_KPI-CELL_USERS_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,54.7,index,valid,synthetic_ran_kpi,243,237,1.8,99.9
RAN_KPI-CELL_USERS_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,26.96,index,valid,synthetic_ran_kpi,94,86,0.82,99.9
RAN_KPI-CELL_USERS_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,52.89,index,valid,synthetic_ran_kpi,90,88,3.25,99.9
RAN_KPI-CELL_USERS_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,40.28,index,valid,synthetic_ran_kpi,276,274,6.77,99.9
RAN_KPI-CELL_USERS_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,23.07,index,valid,synthetic_ran_kpi,249,248,7.85,99.9
RAN_KPI-CELL_USERS_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,50.4,index,valid,synthetic_ran_kpi,200,195,0.76,99.9
RAN_KPI-CELL_USERS_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,15.12,index,valid,synthetic_ran_kpi,171,166,2.72,99.9
RAN_KPI-CELL_USERS_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,77.58,index,valid,synthetic_ran_kpi,147,141,6.25,99.9
RAN_KPI-CELL_USERS_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,67.38,index,valid,synthetic_ran_kpi,141,136,4.63,99.9
RAN_KPI-CELL_USERS_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,67.76,index,valid,synthetic_ran_kpi,270,267,2.6,99.9
RAN_KPI-CELL_USERS_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,15.38,index,valid,synthetic_ran_kpi,232,231,7.84,99.9
RAN_KPI-CELL_USERS_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,70.28,index,valid,synthetic_ran_kpi,132,124,5.13,99.9
RAN_KPI-CELL_USERS_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,80.11,index,valid,synthetic_ran_kpi,121,115,7.01,99.9
RAN_KPI-CELL_USERS_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,36.3,index,valid,synthetic_ran_kpi,127,125,5.2,99.9
RAN_KPI-CELL_USERS_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,84.39,index,valid,synthetic_ran_kpi,259,257,1.79,99.9
