cell_modulation_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MODULATION_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,65.16,index,valid,synthetic_ran_kpi,272,268,6.92,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,50.96,index,valid,synthetic_ran_kpi,251,243,4.26,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,19.81,index,valid,synthetic_ran_kpi,253,250,1.3,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.84,index,valid,synthetic_ran_kpi,89,83,7.45,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,66.43,index,valid,synthetic_ran_kpi,154,147,6.63,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,16.29,index,valid,synthetic_ran_kpi,179,173,7.05,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,75.48,index,valid,synthetic_ran_kpi,195,193,3.25,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,52.37,index,valid,synthetic_ran_kpi,114,107,4.19,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,78.51,index,valid,synthetic_ran_kpi,263,258,2.44,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,70.47,index,valid,synthetic_ran_kpi,191,183,5.46,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,63.03,index,valid,synthetic_ran_kpi,127,124,1.52,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,31.16,index,valid,synthetic_ran_kpi,191,186,0.58,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,41.14,index,valid,synthetic_ran_kpi,116,108,5.31,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,59.26,index,valid,synthetic_ran_kpi,266,264,4.63,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,74.12,index,valid,synthetic_ran_kpi,241,234,5.71,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,46.17,index,valid,synthetic_ran_kpi,234,231,3.12,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,79.66,index,valid,synthetic_ran_kpi,250,247,3.84,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,76.43,index,valid,synthetic_ran_kpi,196,193,7.39,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,84.23,index,valid,synthetic_ran_kpi,90,89,3.09,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,47.07,index,valid,synthetic_ran_kpi,82,78,6.53,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,55.73,index,valid,synthetic_ran_kpi,151,148,0.67,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,67.82,index,valid,synthetic_ran_kpi,91,85,3.92,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,23.41,index,valid,synthetic_ran_kpi,149,141,6.34,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,46.27,index,valid,synthetic_ran_kpi,176,171,2.14,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.26,index,valid,synthetic_ran_kpi,120,116,6.03,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,70.9,index,valid,synthetic_ran_kpi,128,121,5.91,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,42.99,index,valid,synthetic_ran_kpi,292,285,7.33,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,36.45,index,degraded,synthetic_ran_kpi,203,178,2.98,98.0
RAN_KPI-CELL_MODULATION_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,47.63,index,valid,synthetic_ran_kpi,289,283,3.57,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,34.05,index,valid,synthetic_ran_kpi,166,165,6.54,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.44,index,valid,synthetic_ran_kpi,164,161,1.95,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,27.24,index,valid,synthetic_ran_kpi,291,290,3.76,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,37.79,index,valid,synthetic_ran_kpi,210,202,4.78,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,29.46,index,valid,synthetic_ran_kpi,80,72,5.56,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.84,index,valid,synthetic_ran_kpi,97,89,2.99,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,36.06,index,valid,synthetic_ran_kpi,140,134,5.18,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,27.12,index,valid,synthetic_ran_kpi,114,107,0.6,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,24.98,index,valid,synthetic_ran_kpi,192,189,2.07,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,83.14,index,valid,synthetic_ran_kpi,274,271,5.68,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,64.9,index,valid,synthetic_ran_kpi,225,219,4.01,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,72.21,index,valid,synthetic_ran_kpi,100,94,2.17,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,78.0,index,valid,synthetic_ran_kpi,122,119,4.05,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.14,index,valid,synthetic_ran_kpi,291,283,4.64,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,62.4,index,valid,synthetic_ran_kpi,189,182,1.78,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,83.57,index,valid,synthetic_ran_kpi,102,99,0.64,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,60.96,index,valid,synthetic_ran_kpi,244,239,5.28,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,44.32,index,valid,synthetic_ran_kpi,298,293,0.72,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,23.44,index,valid,synthetic_ran_kpi,212,205,5.88,99.9
RAN_KPI-CELL_MODULATION_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.33,index,valid,synthetic_ran_kpi,206,204,3.27,99.9
