cell_prb_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_PRB_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,77.28,index,valid,synthetic_ran_kpi,96,95,7.77,99.9
RAN_KPI-CELL_PRB_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,74.91,index,valid,synthetic_ran_kpi,90,88,2.65,99.9
RAN_KPI-CELL_PRB_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,120.78,index,degraded,synthetic_ran_kpi,114,89,3.69,98.0
RAN_KPI-CELL_PRB_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,66.8,index,valid,synthetic_ran_kpi,99,98,7.43,99.9
RAN_KPI-CELL_PRB_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,76.78,index,valid,synthetic_ran_kpi,190,186,4.9,99.9
RAN_KPI-CELL_PRB_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,37.72,index,valid,synthetic_ran_kpi,175,170,2.19,99.9
RAN_KPI-CELL_PRB_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,15.32,index,valid,synthetic_ran_kpi,200,198,2.37,99.9
RAN_KPI-CELL_PRB_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,78.83,index,valid,synthetic_ran_kpi,89,87,1.22,99.9
RAN_KPI-CELL_PRB_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,84.33,index,valid,synthetic_ran_kpi,165,161,0.91,99.9
RAN_KPI-CELL_PRB_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,84.56,index,valid,synthetic_ran_kpi,152,144,3.54,99.9
RAN_KPI-CELL_PRB_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,53.89,index,valid,synthetic_ran_kpi,210,203,6.56,99.9
RAN_KPI-CELL_PRB_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,39.34,index,valid,synthetic_ran_kpi,279,278,5.38,99.9
RAN_KPI-CELL_PRB_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,33.77,index,valid,synthetic_ran_kpi,129,126,2.22,99.9
RAN_KPI-CELL_PRB_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,22.7,index,valid,synthetic_ran_kpi,255,254,3.26,99.9
RAN_KPI-CELL_PRB_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,48.8,index,valid,synthetic_ran_kpi,100,92,7.18,99.9
RAN_KPI-CELL_PRB_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,80.95,index,valid,synthetic_ran_kpi,139,133,0.81,99.9
RAN_KPI-CELL_PRB_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,44.83,index,valid,synthetic_ran_kpi,177,171,1.38,99.9
RAN_KPI-CELL_PRB_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,81.94,index,valid,synthetic_ran_kpi,84,83,2.26,99.9
RAN_KPI-CELL_PRB_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,25.74,index,valid,synthetic_ran_kpi,228,220,1.49,99.9
RAN_KPI-CELL_PRB_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,69.24,index,valid,synthetic_ran_kpi,102,95,4.22,99.9
RAN_KPI-CELL_PRB_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,70.76,index,valid,synthetic_ran_kpi,232,227,2.21,99.9
RAN_KPI-CELL_PRB_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,81.83,index,valid,synthetic_ran_kpi,203,200,3.03,99.9
RAN_KPI-CELL_PRB_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,41.93,index,valid,synthetic_ran_kpi,145,142,2.75,99.9
RAN_KPI-CELL_PRB_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,68.02,index,valid,synthetic_ran_kpi,191,188,2.69,99.9
RAN_KPI-CELL_PRB_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,73.44,index,valid,synthetic_ran_kpi,215,211,2.72,99.9
RAN_KPI-CELL_PRB_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,21.91,index,valid,synthetic_ran_kpi,122,114,5.73,99.9
RAN_KPI-CELL_PRB_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,65.08,index,valid,synthetic_ran_kpi,145,137,2.24,99.9
RAN_KPI-CELL_PRB_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,38.93,index,valid,synthetic_ran_kpi,238,235,6.0,99.9
RAN_KPI-CELL_PRB_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,49.69,index,valid,synthetic_ran_kpi,265,257,4.55,99.9
RAN_KPI-CELL_PRB_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,25.69,index,valid,synthetic_ran_kpi,108,100,7.68,99.9
RAN_KPI-CELL_PRB_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,72.85,index,valid,synthetic_ran_kpi,96,88,2.78,99.9
RAN_KPI-CELL_PRB_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,19.13,index,valid,synthetic_ran_kpi,245,243,4.53,99.9
RAN_KPI-CELL_PRB_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,32.28,index,valid,synthetic_ran_kpi,160,155,7.54,99.9
RAN_KPI-CELL_PRB_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,65.97,index,valid,synthetic_ran_kpi,271,263,3.57,99.9
RAN_KPI-CELL_PRB_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,35.65,index,valid,synthetic_ran_kpi,232,226,1.96,99.9
RAN_KPI-CELL_PRB_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,22.78,index,valid,synthetic_ran_kpi,128,122,0.81,99.9
RAN_KPI-CELL_PRB_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,34.25,index,valid,synthetic_ran_kpi,232,224,3.52,99.9
RAN_KPI-CELL_PRB_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,18.15,index,valid,synthetic_ran_kpi,235,227,7.7,99.9
RAN_KPI-CELL_PRB_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,84.66,index,valid,synthetic_ran_kpi,100,99,1.98,99.9
RAN_KPI-CELL_PRB_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,30.63,index,valid,synthetic_ran_kpi,167,166,7.28,99.9
RAN_KPI-CELL_PRB_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,52.04,index,valid,synthetic_ran_kpi,204,199,6.23,99.9
RAN_KPI-CELL_PRB_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,77.9,index,valid,synthetic_ran_kpi,210,205,1.58,99.9
RAN_KPI-CELL_PRB_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,52.03,index,valid,synthetic_ran_kpi,243,237,4.1,99.9
RAN_KPI-CELL_PRB_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,58.4,index,valid,synthetic_ran_kpi,189,187,4.3,99.9
RAN_KPI-CELL_PRB_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,23.83,index,valid,synthetic_ran_kpi,165,157,4.22,99.9
RAN_KPI-CELL_PRB_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,23.59,index,valid,synthetic_ran_kpi,249,242,1.57,99.9
RAN_KPI-CELL_PRB_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,29.59,index,valid,synthetic_ran_kpi,171,163,5.49,99.9
RAN_KPI-CELL_PRB_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.69,index,valid,synthetic_ran_kpi,241,240,2.83,99.9
RAN_KPI-CELL_PRB_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,38.99,index,valid,synthetic_ran_kpi,159,154,0.93,99.9
RAN_KPI-CELL_PRB_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,45.63,index,valid,synthetic_ran_kpi,209,205,2.61,99.9
RAN_KPI-CELL_PRB_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,49.13,index,valid,synthetic_ran_kpi,91,83,6.54,99.9
RAN_KPI-CELL_PRB_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,82.06,index,valid,synthetic_ran_kpi,275,273,3.09,99.9
RAN_KPI-CELL_PRB_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,48.56,index,valid,synthetic_ran_kpi,197,191,7.41,99.9
RAN_KPI-CELL_PRB_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,78.28,index,valid,synthetic_ran_kpi,203,201,7.27,99.9
RAN_KPI-CELL_PRB_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,16.8,index,valid,synthetic_ran_kpi,169,167,7.08,99.9
RAN_KPI-CELL_PRB_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,71.41,index,valid,synthetic_ran_kpi,154,148,3.88,99.9
RAN_KPI-CELL_PRB_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,35.12,index,valid,synthetic_ran_kpi,121,119,6.7,99.9
RAN_KPI-CELL_PRB_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,44.56,index,valid,synthetic_ran_kpi,240,233,5.66,99.9
RAN_KPI-CELL_PRB_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,22.05,index,valid,synthetic_ran_kpi,164,162,4.75,99.9
RAN_KPI-CELL_PRB_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,53.48,index,valid,synthetic_ran_kpi,92,85,1.65,99.9
RAN_KPI-CELL_PRB_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,21.38,index,valid,synthetic_ran_kpi,170,165,2.3,99.9
RAN_KPI-CELL_PRB_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,50.6,index,valid,synthetic_ran_kpi,168,160,0.57,99.9
RAN_KPI-CELL_PRB_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,74.76,index,valid,synthetic_ran_kpi,111,105,0.86,99.9
RAN_KPI-CELL_PRB_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,77.62,index,valid,synthetic_ran_kpi,140,134,2.15,99.9
RAN_KPI-CELL_PRB_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,67.03,index,valid,synthetic_ran_kpi,113,111,5.85,99.9
RAN_KPI-CELL_PRB_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,75.09,index,valid,synthetic_ran_kpi,95,87,3.79,99.9
RAN_KPI-CELL_PRB_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,23.46,index,valid,synthetic_ran_kpi,131,125,4.65,99.9
RAN_KPI-CELL_PRB_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,77.77,index,valid,synthetic_ran_kpi,175,169,4.2,99.9
RAN_KPI-CELL_PRB_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.81,index,valid,synthetic_ran_kpi,243,242,7.28,99.9
RAN_KPI-CELL_PRB_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,74.26,index,valid,synthetic_ran_kpi,135,131,1.4,99.9
RAN_KPI-CELL_PRB_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,59.9,index,valid,synthetic_ran_kpi,189,184,1.57,99.9
RAN_KPI-CELL_PRB_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,65.96,index,valid,synthetic_ran_kpi,297,291,4.03,99.9
RAN_KPI-CELL_PRB_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,58.98,index,valid,synthetic_ran_kpi,93,92,5.01,99.9
RAN_KPI-CELL_PRB_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,30.99,index,valid,synthetic_ran_kpi,202,201,3.42,99.9
RAN_KPI-CELL_PRB_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,75.8,index,valid,synthetic_ran_kpi,125,120,3.12,99.9
RAN_KPI-CELL_PRB_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,33.92,index,valid,synthetic_ran_kpi,199,198,5.29,99.9
RAN_KPI-CELL_PRB_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,44.94,index,valid,synthetic_ran_kpi,280,274,1.18,99.9
RAN_KPI-CELL_PRB_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,30.51,index,valid,synthetic_ran_kpi,213,208,6.57,99.9
RAN_KPI-CELL_PRB_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,66.89,index,valid,synthetic_ran_kpi,201,198,5.86,99.9
RAN_KPI-CELL_PRB_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,31.68,index,valid,synthetic_ran_kpi,106,99,6.16,99.9
RAN_KPI-CELL_PRB_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,53.98,index,valid,synthetic_ran_kpi,122,116,1.62,99.9
RAN_KPI-CELL_PRB_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.64,index,valid,synthetic_ran_kpi,271,265,3.88,99.9
RAN_KPI-CELL_PRB_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.23,index,valid,synthetic_ran_kpi,123,117,1.24,99.9
RAN_KPI-CELL_PRB_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,68.91,index,valid,synthetic_ran_kpi,285,277,7.22,99.9
RAN_KPI-CELL_PRB_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,16.92,index,valid,synthetic_ran_kpi,194,187,0.99,99.9
RAN_KPI-CELL_PRB_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.29,index,valid,synthetic_ran_kpi,166,165,4.32,99.9
RAN_KPI-CELL_PRB_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,25.24,index,valid,synthetic_ran_kpi,249,241,3.8,99.9
RAN_KPI-CELL_PRB_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,19.05,index,valid,synthetic_ran_kpi,137,131,2.53,99.9
RAN_KPI-CELL_PRB_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,20.11,index,valid,synthetic_ran_kpi,225,219,1.23,99.9
RAN_KPI-CELL_PRB_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,51.08,index,valid,synthetic_ran_kpi,210,205,5.33,99.9
RAN_KPI-CELL_PRB_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,77.7,index,valid,synthetic_ran_kpi,268,260,3.29,99.9
RAN_KPI-CELL_PRB_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,71.55,index,valid,synthetic_ran_kpi,105,103,7.95,99.9
RAN_KPI-CELL_PRB_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,88.3,index,degraded,synthetic_ran_kpi,198,172,5.93,98.0
RAN_KPI-CELL_PRB_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,52.4,index,valid,synthetic_ran_kpi,131,126,0.59,99.9
RAN_KPI-CELL_PRB_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,66.54,index,valid,synthetic_ran_kpi,84,78,2.14,99.9
RAN_KPI-CELL_PRB_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,16.99,index,valid,synthetic_ran_kpi,269,267,6.74,99.9
RAN_KPI-CELL_PRB_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,62.6,index,valid,synthetic_ran_kpi,208,202,2.07,99.9
RAN_KPI-CELL_PRB_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,44.2,index,valid,synthetic_ran_kpi,134,131,3.97,99.9
RAN_KPI-CELL_PRB_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,59.31,index,valid,synthetic_ran_kpi,300,293,6.2,99.9
RAN_KPI-CELL_PRB_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,68.96,index,valid,synthetic_ran_kpi,107,103,7.11,99.9
RAN_KPI-CELL_PRB_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,80.44,index,valid,synthetic_ran_kpi,96,95,1.63,99.9
RAN_KPI-CELL_PRB_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,52.81,index,valid,synthetic_ran_kpi,124,116,1.66,99.9
RAN_KPI-CELL_PRB_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.27,index,valid,synthetic_ran_kpi,136,130,6.29,99.9
RAN_KPI-CELL_PRB_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,81.02,index,valid,synthetic_ran_kpi,274,271,2.99,99.9
RAN_KPI-CELL_PRB_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,29.34,index,valid,synthetic_ran_kpi,88,87,3.74,99.9
RAN_KPI-CELL_PRB_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,84.82,index,valid,synthetic_ran_kpi,195,189,2.68,99.9
RAN_KPI-CELL_PRB_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,60.01,index,valid,synthetic_ran_kpi,112,105,0.66,99.9
RAN_KPI-CELL_PRB_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,18.08,index,valid,synthetic_ran_kpi,237,235,3.28,99.9
RAN_KPI-CELL_PRB_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,72.23,index,valid,synthetic_ran_kpi,249,241,5.93,99.9
RAN_KPI-CELL_PRB_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.74,index,valid,synthetic_ran_kpi,153,148,7.58,99.9
RAN_KPI-CELL_PRB_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,69.17,index,valid,synthetic_ran_kpi,210,206,3.9,99.9
RAN_KPI-CELL_PRB_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,81.51,index,valid,synthetic_ran_kpi,261,253,3.5,99.9
RAN_KPI-CELL_PRB_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,71.0,index,valid,synthetic_ran_kpi,172,165,2.34,99.9
RAN_KPI-CELL_PRB_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,70.39,index,valid,synthetic_ran_kpi,213,207,4.37,99.9
RAN_KPI-CELL_PRB_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,25.46,index,valid,synthetic_ran_kpi,268,263,2.9,99.9
RAN_KPI-CELL_PRB_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,81.41,index,valid,synthetic_ran_kpi,221,217,6.33,99.9
RAN_KPI-CELL_PRB_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,15.84,index,valid,synthetic_ran_kpi,163,162,4.25,99.9
