cell_availability_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,41.51,index,valid,synthetic_ran_kpi,257,249,2.63,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,25.8,index,valid,synthetic_ran_kpi,286,284,3.77,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,71.52,index,valid,synthetic_ran_kpi,268,260,4.96,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,59.3,index,valid,synthetic_ran_kpi,185,182,0.8,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,24.98,index,valid,synthetic_ran_kpi,163,162,7.54,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,26.25,index,valid,synthetic_ran_kpi,178,170,0.61,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,71.05,index,valid,synthetic_ran_kpi,286,280,2.13,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,15.86,index,valid,synthetic_ran_kpi,137,133,3.68,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,64.97,index,valid,synthetic_ran_kpi,211,203,2.12,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,47.89,index,valid,synthetic_ran_kpi,252,246,5.89,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,71.27,index,valid,synthetic_ran_kpi,277,270,4.64,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,63.79,index,valid,synthetic_ran_kpi,237,230,1.81,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,73.66,index,valid,synthetic_ran_kpi,246,244,6.57,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,21.64,index,valid,synthetic_ran_kpi,91,83,4.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,70.29,index,valid,synthetic_ran_kpi,205,202,7.11,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,21.64,index,valid,synthetic_ran_kpi,161,156,2.41,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,58.36,index,valid,synthetic_ran_kpi,296,292,1.69,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,36.23,index,valid,synthetic_ran_kpi,193,185,2.19,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,18.49,index,valid,synthetic_ran_kpi,147,146,4.05,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,62.06,index,valid,synthetic_ran_kpi,271,263,2.93,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,21.28,index,valid,synthetic_ran_kpi,122,114,1.15,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,44.07,index,valid,synthetic_ran_kpi,111,103,4.51,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,59.46,index,valid,synthetic_ran_kpi,279,274,0.56,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,76.8,index,valid,synthetic_ran_kpi,233,231,2.67,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.52,index,valid,synthetic_ran_kpi,187,184,7.51,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,39.1,index,valid,synthetic_ran_kpi,187,179,1.88,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,39.92,index,valid,synthetic_ran_kpi,269,268,7.64,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,31.91,index,valid,synthetic_ran_kpi,188,185,2.47,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,31.66,index,valid,synthetic_ran_kpi,278,273,7.16,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,54.36,index,valid,synthetic_ran_kpi,169,163,4.62,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,26.74,index,valid,synthetic_ran_kpi,165,164,4.04,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,69.83,index,valid,synthetic_ran_kpi,297,295,3.33,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,31.77,index,valid,synthetic_ran_kpi,99,95,1.13,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,31.88,index,valid,synthetic_ran_kpi,124,117,4.43,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,77.78,index,valid,synthetic_ran_kpi,241,234,7.06,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,63.48,index,valid,synthetic_ran_kpi,219,211,1.81,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,40.48,index,valid,synthetic_ran_kpi,263,260,2.19,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,24.71,index,valid,synthetic_ran_kpi,300,297,7.48,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,21.05,index,valid,synthetic_ran_kpi,298,291,5.19,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,69.68,index,valid,synthetic_ran_kpi,101,93,6.83,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,78.43,index,valid,synthetic_ran_kpi,288,285,2.88,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.04,index,valid,synthetic_ran_kpi,223,219,0.66,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,67.2,index,valid,synthetic_ran_kpi,244,239,4.25,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,84.09,index,valid,synthetic_ran_kpi,264,260,7.74,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,39.95,index,valid,synthetic_ran_kpi,289,288,6.63,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,77.38,index,valid,synthetic_ran_kpi,155,148,6.22,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,68.76,index,valid,synthetic_ran_kpi,112,104,0.82,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,31.27,index,valid,synthetic_ran_kpi,166,159,4.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,31.74,index,valid,synthetic_ran_kpi,260,253,1.93,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,25.74,index,valid,synthetic_ran_kpi,181,175,0.71,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,81.37,index,valid,synthetic_ran_kpi,144,136,2.28,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,27.49,index,valid,synthetic_ran_kpi,259,255,4.99,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,78.27,index,valid,synthetic_ran_kpi,226,224,3.41,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,15.73,index,valid,synthetic_ran_kpi,175,171,7.15,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,39.62,index,valid,synthetic_ran_kpi,291,290,3.52,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,30.5,index,valid,synthetic_ran_kpi,191,188,0.83,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,74.43,index,valid,synthetic_ran_kpi,190,188,2.29,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,15.23,index,valid,synthetic_ran_kpi,100,98,0.58,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,78.29,index,valid,synthetic_ran_kpi,188,183,7.13,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,68.74,index,valid,synthetic_ran_kpi,222,214,1.44,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,32.52,index,valid,synthetic_ran_kpi,218,212,4.83,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,18.28,index,valid,synthetic_ran_kpi,204,202,0.92,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,36.85,index,valid,synthetic_ran_kpi,244,236,3.18,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,23.29,index,valid,synthetic_ran_kpi,291,284,1.94,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,26.16,index,valid,synthetic_ran_kpi,187,185,7.48,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,49.32,index,valid,synthetic_ran_kpi,161,156,3.94,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,24.76,index,valid,synthetic_ran_kpi,209,201,7.6,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.62,index,valid,synthetic_ran_kpi,154,148,3.65,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.36,index,valid,synthetic_ran_kpi,264,256,7.64,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,20.17,index,valid,synthetic_ran_kpi,114,111,4.02,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,75.88,index,valid,synthetic_ran_kpi,207,200,3.45,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,15.29,index,valid,synthetic_ran_kpi,275,274,7.12,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,49.82,index,valid,synthetic_ran_kpi,146,140,6.65,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,46.32,index,valid,synthetic_ran_kpi,205,199,2.82,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,43.73,index,valid,synthetic_ran_kpi,126,123,3.65,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,82.65,index,valid,synthetic_ran_kpi,224,216,5.15,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,41.3,index,valid,synthetic_ran_kpi,171,168,7.55,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,44.79,index,valid,synthetic_ran_kpi,212,205,6.25,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,37.28,index,valid,synthetic_ran_kpi,118,116,6.61,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,30.82,index,valid,synthetic_ran_kpi,281,274,2.61,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,70.44,index,valid,synthetic_ran_kpi,177,170,6.61,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,50.23,index,valid,synthetic_ran_kpi,212,209,2.36,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,84.59,index,valid,synthetic_ran_kpi,261,256,4.89,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.74,index,valid,synthetic_ran_kpi,241,236,4.43,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,63.53,index,valid,synthetic_ran_kpi,170,164,6.22,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,52.59,index,valid,synthetic_ran_kpi,104,97,7.14,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,38.67,index,valid,synthetic_ran_kpi,218,210,5.55,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,38.64,index,valid,synthetic_ran_kpi,179,178,4.7,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,16.07,index,valid,synthetic_ran_kpi,290,283,4.5,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,67.63,index,degraded,synthetic_ran_kpi,131,109,0.52,98.0
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,80.68,index,valid,synthetic_ran_kpi,106,100,7.55,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.53,index,valid,synthetic_ran_kpi,98,90,7.72,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.71,index,valid,synthetic_ran_kpi,135,134,4.27,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,76.62,index,valid,synthetic_ran_kpi,226,222,6.54,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,74.07,index,valid,synthetic_ran_kpi,148,147,5.93,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,46.4,index,valid,synthetic_ran_kpi,94,86,5.18,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,79.37,index,valid,synthetic_ran_kpi,83,82,6.45,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,34.45,index,valid,synthetic_ran_kpi,172,164,7.19,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,83.56,index,valid,synthetic_ran_kpi,183,178,6.52,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,41.26,index,valid,synthetic_ran_kpi,91,88,2.38,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,55.41,index,valid,synthetic_ran_kpi,213,212,3.35,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,82.64,index,valid,synthetic_ran_kpi,262,254,6.8,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,57.01,index,valid,synthetic_ran_kpi,143,142,4.66,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,63.56,index,valid,synthetic_ran_kpi,273,269,4.28,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,18.42,index,valid,synthetic_ran_kpi,258,250,1.21,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,69.4,index,valid,synthetic_ran_kpi,235,231,1.77,99.9
RAN_KPI-CELL_AVAILABILITY_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.19,index,valid,synthetic_ran_kpi,218,210,0.79,99.9
