cell_retention_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RETENTION_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,68.8,index,valid,synthetic_ran_kpi,289,283,3.72,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,59.6,index,valid,synthetic_ran_kpi,103,98,4.61,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,51.0,index,valid,synthetic_ran_kpi,288,280,4.5,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,67.36,index,valid,synthetic_ran_kpi,277,272,2.77,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,59.43,index,valid,synthetic_ran_kpi,157,155,1.86,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,29.45,index,valid,synthetic_ran_kpi,197,196,4.31,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,41.27,index,valid,synthetic_ran_kpi,258,257,7.23,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,23.17,index,valid,synthetic_ran_kpi,149,141,1.14,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,79.08,index,valid,synthetic_ran_kpi,297,295,4.53,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,67.88,index,valid,synthetic_ran_kpi,248,245,2.36,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,21.18,index,valid,synthetic_ran_kpi,255,252,2.17,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,20.98,index,valid,synthetic_ran_kpi,218,211,5.83,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,39.43,index,valid,synthetic_ran_kpi,236,234,5.5,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,61.53,index,valid,synthetic_ran_kpi,171,166,5.24,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,15.47,index,valid,synthetic_ran_kpi,129,125,1.87,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,54.66,index,valid,synthetic_ran_kpi,141,135,7.17,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,76.4,index,valid,synthetic_ran_kpi,112,110,6.42,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,53.86,index,valid,synthetic_ran_kpi,178,172,4.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,70.91,index,valid,synthetic_ran_kpi,167,166,3.26,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,72.33,index,valid,synthetic_ran_kpi,157,153,7.09,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,35.16,index,valid,synthetic_ran_kpi,123,120,5.85,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,60.72,index,valid,synthetic_ran_kpi,207,202,4.15,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,64.73,index,valid,synthetic_ran_kpi,166,159,7.55,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,83.67,index,valid,synthetic_ran_kpi,257,251,3.12,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,72.73,index,valid,synthetic_ran_kpi,146,140,2.44,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,16.4,index,valid,synthetic_ran_kpi,97,91,3.46,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,49.48,index,valid,synthetic_ran_kpi,178,176,3.67,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,60.36,index,valid,synthetic_ran_kpi,246,241,3.14,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,45.32,index,valid,synthetic_ran_kpi,191,185,7.19,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,80.25,index,valid,synthetic_ran_kpi,246,240,5.36,99.9
RAN_KPI-CELL_RETENTION_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,62.71,index,valid,synthetic_ran_kpi,233,230,4.53,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,53.32,index,valid,synthetic_ran_kpi,99,91,1.69,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,83.8,index,valid,synthetic_ran_kpi,93,89,1.72,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,76.83,index,valid,synthetic_ran_kpi,243,239,7.27,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,69.1,index,valid,synthetic_ran_kpi,286,285,0.95,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,19.22,index,valid,synthetic_ran_kpi,224,217,6.76,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,74.34,index,valid,synthetic_ran_kpi,237,236,4.59,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,20.94,index,valid,synthetic_ran_kpi,241,238,7.41,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,48.5,index,valid,synthetic_ran_kpi,199,191,7.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,34.15,index,valid,synthetic_ran_kpi,243,241,3.04,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,26.89,index,valid,synthetic_ran_kpi,172,164,7.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,19.19,index,valid,synthetic_ran_kpi,138,131,7.46,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,40.0,index,valid,synthetic_ran_kpi,226,223,7.04,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,75.54,index,valid,synthetic_ran_kpi,196,191,2.19,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,24.87,index,valid,synthetic_ran_kpi,185,178,5.24,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,50.55,index,valid,synthetic_ran_kpi,252,246,2.56,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,71.11,index,valid,synthetic_ran_kpi,218,213,4.81,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,45.92,index,valid,synthetic_ran_kpi,94,91,7.76,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,60.8,index,valid,synthetic_ran_kpi,214,213,0.69,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,73.6,index,valid,synthetic_ran_kpi,294,288,2.19,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,70.39,index,valid,synthetic_ran_kpi,293,287,1.95,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,58.82,index,valid,synthetic_ran_kpi,146,141,0.8,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,52.79,index,valid,synthetic_ran_kpi,206,198,4.18,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,74.22,index,valid,synthetic_ran_kpi,281,275,4.78,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,32.18,index,valid,synthetic_ran_kpi,208,202,1.49,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,22.32,index,valid,synthetic_ran_kpi,288,287,2.4,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,78.85,index,valid,synthetic_ran_kpi,225,223,3.65,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.78,index,valid,synthetic_ran_kpi,221,220,3.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,38.94,index,valid,synthetic_ran_kpi,195,194,6.11,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,35.0,index,valid,synthetic_ran_kpi,225,218,7.6,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,40.41,index,valid,synthetic_ran_kpi,194,191,3.54,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.48,index,valid,synthetic_ran_kpi,153,152,2.34,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,78.33,index,valid,synthetic_ran_kpi,242,240,1.05,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,25.36,index,valid,synthetic_ran_kpi,199,192,5.59,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,57.61,index,valid,synthetic_ran_kpi,179,173,3.09,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,29.69,index,valid,synthetic_ran_kpi,97,91,4.46,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.17,index,valid,synthetic_ran_kpi,223,222,1.42,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,16.33,index,valid,synthetic_ran_kpi,96,91,3.44,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,34.62,index,valid,synthetic_ran_kpi,180,178,5.21,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,22.84,index,valid,synthetic_ran_kpi,129,125,3.93,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,52.54,index,valid,synthetic_ran_kpi,207,203,4.08,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,62.49,index,valid,synthetic_ran_kpi,293,289,0.99,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,69.92,index,valid,synthetic_ran_kpi,175,169,1.16,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,38.49,index,valid,synthetic_ran_kpi,271,267,7.36,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,80.42,index,valid,synthetic_ran_kpi,226,222,3.65,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,61.24,index,valid,synthetic_ran_kpi,102,95,1.69,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,39.72,index,degraded,synthetic_ran_kpi,187,164,3.93,98.0
RAN_KPI-CELL_RETENTION_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,63.69,index,valid,synthetic_ran_kpi,175,174,1.79,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,31.0,index,valid,synthetic_ran_kpi,134,130,0.92,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,37.94,index,valid,synthetic_ran_kpi,236,230,7.03,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,69.84,index,valid,synthetic_ran_kpi,150,144,7.09,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,72.34,index,valid,synthetic_ran_kpi,290,287,4.84,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,25.01,index,valid,synthetic_ran_kpi,219,214,7.47,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,71.11,index,valid,synthetic_ran_kpi,163,157,2.44,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,32.07,index,valid,synthetic_ran_kpi,115,110,6.21,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,66.52,index,valid,synthetic_ran_kpi,287,279,5.16,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,28.2,index,valid,synthetic_ran_kpi,155,148,7.8,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,80.29,index,valid,synthetic_ran_kpi,144,140,4.52,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,66.98,index,valid,synthetic_ran_kpi,131,123,6.21,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,34.36,index,valid,synthetic_ran_kpi,153,147,1.46,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,28.99,index,valid,synthetic_ran_kpi,110,109,6.57,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,38.34,index,valid,synthetic_ran_kpi,260,255,5.89,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,28.94,index,valid,synthetic_ran_kpi,127,119,5.93,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,68.64,index,valid,synthetic_ran_kpi,138,133,7.61,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.76,index,valid,synthetic_ran_kpi,244,240,5.01,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,40.84,index,valid,synthetic_ran_kpi,238,237,7.8,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,52.27,index,valid,synthetic_ran_kpi,129,127,7.86,99.9
RAN_KPI-CELL_RETENTION_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,47.16,index,valid,synthetic_ran_kpi,162,159,2.62,99.9
