cell_rrc_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RRC_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,71.15,index,degraded,synthetic_ran_kpi,236,215,3.22,98.0
RAN_KPI-CELL_RRC_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,64.05,index,valid,synthetic_ran_kpi,175,168,4.93,99.9
RAN_KPI-CELL_RRC_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,44.11,index,valid,synthetic_ran_kpi,177,174,6.92,99.9
RAN_KPI-CELL_RRC_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,37.52,index,valid,synthetic_ran_kpi,192,190,7.62,99.9
RAN_KPI-CELL_RRC_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,20.58,index,valid,synthetic_ran_kpi,109,108,1.05,99.9
RAN_KPI-CELL_RRC_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,40.69,index,valid,synthetic_ran_kpi,198,197,1.16,99.9
RAN_KPI-CELL_RRC_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,50.97,index,valid,synthetic_ran_kpi,282,279,5.91,99.9
RAN_KPI-CELL_RRC_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,38.71,index,valid,synthetic_ran_kpi,204,200,7.18,99.9
RAN_KPI-CELL_RRC_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,35.21,index,valid,synthetic_ran_kpi,132,125,5.41,99.9
RAN_KPI-CELL_RRC_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,50.48,index,valid,synthetic_ran_kpi,289,287,4.11,99.9
RAN_KPI-CELL_RRC_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,45.78,index,valid,synthetic_ran_kpi,81,80,6.91,99.9
RAN_KPI-CELL_RRC_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,44.92,index,valid,synthetic_ran_kpi,170,162,7.6,99.9
RAN_KPI-CELL_RRC_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,67.73,index,valid,synthetic_ran_kpi,162,158,4.78,99.9
RAN_KPI-CELL_RRC_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,28.01,index,valid,synthetic_ran_kpi,278,271,4.78,99.9
RAN_KPI-CELL_RRC_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,42.84,index,valid,synthetic_ran_kpi,285,281,3.06,99.9
RAN_KPI-CELL_RRC_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,41.28,index,valid,synthetic_ran_kpi,139,132,5.6,99.9
RAN_KPI-CELL_RRC_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,38.04,index,valid,synthetic_ran_kpi,188,185,0.65,99.9
RAN_KPI-CELL_RRC_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,24.38,index,valid,synthetic_ran_kpi,142,139,2.86,99.9
RAN_KPI-CELL_RRC_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,68.75,index,valid,synthetic_ran_kpi,214,209,7.15,99.9
RAN_KPI-CELL_RRC_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,47.82,index,valid,synthetic_ran_kpi,189,188,1.92,99.9
RAN_KPI-CELL_RRC_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,63.34,index,valid,synthetic_ran_kpi,169,168,6.87,99.9
RAN_KPI-CELL_RRC_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,46.06,index,valid,synthetic_ran_kpi,229,225,5.49,99.9
RAN_KPI-CELL_RRC_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,23.83,index,valid,synthetic_ran_kpi,113,110,0.54,99.9
RAN_KPI-CELL_RRC_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,70.51,index,valid,synthetic_ran_kpi,211,206,4.02,99.9
RAN_KPI-CELL_RRC_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,50.91,index,valid,synthetic_ran_kpi,80,78,7.08,99.9
RAN_KPI-CELL_RRC_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,37.71,index,valid,synthetic_ran_kpi,100,96,2.0,99.9
RAN_KPI-CELL_RRC_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,77.67,index,valid,synthetic_ran_kpi,146,138,5.8,99.9
RAN_KPI-CELL_RRC_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,74.26,index,valid,synthetic_ran_kpi,168,160,5.92,99.9
RAN_KPI-CELL_RRC_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,70.32,index,valid,synthetic_ran_kpi,81,80,4.98,99.9
RAN_KPI-CELL_RRC_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,79.2,index,valid,synthetic_ran_kpi,198,197,4.17,99.9
RAN_KPI-CELL_RRC_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,60.86,index,valid,synthetic_ran_kpi,195,194,3.79,99.9
RAN_KPI-CELL_RRC_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,33.43,index,valid,synthetic_ran_kpi,105,100,7.38,99.9
RAN_KPI-CELL_RRC_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,31.58,index,valid,synthetic_ran_kpi,202,196,4.24,99.9
RAN_KPI-CELL_RRC_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,35.15,index,valid,synthetic_ran_kpi,300,298,7.2,99.9
RAN_KPI-CELL_RRC_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,48.78,index,valid,synthetic_ran_kpi,229,227,6.09,99.9
RAN_KPI-CELL_RRC_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,70.11,index,valid,synthetic_ran_kpi,156,150,3.95,99.9
RAN_KPI-CELL_RRC_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,35.58,index,valid,synthetic_ran_kpi,120,116,1.27,99.9
RAN_KPI-CELL_RRC_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.55,index,valid,synthetic_ran_kpi,256,254,7.32,99.9
RAN_KPI-CELL_RRC_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.89,index,valid,synthetic_ran_kpi,260,258,3.29,99.9
RAN_KPI-CELL_RRC_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,27.79,index,valid,synthetic_ran_kpi,201,199,4.18,99.9
RAN_KPI-CELL_RRC_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,48.95,index,valid,synthetic_ran_kpi,98,94,5.04,99.9
RAN_KPI-CELL_RRC_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.83,index,valid,synthetic_ran_kpi,188,182,6.75,99.9
RAN_KPI-CELL_RRC_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,19.01,index,valid,synthetic_ran_kpi,172,167,5.68,99.9
RAN_KPI-CELL_RRC_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,16.13,index,valid,synthetic_ran_kpi,212,210,0.87,99.9
RAN_KPI-CELL_RRC_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,52.62,index,valid,synthetic_ran_kpi,102,98,2.24,99.9
RAN_KPI-CELL_RRC_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,18.14,index,valid,synthetic_ran_kpi,280,278,3.42,99.9
RAN_KPI-CELL_RRC_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,68.89,index,valid,synthetic_ran_kpi,171,170,1.31,99.9
RAN_KPI-CELL_RRC_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,20.6,index,valid,synthetic_ran_kpi,210,202,3.26,99.9
RAN_KPI-CELL_RRC_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,77.88,index,valid,synthetic_ran_kpi,197,194,5.17,99.9
RAN_KPI-CELL_RRC_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,46.76,index,valid,synthetic_ran_kpi,276,272,6.4,99.9
RAN_KPI-CELL_RRC_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,53.25,index,valid,synthetic_ran_kpi,237,236,6.47,99.9
RAN_KPI-CELL_RRC_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,48.65,index,valid,synthetic_ran_kpi,268,263,5.09,99.9
RAN_KPI-CELL_RRC_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,69.3,index,valid,synthetic_ran_kpi,257,252,4.47,99.9
RAN_KPI-CELL_RRC_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,78.15,index,valid,synthetic_ran_kpi,285,277,4.61,99.9
RAN_KPI-CELL_RRC_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,63.84,index,valid,synthetic_ran_kpi,99,98,0.76,99.9
RAN_KPI-CELL_RRC_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,26.07,index,valid,synthetic_ran_kpi,82,75,6.97,99.9
RAN_KPI-CELL_RRC_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,36.25,index,valid,synthetic_ran_kpi,152,144,0.62,99.9
RAN_KPI-CELL_RRC_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,25.3,index,valid,synthetic_ran_kpi,226,218,3.82,99.9
RAN_KPI-CELL_RRC_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,58.0,index,valid,synthetic_ran_kpi,227,224,1.3,99.9
RAN_KPI-CELL_RRC_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,48.71,index,valid,synthetic_ran_kpi,130,126,2.37,99.9
RAN_KPI-CELL_RRC_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,18.51,index,valid,synthetic_ran_kpi,290,282,5.3,99.9
RAN_KPI-CELL_RRC_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,59.33,index,valid,synthetic_ran_kpi,129,121,3.13,99.9
RAN_KPI-CELL_RRC_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,32.98,index,valid,synthetic_ran_kpi,196,194,0.56,99.9
RAN_KPI-CELL_RRC_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,24.48,index,valid,synthetic_ran_kpi,283,280,5.36,99.9
RAN_KPI-CELL_RRC_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,64.74,index,valid,synthetic_ran_kpi,222,220,0.94,99.9
RAN_KPI-CELL_RRC_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,63.23,index,valid,synthetic_ran_kpi,209,204,2.89,99.9
RAN_KPI-CELL_RRC_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,22.79,index,valid,synthetic_ran_kpi,256,255,6.31,99.9
RAN_KPI-CELL_RRC_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,78.88,index,valid,synthetic_ran_kpi,267,260,2.88,99.9
RAN_KPI-CELL_RRC_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.92,index,valid,synthetic_ran_kpi,97,96,0.56,99.9
RAN_KPI-CELL_RRC_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.72,index,valid,synthetic_ran_kpi,265,257,2.07,99.9
RAN_KPI-CELL_RRC_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,33.06,index,valid,synthetic_ran_kpi,134,131,7.82,99.9
RAN_KPI-CELL_RRC_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,61.19,index,valid,synthetic_ran_kpi,159,152,3.44,99.9
RAN_KPI-CELL_RRC_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,84.56,index,valid,synthetic_ran_kpi,90,84,4.22,99.9
RAN_KPI-CELL_RRC_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,18.92,index,valid,synthetic_ran_kpi,165,158,7.14,99.9
RAN_KPI-CELL_RRC_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,59.64,index,valid,synthetic_ran_kpi,265,263,1.7,99.9
RAN_KPI-CELL_RRC_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,76.22,index,valid,synthetic_ran_kpi,175,172,4.73,99.9
RAN_KPI-CELL_RRC_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,66.17,index,valid,synthetic_ran_kpi,279,277,5.32,99.9
RAN_KPI-CELL_RRC_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,63.4,index,valid,synthetic_ran_kpi,291,285,2.44,99.9
RAN_KPI-CELL_RRC_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,18.76,index,valid,synthetic_ran_kpi,260,252,1.28,99.9
RAN_KPI-CELL_RRC_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,39.07,index,valid,synthetic_ran_kpi,195,188,7.95,99.9
RAN_KPI-CELL_RRC_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.49,index,valid,synthetic_ran_kpi,239,232,0.68,99.9
RAN_KPI-CELL_RRC_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,59.12,index,valid,synthetic_ran_kpi,239,238,4.67,99.9
RAN_KPI-CELL_RRC_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,70.28,index,valid,synthetic_ran_kpi,197,194,4.8,99.9
RAN_KPI-CELL_RRC_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,80.81,index,valid,synthetic_ran_kpi,130,124,6.59,99.9
RAN_KPI-CELL_RRC_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,77.16,index,valid,synthetic_ran_kpi,229,225,6.46,99.9
RAN_KPI-CELL_RRC_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,77.06,index,valid,synthetic_ran_kpi,168,165,2.57,99.9
RAN_KPI-CELL_RRC_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,49.77,index,valid,synthetic_ran_kpi,132,125,0.77,99.9
RAN_KPI-CELL_RRC_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,54.64,index,valid,synthetic_ran_kpi,83,78,2.03,99.9
RAN_KPI-CELL_RRC_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,29.53,index,valid,synthetic_ran_kpi,153,149,4.22,99.9
RAN_KPI-CELL_RRC_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,60.09,index,valid,synthetic_ran_kpi,299,294,7.85,99.9
RAN_KPI-CELL_RRC_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,98.17,index,degraded,synthetic_ran_kpi,172,145,7.47,98.0
RAN_KPI-CELL_RRC_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,53.53,index,valid,synthetic_ran_kpi,141,137,6.71,99.9
RAN_KPI-CELL_RRC_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,33.48,index,valid,synthetic_ran_kpi,253,248,5.05,99.9
RAN_KPI-CELL_RRC_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,34.32,index,valid,synthetic_ran_kpi,202,195,3.73,99.9
RAN_KPI-CELL_RRC_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,18.8,index,valid,synthetic_ran_kpi,110,108,0.81,99.9
RAN_KPI-CELL_RRC_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.15,index,valid,synthetic_ran_kpi,89,87,3.62,99.9
RAN_KPI-CELL_RRC_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,65.06,index,valid,synthetic_ran_kpi,239,235,3.09,99.9
RAN_KPI-CELL_RRC_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,40.23,index,valid,synthetic_ran_kpi,259,258,5.53,99.9
RAN_KPI-CELL_RRC_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,43.3,index,valid,synthetic_ran_kpi,202,194,6.94,99.9
RAN_KPI-CELL_RRC_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,42.81,index,valid,synthetic_ran_kpi,207,205,3.29,99.9
RAN_KPI-CELL_RRC_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,34.6,index,valid,synthetic_ran_kpi,100,97,4.32,99.9
RAN_KPI-CELL_RRC_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,39.2,index,valid,synthetic_ran_kpi,219,211,6.14,99.9
RAN_KPI-CELL_RRC_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,40.81,index,valid,synthetic_ran_kpi,265,261,7.7,99.9
RAN_KPI-CELL_RRC_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,81.68,index,valid,synthetic_ran_kpi,81,78,6.44,99.9
RAN_KPI-CELL_RRC_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,79.86,index,valid,synthetic_ran_kpi,293,289,4.57,99.9
RAN_KPI-CELL_RRC_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,45.99,index,valid,synthetic_ran_kpi,158,150,2.33,99.9
RAN_KPI-CELL_RRC_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,82.98,index,valid,synthetic_ran_kpi,164,162,6.92,99.9
RAN_KPI-CELL_RRC_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.22,index,valid,synthetic_ran_kpi,213,210,6.25,99.9
RAN_KPI-CELL_RRC_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,32.6,index,valid,synthetic_ran_kpi,295,290,2.71,99.9
RAN_KPI-CELL_RRC_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,25.9,index,valid,synthetic_ran_kpi,94,88,1.93,99.9
RAN_KPI-CELL_RRC_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,41.7,index,valid,synthetic_ran_kpi,298,297,7.99,99.9
RAN_KPI-CELL_RRC_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,72.82,index,valid,synthetic_ran_kpi,218,217,6.33,99.9
RAN_KPI-CELL_RRC_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,66.67,index,valid,synthetic_ran_kpi,268,261,3.64,99.9
RAN_KPI-CELL_RRC_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,72.27,index,valid,synthetic_ran_kpi,183,180,6.81,99.9
RAN_KPI-CELL_RRC_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,33.74,index,valid,synthetic_ran_kpi,123,117,5.42,99.9
