cell_bler_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_BLER_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,34.02,index,valid,synthetic_ran_kpi,238,230,6.99,99.9
RAN_KPI-CELL_BLER_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,81.25,index,valid,synthetic_ran_kpi,272,269,5.82,99.9
RAN_KPI-CELL_BLER_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,59.5,index,valid,synthetic_ran_kpi,117,113,0.69,99.9
RAN_KPI-CELL_BLER_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,26.65,index,valid,synthetic_ran_kpi,190,183,5.87,99.9
RAN_KPI-CELL_BLER_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,60.1,index,valid,synthetic_ran_kpi,150,145,2.59,99.9
RAN_KPI-CELL_BLER_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,58.97,index,valid,synthetic_ran_kpi,275,270,4.62,99.9
RAN_KPI-CELL_BLER_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,53.56,index,valid,synthetic_ran_kpi,275,274,3.32,99.9
RAN_KPI-CELL_BLER_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,15.02,index,valid,synthetic_ran_kpi,179,175,1.63,99.9
RAN_KPI-CELL_BLER_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,55.11,index,valid,synthetic_ran_kpi,210,209,6.39,99.9
RAN_KPI-CELL_BLER_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,49.96,index,valid,synthetic_ran_kpi,204,199,5.73,99.9
RAN_KPI-CELL_BLER_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,81.31,index,valid,synthetic_ran_kpi,156,150,5.41,99.9
RAN_KPI-CELL_BLER_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,40.1,index,valid,synthetic_ran_kpi,177,173,0.67,99.9
RAN_KPI-CELL_BLER_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,24.34,index,valid,synthetic_ran_kpi,136,131,2.24,99.9
RAN_KPI-CELL_BLER_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,42.55,index,valid,synthetic_ran_kpi,136,133,1.43,99.9
RAN_KPI-CELL_BLER_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,16.48,index,valid,synthetic_ran_kpi,291,284,2.77,99.9
RAN_KPI-CELL_BLER_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,54.89,index,valid,synthetic_ran_kpi,118,114,6.86,99.9
RAN_KPI-CELL_BLER_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,29.38,index,valid,synthetic_ran_kpi,225,217,4.47,99.9
RAN_KPI-CELL_BLER_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,74.71,index,valid,synthetic_ran_kpi,263,262,7.41,99.9
RAN_KPI-CELL_BLER_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.55,index,valid,synthetic_ran_kpi,231,225,4.8,99.9
RAN_KPI-CELL_BLER_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,66.65,index,valid,synthetic_ran_kpi,273,272,2.49,99.9
RAN_KPI-CELL_BLER_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,77.18,index,valid,synthetic_ran_kpi,188,185,7.58,99.9
RAN_KPI-CELL_BLER_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,71.89,index,valid,synthetic_ran_kpi,221,214,7.78,99.9
RAN_KPI-CELL_BLER_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,69.07,index,valid,synthetic_ran_kpi,255,253,5.29,99.9
RAN_KPI-CELL_BLER_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,45.27,index,valid,synthetic_ran_kpi,245,244,3.92,99.9
RAN_KPI-CELL_BLER_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,80.15,index,valid,synthetic_ran_kpi,211,207,1.99,99.9
RAN_KPI-CELL_BLER_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,55.43,index,valid,synthetic_ran_kpi,216,213,6.68,99.9
RAN_KPI-CELL_BLER_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,63.36,index,valid,synthetic_ran_kpi,142,134,5.6,99.9
RAN_KPI-CELL_BLER_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,65.71,index,valid,synthetic_ran_kpi,143,136,0.9,99.9
RAN_KPI-CELL_BLER_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,76.09,index,valid,synthetic_ran_kpi,130,125,6.19,99.9
RAN_KPI-CELL_BLER_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,59.88,index,valid,synthetic_ran_kpi,290,285,0.93,99.9
RAN_KPI-CELL_BLER_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,15.16,index,valid,synthetic_ran_kpi,200,198,2.88,99.9
RAN_KPI-CELL_BLER_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,45.55,index,valid,synthetic_ran_kpi,202,201,4.28,99.9
RAN_KPI-CELL_BLER_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,56.56,index,valid,synthetic_ran_kpi,178,173,1.2,99.9
RAN_KPI-CELL_BLER_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,28.64,index,valid,synthetic_ran_kpi,166,163,6.22,99.9
RAN_KPI-CELL_BLER_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,54.91,index,valid,synthetic_ran_kpi,244,242,2.5,99.9
RAN_KPI-CELL_BLER_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,72.93,index,valid,synthetic_ran_kpi,150,146,7.17,99.9
RAN_KPI-CELL_BLER_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,52.2,index,valid,synthetic_ran_kpi,151,149,4.72,99.9
RAN_KPI-CELL_BLER_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,58.62,index,valid,synthetic_ran_kpi,241,239,7.41,99.9
RAN_KPI-CELL_BLER_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,48.78,index,valid,synthetic_ran_kpi,276,275,2.58,99.9
RAN_KPI-CELL_BLER_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,33.25,index,valid,synthetic_ran_kpi,130,128,4.33,99.9
RAN_KPI-CELL_BLER_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,35.58,index,valid,synthetic_ran_kpi,165,163,0.7,99.9
RAN_KPI-CELL_BLER_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,83.14,index,valid,synthetic_ran_kpi,188,186,6.43,99.9
RAN_KPI-CELL_BLER_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.09,index,valid,synthetic_ran_kpi,213,211,6.57,99.9
RAN_KPI-CELL_BLER_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,59.36,index,valid,synthetic_ran_kpi,220,218,6.32,99.9
RAN_KPI-CELL_BLER_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,73.84,index,valid,synthetic_ran_kpi,83,77,2.49,99.9
RAN_KPI-CELL_BLER_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,40.1,index,valid,synthetic_ran_kpi,190,187,3.12,99.9
RAN_KPI-CELL_BLER_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,37.95,index,valid,synthetic_ran_kpi,293,287,7.15,99.9
RAN_KPI-CELL_BLER_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,18.62,index,valid,synthetic_ran_kpi,146,138,5.16,99.9
RAN_KPI-CELL_BLER_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,57.54,index,valid,synthetic_ran_kpi,146,141,0.76,99.9
RAN_KPI-CELL_BLER_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,82.4,index,valid,synthetic_ran_kpi,119,114,6.28,99.9
RAN_KPI-CELL_BLER_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,47.53,index,valid,synthetic_ran_kpi,105,99,2.96,99.9
RAN_KPI-CELL_BLER_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,66.96,index,valid,synthetic_ran_kpi,195,193,3.35,99.9
RAN_KPI-CELL_BLER_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,44.0,index,valid,synthetic_ran_kpi,137,136,3.92,99.9
RAN_KPI-CELL_BLER_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,46.52,index,valid,synthetic_ran_kpi,237,233,6.02,99.9
RAN_KPI-CELL_BLER_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,27.86,index,valid,synthetic_ran_kpi,239,235,5.72,99.9
RAN_KPI-CELL_BLER_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,37.27,index,valid,synthetic_ran_kpi,142,140,3.78,99.9
RAN_KPI-CELL_BLER_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.27,index,valid,synthetic_ran_kpi,164,158,7.53,99.9
RAN_KPI-CELL_BLER_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,79.59,index,valid,synthetic_ran_kpi,264,256,5.72,99.9
RAN_KPI-CELL_BLER_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,62.62,index,valid,synthetic_ran_kpi,104,96,6.54,99.9
RAN_KPI-CELL_BLER_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,25.14,index,valid,synthetic_ran_kpi,248,245,6.15,99.9
RAN_KPI-CELL_BLER_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,27.73,index,valid,synthetic_ran_kpi,140,139,7.12,99.9
RAN_KPI-CELL_BLER_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,24.15,index,valid,synthetic_ran_kpi,113,106,5.48,99.9
RAN_KPI-CELL_BLER_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,67.49,index,valid,synthetic_ran_kpi,153,148,0.81,99.9
RAN_KPI-CELL_BLER_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,42.55,index,degraded,synthetic_ran_kpi,168,140,4.11,98.0
RAN_KPI-CELL_BLER_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,19.19,index,valid,synthetic_ran_kpi,108,100,3.77,99.9
RAN_KPI-CELL_BLER_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,35.29,index,valid,synthetic_ran_kpi,170,166,5.45,99.9
RAN_KPI-CELL_BLER_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,34.22,index,valid,synthetic_ran_kpi,258,254,4.94,99.9
RAN_KPI-CELL_BLER_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,38.55,index,valid,synthetic_ran_kpi,255,251,6.96,99.9
RAN_KPI-CELL_BLER_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,32.93,index,valid,synthetic_ran_kpi,298,292,5.04,99.9
RAN_KPI-CELL_BLER_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,47.19,index,valid,synthetic_ran_kpi,186,180,6.41,99.9
RAN_KPI-CELL_BLER_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.83,index,valid,synthetic_ran_kpi,255,252,3.53,99.9
RAN_KPI-CELL_BLER_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,47.14,index,valid,synthetic_ran_kpi,278,276,4.85,99.9
RAN_KPI-CELL_BLER_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,41.88,index,valid,synthetic_ran_kpi,300,298,1.82,99.9
RAN_KPI-CELL_BLER_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,24.83,index,valid,synthetic_ran_kpi,136,132,5.97,99.9
RAN_KPI-CELL_BLER_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,67.5,index,valid,synthetic_ran_kpi,151,143,1.94,99.9
RAN_KPI-CELL_BLER_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,32.23,index,valid,synthetic_ran_kpi,256,250,3.39,99.9
RAN_KPI-CELL_BLER_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,74.43,index,valid,synthetic_ran_kpi,293,290,5.92,99.9
RAN_KPI-CELL_BLER_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,49.74,index,valid,synthetic_ran_kpi,220,218,1.1,99.9
RAN_KPI-CELL_BLER_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.11,index,valid,synthetic_ran_kpi,282,277,6.1,99.9
RAN_KPI-CELL_BLER_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,76.39,index,valid,synthetic_ran_kpi,291,284,4.79,99.9
RAN_KPI-CELL_BLER_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,38.32,index,valid,synthetic_ran_kpi,207,205,4.26,99.9
RAN_KPI-CELL_BLER_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,82.56,index,valid,synthetic_ran_kpi,99,93,0.94,99.9
RAN_KPI-CELL_BLER_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.34,index,valid,synthetic_ran_kpi,254,252,6.15,99.9
RAN_KPI-CELL_BLER_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,82.81,index,valid,synthetic_ran_kpi,223,220,4.52,99.9
RAN_KPI-CELL_BLER_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,72.58,index,valid,synthetic_ran_kpi,86,85,7.13,99.9
RAN_KPI-CELL_BLER_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,63.08,index,valid,synthetic_ran_kpi,103,98,3.81,99.9
RAN_KPI-CELL_BLER_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,73.54,index,valid,synthetic_ran_kpi,158,153,7.42,99.9
RAN_KPI-CELL_BLER_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,72.71,index,valid,synthetic_ran_kpi,259,255,5.84,99.9
