cell_rach_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_RACH_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,52.72,index,valid,synthetic_ran_kpi,224,220,7.69,99.9
RAN_KPI-CELL_RACH_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,74.68,index,valid,synthetic_ran_kpi,125,120,0.99,99.9
RAN_KPI-CELL_RACH_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,27.64,index,valid,synthetic_ran_kpi,93,89,5.77,99.9
RAN_KPI-CELL_RACH_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,37.48,index,valid,synthetic_ran_kpi,80,78,4.13,99.9
RAN_KPI-CELL_RACH_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,72.86,index,valid,synthetic_ran_kpi,206,198,2.52,99.9
RAN_KPI-CELL_RACH_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,39.79,index,valid,synthetic_ran_kpi,171,167,2.64,99.9
RAN_KPI-CELL_RACH_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,22.35,index,valid,synthetic_ran_kpi,249,243,3.77,99.9
RAN_KPI-CELL_RACH_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,36.97,index,valid,synthetic_ran_kpi,97,89,1.85,99.9
RAN_KPI-CELL_RACH_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.34,index,valid,synthetic_ran_kpi,169,168,2.66,99.9
RAN_KPI-CELL_RACH_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,35.34,index,valid,synthetic_ran_kpi,107,103,3.46,99.9
RAN_KPI-CELL_RACH_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,65.21,index,valid,synthetic_ran_kpi,182,175,7.75,99.9
RAN_KPI-CELL_RACH_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,25.58,index,valid,synthetic_ran_kpi,104,98,1.0,99.9
RAN_KPI-CELL_RACH_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,57.2,index,valid,synthetic_ran_kpi,238,237,5.03,99.9
RAN_KPI-CELL_RACH_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,17.17,index,valid,synthetic_ran_kpi,215,211,6.14,99.9
RAN_KPI-CELL_RACH_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,18.15,index,valid,synthetic_ran_kpi,267,263,6.42,99.9
RAN_KPI-CELL_RACH_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,60.69,index,valid,synthetic_ran_kpi,277,272,0.84,99.9
RAN_KPI-CELL_RACH_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,24.34,index,valid,synthetic_ran_kpi,251,248,1.96,99.9
RAN_KPI-CELL_RACH_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,31.51,index,degraded,synthetic_ran_kpi,110,88,6.63,98.0
RAN_KPI-CELL_RACH_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,84.82,index,valid,synthetic_ran_kpi,278,274,2.7,99.9
RAN_KPI-CELL_RACH_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,49.19,index,valid,synthetic_ran_kpi,189,182,2.66,99.9
RAN_KPI-CELL_RACH_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,43.39,index,valid,synthetic_ran_kpi,126,119,5.3,99.9
RAN_KPI-CELL_RACH_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,80.49,index,valid,synthetic_ran_kpi,106,101,7.42,99.9
RAN_KPI-CELL_RACH_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,37.45,index,valid,synthetic_ran_kpi,244,240,3.86,99.9
RAN_KPI-CELL_RACH_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,43.47,index,valid,synthetic_ran_kpi,253,245,1.6,99.9
RAN_KPI-CELL_RACH_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,24.94,index,valid,synthetic_ran_kpi,111,104,0.84,99.9
RAN_KPI-CELL_RACH_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,53.74,index,valid,synthetic_ran_kpi,189,183,7.19,99.9
RAN_KPI-CELL_RACH_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,21.43,index,valid,synthetic_ran_kpi,239,231,2.41,99.9
RAN_KPI-CELL_RACH_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,44.14,index,valid,synthetic_ran_kpi,177,171,6.21,99.9
RAN_KPI-CELL_RACH_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,72.78,index,valid,synthetic_ran_kpi,166,164,3.67,99.9
RAN_KPI-CELL_RACH_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,36.46,index,valid,synthetic_ran_kpi,293,289,6.49,99.9
RAN_KPI-CELL_RACH_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,52.6,index,valid,synthetic_ran_kpi,124,116,6.07,99.9
RAN_KPI-CELL_RACH_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,37.61,index,valid,synthetic_ran_kpi,138,132,7.28,99.9
RAN_KPI-CELL_RACH_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,35.6,index,valid,synthetic_ran_kpi,273,266,4.0,99.9
RAN_KPI-CELL_RACH_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,18.03,index,valid,synthetic_ran_kpi,205,198,1.42,99.9
RAN_KPI-CELL_RACH_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,54.19,index,valid,synthetic_ran_kpi,150,145,7.45,99.9
RAN_KPI-CELL_RACH_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,22.56,index,valid,synthetic_ran_kpi,128,120,2.62,99.9
RAN_KPI-CELL_RACH_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,66.87,index,valid,synthetic_ran_kpi,112,109,7.81,99.9
RAN_KPI-CELL_RACH_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.7,index,valid,synthetic_ran_kpi,83,78,6.67,99.9
RAN_KPI-CELL_RACH_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.47,index,valid,synthetic_ran_kpi,229,222,3.84,99.9
RAN_KPI-CELL_RACH_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,37.75,index,valid,synthetic_ran_kpi,156,155,6.28,99.9
RAN_KPI-CELL_RACH_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,57.59,index,valid,synthetic_ran_kpi,275,272,4.76,99.9
RAN_KPI-CELL_RACH_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,54.1,index,valid,synthetic_ran_kpi,211,208,4.8,99.9
RAN_KPI-CELL_RACH_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,57.95,index,valid,synthetic_ran_kpi,95,91,6.01,99.9
RAN_KPI-CELL_RACH_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,29.48,index,valid,synthetic_ran_kpi,239,236,6.1,99.9
RAN_KPI-CELL_RACH_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,44.12,index,valid,synthetic_ran_kpi,150,147,0.91,99.9
RAN_KPI-CELL_RACH_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,73.48,index,valid,synthetic_ran_kpi,110,102,0.99,99.9
RAN_KPI-CELL_RACH_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,31.45,index,valid,synthetic_ran_kpi,135,134,7.08,99.9
RAN_KPI-CELL_RACH_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,33.01,index,valid,synthetic_ran_kpi,210,205,6.84,99.9
RAN_KPI-CELL_RACH_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,61.79,index,valid,synthetic_ran_kpi,249,245,6.95,99.9
RAN_KPI-CELL_RACH_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,36.98,index,valid,synthetic_ran_kpi,276,269,3.8,99.9
RAN_KPI-CELL_RACH_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,18.88,index,valid,synthetic_ran_kpi,181,175,7.35,99.9
RAN_KPI-CELL_RACH_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,69.84,index,valid,synthetic_ran_kpi,162,154,1.17,99.9
RAN_KPI-CELL_RACH_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,75.31,index,valid,synthetic_ran_kpi,88,81,6.98,99.9
RAN_KPI-CELL_RACH_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,33.79,index,valid,synthetic_ran_kpi,286,282,6.38,99.9
RAN_KPI-CELL_RACH_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,41.16,index,valid,synthetic_ran_kpi,90,89,2.37,99.9
RAN_KPI-CELL_RACH_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,39.68,index,valid,synthetic_ran_kpi,140,139,1.69,99.9
RAN_KPI-CELL_RACH_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,71.92,index,valid,synthetic_ran_kpi,265,262,6.89,99.9
RAN_KPI-CELL_RACH_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,41.49,index,valid,synthetic_ran_kpi,242,236,6.82,99.9
RAN_KPI-CELL_RACH_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,19.43,index,valid,synthetic_ran_kpi,296,294,4.39,99.9
RAN_KPI-CELL_RACH_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,77.34,index,valid,synthetic_ran_kpi,169,164,6.77,99.9
RAN_KPI-CELL_RACH_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.18,index,valid,synthetic_ran_kpi,246,239,5.26,99.9
RAN_KPI-CELL_RACH_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,64.63,index,valid,synthetic_ran_kpi,244,242,6.53,99.9
RAN_KPI-CELL_RACH_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,59.77,index,valid,synthetic_ran_kpi,133,127,3.0,99.9
RAN_KPI-CELL_RACH_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,39.7,index,valid,synthetic_ran_kpi,225,222,5.29,99.9
RAN_KPI-CELL_RACH_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,66.75,index,valid,synthetic_ran_kpi,203,196,0.87,99.9
RAN_KPI-CELL_RACH_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,29.38,index,valid,synthetic_ran_kpi,192,191,2.14,99.9
RAN_KPI-CELL_RACH_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,15.31,index,valid,synthetic_ran_kpi,281,278,1.22,99.9
RAN_KPI-CELL_RACH_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,17.07,index,valid,synthetic_ran_kpi,138,133,0.66,99.9
RAN_KPI-CELL_RACH_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,28.8,index,valid,synthetic_ran_kpi,269,265,0.53,99.9
RAN_KPI-CELL_RACH_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,46.9,index,valid,synthetic_ran_kpi,258,257,4.6,99.9
RAN_KPI-CELL_RACH_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,39.75,index,valid,synthetic_ran_kpi,286,284,4.65,99.9
RAN_KPI-CELL_RACH_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,52.73,index,valid,synthetic_ran_kpi,211,204,0.94,99.9
RAN_KPI-CELL_RACH_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,69.97,index,valid,synthetic_ran_kpi,108,106,1.91,99.9
RAN_KPI-CELL_RACH_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,82.16,index,valid,synthetic_ran_kpi,250,244,7.07,99.9
RAN_KPI-CELL_RACH_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,69.1,index,valid,synthetic_ran_kpi,293,290,2.55,99.9
RAN_KPI-CELL_RACH_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,51.13,index,valid,synthetic_ran_kpi,192,188,6.75,99.9
RAN_KPI-CELL_RACH_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,82.72,index,valid,synthetic_ran_kpi,241,235,1.85,99.9
RAN_KPI-CELL_RACH_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,18.79,index,valid,synthetic_ran_kpi,225,224,0.69,99.9
RAN_KPI-CELL_RACH_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,55.75,index,valid,synthetic_ran_kpi,124,117,6.32,99.9
RAN_KPI-CELL_RACH_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,63.11,index,valid,synthetic_ran_kpi,207,206,2.68,99.9
RAN_KPI-CELL_RACH_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,83.59,index,valid,synthetic_ran_kpi,297,294,6.35,99.9
RAN_KPI-CELL_RACH_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,74.35,index,valid,synthetic_ran_kpi,260,259,7.79,99.9
RAN_KPI-CELL_RACH_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,72.32,index,valid,synthetic_ran_kpi,123,118,4.21,99.9
RAN_KPI-CELL_RACH_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,45.08,index,valid,synthetic_ran_kpi,239,236,4.37,99.9
RAN_KPI-CELL_RACH_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,52.79,index,valid,synthetic_ran_kpi,219,216,3.34,99.9
RAN_KPI-CELL_RACH_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.69,index,valid,synthetic_ran_kpi,100,99,4.2,99.9
RAN_KPI-CELL_RACH_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.91,index,valid,synthetic_ran_kpi,155,150,7.08,99.9
RAN_KPI-CELL_RACH_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,60.8,index,valid,synthetic_ran_kpi,300,293,7.79,99.9
RAN_KPI-CELL_RACH_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,28.6,index,valid,synthetic_ran_kpi,265,262,4.37,99.9
RAN_KPI-CELL_RACH_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,67.64,index,valid,synthetic_ran_kpi,94,91,1.63,99.9
RAN_KPI-CELL_RACH_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,46.96,index,valid,synthetic_ran_kpi,193,186,3.41,99.9
RAN_KPI-CELL_RACH_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,57.62,index,valid,synthetic_ran_kpi,106,98,5.42,99.9
RAN_KPI-CELL_RACH_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,63.3,index,valid,synthetic_ran_kpi,205,197,6.1,99.9
RAN_KPI-CELL_RACH_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,51.54,index,valid,synthetic_ran_kpi,139,138,1.98,99.9
RAN_KPI-CELL_RACH_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,69.35,index,valid,synthetic_ran_kpi,147,143,3.83,99.9
RAN_KPI-CELL_RACH_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,15.38,index,valid,synthetic_ran_kpi,119,113,0.52,99.9
RAN_KPI-CELL_RACH_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,30.45,index,valid,synthetic_ran_kpi,235,228,2.17,99.9
RAN_KPI-CELL_RACH_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,57.49,index,valid,synthetic_ran_kpi,112,105,3.87,99.9
RAN_KPI-CELL_RACH_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,16.0,index,valid,synthetic_ran_kpi,109,101,6.44,99.9
RAN_KPI-CELL_RACH_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,80.82,index,valid,synthetic_ran_kpi,136,130,1.5,99.9
RAN_KPI-CELL_RACH_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,67.59,index,valid,synthetic_ran_kpi,226,224,7.07,99.9
RAN_KPI-CELL_RACH_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,56.84,index,valid,synthetic_ran_kpi,121,118,6.74,99.9
RAN_KPI-CELL_RACH_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,74.16,index,valid,synthetic_ran_kpi,213,211,5.75,99.9
RAN_KPI-CELL_RACH_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,52.67,index,valid,synthetic_ran_kpi,155,154,1.52,99.9
RAN_KPI-CELL_RACH_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,42.51,index,valid,synthetic_ran_kpi,136,133,5.9,99.9
RAN_KPI-CELL_RACH_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,26.12,index,valid,synthetic_ran_kpi,211,204,3.14,99.9
RAN_KPI-CELL_RACH_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,62.55,index,valid,synthetic_ran_kpi,273,271,6.13,99.9
RAN_KPI-CELL_RACH_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,108.04,index,degraded,synthetic_ran_kpi,235,211,3.37,98.0
RAN_KPI-CELL_RACH_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,31.67,index,valid,synthetic_ran_kpi,300,299,6.81,99.9
RAN_KPI-CELL_RACH_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,39.38,index,valid,synthetic_ran_kpi,280,276,3.54,99.9
RAN_KPI-CELL_RACH_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,17.47,index,valid,synthetic_ran_kpi,262,258,7.68,99.9
RAN_KPI-CELL_RACH_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,28.25,index,valid,synthetic_ran_kpi,189,183,5.62,99.9
RAN_KPI-CELL_RACH_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,76.26,index,valid,synthetic_ran_kpi,280,275,5.91,99.9
RAN_KPI-CELL_RACH_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,23.05,index,valid,synthetic_ran_kpi,202,200,2.91,99.9
RAN_KPI-CELL_RACH_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,35.74,index,valid,synthetic_ran_kpi,209,205,6.54,99.9
RAN_KPI-CELL_RACH_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,71.97,index,valid,synthetic_ran_kpi,156,148,7.2,99.9
RAN_KPI-CELL_RACH_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,54.55,index,valid,synthetic_ran_kpi,153,147,4.02,99.9
RAN_KPI-CELL_RACH_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,51.59,index,valid,synthetic_ran_kpi,244,241,7.33,99.9
RAN_KPI-CELL_RACH_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,69.14,index,valid,synthetic_ran_kpi,253,246,6.19,99.9
RAN_KPI-CELL_RACH_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,62.43,index,valid,synthetic_ran_kpi,195,190,2.83,99.9
RAN_KPI-CELL_RACH_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,57.17,index,valid,synthetic_ran_kpi,290,282,2.25,99.9
RAN_KPI-CELL_RACH_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,73.69,index,valid,synthetic_ran_kpi,293,291,6.64,99.9
RAN_KPI-CELL_RACH_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,22.73,index,valid,synthetic_ran_kpi,188,182,1.49,99.9
RAN_KPI-CELL_RACH_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,26.5,index,valid,synthetic_ran_kpi,247,243,7.7,99.9
RAN_KPI-CELL_RACH_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,23.39,index,valid,synthetic_ran_kpi,194,192,5.83,99.9
RAN_KPI-CELL_RACH_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,47.07,index,valid,synthetic_ran_kpi,130,122,2.3,99.9
RAN_KPI-CELL_RACH_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,34.48,index,valid,synthetic_ran_kpi,164,160,3.34,99.9
RAN_KPI-CELL_RACH_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,23.23,index,valid,synthetic_ran_kpi,149,144,6.35,99.9
RAN_KPI-CELL_RACH_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,60.53,index,valid,synthetic_ran_kpi,299,298,5.5,99.9
RAN_KPI-CELL_RACH_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,72.14,index,valid,synthetic_ran_kpi,279,278,3.25,99.9
RAN_KPI-CELL_RACH_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,72.75,index,valid,synthetic_ran_kpi,289,288,2.93,99.9
RAN_KPI-CELL_RACH_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,83.23,index,valid,synthetic_ran_kpi,89,83,7.54,99.9
