cell_mcs_hourly_id,cell_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,attempt_count,success_count,traffic_gb,availability_pct
RAN_KPI-CELL_MCS_HOURLY-00-10,CELL010101,DBN,KV1,active,2026-08-18-10,2026-08-18 10:00:00,84.3,index,valid,synthetic_ran_kpi,164,157,7.0,99.9
RAN_KPI-CELL_MCS_HOURLY-00-11,CELL010101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,22.59,index,valid,synthetic_ran_kpi,102,96,7.74,99.9
RAN_KPI-CELL_MCS_HOURLY-00-12,CELL010101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,60.99,index,valid,synthetic_ran_kpi,182,175,7.02,99.9
RAN_KPI-CELL_MCS_HOURLY-00-13,CELL010101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,59.56,index,valid,synthetic_ran_kpi,165,163,3.9,99.9
RAN_KPI-CELL_MCS_HOURLY-00-14,CELL010101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,61.3,index,valid,synthetic_ran_kpi,220,213,4.42,99.9
RAN_KPI-CELL_MCS_HOURLY-00-15,CELL010101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,47.99,index,valid,synthetic_ran_kpi,287,284,4.22,99.9
RAN_KPI-CELL_MCS_HOURLY-00-16,CELL010101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,22.43,index,valid,synthetic_ran_kpi,257,256,1.45,99.9
RAN_KPI-CELL_MCS_HOURLY-00-17,CELL010101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,77.99,index,valid,synthetic_ran_kpi,258,252,6.22,99.9
RAN_KPI-CELL_MCS_HOURLY-00-18,CELL010101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,62.62,index,valid,synthetic_ran_kpi,261,254,2.77,99.9
RAN_KPI-CELL_MCS_HOURLY-00-19,CELL010101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,32.74,index,valid,synthetic_ran_kpi,259,252,4.71,99.9
RAN_KPI-CELL_MCS_HOURLY-00-20,CELL010101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,71.35,index,valid,synthetic_ran_kpi,241,235,4.91,99.9
RAN_KPI-CELL_MCS_HOURLY-00-21,CELL010101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,37.6,index,valid,synthetic_ran_kpi,114,108,5.49,99.9
RAN_KPI-CELL_MCS_HOURLY-00-22,CELL010101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,22.47,index,valid,synthetic_ran_kpi,134,128,7.45,99.9
RAN_KPI-CELL_MCS_HOURLY-00-23,CELL010101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.3,index,valid,synthetic_ran_kpi,216,211,1.03,99.9
RAN_KPI-CELL_MCS_HOURLY-00-24,CELL010101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,30.63,index,valid,synthetic_ran_kpi,252,251,3.67,99.9
RAN_KPI-CELL_MCS_HOURLY-00-25,CELL010101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,70.59,index,valid,synthetic_ran_kpi,215,212,4.45,99.9
RAN_KPI-CELL_MCS_HOURLY-00-26,CELL010101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,75.45,index,valid,synthetic_ran_kpi,283,279,6.37,99.9
RAN_KPI-CELL_MCS_HOURLY-00-27,CELL010101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,89.89,index,degraded,synthetic_ran_kpi,127,104,6.71,98.0
RAN_KPI-CELL_MCS_HOURLY-00-28,CELL010101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,37.01,index,valid,synthetic_ran_kpi,277,271,5.92,99.9
RAN_KPI-CELL_MCS_HOURLY-00-29,CELL010101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,21.22,index,valid,synthetic_ran_kpi,214,208,0.88,99.9
RAN_KPI-CELL_MCS_HOURLY-00-30,CELL010101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,31.12,index,valid,synthetic_ran_kpi,171,163,6.92,99.9
RAN_KPI-CELL_MCS_HOURLY-00-31,CELL010101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,50.42,index,valid,synthetic_ran_kpi,115,107,4.53,99.9
RAN_KPI-CELL_MCS_HOURLY-00-32,CELL010101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,41.02,index,valid,synthetic_ran_kpi,155,152,3.67,99.9
RAN_KPI-CELL_MCS_HOURLY-00-33,CELL010101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,31.89,index,valid,synthetic_ran_kpi,194,188,1.95,99.9
RAN_KPI-CELL_MCS_HOURLY-00-34,CELL010101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,15.76,index,valid,synthetic_ran_kpi,193,186,2.15,99.9
RAN_KPI-CELL_MCS_HOURLY-00-35,CELL010101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.29,index,valid,synthetic_ran_kpi,128,126,6.72,99.9
RAN_KPI-CELL_MCS_HOURLY-00-36,CELL010101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,71.17,index,valid,synthetic_ran_kpi,265,259,7.58,99.9
RAN_KPI-CELL_MCS_HOURLY-00-37,CELL010101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.02,index,valid,synthetic_ran_kpi,143,139,3.44,99.9
RAN_KPI-CELL_MCS_HOURLY-00-38,CELL010101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,33.67,index,valid,synthetic_ran_kpi,137,136,7.62,99.9
RAN_KPI-CELL_MCS_HOURLY-00-39,CELL010101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,21.93,index,valid,synthetic_ran_kpi,154,146,7.21,99.9
RAN_KPI-CELL_MCS_HOURLY-00-40,CELL010101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,40.09,index,valid,synthetic_ran_kpi,87,82,7.04,99.9
RAN_KPI-CELL_MCS_HOURLY-00-41,CELL010101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,33.52,index,valid,synthetic_ran_kpi,219,218,4.8,99.9
RAN_KPI-CELL_MCS_HOURLY-00-42,CELL010101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,39.61,index,valid,synthetic_ran_kpi,236,231,6.83,99.9
RAN_KPI-CELL_MCS_HOURLY-00-43,CELL010101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,40.7,index,valid,synthetic_ran_kpi,296,288,1.08,99.9
RAN_KPI-CELL_MCS_HOURLY-00-44,CELL010101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,58.18,index,valid,synthetic_ran_kpi,130,124,7.04,99.9
RAN_KPI-CELL_MCS_HOURLY-00-45,CELL010101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,31.51,index,valid,synthetic_ran_kpi,261,259,0.93,99.9
RAN_KPI-CELL_MCS_HOURLY-00-46,CELL010101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,25.79,index,valid,synthetic_ran_kpi,177,171,1.13,99.9
RAN_KPI-CELL_MCS_HOURLY-00-47,CELL010101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,39.47,index,valid,synthetic_ran_kpi,232,224,3.41,99.9
RAN_KPI-CELL_MCS_HOURLY-00-48,CELL010101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.19,index,valid,synthetic_ran_kpi,131,128,3.24,99.9
RAN_KPI-CELL_MCS_HOURLY-00-49,CELL010101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,36.55,index,valid,synthetic_ran_kpi,262,259,0.9,99.9
RAN_KPI-CELL_MCS_HOURLY-00-50,CELL010101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,22.94,index,valid,synthetic_ran_kpi,183,175,3.02,99.9
RAN_KPI-CELL_MCS_HOURLY-00-51,CELL010101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,57.86,index,valid,synthetic_ran_kpi,231,229,1.91,99.9
RAN_KPI-CELL_MCS_HOURLY-00-52,CELL010101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,34.45,index,valid,synthetic_ran_kpi,263,262,1.21,99.9
RAN_KPI-CELL_MCS_HOURLY-00-53,CELL010101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,21.81,index,valid,synthetic_ran_kpi,250,243,7.71,99.9
RAN_KPI-CELL_MCS_HOURLY-00-54,CELL010101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,27.93,index,valid,synthetic_ran_kpi,193,189,6.03,99.9
RAN_KPI-CELL_MCS_HOURLY-00-55,CELL010101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,43.23,index,valid,synthetic_ran_kpi,266,264,5.87,99.9
RAN_KPI-CELL_MCS_HOURLY-00-56,CELL010101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,41.28,index,valid,synthetic_ran_kpi,164,161,7.59,99.9
RAN_KPI-CELL_MCS_HOURLY-00-57,CELL010101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,21.72,index,valid,synthetic_ran_kpi,217,210,6.35,99.9
RAN_KPI-CELL_MCS_HOURLY-00-58,CELL010101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,26.56,index,valid,synthetic_ran_kpi,146,143,0.52,99.9
RAN_KPI-CELL_MCS_HOURLY-00-59,CELL010101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,80.16,index,valid,synthetic_ran_kpi,101,94,7.68,99.9
RAN_KPI-CELL_MCS_HOURLY-00-60,CELL010101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.33,index,valid,synthetic_ran_kpi,169,167,5.88,99.9
RAN_KPI-CELL_MCS_HOURLY-00-61,CELL010101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,83.12,index,valid,synthetic_ran_kpi,132,126,4.16,99.9
RAN_KPI-CELL_MCS_HOURLY-00-62,CELL010101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,50.64,index,valid,synthetic_ran_kpi,100,99,7.13,99.9
RAN_KPI-CELL_MCS_HOURLY-00-63,CELL010101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,38.27,index,valid,synthetic_ran_kpi,170,166,7.27,99.9
RAN_KPI-CELL_MCS_HOURLY-00-64,CELL010101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,21.78,index,valid,synthetic_ran_kpi,218,214,5.84,99.9
RAN_KPI-CELL_MCS_HOURLY-00-65,CELL010101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,39.19,index,valid,synthetic_ran_kpi,233,227,1.85,99.9
RAN_KPI-CELL_MCS_HOURLY-00-66,CELL010101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,56.57,index,valid,synthetic_ran_kpi,195,187,4.61,99.9
RAN_KPI-CELL_MCS_HOURLY-00-67,CELL010101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,62.51,index,valid,synthetic_ran_kpi,114,110,0.89,99.9
RAN_KPI-CELL_MCS_HOURLY-00-68,CELL010101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,16.31,index,valid,synthetic_ran_kpi,236,228,2.32,99.9
RAN_KPI-CELL_MCS_HOURLY-00-69,CELL010101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,25.83,index,valid,synthetic_ran_kpi,118,110,6.39,99.9
RAN_KPI-CELL_MCS_HOURLY-00-70,CELL010101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,60.74,index,valid,synthetic_ran_kpi,203,195,4.69,99.9
RAN_KPI-CELL_MCS_HOURLY-00-71,CELL010101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,52.56,index,valid,synthetic_ran_kpi,138,132,5.74,99.9
RAN_KPI-CELL_MCS_HOURLY-01-00,CELL020201,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,51.83,index,valid,synthetic_ran_kpi,181,179,5.81,99.9
RAN_KPI-CELL_MCS_HOURLY-01-01,CELL020201,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,50.15,index,valid,synthetic_ran_kpi,104,96,7.83,99.9
RAN_KPI-CELL_MCS_HOURLY-01-02,CELL020201,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,68.74,index,valid,synthetic_ran_kpi,274,272,2.22,99.9
RAN_KPI-CELL_MCS_HOURLY-01-03,CELL020201,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,28.13,index,valid,synthetic_ran_kpi,166,158,2.99,99.9
RAN_KPI-CELL_MCS_HOURLY-01-04,CELL020201,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,83.26,index,valid,synthetic_ran_kpi,107,102,2.31,99.9
RAN_KPI-CELL_MCS_HOURLY-01-05,CELL020201,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,58.54,index,valid,synthetic_ran_kpi,244,240,3.5,99.9
RAN_KPI-CELL_MCS_HOURLY-01-06,CELL020201,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,35.5,index,valid,synthetic_ran_kpi,254,246,1.34,99.9
RAN_KPI-CELL_MCS_HOURLY-01-07,CELL020201,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,49.57,index,valid,synthetic_ran_kpi,291,286,2.66,99.9
RAN_KPI-CELL_MCS_HOURLY-01-08,CELL020201,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,45.44,index,valid,synthetic_ran_kpi,140,137,1.07,99.9
RAN_KPI-CELL_MCS_HOURLY-01-09,CELL020201,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,80.28,index,valid,synthetic_ran_kpi,248,243,4.19,99.9
RAN_KPI-CELL_MCS_HOURLY-01-10,CELL020201,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,29.8,index,valid,synthetic_ran_kpi,284,283,3.15,99.9
RAN_KPI-CELL_MCS_HOURLY-01-11,CELL020201,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,48.95,index,valid,synthetic_ran_kpi,243,237,1.15,99.9
RAN_KPI-CELL_MCS_HOURLY-01-12,CELL020201,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,17.2,index,valid,synthetic_ran_kpi,93,91,5.88,99.9
RAN_KPI-CELL_MCS_HOURLY-01-13,CELL020201,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,29.37,index,valid,synthetic_ran_kpi,268,264,2.0,99.9
RAN_KPI-CELL_MCS_HOURLY-01-14,CELL020201,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,69.23,index,valid,synthetic_ran_kpi,84,76,6.66,99.9
RAN_KPI-CELL_MCS_HOURLY-01-15,CELL020201,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,50.18,index,valid,synthetic_ran_kpi,281,276,6.65,99.9
RAN_KPI-CELL_MCS_HOURLY-01-16,CELL020201,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,49.13,index,valid,synthetic_ran_kpi,298,291,6.55,99.9
RAN_KPI-CELL_MCS_HOURLY-01-17,CELL020201,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,16.02,index,valid,synthetic_ran_kpi,287,282,7.88,99.9
RAN_KPI-CELL_MCS_HOURLY-01-18,CELL020201,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,47.61,index,valid,synthetic_ran_kpi,196,191,3.37,99.9
RAN_KPI-CELL_MCS_HOURLY-01-19,CELL020201,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,78.18,index,valid,synthetic_ran_kpi,89,84,6.43,99.9
RAN_KPI-CELL_MCS_HOURLY-01-20,CELL020201,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,55.4,index,valid,synthetic_ran_kpi,280,277,4.27,99.9
RAN_KPI-CELL_MCS_HOURLY-01-21,CELL020201,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.57,index,valid,synthetic_ran_kpi,191,183,4.74,99.9
RAN_KPI-CELL_MCS_HOURLY-01-22,CELL020201,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,23.6,index,valid,synthetic_ran_kpi,206,202,0.79,99.9
RAN_KPI-CELL_MCS_HOURLY-01-23,CELL020201,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,44.79,index,valid,synthetic_ran_kpi,216,211,3.62,99.9
RAN_KPI-CELL_MCS_HOURLY-01-24,CELL020201,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,45.57,index,valid,synthetic_ran_kpi,267,261,7.94,99.9
RAN_KPI-CELL_MCS_HOURLY-01-25,CELL020201,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,58.23,index,valid,synthetic_ran_kpi,130,122,2.31,99.9
RAN_KPI-CELL_MCS_HOURLY-01-26,CELL020201,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,83.95,index,valid,synthetic_ran_kpi,87,86,6.21,99.9
RAN_KPI-CELL_MCS_HOURLY-01-27,CELL020201,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,17.17,index,valid,synthetic_ran_kpi,87,83,6.12,99.9
RAN_KPI-CELL_MCS_HOURLY-01-28,CELL020201,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,64.85,index,valid,synthetic_ran_kpi,140,134,5.85,99.9
RAN_KPI-CELL_MCS_HOURLY-01-29,CELL020201,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,42.96,index,valid,synthetic_ran_kpi,145,142,2.88,99.9
RAN_KPI-CELL_MCS_HOURLY-01-30,CELL020201,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,54.49,index,valid,synthetic_ran_kpi,100,94,7.88,99.9
RAN_KPI-CELL_MCS_HOURLY-01-31,CELL020201,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,49.35,index,valid,synthetic_ran_kpi,198,197,3.26,99.9
RAN_KPI-CELL_MCS_HOURLY-01-32,CELL020201,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,38.03,index,valid,synthetic_ran_kpi,119,113,7.76,99.9
RAN_KPI-CELL_MCS_HOURLY-01-33,CELL020201,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,53.19,index,valid,synthetic_ran_kpi,138,132,6.28,99.9
RAN_KPI-CELL_MCS_HOURLY-01-34,CELL020201,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,74.59,index,valid,synthetic_ran_kpi,154,146,2.83,99.9
RAN_KPI-CELL_MCS_HOURLY-01-35,CELL020201,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.22,index,valid,synthetic_ran_kpi,133,129,7.02,99.9
RAN_KPI-CELL_MCS_HOURLY-01-36,CELL020201,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,34.28,index,valid,synthetic_ran_kpi,113,108,2.62,99.9
RAN_KPI-CELL_MCS_HOURLY-01-37,CELL020201,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,47.47,index,valid,synthetic_ran_kpi,217,210,7.89,99.9
RAN_KPI-CELL_MCS_HOURLY-01-38,CELL020201,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,60.42,index,valid,synthetic_ran_kpi,219,214,2.8,99.9
RAN_KPI-CELL_MCS_HOURLY-01-39,CELL020201,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,34.64,index,valid,synthetic_ran_kpi,134,127,1.85,99.9
RAN_KPI-CELL_MCS_HOURLY-01-40,CELL020201,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,59.96,index,valid,synthetic_ran_kpi,95,94,4.84,99.9
RAN_KPI-CELL_MCS_HOURLY-01-41,CELL020201,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,20.23,index,valid,synthetic_ran_kpi,166,162,7.58,99.9
RAN_KPI-CELL_MCS_HOURLY-01-42,CELL020201,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,83.42,index,valid,synthetic_ran_kpi,101,95,5.82,99.9
RAN_KPI-CELL_MCS_HOURLY-01-43,CELL020201,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,32.63,index,valid,synthetic_ran_kpi,87,79,3.92,99.9
RAN_KPI-CELL_MCS_HOURLY-01-44,CELL020201,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,28.89,index,valid,synthetic_ran_kpi,224,223,2.62,99.9
RAN_KPI-CELL_MCS_HOURLY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,36.93,index,degraded,synthetic_ran_kpi,234,206,1.19,98.0
RAN_KPI-CELL_MCS_HOURLY-01-46,CELL020201,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,42.39,index,valid,synthetic_ran_kpi,210,208,1.45,99.9
RAN_KPI-CELL_MCS_HOURLY-01-47,CELL020201,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,28.27,index,valid,synthetic_ran_kpi,198,195,0.96,99.9
RAN_KPI-CELL_MCS_HOURLY-01-48,CELL020201,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,52.58,index,valid,synthetic_ran_kpi,284,282,0.51,99.9
RAN_KPI-CELL_MCS_HOURLY-01-49,CELL020201,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,69.81,index,valid,synthetic_ran_kpi,199,193,2.78,99.9
RAN_KPI-CELL_MCS_HOURLY-01-50,CELL020201,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,33.67,index,valid,synthetic_ran_kpi,81,74,1.24,99.9
RAN_KPI-CELL_MCS_HOURLY-01-51,CELL020201,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,35.57,index,valid,synthetic_ran_kpi,270,269,7.27,99.9
RAN_KPI-CELL_MCS_HOURLY-01-52,CELL020201,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,39.48,index,valid,synthetic_ran_kpi,138,137,6.28,99.9
RAN_KPI-CELL_MCS_HOURLY-01-53,CELL020201,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,32.38,index,valid,synthetic_ran_kpi,127,120,4.46,99.9
RAN_KPI-CELL_MCS_HOURLY-01-54,CELL020201,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,79.04,index,valid,synthetic_ran_kpi,212,206,6.45,99.9
RAN_KPI-CELL_MCS_HOURLY-01-55,CELL020201,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,73.51,index,valid,synthetic_ran_kpi,116,108,7.76,99.9
RAN_KPI-CELL_MCS_HOURLY-01-56,CELL020201,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,74.43,index,valid,synthetic_ran_kpi,256,255,5.73,99.9
RAN_KPI-CELL_MCS_HOURLY-01-57,CELL020201,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,71.66,index,valid,synthetic_ran_kpi,138,133,3.15,99.9
RAN_KPI-CELL_MCS_HOURLY-01-58,CELL020201,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,72.35,index,valid,synthetic_ran_kpi,254,248,2.45,99.9
RAN_KPI-CELL_MCS_HOURLY-01-59,CELL020201,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,66.58,index,valid,synthetic_ran_kpi,111,108,1.33,99.9
RAN_KPI-CELL_MCS_HOURLY-01-60,CELL020201,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,52.0,index,valid,synthetic_ran_kpi,129,127,2.96,99.9
RAN_KPI-CELL_MCS_HOURLY-01-61,CELL020201,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,58.91,index,valid,synthetic_ran_kpi,81,78,0.87,99.9
RAN_KPI-CELL_MCS_HOURLY-01-62,CELL020201,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.08,index,valid,synthetic_ran_kpi,113,105,6.27,99.9
RAN_KPI-CELL_MCS_HOURLY-01-63,CELL020201,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,66.2,index,valid,synthetic_ran_kpi,248,241,4.45,99.9
RAN_KPI-CELL_MCS_HOURLY-01-64,CELL020201,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,46.34,index,valid,synthetic_ran_kpi,164,157,7.16,99.9
RAN_KPI-CELL_MCS_HOURLY-01-65,CELL020201,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.69,index,valid,synthetic_ran_kpi,111,110,7.65,99.9
RAN_KPI-CELL_MCS_HOURLY-01-66,CELL020201,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,38.54,index,valid,synthetic_ran_kpi,187,185,6.74,99.9
RAN_KPI-CELL_MCS_HOURLY-01-67,CELL020201,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,18.29,index,valid,synthetic_ran_kpi,211,208,4.92,99.9
RAN_KPI-CELL_MCS_HOURLY-01-68,CELL020201,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,73.56,index,valid,synthetic_ran_kpi,298,290,3.87,99.9
RAN_KPI-CELL_MCS_HOURLY-01-69,CELL020201,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,26.78,index,valid,synthetic_ran_kpi,118,116,5.95,99.9
