tcp_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-TCP_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,54.19,index,valid,synthetic_qos,135,129,15.96,0
QOS-TCP_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,46.73,index,valid,synthetic_qos,140,135,19.31,0
QOS-TCP_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,79.98,index,degraded,synthetic_qos,248,246,74.82,1
QOS-TCP_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,18.29,index,valid,synthetic_qos,244,242,37.73,0
QOS-TCP_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,75.82,index,valid,synthetic_qos,320,315,16.77,0
QOS-TCP_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,30.72,index,valid,synthetic_qos,363,357,31.93,0
QOS-TCP_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,18.27,index,valid,synthetic_qos,249,247,16.78,0
QOS-TCP_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,76.34,index,valid,synthetic_qos,400,393,31.2,0
QOS-TCP_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,80.55,index,valid,synthetic_qos,140,135,41.82,0
QOS-TCP_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,51.64,index,valid,synthetic_qos,191,186,19.78,0
QOS-TCP_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,35.73,index,valid,synthetic_qos,191,185,34.57,0
QOS-TCP_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,23.2,index,valid,synthetic_qos,235,234,18.78,0
QOS-TCP_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,84.29,index,valid,synthetic_qos,334,325,19.61,0
QOS-TCP_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,71.65,index,valid,synthetic_qos,213,212,19.14,0
QOS-TCP_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,35.89,index,valid,synthetic_qos,144,142,16.55,0
QOS-TCP_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,35.36,index,valid,synthetic_qos,213,211,25.47,0
QOS-TCP_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.96,index,valid,synthetic_qos,286,277,19.43,0
QOS-TCP_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,35.95,index,valid,synthetic_qos,107,101,20.66,0
QOS-TCP_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,34.71,index,valid,synthetic_qos,389,382,37.11,0
QOS-TCP_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,48.31,index,valid,synthetic_qos,325,317,43.97,0
QOS-TCP_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,58.75,index,valid,synthetic_qos,101,93,17.1,0
QOS-TCP_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,23.88,index,valid,synthetic_qos,356,350,29.07,0
QOS-TCP_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,77.26,index,valid,synthetic_qos,110,108,27.91,0
QOS-TCP_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,68.72,index,valid,synthetic_qos,216,215,32.05,0
QOS-TCP_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,71.51,index,valid,synthetic_qos,280,273,38.72,0
QOS-TCP_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,39.41,index,valid,synthetic_qos,295,290,18.31,0
QOS-TCP_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,43.02,index,valid,synthetic_qos,299,298,17.15,0
QOS-TCP_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,34.55,index,valid,synthetic_qos,168,166,38.48,0
QOS-TCP_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,79.41,index,valid,synthetic_qos,291,282,26.35,0
QOS-TCP_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,66.08,index,valid,synthetic_qos,252,245,43.71,0
QOS-TCP_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,40.28,index,valid,synthetic_qos,347,337,26.81,0
QOS-TCP_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,54.77,index,valid,synthetic_qos,342,335,26.36,0
QOS-TCP_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,57.26,index,valid,synthetic_qos,347,338,33.5,0
QOS-TCP_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,15.53,index,valid,synthetic_qos,304,302,16.54,0
QOS-TCP_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,56.65,index,valid,synthetic_qos,355,351,37.0,0
QOS-TCP_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,27.18,index,valid,synthetic_qos,388,382,39.43,0
QOS-TCP_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,35.5,index,valid,synthetic_qos,208,205,36.51,0
QOS-TCP_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,49.54,index,valid,synthetic_qos,311,305,38.19,0
QOS-TCP_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,33.56,index,valid,synthetic_qos,189,179,32.21,0
QOS-TCP_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,74.5,index,valid,synthetic_qos,214,205,15.98,0
QOS-TCP_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,70.27,index,valid,synthetic_qos,198,192,27.68,0
QOS-TCP_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,37.28,index,valid,synthetic_qos,373,364,29.35,0
QOS-TCP_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,21.2,index,valid,synthetic_qos,240,232,30.0,0
QOS-TCP_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,50.3,index,valid,synthetic_qos,260,255,28.49,0
QOS-TCP_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,40.82,index,valid,synthetic_qos,316,312,34.76,0
QOS-TCP_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,40.86,index,valid,synthetic_qos,308,306,19.44,0
QOS-TCP_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,44.98,index,valid,synthetic_qos,112,102,41.75,0
QOS-TCP_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,19.5,index,valid,synthetic_qos,237,229,22.9,0
QOS-TCP_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,31.85,index,valid,synthetic_qos,174,173,17.45,0
QOS-TCP_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,71.28,index,valid,synthetic_qos,256,251,30.18,0
QOS-TCP_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,16.04,index,valid,synthetic_qos,139,131,44.79,0
QOS-TCP_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,59.29,index,valid,synthetic_qos,339,333,35.76,0
QOS-TCP_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,25.76,index,valid,synthetic_qos,283,274,36.21,0
QOS-TCP_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,56.85,index,valid,synthetic_qos,361,356,15.76,0
QOS-TCP_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,15.07,index,valid,synthetic_qos,186,177,25.79,0
QOS-TCP_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,28.14,index,valid,synthetic_qos,113,109,31.06,0
QOS-TCP_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,55.13,index,valid,synthetic_qos,141,138,38.78,0
QOS-TCP_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,22.11,index,valid,synthetic_qos,134,125,43.17,0
QOS-TCP_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,55.42,index,valid,synthetic_qos,368,358,22.37,0
QOS-TCP_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,46.28,index,valid,synthetic_qos,195,191,36.18,0
QOS-TCP_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,29.5,index,valid,synthetic_qos,270,268,30.04,0
QOS-TCP_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,83.92,index,valid,synthetic_qos,383,378,19.75,0
QOS-TCP_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,41.33,index,valid,synthetic_qos,287,284,29.95,0
QOS-TCP_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,34.86,index,valid,synthetic_qos,358,351,37.56,0
QOS-TCP_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,65.69,index,valid,synthetic_qos,171,165,34.91,0
QOS-TCP_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,69.85,index,valid,synthetic_qos,324,319,22.37,0
QOS-TCP_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,44.84,index,valid,synthetic_qos,210,207,15.65,0
QOS-TCP_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,36.28,index,valid,synthetic_qos,381,373,27.71,0
QOS-TCP_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,26.78,index,valid,synthetic_qos,187,182,31.56,0
QOS-TCP_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,47.98,index,valid,synthetic_qos,101,100,40.06,0
QOS-TCP_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.99,index,valid,synthetic_qos,174,169,15.57,0
QOS-TCP_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,54.77,index,valid,synthetic_qos,254,244,26.26,0
QOS-TCP_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,56.23,index,valid,synthetic_qos,206,205,29.69,0
QOS-TCP_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,19.14,index,valid,synthetic_qos,204,194,17.51,0
QOS-TCP_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,17.31,index,valid,synthetic_qos,108,105,29.08,0
QOS-TCP_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,49.4,index,valid,synthetic_qos,270,262,38.61,0
QOS-TCP_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,23.05,index,valid,synthetic_qos,383,377,24.27,0
QOS-TCP_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,39.76,index,valid,synthetic_qos,261,257,25.31,0
QOS-TCP_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.77,index,valid,synthetic_qos,183,176,28.05,0
QOS-TCP_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,17.33,index,valid,synthetic_qos,318,317,18.17,0
QOS-TCP_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,70.01,index,valid,synthetic_qos,147,145,32.05,0
QOS-TCP_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,61.5,index,valid,synthetic_qos,336,331,25.15,0
QOS-TCP_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.69,index,valid,synthetic_qos,268,258,17.28,0
QOS-TCP_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,38.03,index,valid,synthetic_qos,379,372,43.53,0
QOS-TCP_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,74.7,index,valid,synthetic_qos,144,142,39.15,0
QOS-TCP_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,26.97,index,valid,synthetic_qos,267,264,34.99,0
QOS-TCP_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,29.08,index,valid,synthetic_qos,381,379,42.84,0
QOS-TCP_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,57.06,index,valid,synthetic_qos,226,220,37.44,0
QOS-TCP_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,31.53,index,valid,synthetic_qos,386,378,27.16,0
QOS-TCP_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,27.28,index,valid,synthetic_qos,162,153,15.88,0
QOS-TCP_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,59.12,index,valid,synthetic_qos,272,266,27.24,0
QOS-TCP_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,40.62,index,valid,synthetic_qos,394,386,33.01,0
QOS-TCP_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,35.98,index,degraded,synthetic_qos,238,228,80.94,1
QOS-TCP_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,24.6,index,valid,synthetic_qos,215,210,30.38,0
QOS-TCP_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,66.71,index,valid,synthetic_qos,285,281,34.2,0
QOS-TCP_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.82,index,valid,synthetic_qos,262,258,31.59,0
QOS-TCP_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,79.49,index,valid,synthetic_qos,324,314,39.74,0
QOS-TCP_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,67.27,index,valid,synthetic_qos,165,157,28.94,0
QOS-TCP_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,19.09,index,valid,synthetic_qos,359,356,32.89,0
QOS-TCP_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,49.6,index,valid,synthetic_qos,343,341,16.31,0
QOS-TCP_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,75.84,index,valid,synthetic_qos,373,369,29.39,0
QOS-TCP_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,27.2,index,valid,synthetic_qos,208,206,37.97,0
QOS-TCP_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,56.43,index,valid,synthetic_qos,398,390,39.48,0
QOS-TCP_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,43.63,index,valid,synthetic_qos,279,275,38.98,0
QOS-TCP_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,46.98,index,valid,synthetic_qos,154,150,30.8,0
QOS-TCP_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,48.35,index,valid,synthetic_qos,373,368,39.96,0
QOS-TCP_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,33.65,index,valid,synthetic_qos,329,320,33.62,0
QOS-TCP_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,77.78,index,valid,synthetic_qos,370,365,31.5,0
QOS-TCP_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,78.06,index,valid,synthetic_qos,359,356,15.38,0
QOS-TCP_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,68.06,index,valid,synthetic_qos,113,109,26.98,0
QOS-TCP_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,68.91,index,valid,synthetic_qos,275,270,40.21,0
QOS-TCP_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,71.0,index,valid,synthetic_qos,382,373,36.65,0
QOS-TCP_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,41.62,index,valid,synthetic_qos,181,175,21.79,0
QOS-TCP_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,80.56,index,valid,synthetic_qos,285,276,19.49,0
QOS-TCP_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,47.97,index,valid,synthetic_qos,206,205,34.04,0
QOS-TCP_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,76.52,index,valid,synthetic_qos,266,257,40.73,0
QOS-TCP_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,52.2,index,valid,synthetic_qos,348,347,27.92,0
QOS-TCP_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.31,index,valid,synthetic_qos,387,384,39.46,0
QOS-TCP_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,24.75,index,valid,synthetic_qos,323,320,21.48,0
QOS-TCP_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,42.28,index,valid,synthetic_qos,396,390,32.69,0
QOS-TCP_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,23.65,index,valid,synthetic_qos,352,345,40.01,0
QOS-TCP_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,49.19,index,valid,synthetic_qos,191,189,24.16,0
QOS-TCP_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,20.14,index,valid,synthetic_qos,123,119,33.26,0
QOS-TCP_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,53.1,index,valid,synthetic_qos,125,117,29.17,0
QOS-TCP_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,39.73,index,valid,synthetic_qos,291,290,18.65,0
QOS-TCP_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,31.79,index,valid,synthetic_qos,265,260,25.12,0
QOS-TCP_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,40.55,index,valid,synthetic_qos,134,125,15.7,0
QOS-TCP_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,38.74,index,valid,synthetic_qos,248,238,34.53,0
QOS-TCP_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,23.91,index,valid,synthetic_qos,366,364,18.21,0
QOS-TCP_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,42.58,index,valid,synthetic_qos,198,194,27.6,0
QOS-TCP_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,72.8,index,valid,synthetic_qos,245,235,35.78,0
QOS-TCP_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,81.1,index,valid,synthetic_qos,202,192,41.52,0
QOS-TCP_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,81.73,index,valid,synthetic_qos,320,315,15.84,0
QOS-TCP_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,33.55,index,valid,synthetic_qos,191,183,15.41,0
QOS-TCP_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,20.39,index,valid,synthetic_qos,132,124,39.81,0
QOS-TCP_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,32.76,index,valid,synthetic_qos,258,257,44.58,0
QOS-TCP_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,83.6,index,valid,synthetic_qos,305,299,33.41,0
QOS-TCP_HOURLY-02-18,PLAN03,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,63.7,index,valid,synthetic_qos,262,254,20.82,0
QOS-TCP_HOURLY-02-19,PLAN03,CMU,KV3,active,2026-08-18-19,2026-08-18 19:00:00,82.22,index,valid,synthetic_qos,353,350,41.53,0
QOS-TCP_HOURLY-02-20,PLAN03,CMU,KV3,active,2026-08-18-20,2026-08-18 20:00:00,79.34,index,valid,synthetic_qos,343,342,34.13,0
QOS-TCP_HOURLY-02-21,PLAN03,CMU,KV3,active,2026-08-18-21,2026-08-18 21:00:00,45.2,index,valid,synthetic_qos,132,124,23.33,0
