jitter_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-JITTER_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,79.33,index,valid,synthetic_qos,399,392,37.31,0
QOS-JITTER_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,41.81,index,valid,synthetic_qos,298,295,19.6,0
QOS-JITTER_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,84.03,index,valid,synthetic_qos,180,179,37.56,0
QOS-JITTER_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.23,index,valid,synthetic_qos,127,119,26.37,0
QOS-JITTER_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,19.75,index,valid,synthetic_qos,144,143,27.49,0
QOS-JITTER_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,29.37,index,valid,synthetic_qos,393,388,17.74,0
QOS-JITTER_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,34.92,index,valid,synthetic_qos,352,345,22.6,0
QOS-JITTER_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,69.0,index,valid,synthetic_qos,228,223,24.22,0
QOS-JITTER_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,43.98,index,valid,synthetic_qos,100,94,35.45,0
QOS-JITTER_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,73.95,index,valid,synthetic_qos,270,267,34.19,0
QOS-JITTER_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,22.33,index,valid,synthetic_qos,349,340,16.36,0
QOS-JITTER_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,68.33,index,valid,synthetic_qos,352,350,20.75,0
QOS-JITTER_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,60.11,index,valid,synthetic_qos,346,342,37.62,0
QOS-JITTER_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,34.84,index,valid,synthetic_qos,279,274,37.41,0
QOS-JITTER_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,45.01,index,valid,synthetic_qos,335,327,44.5,0
QOS-JITTER_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,40.91,index,valid,synthetic_qos,110,107,20.79,0
QOS-JITTER_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,72.17,index,valid,synthetic_qos,242,236,29.8,0
QOS-JITTER_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,61.34,index,valid,synthetic_qos,144,136,43.11,0
QOS-JITTER_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,76.84,index,valid,synthetic_qos,191,181,38.17,0
QOS-JITTER_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,82.47,index,valid,synthetic_qos,206,198,32.06,0
QOS-JITTER_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,65.76,index,valid,synthetic_qos,177,171,30.43,0
QOS-JITTER_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,22.92,index,valid,synthetic_qos,101,92,41.97,0
QOS-JITTER_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,68.18,index,valid,synthetic_qos,394,392,18.6,0
QOS-JITTER_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,43.53,index,valid,synthetic_qos,306,301,29.22,0
QOS-JITTER_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,51.89,index,valid,synthetic_qos,138,128,28.48,0
QOS-JITTER_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,45.59,index,valid,synthetic_qos,288,283,21.95,0
QOS-JITTER_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,83.48,index,valid,synthetic_qos,196,192,33.95,0
QOS-JITTER_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,39.2,index,valid,synthetic_qos,154,148,38.03,0
QOS-JITTER_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,67.62,index,valid,synthetic_qos,383,375,38.76,0
QOS-JITTER_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,73.56,index,valid,synthetic_qos,288,284,20.92,0
QOS-JITTER_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,73.65,index,valid,synthetic_qos,257,247,42.46,0
QOS-JITTER_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,56.82,index,valid,synthetic_qos,135,125,41.38,0
QOS-JITTER_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,46.19,index,valid,synthetic_qos,194,188,15.39,0
QOS-JITTER_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,54.23,index,valid,synthetic_qos,203,200,24.55,0
QOS-JITTER_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,42.43,index,valid,synthetic_qos,370,360,24.61,0
QOS-JITTER_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,66.23,index,valid,synthetic_qos,318,317,16.48,0
QOS-JITTER_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,76.2,index,valid,synthetic_qos,123,113,32.31,0
QOS-JITTER_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,56.31,index,valid,synthetic_qos,336,332,31.05,0
QOS-JITTER_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.56,index,valid,synthetic_qos,296,294,34.22,0
QOS-JITTER_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,74.2,index,valid,synthetic_qos,156,146,28.75,0
QOS-JITTER_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,52.49,index,valid,synthetic_qos,143,140,24.82,0
QOS-JITTER_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,28.89,index,valid,synthetic_qos,140,138,26.1,0
QOS-JITTER_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,40.11,index,valid,synthetic_qos,331,325,18.69,0
QOS-JITTER_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,58.42,index,valid,synthetic_qos,358,357,22.0,0
QOS-JITTER_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,24.37,index,valid,synthetic_qos,132,127,43.62,0
QOS-JITTER_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,74.87,index,valid,synthetic_qos,205,201,41.34,0
QOS-JITTER_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,56.16,index,valid,synthetic_qos,353,349,20.94,0
QOS-JITTER_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,18.54,index,valid,synthetic_qos,306,302,27.32,0
QOS-JITTER_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,20.3,index,valid,synthetic_qos,324,316,17.49,0
QOS-JITTER_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,19.42,index,valid,synthetic_qos,233,231,26.68,0
QOS-JITTER_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,74.2,index,valid,synthetic_qos,129,119,30.34,0
QOS-JITTER_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,36.47,index,valid,synthetic_qos,155,153,20.83,0
QOS-JITTER_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,35.68,index,valid,synthetic_qos,264,260,36.34,0
QOS-JITTER_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,77.53,index,valid,synthetic_qos,182,178,15.82,0
QOS-JITTER_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,65.91,index,valid,synthetic_qos,318,313,20.68,0
QOS-JITTER_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,74.69,index,valid,synthetic_qos,279,269,34.43,0
QOS-JITTER_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,41.25,index,valid,synthetic_qos,259,249,34.05,0
QOS-JITTER_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,77.48,index,valid,synthetic_qos,336,329,16.16,0
QOS-JITTER_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,20.37,index,valid,synthetic_qos,177,173,26.65,0
QOS-JITTER_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,29.39,index,valid,synthetic_qos,257,250,27.85,0
QOS-JITTER_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,60.1,index,valid,synthetic_qos,388,380,15.72,0
QOS-JITTER_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,77.59,index,valid,synthetic_qos,363,360,23.78,0
QOS-JITTER_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,16.59,index,valid,synthetic_qos,210,207,19.89,0
QOS-JITTER_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,55.11,index,valid,synthetic_qos,287,285,24.2,0
QOS-JITTER_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,36.75,index,valid,synthetic_qos,107,106,28.74,0
QOS-JITTER_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,80.38,index,valid,synthetic_qos,395,389,41.73,0
QOS-JITTER_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,81.27,index,valid,synthetic_qos,275,267,21.1,0
QOS-JITTER_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,83.03,index,valid,synthetic_qos,259,254,35.84,0
QOS-JITTER_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,41.11,index,valid,synthetic_qos,398,391,23.38,0
QOS-JITTER_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,26.79,index,valid,synthetic_qos,104,94,30.87,0
QOS-JITTER_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,28.35,index,valid,synthetic_qos,340,332,33.81,0
QOS-JITTER_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,53.27,index,valid,synthetic_qos,101,95,37.65,0
QOS-JITTER_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,68.76,index,valid,synthetic_qos,249,244,39.58,0
QOS-JITTER_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,30.56,index,valid,synthetic_qos,329,328,36.94,0
QOS-JITTER_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,15.64,index,valid,synthetic_qos,297,290,30.77,0
QOS-JITTER_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,50.91,index,valid,synthetic_qos,377,374,31.49,0
QOS-JITTER_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,23.7,index,valid,synthetic_qos,336,327,36.97,0
QOS-JITTER_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,41.11,index,valid,synthetic_qos,166,157,20.11,0
QOS-JITTER_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,69.09,index,valid,synthetic_qos,154,150,44.61,0
QOS-JITTER_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,52.17,index,valid,synthetic_qos,155,147,16.74,0
QOS-JITTER_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,37.84,index,valid,synthetic_qos,129,119,36.02,0
QOS-JITTER_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,35.12,index,valid,synthetic_qos,266,265,33.82,0
QOS-JITTER_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,79.38,index,valid,synthetic_qos,213,204,24.79,0
QOS-JITTER_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,47.34,index,degraded,synthetic_qos,127,117,74.91,1
QOS-JITTER_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,66.81,index,valid,synthetic_qos,225,216,42.0,0
QOS-JITTER_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,52.04,index,valid,synthetic_qos,390,381,39.63,0
QOS-JITTER_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,78.55,index,valid,synthetic_qos,272,262,23.37,0
QOS-JITTER_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,82.39,index,valid,synthetic_qos,118,110,32.75,0
QOS-JITTER_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,45.23,index,valid,synthetic_qos,381,376,33.98,0
QOS-JITTER_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,73.92,index,valid,synthetic_qos,298,292,17.78,0
QOS-JITTER_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,70.63,index,valid,synthetic_qos,125,118,38.85,0
QOS-JITTER_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,68.79,index,valid,synthetic_qos,315,312,26.89,0
QOS-JITTER_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,27.32,index,valid,synthetic_qos,296,291,38.54,0
QOS-JITTER_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,31.47,index,valid,synthetic_qos,179,171,41.22,0
QOS-JITTER_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,75.15,index,valid,synthetic_qos,395,391,24.44,0
QOS-JITTER_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,71.67,index,valid,synthetic_qos,255,245,24.13,0
QOS-JITTER_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,58.92,index,valid,synthetic_qos,144,139,35.7,0
QOS-JITTER_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,83.34,index,valid,synthetic_qos,250,240,18.91,0
QOS-JITTER_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,59.05,index,valid,synthetic_qos,142,136,21.52,0
QOS-JITTER_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,36.42,index,valid,synthetic_qos,340,338,36.8,0
QOS-JITTER_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,76.11,index,valid,synthetic_qos,234,228,26.87,0
QOS-JITTER_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,40.17,index,valid,synthetic_qos,330,328,42.02,0
QOS-JITTER_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,17.07,index,valid,synthetic_qos,397,396,40.1,0
QOS-JITTER_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,27.65,index,valid,synthetic_qos,105,100,30.73,0
QOS-JITTER_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,55.19,index,valid,synthetic_qos,310,303,40.4,0
QOS-JITTER_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,48.45,index,valid,synthetic_qos,347,343,36.83,0
QOS-JITTER_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,31.74,index,valid,synthetic_qos,333,328,25.03,0
QOS-JITTER_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,68.88,index,valid,synthetic_qos,135,131,17.72,0
QOS-JITTER_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,45.73,index,valid,synthetic_qos,158,153,17.04,0
QOS-JITTER_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,64.94,index,valid,synthetic_qos,302,299,17.95,0
QOS-JITTER_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,60.57,index,valid,synthetic_qos,322,317,44.81,0
QOS-JITTER_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,81.22,index,valid,synthetic_qos,236,233,23.09,0
QOS-JITTER_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,21.93,index,valid,synthetic_qos,324,314,15.63,0
QOS-JITTER_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,50.18,index,valid,synthetic_qos,136,126,17.52,0
QOS-JITTER_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,26.59,index,valid,synthetic_qos,129,127,36.99,0
QOS-JITTER_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,80.88,index,valid,synthetic_qos,105,100,43.22,0
QOS-JITTER_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,36.16,index,valid,synthetic_qos,340,332,33.78,0
QOS-JITTER_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,60.09,index,valid,synthetic_qos,213,208,20.82,0
QOS-JITTER_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,63.26,index,valid,synthetic_qos,236,230,43.15,0
QOS-JITTER_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,49.62,index,valid,synthetic_qos,171,166,16.26,0
QOS-JITTER_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,26.92,index,valid,synthetic_qos,201,194,22.4,0
QOS-JITTER_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,70.36,index,valid,synthetic_qos,256,251,43.47,0
QOS-JITTER_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,60.24,index,valid,synthetic_qos,363,353,19.73,0
QOS-JITTER_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,56.77,index,valid,synthetic_qos,367,357,39.23,0
QOS-JITTER_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,71.34,index,valid,synthetic_qos,242,234,39.11,0
QOS-JITTER_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,21.12,index,valid,synthetic_qos,247,242,40.9,0
QOS-JITTER_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,43.91,index,valid,synthetic_qos,320,313,35.4,0
QOS-JITTER_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,16.69,index,valid,synthetic_qos,209,205,32.18,0
QOS-JITTER_HOURLY-02-18,PLAN03,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,51.37,index,valid,synthetic_qos,372,366,43.27,0
QOS-JITTER_HOURLY-02-19,PLAN03,CMU,KV3,active,2026-08-18-19,2026-08-18 19:00:00,58.15,index,valid,synthetic_qos,237,232,24.66,0
