application_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-APPLICATION_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,24.59,index,valid,synthetic_qos,101,98,41.34,0
QOS-APPLICATION_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,28.76,index,valid,synthetic_qos,197,188,35.03,0
QOS-APPLICATION_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,82.31,index,valid,synthetic_qos,366,358,20.97,0
QOS-APPLICATION_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,72.42,index,valid,synthetic_qos,312,302,18.27,0
QOS-APPLICATION_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,25.53,index,valid,synthetic_qos,162,157,38.36,0
QOS-APPLICATION_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,28.56,index,degraded,synthetic_qos,107,103,91.17,1
QOS-APPLICATION_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,32.12,index,valid,synthetic_qos,279,274,43.86,0
QOS-APPLICATION_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,51.0,index,valid,synthetic_qos,287,285,30.96,0
QOS-APPLICATION_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,77.87,index,valid,synthetic_qos,390,380,27.61,0
QOS-APPLICATION_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,24.0,index,valid,synthetic_qos,350,344,39.21,0
QOS-APPLICATION_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,60.68,index,valid,synthetic_qos,237,232,43.89,0
QOS-APPLICATION_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,15.25,index,valid,synthetic_qos,253,244,32.53,0
QOS-APPLICATION_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,74.28,index,valid,synthetic_qos,102,93,23.7,0
QOS-APPLICATION_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,29.94,index,valid,synthetic_qos,370,364,43.52,0
QOS-APPLICATION_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.12,index,valid,synthetic_qos,199,189,26.64,0
QOS-APPLICATION_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,20.82,index,valid,synthetic_qos,318,314,21.31,0
QOS-APPLICATION_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,66.45,index,valid,synthetic_qos,257,248,27.07,0
QOS-APPLICATION_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,74.89,index,valid,synthetic_qos,249,246,44.93,0
QOS-APPLICATION_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,76.71,index,valid,synthetic_qos,302,294,26.25,0
QOS-APPLICATION_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,50.68,index,valid,synthetic_qos,317,315,40.96,0
QOS-APPLICATION_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,75.17,index,valid,synthetic_qos,190,182,23.24,0
QOS-APPLICATION_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,30.93,index,valid,synthetic_qos,186,184,29.88,0
QOS-APPLICATION_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,26.94,index,valid,synthetic_qos,114,108,28.35,0
QOS-APPLICATION_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,39.84,index,valid,synthetic_qos,329,322,29.74,0
QOS-APPLICATION_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,16.94,index,valid,synthetic_qos,193,183,17.76,0
QOS-APPLICATION_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,35.55,index,valid,synthetic_qos,180,170,28.05,0
QOS-APPLICATION_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,47.21,index,valid,synthetic_qos,246,238,44.05,0
QOS-APPLICATION_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,67.68,index,valid,synthetic_qos,162,152,18.65,0
QOS-APPLICATION_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,66.6,index,valid,synthetic_qos,293,291,39.23,0
QOS-APPLICATION_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,37.22,index,valid,synthetic_qos,398,388,37.43,0
QOS-APPLICATION_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.41,index,valid,synthetic_qos,134,130,25.05,0
QOS-APPLICATION_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,21.28,index,valid,synthetic_qos,305,302,32.85,0
QOS-APPLICATION_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,30.82,index,valid,synthetic_qos,361,355,32.86,0
QOS-APPLICATION_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,52.14,index,valid,synthetic_qos,330,321,39.65,0
QOS-APPLICATION_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,36.99,index,valid,synthetic_qos,321,320,38.16,0
QOS-APPLICATION_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,33.91,index,valid,synthetic_qos,376,371,39.16,0
QOS-APPLICATION_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,50.59,index,valid,synthetic_qos,372,370,26.54,0
QOS-APPLICATION_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,27.82,index,valid,synthetic_qos,146,142,34.26,0
QOS-APPLICATION_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,63.57,index,valid,synthetic_qos,125,116,40.77,0
QOS-APPLICATION_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,47.08,index,valid,synthetic_qos,241,239,26.14,0
QOS-APPLICATION_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,74.55,index,valid,synthetic_qos,340,338,17.71,0
QOS-APPLICATION_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,65.5,index,valid,synthetic_qos,356,351,32.92,0
QOS-APPLICATION_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,43.95,index,valid,synthetic_qos,318,315,27.29,0
QOS-APPLICATION_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.73,index,valid,synthetic_qos,235,226,40.2,0
QOS-APPLICATION_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,39.07,index,valid,synthetic_qos,242,232,23.83,0
QOS-APPLICATION_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,61.69,index,valid,synthetic_qos,342,339,41.81,0
QOS-APPLICATION_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.11,index,valid,synthetic_qos,105,104,33.57,0
QOS-APPLICATION_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,62.6,index,valid,synthetic_qos,310,303,17.23,0
QOS-APPLICATION_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,66.41,index,valid,synthetic_qos,150,145,44.81,0
QOS-APPLICATION_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,56.32,index,valid,synthetic_qos,270,268,22.56,0
QOS-APPLICATION_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,24.86,index,valid,synthetic_qos,288,282,39.72,0
QOS-APPLICATION_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,58.24,index,valid,synthetic_qos,210,200,38.36,0
QOS-APPLICATION_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,38.95,index,valid,synthetic_qos,383,380,27.55,0
QOS-APPLICATION_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,17.66,index,valid,synthetic_qos,235,229,19.28,0
QOS-APPLICATION_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.18,index,valid,synthetic_qos,138,129,32.93,0
QOS-APPLICATION_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,34.7,index,valid,synthetic_qos,205,195,41.89,0
QOS-APPLICATION_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,74.32,index,valid,synthetic_qos,377,374,31.36,0
QOS-APPLICATION_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,33.53,index,valid,synthetic_qos,337,330,25.73,0
QOS-APPLICATION_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,24.23,index,valid,synthetic_qos,147,144,28.02,0
QOS-APPLICATION_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,34.31,index,valid,synthetic_qos,189,185,36.66,0
QOS-APPLICATION_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,21.43,index,valid,synthetic_qos,302,301,22.73,0
QOS-APPLICATION_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,42.16,index,valid,synthetic_qos,388,380,29.81,0
QOS-APPLICATION_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,79.81,index,valid,synthetic_qos,175,174,24.17,0
QOS-APPLICATION_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,43.98,index,valid,synthetic_qos,358,353,31.0,0
QOS-APPLICATION_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,21.59,index,valid,synthetic_qos,160,153,30.83,0
QOS-APPLICATION_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,43.19,index,valid,synthetic_qos,363,357,38.08,0
QOS-APPLICATION_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,52.09,index,valid,synthetic_qos,181,177,27.82,0
QOS-APPLICATION_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,70.64,index,valid,synthetic_qos,261,254,32.84,0
QOS-APPLICATION_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,65.96,index,valid,synthetic_qos,357,349,38.34,0
QOS-APPLICATION_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,45.99,index,valid,synthetic_qos,108,100,42.86,0
QOS-APPLICATION_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,27.85,index,valid,synthetic_qos,284,281,28.85,0
QOS-APPLICATION_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,70.89,index,valid,synthetic_qos,335,329,24.54,0
QOS-APPLICATION_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,43.23,index,valid,synthetic_qos,288,282,17.69,0
QOS-APPLICATION_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,27.73,index,valid,synthetic_qos,153,144,23.24,0
QOS-APPLICATION_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,43.46,index,valid,synthetic_qos,140,130,25.32,0
QOS-APPLICATION_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,22.55,index,valid,synthetic_qos,161,155,43.83,0
QOS-APPLICATION_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,74.03,index,valid,synthetic_qos,115,105,19.0,0
QOS-APPLICATION_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.12,index,valid,synthetic_qos,196,190,38.32,0
QOS-APPLICATION_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,77.04,index,valid,synthetic_qos,301,293,19.99,0
QOS-APPLICATION_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,67.45,index,valid,synthetic_qos,163,160,29.97,0
QOS-APPLICATION_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,22.62,index,valid,synthetic_qos,188,186,25.32,0
QOS-APPLICATION_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,34.74,index,valid,synthetic_qos,335,334,44.84,0
QOS-APPLICATION_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,26.57,index,valid,synthetic_qos,381,378,36.87,0
QOS-APPLICATION_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,17.37,index,valid,synthetic_qos,277,274,38.14,0
QOS-APPLICATION_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,78.88,index,valid,synthetic_qos,136,132,20.47,0
QOS-APPLICATION_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,74.16,index,valid,synthetic_qos,341,336,18.63,0
QOS-APPLICATION_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,25.4,index,valid,synthetic_qos,216,211,35.59,0
QOS-APPLICATION_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,35.22,index,valid,synthetic_qos,317,316,15.49,0
QOS-APPLICATION_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,35.79,index,valid,synthetic_qos,255,245,38.31,0
QOS-APPLICATION_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,16.74,index,valid,synthetic_qos,183,174,36.6,0
QOS-APPLICATION_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,22.58,index,valid,synthetic_qos,210,202,41.57,0
QOS-APPLICATION_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.48,index,valid,synthetic_qos,190,188,29.85,0
QOS-APPLICATION_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,36.19,index,valid,synthetic_qos,189,180,29.58,0
QOS-APPLICATION_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.75,index,valid,synthetic_qos,165,162,23.68,0
QOS-APPLICATION_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,15.89,index,valid,synthetic_qos,157,153,31.06,0
QOS-APPLICATION_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,48.92,index,degraded,synthetic_qos,274,266,86.87,1
QOS-APPLICATION_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,32.92,index,valid,synthetic_qos,392,389,16.61,0
QOS-APPLICATION_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,84.62,index,valid,synthetic_qos,208,203,15.11,0
QOS-APPLICATION_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,58.17,index,valid,synthetic_qos,298,290,22.24,0
QOS-APPLICATION_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,47.54,index,valid,synthetic_qos,356,350,22.25,0
QOS-APPLICATION_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,42.74,index,valid,synthetic_qos,244,240,37.09,0
QOS-APPLICATION_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,60.79,index,valid,synthetic_qos,172,163,31.99,0
QOS-APPLICATION_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,60.99,index,valid,synthetic_qos,210,206,33.71,0
QOS-APPLICATION_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,54.23,index,valid,synthetic_qos,248,241,31.31,0
QOS-APPLICATION_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,44.38,index,valid,synthetic_qos,104,94,25.16,0
QOS-APPLICATION_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,61.11,index,valid,synthetic_qos,362,360,19.84,0
QOS-APPLICATION_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,17.23,index,valid,synthetic_qos,279,276,42.21,0
QOS-APPLICATION_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,83.23,index,valid,synthetic_qos,134,125,22.12,0
QOS-APPLICATION_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,79.59,index,valid,synthetic_qos,204,196,24.24,0
QOS-APPLICATION_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,68.49,index,valid,synthetic_qos,281,277,36.04,0
QOS-APPLICATION_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.13,index,valid,synthetic_qos,242,237,28.52,0
QOS-APPLICATION_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,47.26,index,valid,synthetic_qos,366,359,28.32,0
QOS-APPLICATION_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,27.42,index,valid,synthetic_qos,193,192,41.78,0
QOS-APPLICATION_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,59.34,index,valid,synthetic_qos,271,263,38.82,0
QOS-APPLICATION_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,22.92,index,valid,synthetic_qos,165,158,23.66,0
QOS-APPLICATION_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,47.09,index,valid,synthetic_qos,370,360,23.75,0
QOS-APPLICATION_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,31.47,index,valid,synthetic_qos,128,121,21.1,0
QOS-APPLICATION_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,24.68,index,valid,synthetic_qos,254,245,35.23,0
QOS-APPLICATION_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,44.54,index,valid,synthetic_qos,323,317,35.23,0
QOS-APPLICATION_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,63.56,index,valid,synthetic_qos,392,383,38.68,0
QOS-APPLICATION_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,18.81,index,valid,synthetic_qos,365,355,27.99,0
QOS-APPLICATION_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,71.81,index,valid,synthetic_qos,217,208,22.65,0
QOS-APPLICATION_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,32.04,index,valid,synthetic_qos,368,362,35.6,0
QOS-APPLICATION_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,31.47,index,valid,synthetic_qos,359,358,38.27,0
QOS-APPLICATION_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,28.31,index,valid,synthetic_qos,262,252,20.2,0
QOS-APPLICATION_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,62.84,index,valid,synthetic_qos,244,238,29.24,0
QOS-APPLICATION_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,84.51,index,valid,synthetic_qos,258,257,27.9,0
QOS-APPLICATION_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,62.63,index,valid,synthetic_qos,280,270,35.45,0
QOS-APPLICATION_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,68.99,index,valid,synthetic_qos,298,289,32.77,0
QOS-APPLICATION_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,31.18,index,valid,synthetic_qos,147,138,41.97,0
QOS-APPLICATION_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,69.75,index,valid,synthetic_qos,139,136,36.08,0
QOS-APPLICATION_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,63.48,index,valid,synthetic_qos,313,312,37.25,0
QOS-APPLICATION_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,84.9,index,valid,synthetic_qos,119,114,19.14,0
QOS-APPLICATION_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,65.26,index,valid,synthetic_qos,225,219,43.7,0
QOS-APPLICATION_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,55.32,index,valid,synthetic_qos,374,370,24.39,0
QOS-APPLICATION_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,70.66,index,valid,synthetic_qos,330,320,27.1,0
QOS-APPLICATION_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,51.1,index,valid,synthetic_qos,349,341,18.7,0
QOS-APPLICATION_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,49.6,index,valid,synthetic_qos,360,358,31.4,0
