video_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-VIDEO_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,18.85,index,valid,synthetic_qos,159,152,44.91,0
QOS-VIDEO_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,66.22,index,valid,synthetic_qos,390,389,16.28,0
QOS-VIDEO_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,48.22,index,degraded,synthetic_qos,160,151,70.85,1
QOS-VIDEO_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,64.56,index,valid,synthetic_qos,400,394,34.38,0
QOS-VIDEO_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,60.48,index,valid,synthetic_qos,187,182,17.71,0
QOS-VIDEO_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,17.45,index,valid,synthetic_qos,252,250,19.31,0
QOS-VIDEO_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,61.08,index,valid,synthetic_qos,153,146,29.02,0
QOS-VIDEO_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,36.81,index,valid,synthetic_qos,400,396,28.95,0
QOS-VIDEO_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,38.12,index,valid,synthetic_qos,249,248,29.72,0
QOS-VIDEO_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,31.44,index,valid,synthetic_qos,326,316,33.06,0
QOS-VIDEO_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,45.91,index,valid,synthetic_qos,194,187,40.39,0
QOS-VIDEO_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,18.72,index,valid,synthetic_qos,161,158,40.09,0
QOS-VIDEO_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,68.76,index,valid,synthetic_qos,211,202,16.69,0
QOS-VIDEO_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,69.81,index,valid,synthetic_qos,171,169,39.34,0
QOS-VIDEO_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,68.78,index,valid,synthetic_qos,228,227,31.19,0
QOS-VIDEO_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,30.2,index,valid,synthetic_qos,279,272,39.69,0
QOS-VIDEO_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,39.88,index,valid,synthetic_qos,399,389,17.17,0
QOS-VIDEO_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,50.51,index,valid,synthetic_qos,332,327,36.58,0
QOS-VIDEO_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,40.5,index,valid,synthetic_qos,381,371,35.23,0
QOS-VIDEO_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,36.42,index,valid,synthetic_qos,377,368,35.17,0
QOS-VIDEO_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,25.53,index,valid,synthetic_qos,143,139,37.92,0
QOS-VIDEO_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,51.21,index,valid,synthetic_qos,388,378,16.18,0
QOS-VIDEO_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,78.9,index,valid,synthetic_qos,240,235,36.05,0
QOS-VIDEO_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,72.63,index,valid,synthetic_qos,333,327,35.76,0
QOS-VIDEO_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,76.31,index,valid,synthetic_qos,128,123,24.28,0
QOS-VIDEO_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,19.63,index,valid,synthetic_qos,393,390,17.81,0
QOS-VIDEO_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,27.95,index,valid,synthetic_qos,357,349,41.11,0
QOS-VIDEO_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,41.16,index,valid,synthetic_qos,211,207,44.72,0
QOS-VIDEO_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,82.74,index,valid,synthetic_qos,174,164,25.59,0
QOS-VIDEO_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,15.04,index,valid,synthetic_qos,233,226,41.45,0
QOS-VIDEO_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,29.21,index,valid,synthetic_qos,334,324,30.73,0
QOS-VIDEO_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,84.61,index,valid,synthetic_qos,365,364,27.59,0
QOS-VIDEO_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,21.44,index,valid,synthetic_qos,318,316,31.3,0
QOS-VIDEO_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,59.73,index,valid,synthetic_qos,144,142,44.77,0
QOS-VIDEO_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,47.24,index,valid,synthetic_qos,282,276,35.83,0
QOS-VIDEO_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,32.28,index,valid,synthetic_qos,182,180,23.96,0
QOS-VIDEO_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,71.89,index,valid,synthetic_qos,265,260,44.48,0
QOS-VIDEO_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,53.62,index,valid,synthetic_qos,279,278,18.0,0
QOS-VIDEO_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.16,index,valid,synthetic_qos,199,189,17.73,0
QOS-VIDEO_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,81.74,index,valid,synthetic_qos,273,270,34.01,0
QOS-VIDEO_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,29.76,index,valid,synthetic_qos,153,152,33.63,0
QOS-VIDEO_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,58.72,index,valid,synthetic_qos,382,373,31.66,0
QOS-VIDEO_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,66.53,index,valid,synthetic_qos,140,134,23.83,0
QOS-VIDEO_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,27.1,index,valid,synthetic_qos,169,162,15.25,0
QOS-VIDEO_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,48.86,index,valid,synthetic_qos,147,137,18.52,0
QOS-VIDEO_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,23.23,index,valid,synthetic_qos,362,360,42.51,0
QOS-VIDEO_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,52.37,index,valid,synthetic_qos,104,98,17.65,0
QOS-VIDEO_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,71.11,index,valid,synthetic_qos,334,326,39.32,0
QOS-VIDEO_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,51.48,index,valid,synthetic_qos,146,137,37.1,0
QOS-VIDEO_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,67.69,index,valid,synthetic_qos,147,137,30.08,0
QOS-VIDEO_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,37.33,index,valid,synthetic_qos,274,273,28.51,0
QOS-VIDEO_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,37.37,index,valid,synthetic_qos,305,299,38.02,0
QOS-VIDEO_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,42.7,index,valid,synthetic_qos,356,349,35.85,0
QOS-VIDEO_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,40.29,index,valid,synthetic_qos,346,337,25.35,0
QOS-VIDEO_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,27.97,index,valid,synthetic_qos,140,139,28.8,0
QOS-VIDEO_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,66.5,index,valid,synthetic_qos,161,151,23.92,0
QOS-VIDEO_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,73.86,index,valid,synthetic_qos,183,181,44.19,0
QOS-VIDEO_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,19.46,index,valid,synthetic_qos,133,124,43.67,0
QOS-VIDEO_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,80.82,index,valid,synthetic_qos,232,224,24.83,0
QOS-VIDEO_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,78.55,index,valid,synthetic_qos,117,111,20.57,0
QOS-VIDEO_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,80.76,index,valid,synthetic_qos,182,181,32.34,0
QOS-VIDEO_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,36.23,index,valid,synthetic_qos,214,204,43.65,0
QOS-VIDEO_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,46.74,index,valid,synthetic_qos,349,342,31.92,0
QOS-VIDEO_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.4,index,valid,synthetic_qos,181,171,29.46,0
QOS-VIDEO_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,83.48,index,valid,synthetic_qos,107,100,21.72,0
QOS-VIDEO_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,72.77,index,valid,synthetic_qos,266,265,28.03,0
QOS-VIDEO_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,48.86,index,valid,synthetic_qos,203,194,35.36,0
QOS-VIDEO_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,77.49,index,valid,synthetic_qos,194,188,26.63,0
QOS-VIDEO_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.38,index,valid,synthetic_qos,217,210,38.76,0
QOS-VIDEO_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,18.61,index,valid,synthetic_qos,196,186,27.74,0
QOS-VIDEO_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.44,index,valid,synthetic_qos,226,225,25.26,0
QOS-VIDEO_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,47.85,index,valid,synthetic_qos,209,201,28.07,0
QOS-VIDEO_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,78.66,index,valid,synthetic_qos,350,344,36.81,0
QOS-VIDEO_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,34.27,index,valid,synthetic_qos,257,253,36.36,0
QOS-VIDEO_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,65.38,index,valid,synthetic_qos,219,209,19.56,0
QOS-VIDEO_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,82.99,index,valid,synthetic_qos,187,178,36.9,0
QOS-VIDEO_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,61.57,index,valid,synthetic_qos,267,265,38.29,0
QOS-VIDEO_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,39.97,index,valid,synthetic_qos,107,104,28.57,0
QOS-VIDEO_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,29.47,index,valid,synthetic_qos,166,157,28.48,0
QOS-VIDEO_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,27.92,index,valid,synthetic_qos,243,234,19.03,0
QOS-VIDEO_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,38.79,index,valid,synthetic_qos,196,191,25.12,0
QOS-VIDEO_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,20.61,index,valid,synthetic_qos,359,355,28.9,0
QOS-VIDEO_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.33,index,valid,synthetic_qos,297,287,29.08,0
QOS-VIDEO_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,33.94,index,valid,synthetic_qos,233,230,39.6,0
QOS-VIDEO_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,20.29,index,valid,synthetic_qos,326,321,18.68,0
QOS-VIDEO_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,84.88,index,valid,synthetic_qos,164,157,25.29,0
QOS-VIDEO_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,63.47,index,valid,synthetic_qos,198,195,42.31,0
QOS-VIDEO_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,33.82,index,valid,synthetic_qos,343,340,17.79,0
QOS-VIDEO_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,62.52,index,valid,synthetic_qos,249,241,38.34,0
QOS-VIDEO_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,19.29,index,valid,synthetic_qos,205,204,24.58,0
QOS-VIDEO_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,84.95,index,valid,synthetic_qos,100,97,40.61,0
QOS-VIDEO_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,81.37,index,valid,synthetic_qos,292,290,44.58,0
QOS-VIDEO_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,111.16,index,degraded,synthetic_qos,147,141,91.16,1
QOS-VIDEO_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,61.43,index,valid,synthetic_qos,120,118,22.82,0
QOS-VIDEO_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,24.96,index,valid,synthetic_qos,303,293,32.57,0
QOS-VIDEO_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,18.18,index,valid,synthetic_qos,395,389,24.73,0
QOS-VIDEO_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,71.13,index,valid,synthetic_qos,315,314,28.76,0
QOS-VIDEO_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.48,index,valid,synthetic_qos,173,165,18.1,0
QOS-VIDEO_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,23.67,index,valid,synthetic_qos,347,338,37.24,0
QOS-VIDEO_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,53.8,index,valid,synthetic_qos,111,105,38.73,0
QOS-VIDEO_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,58.88,index,valid,synthetic_qos,259,258,15.42,0
QOS-VIDEO_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,62.04,index,valid,synthetic_qos,269,265,17.73,0
QOS-VIDEO_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,18.87,index,valid,synthetic_qos,124,119,19.04,0
QOS-VIDEO_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,62.22,index,valid,synthetic_qos,335,331,29.56,0
QOS-VIDEO_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,78.33,index,valid,synthetic_qos,322,315,31.61,0
QOS-VIDEO_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,55.15,index,valid,synthetic_qos,372,367,30.51,0
QOS-VIDEO_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,75.3,index,valid,synthetic_qos,223,219,43.17,0
QOS-VIDEO_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,56.58,index,valid,synthetic_qos,258,253,37.35,0
QOS-VIDEO_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,80.59,index,valid,synthetic_qos,150,140,34.43,0
QOS-VIDEO_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,74.87,index,valid,synthetic_qos,300,294,25.49,0
QOS-VIDEO_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,26.67,index,valid,synthetic_qos,278,273,40.98,0
QOS-VIDEO_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,84.98,index,valid,synthetic_qos,270,267,33.57,0
QOS-VIDEO_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,16.54,index,valid,synthetic_qos,116,107,18.57,0
QOS-VIDEO_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,37.09,index,valid,synthetic_qos,322,320,37.3,0
QOS-VIDEO_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,48.82,index,valid,synthetic_qos,144,141,21.28,0
QOS-VIDEO_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,15.79,index,valid,synthetic_qos,139,129,27.58,0
QOS-VIDEO_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,53.55,index,valid,synthetic_qos,391,385,28.64,0
QOS-VIDEO_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,65.68,index,valid,synthetic_qos,227,223,43.04,0
QOS-VIDEO_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,72.22,index,valid,synthetic_qos,378,377,40.51,0
QOS-VIDEO_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,69.48,index,valid,synthetic_qos,305,302,36.48,0
QOS-VIDEO_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,61.39,index,valid,synthetic_qos,197,193,29.0,0
QOS-VIDEO_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,40.73,index,valid,synthetic_qos,176,167,26.72,0
QOS-VIDEO_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,50.13,index,valid,synthetic_qos,377,375,42.68,0
QOS-VIDEO_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,80.75,index,valid,synthetic_qos,233,226,22.91,0
QOS-VIDEO_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,16.28,index,valid,synthetic_qos,146,143,38.63,0
QOS-VIDEO_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,60.55,index,valid,synthetic_qos,242,240,18.32,0
QOS-VIDEO_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,57.01,index,valid,synthetic_qos,309,300,15.21,0
QOS-VIDEO_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,83.44,index,valid,synthetic_qos,172,170,15.06,0
QOS-VIDEO_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,39.68,index,valid,synthetic_qos,386,383,25.87,0
QOS-VIDEO_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,43.83,index,valid,synthetic_qos,170,161,35.37,0
QOS-VIDEO_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,67.67,index,valid,synthetic_qos,174,173,40.0,0
QOS-VIDEO_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,39.2,index,valid,synthetic_qos,208,200,16.93,0
QOS-VIDEO_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,57.9,index,valid,synthetic_qos,377,374,41.99,0
QOS-VIDEO_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,35.05,index,valid,synthetic_qos,268,263,15.73,0
QOS-VIDEO_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,25.32,index,valid,synthetic_qos,154,153,19.54,0
QOS-VIDEO_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,63.49,index,valid,synthetic_qos,386,383,43.64,0
QOS-VIDEO_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,71.02,index,valid,synthetic_qos,167,160,33.24,0
