qos_breach_event_id,plan_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-QOS_BREACH_EVENT-01-18,PLAN02,SLA,KV1,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,356,354,20.72,0
QOS-QOS_BREACH_EVENT-01-27,PLAN02,SLA,KV1,active,2026-08-19 03:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,166,164,34.36,0
QOS-QOS_BREACH_EVENT-01-36,PLAN02,SLA,KV1,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,312,311,21.39,0
QOS-QOS_BREACH_EVENT-01-45,PLAN02,SLA,KV1,degraded,2026-08-19 21:00:00,QOS_BREACH_EVENT,major,failed,3600,synthetic_qos,276,271,93.8,1
QOS-QOS_BREACH_EVENT-01-54,PLAN02,SLA,KV1,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,103,96,32.81,0
QOS-QOS_BREACH_EVENT-01-63,PLAN02,SLA,KV1,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,332,328,28.32,0
QOS-QOS_BREACH_EVENT-02-00,PLAN03,CMU,KV3,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,155,146,39.36,0
QOS-QOS_BREACH_EVENT-02-09,PLAN03,CMU,KV3,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,222,221,40.69,0
QOS-QOS_BREACH_EVENT-02-18,PLAN03,CMU,KV3,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,205,198,18.97,0
QOS-QOS_BREACH_EVENT-02-27,PLAN03,CMU,KV3,active,2026-08-19 03:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,290,287,27.83,0
QOS-QOS_BREACH_EVENT-02-36,PLAN03,CMU,KV3,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,344,337,39.98,0
QOS-QOS_BREACH_EVENT-02-45,PLAN03,CMU,KV3,active,2026-08-19 21:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,152,150,33.05,0
QOS-QOS_BREACH_EVENT-02-54,PLAN03,CMU,KV3,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,310,308,40.65,0
QOS-QOS_BREACH_EVENT-02-63,PLAN03,CMU,KV3,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,237,234,38.87,0
QOS-QOS_BREACH_EVENT-03-00,PLAN01,NBH,KV1,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,313,307,34.25,0
QOS-QOS_BREACH_EVENT-03-09,PLAN01,NBH,KV1,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,375,373,19.59,0
QOS-QOS_BREACH_EVENT-03-18,PLAN01,NBH,KV1,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,192,191,39.24,0
QOS-QOS_BREACH_EVENT-03-27,PLAN01,NBH,KV1,active,2026-08-19 03:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,281,271,29.0,0
QOS-QOS_BREACH_EVENT-03-36,PLAN01,NBH,KV1,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,381,372,31.79,0
QOS-QOS_BREACH_EVENT-03-45,PLAN01,NBH,KV1,active,2026-08-19 21:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,330,323,16.69,0
QOS-QOS_BREACH_EVENT-03-54,PLAN01,NBH,KV1,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,235,230,25.41,0
QOS-QOS_BREACH_EVENT-03-63,PLAN01,NBH,KV1,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,331,321,43.8,0
QOS-QOS_BREACH_EVENT-04-00,PLAN02,HCM,KV3,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,344,339,28.86,0
QOS-QOS_BREACH_EVENT-04-09,PLAN02,HCM,KV3,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,135,132,26.61,0
QOS-QOS_BREACH_EVENT-04-18,PLAN02,HCM,KV3,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,345,335,39.57,0
QOS-QOS_BREACH_EVENT-04-27,PLAN02,HCM,KV3,active,2026-08-19 03:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,203,199,18.8,0
QOS-QOS_BREACH_EVENT-04-36,PLAN02,HCM,KV3,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,181,175,34.98,0
QOS-QOS_BREACH_EVENT-04-45,PLAN02,HCM,KV3,active,2026-08-19 21:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,218,210,25.75,0
QOS-QOS_BREACH_EVENT-04-54,PLAN02,HCM,KV3,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,164,163,29.83,0
QOS-QOS_BREACH_EVENT-04-63,PLAN02,HCM,KV3,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,261,258,32.68,0
QOS-QOS_BREACH_EVENT-05-00,PLAN01,KHA,KV2,active,2026-08-18 00:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,242,241,20.44,0
QOS-QOS_BREACH_EVENT-05-09,PLAN01,KHA,KV2,active,2026-08-18 09:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,306,301,23.07,0
QOS-QOS_BREACH_EVENT-05-18,PLAN01,KHA,KV2,active,2026-08-18 18:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,116,108,34.13,0
QOS-QOS_BREACH_EVENT-05-27,PLAN01,KHA,KV2,active,2026-08-19 03:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,223,218,20.13,0
QOS-QOS_BREACH_EVENT-05-36,PLAN01,KHA,KV2,active,2026-08-19 12:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,296,286,28.15,0
QOS-QOS_BREACH_EVENT-05-45,PLAN01,KHA,KV2,active,2026-08-19 21:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,374,371,17.54,0
QOS-QOS_BREACH_EVENT-05-54,PLAN01,KHA,KV2,active,2026-08-20 06:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,280,273,21.41,0
QOS-QOS_BREACH_EVENT-05-63,PLAN01,KHA,KV2,active,2026-08-20 15:00:00,QOS_BREACH_EVENT,info,success,60,synthetic_qos,169,164,41.66,0
