udp_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-UDP_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,22.46,index,valid,synthetic_qos,224,219,22.55,0
QOS-UDP_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,75.76,index,valid,synthetic_qos,162,160,32.25,0
QOS-UDP_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,68.56,index,valid,synthetic_qos,262,252,18.13,0
QOS-UDP_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,29.34,index,valid,synthetic_qos,101,98,29.05,0
QOS-UDP_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,24.32,index,valid,synthetic_qos,322,312,19.85,0
QOS-UDP_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,35.87,index,valid,synthetic_qos,196,192,28.94,0
QOS-UDP_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.27,index,valid,synthetic_qos,157,155,33.5,0
QOS-UDP_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,46.22,index,valid,synthetic_qos,293,292,21.23,0
QOS-UDP_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.86,index,valid,synthetic_qos,157,148,34.3,0
QOS-UDP_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,79.0,index,valid,synthetic_qos,207,206,23.71,0
QOS-UDP_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,61.61,index,valid,synthetic_qos,314,312,43.08,0
QOS-UDP_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,30.72,index,valid,synthetic_qos,327,325,24.17,0
QOS-UDP_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,56.94,index,valid,synthetic_qos,173,170,40.69,0
QOS-UDP_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,17.07,index,valid,synthetic_qos,201,200,24.46,0
QOS-UDP_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,26.57,index,valid,synthetic_qos,107,103,28.14,0
QOS-UDP_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,23.47,index,valid,synthetic_qos,225,219,43.21,0
QOS-UDP_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,36.39,index,valid,synthetic_qos,119,117,35.49,0
QOS-UDP_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,28.0,index,valid,synthetic_qos,350,344,18.65,0
QOS-UDP_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,47.87,index,valid,synthetic_qos,278,274,42.33,0
QOS-UDP_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,47.49,index,valid,synthetic_qos,227,224,34.35,0
QOS-UDP_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,41.14,index,valid,synthetic_qos,307,303,17.65,0
QOS-UDP_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,48.83,index,valid,synthetic_qos,159,154,40.53,0
QOS-UDP_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,61.74,index,valid,synthetic_qos,128,122,15.58,0
QOS-UDP_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,71.15,index,valid,synthetic_qos,240,238,26.18,0
QOS-UDP_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,53.2,index,valid,synthetic_qos,353,344,19.03,0
QOS-UDP_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,47.38,index,valid,synthetic_qos,156,152,40.72,0
QOS-UDP_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,80.16,index,valid,synthetic_qos,286,279,36.94,0
QOS-UDP_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,32.12,index,valid,synthetic_qos,131,128,44.25,0
QOS-UDP_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,34.74,index,valid,synthetic_qos,208,202,22.34,0
QOS-UDP_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.89,index,valid,synthetic_qos,193,192,26.47,0
QOS-UDP_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,54.34,index,valid,synthetic_qos,213,204,31.79,0
QOS-UDP_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,52.98,index,valid,synthetic_qos,306,299,39.99,0
QOS-UDP_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,44.98,index,valid,synthetic_qos,150,141,19.8,0
QOS-UDP_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,79.14,index,valid,synthetic_qos,286,279,15.77,0
QOS-UDP_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,81.07,index,valid,synthetic_qos,227,225,16.97,0
QOS-UDP_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.09,index,valid,synthetic_qos,206,197,23.64,0
QOS-UDP_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,26.84,index,valid,synthetic_qos,108,98,33.98,0
QOS-UDP_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,30.12,index,valid,synthetic_qos,110,108,36.49,0
QOS-UDP_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,57.06,index,valid,synthetic_qos,147,146,22.79,0
QOS-UDP_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,63.55,index,valid,synthetic_qos,206,198,43.44,0
QOS-UDP_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,67.36,index,valid,synthetic_qos,183,177,23.79,0
QOS-UDP_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,44.57,index,valid,synthetic_qos,291,288,25.08,0
QOS-UDP_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,75.65,index,valid,synthetic_qos,317,308,22.35,0
QOS-UDP_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,73.7,index,valid,synthetic_qos,346,344,37.42,0
QOS-UDP_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,47.99,index,valid,synthetic_qos,186,179,42.59,0
QOS-UDP_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,58.57,index,valid,synthetic_qos,346,345,24.17,0
QOS-UDP_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,57.91,index,valid,synthetic_qos,146,136,26.3,0
QOS-UDP_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,33.88,index,valid,synthetic_qos,122,121,29.04,0
QOS-UDP_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,17.66,index,valid,synthetic_qos,209,205,41.27,0
QOS-UDP_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,77.48,index,valid,synthetic_qos,222,215,19.84,0
QOS-UDP_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,38.11,index,valid,synthetic_qos,400,395,28.49,0
QOS-UDP_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,60.49,index,valid,synthetic_qos,155,153,29.44,0
QOS-UDP_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,35.59,index,valid,synthetic_qos,286,281,30.43,0
QOS-UDP_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,42.35,index,valid,synthetic_qos,100,91,34.5,0
QOS-UDP_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,61.2,index,valid,synthetic_qos,305,299,39.52,0
QOS-UDP_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,37.69,index,valid,synthetic_qos,208,202,44.0,0
QOS-UDP_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,39.27,index,valid,synthetic_qos,182,175,31.46,0
QOS-UDP_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,68.31,index,valid,synthetic_qos,226,216,16.77,0
QOS-UDP_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,39.82,index,valid,synthetic_qos,262,253,22.4,0
QOS-UDP_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,37.3,index,valid,synthetic_qos,327,320,38.96,0
QOS-UDP_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,55.43,index,valid,synthetic_qos,236,233,37.44,0
QOS-UDP_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,26.5,index,valid,synthetic_qos,102,99,23.37,0
QOS-UDP_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,76.97,index,valid,synthetic_qos,273,264,15.27,0
QOS-UDP_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,43.61,index,valid,synthetic_qos,289,287,34.35,0
QOS-UDP_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,45.77,index,valid,synthetic_qos,215,214,39.94,0
QOS-UDP_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,71.73,index,valid,synthetic_qos,386,385,37.7,0
QOS-UDP_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,33.9,index,valid,synthetic_qos,252,248,20.18,0
QOS-UDP_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,77.84,index,valid,synthetic_qos,371,363,40.78,0
QOS-UDP_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,33.45,index,valid,synthetic_qos,237,232,33.39,0
QOS-UDP_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,25.88,index,valid,synthetic_qos,364,356,42.12,0
QOS-UDP_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,38.57,index,valid,synthetic_qos,311,302,44.69,0
QOS-UDP_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,67.08,index,valid,synthetic_qos,250,249,41.04,0
QOS-UDP_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,70.48,index,valid,synthetic_qos,383,376,44.93,0
QOS-UDP_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,29.65,index,valid,synthetic_qos,200,190,23.97,0
QOS-UDP_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,63.0,index,valid,synthetic_qos,396,386,36.18,0
QOS-UDP_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,80.78,index,valid,synthetic_qos,122,117,32.51,0
QOS-UDP_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,56.56,index,degraded,synthetic_qos,280,275,82.34,1
QOS-UDP_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,69.89,index,valid,synthetic_qos,261,253,31.84,0
QOS-UDP_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,29.21,index,valid,synthetic_qos,121,114,42.54,0
QOS-UDP_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,57.84,index,valid,synthetic_qos,387,379,36.11,0
QOS-UDP_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,31.53,index,valid,synthetic_qos,290,285,21.47,0
QOS-UDP_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.18,index,valid,synthetic_qos,363,359,19.01,0
QOS-UDP_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,51.49,index,valid,synthetic_qos,206,196,31.46,0
QOS-UDP_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,15.9,index,valid,synthetic_qos,359,353,21.99,0
QOS-UDP_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,75.8,index,valid,synthetic_qos,386,383,22.35,0
QOS-UDP_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,25.59,index,valid,synthetic_qos,379,378,23.6,0
QOS-UDP_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,39.41,index,valid,synthetic_qos,382,374,21.84,0
QOS-UDP_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,27.01,index,valid,synthetic_qos,283,280,26.87,0
QOS-UDP_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,16.39,index,valid,synthetic_qos,266,263,32.99,0
QOS-UDP_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,72.15,index,valid,synthetic_qos,269,260,24.9,0
QOS-UDP_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,76.33,index,valid,synthetic_qos,394,389,42.52,0
QOS-UDP_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,60.5,index,valid,synthetic_qos,189,179,31.59,0
QOS-UDP_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,59.77,index,valid,synthetic_qos,338,337,36.24,0
QOS-UDP_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,31.64,index,valid,synthetic_qos,125,124,29.49,0
QOS-UDP_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,62.53,index,valid,synthetic_qos,377,368,31.2,0
QOS-UDP_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,19.27,index,valid,synthetic_qos,193,185,44.01,0
QOS-UDP_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,55.38,index,valid,synthetic_qos,288,287,31.78,0
QOS-UDP_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,47.27,index,valid,synthetic_qos,130,126,42.82,0
QOS-UDP_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,50.41,index,valid,synthetic_qos,111,101,40.92,0
QOS-UDP_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,59.21,index,valid,synthetic_qos,328,321,42.87,0
QOS-UDP_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,69.05,index,valid,synthetic_qos,390,380,21.5,0
QOS-UDP_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,53.14,index,valid,synthetic_qos,133,124,33.83,0
QOS-UDP_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,42.27,index,valid,synthetic_qos,342,338,35.25,0
QOS-UDP_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,48.16,index,valid,synthetic_qos,118,117,34.49,0
QOS-UDP_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,60.87,index,valid,synthetic_qos,353,352,23.17,0
QOS-UDP_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,58.33,index,valid,synthetic_qos,194,186,27.91,0
QOS-UDP_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,82.74,index,valid,synthetic_qos,297,289,21.54,0
QOS-UDP_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,32.56,index,valid,synthetic_qos,351,341,34.02,0
QOS-UDP_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,47.69,index,valid,synthetic_qos,113,111,36.38,0
QOS-UDP_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,50.57,index,valid,synthetic_qos,324,318,30.82,0
QOS-UDP_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,81.95,index,valid,synthetic_qos,156,153,39.62,0
QOS-UDP_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,77.54,index,valid,synthetic_qos,157,153,23.91,0
QOS-UDP_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,53.43,index,valid,synthetic_qos,324,323,38.44,0
QOS-UDP_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,51.43,index,valid,synthetic_qos,158,153,27.23,0
QOS-UDP_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,69.12,index,valid,synthetic_qos,296,290,18.65,0
QOS-UDP_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,82.63,index,valid,synthetic_qos,109,102,43.41,0
QOS-UDP_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,43.01,index,valid,synthetic_qos,131,127,38.52,0
QOS-UDP_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,20.23,index,valid,synthetic_qos,338,329,19.2,0
QOS-UDP_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,16.11,index,valid,synthetic_qos,332,326,23.46,0
QOS-UDP_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,69.54,index,valid,synthetic_qos,100,99,17.72,0
QOS-UDP_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,37.73,index,valid,synthetic_qos,374,373,34.53,0
QOS-UDP_HOURLY-02-18,PLAN03,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,26.95,index,valid,synthetic_qos,335,328,35.56,0
QOS-UDP_HOURLY-02-19,PLAN03,CMU,KV3,active,2026-08-18-19,2026-08-18 19:00:00,67.56,index,valid,synthetic_qos,200,193,31.89,0
QOS-UDP_HOURLY-02-20,PLAN03,CMU,KV3,active,2026-08-18-20,2026-08-18 20:00:00,50.57,index,valid,synthetic_qos,131,124,38.66,0
QOS-UDP_HOURLY-02-21,PLAN03,CMU,KV3,active,2026-08-18-21,2026-08-18 21:00:00,59.5,index,valid,synthetic_qos,163,157,23.96,0
