voice_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-VOICE_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,75.1,index,valid,synthetic_qos,280,270,43.84,0
QOS-VOICE_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,48.63,index,valid,synthetic_qos,270,267,28.64,0
QOS-VOICE_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,68.39,index,valid,synthetic_qos,229,226,43.03,0
QOS-VOICE_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,71.98,index,valid,synthetic_qos,246,241,38.7,0
QOS-VOICE_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,48.38,index,degraded,synthetic_qos,193,183,86.8,1
QOS-VOICE_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,47.36,index,valid,synthetic_qos,165,160,41.29,0
QOS-VOICE_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,73.89,index,valid,synthetic_qos,356,355,41.75,0
QOS-VOICE_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,54.2,index,valid,synthetic_qos,365,358,21.63,0
QOS-VOICE_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,66.57,index,valid,synthetic_qos,115,109,19.95,0
QOS-VOICE_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,72.09,index,valid,synthetic_qos,173,165,27.25,0
QOS-VOICE_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,76.27,index,valid,synthetic_qos,256,251,32.24,0
QOS-VOICE_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,54.29,index,valid,synthetic_qos,146,140,38.28,0
QOS-VOICE_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,64.04,index,valid,synthetic_qos,110,109,25.65,0
QOS-VOICE_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,45.87,index,valid,synthetic_qos,217,214,38.11,0
QOS-VOICE_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,70.89,index,valid,synthetic_qos,342,334,27.22,0
QOS-VOICE_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,26.58,index,valid,synthetic_qos,260,252,36.17,0
QOS-VOICE_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,16.75,index,valid,synthetic_qos,102,100,29.92,0
QOS-VOICE_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,68.95,index,valid,synthetic_qos,187,185,42.53,0
QOS-VOICE_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,80.49,index,valid,synthetic_qos,233,230,31.51,0
QOS-VOICE_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,29.98,index,valid,synthetic_qos,141,137,17.1,0
QOS-VOICE_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,28.52,index,valid,synthetic_qos,199,197,43.62,0
QOS-VOICE_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,19.68,index,valid,synthetic_qos,268,263,32.47,0
QOS-VOICE_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,35.45,index,valid,synthetic_qos,151,147,40.35,0
QOS-VOICE_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,68.44,index,valid,synthetic_qos,126,122,30.34,0
QOS-VOICE_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,42.94,index,valid,synthetic_qos,133,130,22.45,0
QOS-VOICE_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,29.94,index,valid,synthetic_qos,330,320,37.7,0
QOS-VOICE_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,80.53,index,valid,synthetic_qos,383,380,25.33,0
QOS-VOICE_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,40.98,index,valid,synthetic_qos,354,350,23.25,0
QOS-VOICE_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,23.04,index,valid,synthetic_qos,238,232,34.33,0
QOS-VOICE_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,39.95,index,valid,synthetic_qos,197,193,39.2,0
QOS-VOICE_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,33.23,index,valid,synthetic_qos,255,246,16.48,0
QOS-VOICE_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,62.71,index,valid,synthetic_qos,293,290,38.64,0
QOS-VOICE_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,61.71,index,valid,synthetic_qos,196,186,35.34,0
QOS-VOICE_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,27.81,index,valid,synthetic_qos,144,137,38.76,0
QOS-VOICE_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,53.14,index,valid,synthetic_qos,352,348,35.2,0
QOS-VOICE_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,58.88,index,valid,synthetic_qos,272,264,44.55,0
QOS-VOICE_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,79.23,index,valid,synthetic_qos,352,346,15.71,0
QOS-VOICE_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,41.45,index,valid,synthetic_qos,290,288,15.45,0
QOS-VOICE_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,79.89,index,valid,synthetic_qos,302,298,17.14,0
QOS-VOICE_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,34.61,index,valid,synthetic_qos,358,357,37.59,0
QOS-VOICE_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,82.38,index,valid,synthetic_qos,296,291,31.21,0
QOS-VOICE_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.7,index,valid,synthetic_qos,116,113,31.6,0
QOS-VOICE_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,80.06,index,valid,synthetic_qos,390,381,19.89,0
QOS-VOICE_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,58.35,index,valid,synthetic_qos,143,136,42.03,0
QOS-VOICE_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,84.0,index,valid,synthetic_qos,156,155,28.24,0
QOS-VOICE_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,43.65,index,valid,synthetic_qos,207,203,32.89,0
QOS-VOICE_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,41.95,index,valid,synthetic_qos,261,256,26.02,0
QOS-VOICE_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,56.29,index,valid,synthetic_qos,356,349,35.86,0
QOS-VOICE_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,28.47,index,valid,synthetic_qos,270,260,30.75,0
QOS-VOICE_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.85,index,valid,synthetic_qos,166,162,32.51,0
QOS-VOICE_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,48.62,index,valid,synthetic_qos,373,364,30.89,0
QOS-VOICE_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,35.23,index,valid,synthetic_qos,182,178,19.22,0
QOS-VOICE_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,78.4,index,valid,synthetic_qos,154,150,40.8,0
QOS-VOICE_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,30.45,index,valid,synthetic_qos,354,352,24.74,0
QOS-VOICE_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,16.36,index,valid,synthetic_qos,389,382,31.07,0
QOS-VOICE_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,53.23,index,valid,synthetic_qos,300,296,22.55,0
QOS-VOICE_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,18.13,index,valid,synthetic_qos,230,226,42.21,0
QOS-VOICE_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,34.2,index,valid,synthetic_qos,231,227,27.87,0
QOS-VOICE_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,20.39,index,valid,synthetic_qos,142,133,38.58,0
QOS-VOICE_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,29.15,index,valid,synthetic_qos,128,123,38.33,0
QOS-VOICE_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.16,index,valid,synthetic_qos,211,202,34.56,0
QOS-VOICE_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,56.61,index,valid,synthetic_qos,226,220,15.79,0
QOS-VOICE_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,38.3,index,valid,synthetic_qos,355,348,33.22,0
QOS-VOICE_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,69.64,index,valid,synthetic_qos,270,261,32.87,0
QOS-VOICE_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,23.82,index,valid,synthetic_qos,143,136,23.76,0
QOS-VOICE_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,17.6,index,valid,synthetic_qos,264,263,38.92,0
QOS-VOICE_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,66.56,index,valid,synthetic_qos,197,195,24.91,0
QOS-VOICE_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,54.32,index,valid,synthetic_qos,162,159,33.95,0
QOS-VOICE_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,39.05,index,valid,synthetic_qos,115,109,18.08,0
QOS-VOICE_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,34.23,index,valid,synthetic_qos,295,294,28.81,0
QOS-VOICE_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,20.53,index,valid,synthetic_qos,365,359,42.2,0
QOS-VOICE_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,48.56,index,valid,synthetic_qos,252,243,33.48,0
QOS-VOICE_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,55.41,index,valid,synthetic_qos,283,280,37.85,0
QOS-VOICE_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,62.34,index,valid,synthetic_qos,348,340,26.51,0
QOS-VOICE_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,84.9,index,valid,synthetic_qos,391,385,22.39,0
QOS-VOICE_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,70.04,index,valid,synthetic_qos,255,247,26.95,0
QOS-VOICE_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.11,index,valid,synthetic_qos,243,234,36.33,0
QOS-VOICE_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,76.39,index,valid,synthetic_qos,122,114,31.37,0
QOS-VOICE_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,74.92,index,valid,synthetic_qos,198,192,22.52,0
QOS-VOICE_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,70.46,index,valid,synthetic_qos,174,172,40.82,0
QOS-VOICE_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,29.77,index,valid,synthetic_qos,238,237,20.34,0
QOS-VOICE_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,77.83,index,valid,synthetic_qos,378,370,23.02,0
QOS-VOICE_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,80.05,index,valid,synthetic_qos,318,314,18.79,0
QOS-VOICE_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,64.86,index,valid,synthetic_qos,213,205,41.22,0
QOS-VOICE_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.97,index,valid,synthetic_qos,248,241,26.46,0
QOS-VOICE_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,70.01,index,valid,synthetic_qos,139,134,30.57,0
QOS-VOICE_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,16.96,index,valid,synthetic_qos,182,178,24.87,0
QOS-VOICE_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,47.04,index,valid,synthetic_qos,256,246,43.37,0
QOS-VOICE_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,45.38,index,valid,synthetic_qos,168,158,37.75,0
QOS-VOICE_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,30.46,index,valid,synthetic_qos,176,175,21.69,0
QOS-VOICE_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,33.5,index,valid,synthetic_qos,209,201,32.07,0
QOS-VOICE_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,43.08,index,valid,synthetic_qos,347,343,26.93,0
QOS-VOICE_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,44.37,index,valid,synthetic_qos,303,297,28.89,0
QOS-VOICE_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,17.54,index,valid,synthetic_qos,281,278,25.4,0
QOS-VOICE_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,89.18,index,degraded,synthetic_qos,185,176,82.21,1
QOS-VOICE_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,77.87,index,valid,synthetic_qos,347,345,38.68,0
QOS-VOICE_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,27.5,index,valid,synthetic_qos,235,228,19.89,0
QOS-VOICE_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,53.62,index,valid,synthetic_qos,227,220,34.32,0
QOS-VOICE_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,24.3,index,valid,synthetic_qos,193,187,21.1,0
QOS-VOICE_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,70.63,index,valid,synthetic_qos,236,232,33.23,0
QOS-VOICE_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,72.87,index,valid,synthetic_qos,360,357,40.89,0
QOS-VOICE_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,43.18,index,valid,synthetic_qos,172,168,40.23,0
QOS-VOICE_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,18.13,index,valid,synthetic_qos,282,276,24.49,0
QOS-VOICE_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,59.54,index,valid,synthetic_qos,279,272,44.45,0
QOS-VOICE_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,62.29,index,valid,synthetic_qos,119,114,32.97,0
QOS-VOICE_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,41.36,index,valid,synthetic_qos,347,342,38.56,0
QOS-VOICE_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,76.54,index,valid,synthetic_qos,124,122,38.97,0
QOS-VOICE_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,38.96,index,valid,synthetic_qos,245,244,26.69,0
QOS-VOICE_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,39.66,index,valid,synthetic_qos,220,216,20.87,0
QOS-VOICE_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,47.32,index,valid,synthetic_qos,177,170,27.63,0
QOS-VOICE_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,18.05,index,valid,synthetic_qos,219,212,35.34,0
QOS-VOICE_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.46,index,valid,synthetic_qos,244,241,24.4,0
QOS-VOICE_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,43.55,index,valid,synthetic_qos,336,331,40.36,0
QOS-VOICE_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,37.63,index,valid,synthetic_qos,320,318,44.03,0
QOS-VOICE_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,44.58,index,valid,synthetic_qos,174,173,33.3,0
QOS-VOICE_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,22.1,index,valid,synthetic_qos,390,384,36.03,0
QOS-VOICE_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,15.81,index,valid,synthetic_qos,339,336,20.18,0
QOS-VOICE_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,78.22,index,valid,synthetic_qos,197,189,43.23,0
QOS-VOICE_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,28.87,index,valid,synthetic_qos,213,209,34.42,0
QOS-VOICE_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,67.51,index,valid,synthetic_qos,284,278,24.22,0
QOS-VOICE_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,67.77,index,valid,synthetic_qos,259,253,17.42,0
QOS-VOICE_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,24.49,index,valid,synthetic_qos,394,388,27.18,0
QOS-VOICE_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,23.55,index,valid,synthetic_qos,306,297,20.73,0
QOS-VOICE_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,78.36,index,valid,synthetic_qos,219,214,38.41,0
QOS-VOICE_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,73.92,index,valid,synthetic_qos,292,282,32.85,0
QOS-VOICE_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,78.98,index,valid,synthetic_qos,268,258,31.35,0
QOS-VOICE_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,18.53,index,valid,synthetic_qos,354,351,20.54,0
QOS-VOICE_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,59.89,index,valid,synthetic_qos,397,394,36.0,0
QOS-VOICE_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,62.68,index,valid,synthetic_qos,284,281,44.34,0
QOS-VOICE_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,29.14,index,valid,synthetic_qos,365,362,43.4,0
QOS-VOICE_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,55.91,index,valid,synthetic_qos,133,131,28.99,0
QOS-VOICE_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,83.44,index,valid,synthetic_qos,184,176,42.68,0
QOS-VOICE_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,58.3,index,valid,synthetic_qos,237,231,18.4,0
QOS-VOICE_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,51.0,index,valid,synthetic_qos,162,152,38.76,0
QOS-VOICE_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,69.77,index,valid,synthetic_qos,147,143,24.6,0
QOS-VOICE_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,26.21,index,valid,synthetic_qos,254,246,15.78,0
QOS-VOICE_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,75.51,index,valid,synthetic_qos,212,202,35.61,0
QOS-VOICE_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,31.0,index,valid,synthetic_qos,102,99,37.29,0
QOS-VOICE_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,46.6,index,valid,synthetic_qos,301,299,39.64,0
QOS-VOICE_HOURLY-02-18,PLAN03,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,40.36,index,valid,synthetic_qos,350,348,31.09,0
QOS-VOICE_HOURLY-02-19,PLAN03,CMU,KV3,active,2026-08-18-19,2026-08-18 19:00:00,16.69,index,valid,synthetic_qos,190,184,32.06,0
