latency_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-LATENCY_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,59.73,index,valid,synthetic_qos,320,310,38.51,0
QOS-LATENCY_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,64.34,index,valid,synthetic_qos,316,312,27.4,0
QOS-LATENCY_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,33.16,index,valid,synthetic_qos,297,293,19.1,0
QOS-LATENCY_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,109.34,index,degraded,synthetic_qos,211,206,65.55,1
QOS-LATENCY_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,80.36,index,valid,synthetic_qos,259,257,34.19,0
QOS-LATENCY_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,57.2,index,valid,synthetic_qos,161,153,37.22,0
QOS-LATENCY_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,46.6,index,valid,synthetic_qos,270,263,42.57,0
QOS-LATENCY_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,68.25,index,valid,synthetic_qos,330,322,35.59,0
QOS-LATENCY_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,56.06,index,valid,synthetic_qos,155,150,39.86,0
QOS-LATENCY_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,30.05,index,valid,synthetic_qos,211,204,23.32,0
QOS-LATENCY_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,63.81,index,valid,synthetic_qos,342,332,41.65,0
QOS-LATENCY_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,75.91,index,valid,synthetic_qos,395,385,15.5,0
QOS-LATENCY_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,70.79,index,valid,synthetic_qos,247,244,42.64,0
QOS-LATENCY_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,55.63,index,valid,synthetic_qos,156,148,30.95,0
QOS-LATENCY_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,59.37,index,valid,synthetic_qos,188,186,22.7,0
QOS-LATENCY_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,22.46,index,valid,synthetic_qos,167,165,32.15,0
QOS-LATENCY_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,37.05,index,valid,synthetic_qos,343,338,43.09,0
QOS-LATENCY_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,84.13,index,valid,synthetic_qos,170,163,34.89,0
QOS-LATENCY_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,68.97,index,valid,synthetic_qos,314,312,43.51,0
QOS-LATENCY_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,30.38,index,valid,synthetic_qos,147,141,15.62,0
QOS-LATENCY_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,72.72,index,valid,synthetic_qos,114,104,20.83,0
QOS-LATENCY_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,57.75,index,valid,synthetic_qos,337,334,17.32,0
QOS-LATENCY_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,82.45,index,valid,synthetic_qos,137,131,21.56,0
QOS-LATENCY_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,61.09,index,valid,synthetic_qos,173,166,19.24,0
QOS-LATENCY_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,50.54,index,valid,synthetic_qos,160,158,44.62,0
QOS-LATENCY_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,61.28,index,valid,synthetic_qos,285,278,24.03,0
QOS-LATENCY_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.46,index,valid,synthetic_qos,296,289,15.64,0
QOS-LATENCY_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,35.37,index,valid,synthetic_qos,259,253,27.38,0
QOS-LATENCY_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,78.66,index,valid,synthetic_qos,140,131,31.68,0
QOS-LATENCY_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,25.5,index,valid,synthetic_qos,324,323,23.48,0
QOS-LATENCY_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,80.77,index,valid,synthetic_qos,270,265,30.61,0
QOS-LATENCY_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,16.94,index,valid,synthetic_qos,292,289,18.41,0
QOS-LATENCY_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,33.54,index,valid,synthetic_qos,158,151,16.67,0
QOS-LATENCY_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,19.25,index,valid,synthetic_qos,195,189,15.54,0
QOS-LATENCY_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,78.98,index,valid,synthetic_qos,262,253,15.79,0
QOS-LATENCY_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,66.93,index,valid,synthetic_qos,293,290,38.68,0
QOS-LATENCY_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,23.63,index,valid,synthetic_qos,261,256,19.38,0
QOS-LATENCY_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,22.97,index,valid,synthetic_qos,334,324,21.64,0
QOS-LATENCY_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,49.46,index,valid,synthetic_qos,278,273,17.89,0
QOS-LATENCY_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,26.72,index,valid,synthetic_qos,250,249,23.44,0
QOS-LATENCY_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,15.54,index,valid,synthetic_qos,152,145,24.58,0
QOS-LATENCY_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,24.64,index,valid,synthetic_qos,335,332,44.73,0
QOS-LATENCY_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,49.22,index,valid,synthetic_qos,345,343,22.78,0
QOS-LATENCY_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,65.31,index,valid,synthetic_qos,201,196,24.08,0
QOS-LATENCY_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,16.35,index,valid,synthetic_qos,193,190,23.31,0
QOS-LATENCY_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,17.0,index,valid,synthetic_qos,213,208,32.37,0
QOS-LATENCY_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,15.53,index,valid,synthetic_qos,322,312,28.02,0
QOS-LATENCY_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,83.93,index,valid,synthetic_qos,316,315,39.57,0
QOS-LATENCY_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,25.3,index,valid,synthetic_qos,350,342,43.14,0
QOS-LATENCY_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,54.2,index,valid,synthetic_qos,142,141,42.78,0
QOS-LATENCY_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,17.74,index,valid,synthetic_qos,400,393,36.91,0
QOS-LATENCY_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,42.05,index,valid,synthetic_qos,268,261,31.95,0
QOS-LATENCY_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,43.42,index,valid,synthetic_qos,132,122,25.55,0
QOS-LATENCY_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,26.76,index,valid,synthetic_qos,144,135,15.79,0
QOS-LATENCY_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,84.88,index,valid,synthetic_qos,343,337,40.0,0
QOS-LATENCY_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,67.71,index,valid,synthetic_qos,140,138,22.59,0
QOS-LATENCY_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,42.93,index,valid,synthetic_qos,394,390,18.23,0
QOS-LATENCY_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,80.38,index,valid,synthetic_qos,163,155,26.78,0
QOS-LATENCY_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,41.77,index,valid,synthetic_qos,400,393,23.27,0
QOS-LATENCY_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,31.95,index,valid,synthetic_qos,206,197,38.56,0
QOS-LATENCY_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,60.43,index,valid,synthetic_qos,360,350,18.99,0
QOS-LATENCY_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,15.51,index,valid,synthetic_qos,116,106,33.72,0
QOS-LATENCY_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,49.84,index,valid,synthetic_qos,367,363,17.93,0
QOS-LATENCY_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,73.97,index,valid,synthetic_qos,347,341,33.25,0
QOS-LATENCY_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,65.98,index,valid,synthetic_qos,211,207,20.29,0
QOS-LATENCY_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,76.69,index,valid,synthetic_qos,242,241,31.23,0
QOS-LATENCY_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,30.68,index,valid,synthetic_qos,317,315,43.52,0
QOS-LATENCY_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,30.04,index,valid,synthetic_qos,398,392,39.51,0
QOS-LATENCY_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,64.99,index,valid,synthetic_qos,124,118,27.98,0
QOS-LATENCY_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,32.01,index,valid,synthetic_qos,349,344,29.2,0
QOS-LATENCY_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,67.86,index,valid,synthetic_qos,136,132,33.46,0
QOS-LATENCY_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,32.69,index,valid,synthetic_qos,113,111,37.93,0
QOS-LATENCY_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,65.82,index,valid,synthetic_qos,321,315,15.64,0
QOS-LATENCY_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,15.95,index,valid,synthetic_qos,242,234,21.31,0
QOS-LATENCY_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,82.98,index,valid,synthetic_qos,274,268,27.12,0
QOS-LATENCY_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,65.83,index,valid,synthetic_qos,330,320,27.72,0
QOS-LATENCY_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,32.11,index,valid,synthetic_qos,373,367,41.94,0
QOS-LATENCY_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,52.56,index,valid,synthetic_qos,328,320,28.85,0
QOS-LATENCY_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,65.36,index,valid,synthetic_qos,223,217,28.61,0
QOS-LATENCY_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,45.12,index,valid,synthetic_qos,373,364,38.84,0
QOS-LATENCY_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,44.56,index,valid,synthetic_qos,338,331,30.42,0
QOS-LATENCY_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,25.42,index,valid,synthetic_qos,270,264,32.95,0
QOS-LATENCY_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,61.2,index,valid,synthetic_qos,248,238,16.26,0
QOS-LATENCY_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,17.53,index,valid,synthetic_qos,356,350,21.6,0
QOS-LATENCY_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.21,index,valid,synthetic_qos,287,277,37.52,0
QOS-LATENCY_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,25.3,index,valid,synthetic_qos,292,284,39.49,0
QOS-LATENCY_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,60.68,index,valid,synthetic_qos,176,174,27.46,0
QOS-LATENCY_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,79.88,index,valid,synthetic_qos,340,335,25.1,0
QOS-LATENCY_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,26.33,index,valid,synthetic_qos,325,315,35.83,0
QOS-LATENCY_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,63.66,index,valid,synthetic_qos,347,345,27.56,0
QOS-LATENCY_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,43.13,index,valid,synthetic_qos,381,376,31.6,0
QOS-LATENCY_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,19.58,index,valid,synthetic_qos,248,242,38.75,0
QOS-LATENCY_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,59.57,index,valid,synthetic_qos,199,192,35.89,0
QOS-LATENCY_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,54.88,index,degraded,synthetic_qos,189,179,67.59,1
QOS-LATENCY_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,62.43,index,valid,synthetic_qos,220,210,16.97,0
QOS-LATENCY_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,29.25,index,valid,synthetic_qos,256,247,22.16,0
QOS-LATENCY_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,33.4,index,valid,synthetic_qos,291,283,40.31,0
QOS-LATENCY_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,69.87,index,valid,synthetic_qos,323,318,35.75,0
QOS-LATENCY_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,83.97,index,valid,synthetic_qos,164,160,29.13,0
QOS-LATENCY_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,29.25,index,valid,synthetic_qos,159,155,40.79,0
QOS-LATENCY_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,49.2,index,valid,synthetic_qos,314,309,15.84,0
QOS-LATENCY_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,54.15,index,valid,synthetic_qos,182,177,24.0,0
QOS-LATENCY_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,35.28,index,valid,synthetic_qos,213,212,31.81,0
QOS-LATENCY_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,65.11,index,valid,synthetic_qos,217,211,20.1,0
QOS-LATENCY_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,80.63,index,valid,synthetic_qos,106,100,34.85,0
QOS-LATENCY_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,36.73,index,valid,synthetic_qos,136,131,17.27,0
QOS-LATENCY_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,35.45,index,valid,synthetic_qos,151,143,23.37,0
QOS-LATENCY_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,83.14,index,valid,synthetic_qos,365,359,35.27,0
QOS-LATENCY_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.19,index,valid,synthetic_qos,108,102,18.39,0
QOS-LATENCY_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,73.62,index,valid,synthetic_qos,370,365,37.65,0
QOS-LATENCY_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,25.96,index,valid,synthetic_qos,149,139,41.55,0
QOS-LATENCY_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.77,index,valid,synthetic_qos,166,164,24.82,0
QOS-LATENCY_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,52.9,index,valid,synthetic_qos,119,116,19.66,0
QOS-LATENCY_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,43.54,index,valid,synthetic_qos,279,274,27.77,0
QOS-LATENCY_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,28.48,index,valid,synthetic_qos,397,391,30.7,0
QOS-LATENCY_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,51.54,index,valid,synthetic_qos,395,385,19.27,0
QOS-LATENCY_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,39.24,index,valid,synthetic_qos,104,96,41.84,0
QOS-LATENCY_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,21.17,index,valid,synthetic_qos,200,198,31.69,0
QOS-LATENCY_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,73.61,index,valid,synthetic_qos,381,373,41.41,0
QOS-LATENCY_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,65.78,index,valid,synthetic_qos,294,287,35.82,0
QOS-LATENCY_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,33.58,index,valid,synthetic_qos,124,116,41.0,0
QOS-LATENCY_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,66.95,index,valid,synthetic_qos,178,172,28.19,0
QOS-LATENCY_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,40.89,index,valid,synthetic_qos,192,191,22.5,0
QOS-LATENCY_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,38.8,index,valid,synthetic_qos,253,247,18.59,0
QOS-LATENCY_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,77.69,index,valid,synthetic_qos,109,104,16.41,0
QOS-LATENCY_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,63.17,index,valid,synthetic_qos,169,166,44.61,0
QOS-LATENCY_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,45.16,index,valid,synthetic_qos,302,298,40.56,0
QOS-LATENCY_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,21.8,index,valid,synthetic_qos,400,396,17.33,0
QOS-LATENCY_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,41.08,index,valid,synthetic_qos,110,102,22.68,0
QOS-LATENCY_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,56.93,index,valid,synthetic_qos,118,111,37.88,0
QOS-LATENCY_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,76.21,index,valid,synthetic_qos,262,261,32.13,0
QOS-LATENCY_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,61.98,index,valid,synthetic_qos,187,184,15.05,0
QOS-LATENCY_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,50.47,index,valid,synthetic_qos,144,140,34.08,0
QOS-LATENCY_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,16.01,index,valid,synthetic_qos,330,326,33.13,0
QOS-LATENCY_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,45.44,index,valid,synthetic_qos,332,330,42.88,0
QOS-LATENCY_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,49.7,index,valid,synthetic_qos,265,264,20.96,0
QOS-LATENCY_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,77.22,index,valid,synthetic_qos,146,144,21.37,0
QOS-LATENCY_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,28.6,index,valid,synthetic_qos,353,343,15.45,0
