throughput_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-THROUGHPUT_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,68.34,index,valid,synthetic_qos,259,249,23.64,0
QOS-THROUGHPUT_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,53.0,index,valid,synthetic_qos,357,355,18.33,0
QOS-THROUGHPUT_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,54.26,index,valid,synthetic_qos,103,98,44.23,0
QOS-THROUGHPUT_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,73.41,index,valid,synthetic_qos,106,100,32.9,0
QOS-THROUGHPUT_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,65.74,index,valid,synthetic_qos,113,107,24.03,0
QOS-THROUGHPUT_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,42.98,index,valid,synthetic_qos,215,212,35.34,0
QOS-THROUGHPUT_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,48.41,index,valid,synthetic_qos,306,298,41.7,0
QOS-THROUGHPUT_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,72.73,index,valid,synthetic_qos,299,294,44.87,0
QOS-THROUGHPUT_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,61.39,index,valid,synthetic_qos,127,121,34.64,0
QOS-THROUGHPUT_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,67.57,index,valid,synthetic_qos,146,145,29.35,0
QOS-THROUGHPUT_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,68.96,index,valid,synthetic_qos,400,396,20.39,0
QOS-THROUGHPUT_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,41.95,index,valid,synthetic_qos,121,111,22.44,0
QOS-THROUGHPUT_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,41.69,index,valid,synthetic_qos,353,350,21.61,0
QOS-THROUGHPUT_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,19.05,index,valid,synthetic_qos,385,376,16.99,0
QOS-THROUGHPUT_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,27.98,index,valid,synthetic_qos,268,260,16.88,0
QOS-THROUGHPUT_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,54.7,index,valid,synthetic_qos,311,305,24.87,0
QOS-THROUGHPUT_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,67.17,index,valid,synthetic_qos,126,122,41.53,0
QOS-THROUGHPUT_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,61.45,index,valid,synthetic_qos,351,347,42.2,0
QOS-THROUGHPUT_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,48.28,index,valid,synthetic_qos,335,332,26.72,0
QOS-THROUGHPUT_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,24.15,index,valid,synthetic_qos,186,176,30.98,0
QOS-THROUGHPUT_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,45.48,index,valid,synthetic_qos,297,291,36.9,0
QOS-THROUGHPUT_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,34.04,index,valid,synthetic_qos,205,203,43.03,0
QOS-THROUGHPUT_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,23.76,index,valid,synthetic_qos,204,195,17.39,0
QOS-THROUGHPUT_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,19.63,index,valid,synthetic_qos,304,301,31.98,0
QOS-THROUGHPUT_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,16.17,index,valid,synthetic_qos,127,121,22.46,0
QOS-THROUGHPUT_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,54.41,index,valid,synthetic_qos,209,204,32.01,0
QOS-THROUGHPUT_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,71.32,index,valid,synthetic_qos,132,125,28.89,0
QOS-THROUGHPUT_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,84.18,index,valid,synthetic_qos,328,327,42.09,0
QOS-THROUGHPUT_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,64.48,index,valid,synthetic_qos,286,281,26.33,0
QOS-THROUGHPUT_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,53.22,index,valid,synthetic_qos,316,310,44.18,0
QOS-THROUGHPUT_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,35.6,index,valid,synthetic_qos,368,367,39.74,0
QOS-THROUGHPUT_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,35.76,index,valid,synthetic_qos,111,101,36.75,0
QOS-THROUGHPUT_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,54.16,index,valid,synthetic_qos,369,361,18.26,0
QOS-THROUGHPUT_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,43.44,index,valid,synthetic_qos,360,351,40.66,0
QOS-THROUGHPUT_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,61.2,index,valid,synthetic_qos,158,156,41.25,0
QOS-THROUGHPUT_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,63.89,index,valid,synthetic_qos,319,318,40.59,0
QOS-THROUGHPUT_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,78.16,index,valid,synthetic_qos,333,329,20.07,0
QOS-THROUGHPUT_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,47.34,index,valid,synthetic_qos,137,131,39.02,0
QOS-THROUGHPUT_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,44.32,index,valid,synthetic_qos,323,315,26.84,0
QOS-THROUGHPUT_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,48.01,index,valid,synthetic_qos,277,275,33.32,0
QOS-THROUGHPUT_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,72.29,index,valid,synthetic_qos,333,326,20.87,0
QOS-THROUGHPUT_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,58.67,index,valid,synthetic_qos,368,365,20.48,0
QOS-THROUGHPUT_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,70.37,index,valid,synthetic_qos,170,166,19.51,0
QOS-THROUGHPUT_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,24.06,index,valid,synthetic_qos,322,316,39.68,0
QOS-THROUGHPUT_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.5,index,valid,synthetic_qos,298,292,27.52,0
QOS-THROUGHPUT_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,78.63,index,valid,synthetic_qos,373,368,42.67,0
QOS-THROUGHPUT_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,16.27,index,valid,synthetic_qos,100,90,32.09,0
QOS-THROUGHPUT_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,21.42,index,valid,synthetic_qos,302,294,17.71,0
QOS-THROUGHPUT_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,34.09,index,valid,synthetic_qos,196,193,17.73,0
QOS-THROUGHPUT_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,18.89,index,valid,synthetic_qos,261,254,15.12,0
QOS-THROUGHPUT_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,76.37,index,valid,synthetic_qos,128,125,23.58,0
QOS-THROUGHPUT_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,32.69,index,valid,synthetic_qos,107,103,32.36,0
QOS-THROUGHPUT_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,67.23,index,valid,synthetic_qos,279,271,28.2,0
QOS-THROUGHPUT_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,19.53,index,valid,synthetic_qos,157,156,32.36,0
QOS-THROUGHPUT_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,68.12,index,valid,synthetic_qos,286,278,43.63,0
QOS-THROUGHPUT_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,51.92,index,valid,synthetic_qos,145,135,20.7,0
QOS-THROUGHPUT_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,76.78,index,valid,synthetic_qos,107,106,43.08,0
QOS-THROUGHPUT_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,29.8,index,valid,synthetic_qos,109,101,42.57,0
QOS-THROUGHPUT_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,69.63,index,valid,synthetic_qos,234,226,34.5,0
QOS-THROUGHPUT_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,22.31,index,valid,synthetic_qos,213,210,42.8,0
QOS-THROUGHPUT_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,84.23,index,valid,synthetic_qos,304,296,16.51,0
QOS-THROUGHPUT_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,21.87,index,valid,synthetic_qos,128,125,38.32,0
QOS-THROUGHPUT_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,62.69,index,valid,synthetic_qos,115,105,40.45,0
QOS-THROUGHPUT_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,51.21,index,valid,synthetic_qos,283,275,30.93,0
QOS-THROUGHPUT_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,20.97,index,valid,synthetic_qos,211,205,35.46,0
QOS-THROUGHPUT_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,79.43,index,valid,synthetic_qos,330,322,36.94,0
QOS-THROUGHPUT_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,49.97,index,valid,synthetic_qos,358,351,40.82,0
QOS-THROUGHPUT_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.91,index,valid,synthetic_qos,269,267,23.65,0
QOS-THROUGHPUT_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,39.54,index,valid,synthetic_qos,251,246,23.62,0
QOS-THROUGHPUT_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,26.93,index,valid,synthetic_qos,319,317,20.22,0
QOS-THROUGHPUT_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,25.06,index,valid,synthetic_qos,316,306,16.27,0
QOS-THROUGHPUT_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,24.97,index,valid,synthetic_qos,198,197,38.69,0
QOS-THROUGHPUT_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,39.26,index,valid,synthetic_qos,364,359,38.07,0
QOS-THROUGHPUT_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,84.91,index,valid,synthetic_qos,212,210,25.95,0
QOS-THROUGHPUT_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,69.85,index,valid,synthetic_qos,213,209,24.79,0
QOS-THROUGHPUT_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,80.33,index,valid,synthetic_qos,129,121,37.28,0
QOS-THROUGHPUT_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,76.35,index,valid,synthetic_qos,325,324,32.81,0
QOS-THROUGHPUT_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,36.22,index,valid,synthetic_qos,142,133,30.02,0
QOS-THROUGHPUT_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,56.3,index,valid,synthetic_qos,239,238,39.96,0
QOS-THROUGHPUT_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,75.22,index,valid,synthetic_qos,104,95,34.28,0
QOS-THROUGHPUT_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,19.5,index,valid,synthetic_qos,130,125,24.2,0
QOS-THROUGHPUT_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.63,index,valid,synthetic_qos,372,369,19.9,0
QOS-THROUGHPUT_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,36.93,index,valid,synthetic_qos,100,97,26.36,0
QOS-THROUGHPUT_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,23.87,index,valid,synthetic_qos,310,306,44.08,0
QOS-THROUGHPUT_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,52.68,index,valid,synthetic_qos,368,363,39.36,0
QOS-THROUGHPUT_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,71.4,index,valid,synthetic_qos,298,291,20.98,0
QOS-THROUGHPUT_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,66.94,index,valid,synthetic_qos,216,208,31.0,0
QOS-THROUGHPUT_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,61.17,index,valid,synthetic_qos,233,228,36.51,0
QOS-THROUGHPUT_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,62.22,index,valid,synthetic_qos,170,161,38.75,0
QOS-THROUGHPUT_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,55.34,index,degraded,synthetic_qos,382,379,77.69,1
QOS-THROUGHPUT_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,57.6,index,valid,synthetic_qos,127,125,25.52,0
QOS-THROUGHPUT_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,63.53,index,valid,synthetic_qos,311,307,39.04,0
QOS-THROUGHPUT_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,59.57,index,valid,synthetic_qos,318,311,15.47,0
QOS-THROUGHPUT_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,83.11,index,valid,synthetic_qos,187,180,26.84,0
QOS-THROUGHPUT_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,55.42,index,valid,synthetic_qos,237,233,41.5,0
QOS-THROUGHPUT_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.47,index,valid,synthetic_qos,219,211,21.58,0
QOS-THROUGHPUT_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,67.45,index,valid,synthetic_qos,129,120,27.88,0
QOS-THROUGHPUT_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,26.22,index,valid,synthetic_qos,169,163,25.25,0
QOS-THROUGHPUT_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,47.95,index,valid,synthetic_qos,368,365,27.21,0
QOS-THROUGHPUT_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,15.13,index,valid,synthetic_qos,203,197,15.64,0
QOS-THROUGHPUT_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,62.4,index,valid,synthetic_qos,117,113,21.26,0
QOS-THROUGHPUT_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,55.38,index,valid,synthetic_qos,153,152,26.0,0
QOS-THROUGHPUT_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,51.27,index,valid,synthetic_qos,389,385,43.17,0
QOS-THROUGHPUT_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,26.89,index,valid,synthetic_qos,149,140,36.48,0
QOS-THROUGHPUT_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,60.04,index,valid,synthetic_qos,360,354,26.32,0
QOS-THROUGHPUT_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,27.14,index,valid,synthetic_qos,336,335,42.19,0
QOS-THROUGHPUT_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,40.87,index,valid,synthetic_qos,332,331,44.92,0
QOS-THROUGHPUT_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,35.47,index,valid,synthetic_qos,308,305,21.75,0
QOS-THROUGHPUT_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,41.07,index,valid,synthetic_qos,216,210,16.23,0
QOS-THROUGHPUT_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,28.91,index,valid,synthetic_qos,124,115,25.24,0
QOS-THROUGHPUT_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,77.06,index,valid,synthetic_qos,271,266,32.68,0
QOS-THROUGHPUT_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,55.98,index,valid,synthetic_qos,166,162,21.08,0
QOS-THROUGHPUT_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,39.11,index,valid,synthetic_qos,140,139,42.96,0
QOS-THROUGHPUT_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,60.39,index,valid,synthetic_qos,243,237,41.11,0
QOS-THROUGHPUT_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,46.54,index,valid,synthetic_qos,158,148,23.49,0
QOS-THROUGHPUT_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,53.24,index,valid,synthetic_qos,388,383,26.82,0
QOS-THROUGHPUT_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,73.53,index,valid,synthetic_qos,361,353,21.72,0
QOS-THROUGHPUT_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,59.31,index,valid,synthetic_qos,237,230,19.75,0
QOS-THROUGHPUT_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,77.52,index,valid,synthetic_qos,183,176,21.23,0
QOS-THROUGHPUT_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,69.89,index,valid,synthetic_qos,214,212,40.38,0
QOS-THROUGHPUT_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,37.95,index,valid,synthetic_qos,390,387,43.13,0
QOS-THROUGHPUT_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,73.55,index,valid,synthetic_qos,268,258,29.25,0
QOS-THROUGHPUT_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,28.79,index,valid,synthetic_qos,144,141,15.33,0
QOS-THROUGHPUT_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,29.9,index,valid,synthetic_qos,211,201,42.48,0
QOS-THROUGHPUT_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,30.83,index,valid,synthetic_qos,315,306,22.03,0
QOS-THROUGHPUT_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,25.89,index,valid,synthetic_qos,168,167,16.42,0
QOS-THROUGHPUT_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,54.05,index,valid,synthetic_qos,135,126,15.29,0
QOS-THROUGHPUT_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,18.15,index,valid,synthetic_qos,320,311,33.24,0
QOS-THROUGHPUT_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,59.76,index,valid,synthetic_qos,252,244,29.44,0
