upload_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-UPLOAD_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,32.89,index,valid,synthetic_qos,106,105,41.71,0
QOS-UPLOAD_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,46.3,index,valid,synthetic_qos,398,391,34.72,0
QOS-UPLOAD_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,51.14,index,valid,synthetic_qos,119,112,40.21,0
QOS-UPLOAD_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,48.89,index,valid,synthetic_qos,144,143,25.23,0
QOS-UPLOAD_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,67.4,index,valid,synthetic_qos,199,190,18.89,0
QOS-UPLOAD_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,68.88,index,valid,synthetic_qos,244,235,41.96,0
QOS-UPLOAD_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,79.65,index,valid,synthetic_qos,330,324,24.08,0
QOS-UPLOAD_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,25.29,index,valid,synthetic_qos,224,222,30.8,0
QOS-UPLOAD_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,76.54,index,valid,synthetic_qos,272,270,40.69,0
QOS-UPLOAD_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,22.82,index,valid,synthetic_qos,348,345,41.2,0
QOS-UPLOAD_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,66.37,index,valid,synthetic_qos,225,224,27.29,0
QOS-UPLOAD_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,64.99,index,valid,synthetic_qos,267,264,20.07,0
QOS-UPLOAD_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,35.22,index,valid,synthetic_qos,339,334,27.86,0
QOS-UPLOAD_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,24.66,index,valid,synthetic_qos,206,196,30.5,0
QOS-UPLOAD_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,82.39,index,valid,synthetic_qos,121,118,16.02,0
QOS-UPLOAD_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,74.15,index,valid,synthetic_qos,171,166,36.84,0
QOS-UPLOAD_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,49.21,index,valid,synthetic_qos,225,221,33.73,0
QOS-UPLOAD_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,62.26,index,valid,synthetic_qos,103,94,32.44,0
QOS-UPLOAD_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,30.58,index,valid,synthetic_qos,192,186,39.73,0
QOS-UPLOAD_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,67.75,index,valid,synthetic_qos,328,318,15.72,0
QOS-UPLOAD_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,76.17,index,valid,synthetic_qos,251,244,32.18,0
QOS-UPLOAD_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,79.84,index,valid,synthetic_qos,387,380,16.2,0
QOS-UPLOAD_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,64.34,index,valid,synthetic_qos,176,169,33.65,0
QOS-UPLOAD_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,66.44,index,valid,synthetic_qos,275,271,21.97,0
QOS-UPLOAD_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,50.8,index,valid,synthetic_qos,198,194,25.23,0
QOS-UPLOAD_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,32.11,index,valid,synthetic_qos,376,370,34.65,0
QOS-UPLOAD_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,15.64,index,valid,synthetic_qos,169,160,26.31,0
QOS-UPLOAD_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,84.78,index,valid,synthetic_qos,222,214,26.86,0
QOS-UPLOAD_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,28.28,index,valid,synthetic_qos,275,269,20.5,0
QOS-UPLOAD_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,74.19,index,valid,synthetic_qos,379,374,24.06,0
QOS-UPLOAD_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,28.86,index,valid,synthetic_qos,360,355,21.8,0
QOS-UPLOAD_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,32.92,index,valid,synthetic_qos,272,270,34.18,0
QOS-UPLOAD_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,31.18,index,valid,synthetic_qos,307,298,26.47,0
QOS-UPLOAD_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,50.52,index,valid,synthetic_qos,114,113,26.6,0
QOS-UPLOAD_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,64.66,index,valid,synthetic_qos,276,267,30.71,0
QOS-UPLOAD_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,79.15,index,valid,synthetic_qos,119,115,42.17,0
QOS-UPLOAD_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,23.45,index,valid,synthetic_qos,396,392,18.74,0
QOS-UPLOAD_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,38.37,index,valid,synthetic_qos,190,186,18.36,0
QOS-UPLOAD_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,77.15,index,valid,synthetic_qos,176,175,31.77,0
QOS-UPLOAD_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,17.13,index,valid,synthetic_qos,329,320,25.66,0
QOS-UPLOAD_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,49.02,index,valid,synthetic_qos,262,260,41.6,0
QOS-UPLOAD_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,56.51,index,valid,synthetic_qos,391,386,24.33,0
QOS-UPLOAD_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,58.02,index,valid,synthetic_qos,150,148,27.53,0
QOS-UPLOAD_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,62.98,index,valid,synthetic_qos,378,377,37.0,0
QOS-UPLOAD_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,22.65,index,valid,synthetic_qos,304,301,35.2,0
QOS-UPLOAD_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,34.08,index,valid,synthetic_qos,207,203,25.57,0
QOS-UPLOAD_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,32.67,index,valid,synthetic_qos,357,351,21.37,0
QOS-UPLOAD_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,23.86,index,valid,synthetic_qos,379,374,22.93,0
QOS-UPLOAD_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,30.25,index,valid,synthetic_qos,179,176,16.33,0
QOS-UPLOAD_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,58.2,index,valid,synthetic_qos,100,93,30.16,0
QOS-UPLOAD_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,24.61,index,valid,synthetic_qos,118,113,34.49,0
QOS-UPLOAD_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,50.3,index,valid,synthetic_qos,196,192,35.33,0
QOS-UPLOAD_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,47.23,index,valid,synthetic_qos,333,325,35.97,0
QOS-UPLOAD_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,64.87,index,valid,synthetic_qos,186,182,15.49,0
QOS-UPLOAD_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,47.3,index,valid,synthetic_qos,381,378,36.97,0
QOS-UPLOAD_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,79.07,index,valid,synthetic_qos,221,215,23.22,0
QOS-UPLOAD_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,55.26,index,valid,synthetic_qos,155,146,21.24,0
QOS-UPLOAD_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,30.66,index,valid,synthetic_qos,136,130,26.71,0
QOS-UPLOAD_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.88,index,valid,synthetic_qos,324,319,44.48,0
QOS-UPLOAD_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,61.01,index,valid,synthetic_qos,320,312,44.71,0
QOS-UPLOAD_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,43.98,index,valid,synthetic_qos,273,265,19.23,0
QOS-UPLOAD_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,52.6,index,valid,synthetic_qos,120,110,35.25,0
QOS-UPLOAD_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,74.23,index,valid,synthetic_qos,248,247,34.98,0
QOS-UPLOAD_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,16.44,index,valid,synthetic_qos,263,259,17.83,0
QOS-UPLOAD_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,80.7,index,valid,synthetic_qos,334,333,22.02,0
QOS-UPLOAD_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,56.71,index,valid,synthetic_qos,217,207,44.76,0
QOS-UPLOAD_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,65.92,index,valid,synthetic_qos,250,246,40.18,0
QOS-UPLOAD_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,83.59,index,valid,synthetic_qos,135,126,38.98,0
QOS-UPLOAD_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,60.33,index,valid,synthetic_qos,178,170,39.39,0
QOS-UPLOAD_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,41.4,index,valid,synthetic_qos,183,181,15.14,0
QOS-UPLOAD_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,57.7,index,valid,synthetic_qos,372,368,31.21,0
QOS-UPLOAD_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,25.38,index,valid,synthetic_qos,272,271,25.0,0
QOS-UPLOAD_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,31.43,index,valid,synthetic_qos,285,277,26.31,0
QOS-UPLOAD_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,45.7,index,valid,synthetic_qos,376,368,34.23,0
QOS-UPLOAD_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,34.75,index,valid,synthetic_qos,178,171,20.57,0
QOS-UPLOAD_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,44.87,index,valid,synthetic_qos,193,183,38.04,0
QOS-UPLOAD_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,53.88,index,degraded,synthetic_qos,169,168,84.5,1
QOS-UPLOAD_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,48.78,index,valid,synthetic_qos,224,223,36.31,0
QOS-UPLOAD_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,84.69,index,valid,synthetic_qos,244,238,40.48,0
QOS-UPLOAD_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,17.33,index,valid,synthetic_qos,178,168,39.17,0
QOS-UPLOAD_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,38.98,index,valid,synthetic_qos,184,180,34.14,0
QOS-UPLOAD_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,69.02,index,valid,synthetic_qos,152,149,39.58,0
QOS-UPLOAD_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,35.22,index,valid,synthetic_qos,360,353,25.62,0
QOS-UPLOAD_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,74.56,index,valid,synthetic_qos,154,148,37.78,0
QOS-UPLOAD_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,47.54,index,valid,synthetic_qos,245,235,33.8,0
QOS-UPLOAD_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,58.35,index,valid,synthetic_qos,304,302,25.19,0
QOS-UPLOAD_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,80.59,index,valid,synthetic_qos,305,303,16.3,0
QOS-UPLOAD_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,51.23,index,valid,synthetic_qos,246,239,43.91,0
QOS-UPLOAD_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,24.08,index,valid,synthetic_qos,256,254,28.06,0
QOS-UPLOAD_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,54.69,index,valid,synthetic_qos,295,291,20.09,0
QOS-UPLOAD_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,19.83,index,valid,synthetic_qos,207,205,22.91,0
QOS-UPLOAD_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,19.5,index,valid,synthetic_qos,112,105,38.63,0
QOS-UPLOAD_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,67.53,index,valid,synthetic_qos,171,166,35.9,0
QOS-UPLOAD_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,43.14,index,valid,synthetic_qos,145,135,38.64,0
QOS-UPLOAD_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,51.44,index,valid,synthetic_qos,125,124,32.64,0
QOS-UPLOAD_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.34,index,valid,synthetic_qos,280,270,24.3,0
QOS-UPLOAD_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,29.43,index,valid,synthetic_qos,248,239,19.17,0
QOS-UPLOAD_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,37.14,index,valid,synthetic_qos,320,319,31.08,0
QOS-UPLOAD_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,15.61,index,valid,synthetic_qos,233,231,29.86,0
QOS-UPLOAD_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,62.01,index,valid,synthetic_qos,262,255,44.89,0
QOS-UPLOAD_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,74.5,index,valid,synthetic_qos,234,231,42.55,0
QOS-UPLOAD_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,31.32,index,valid,synthetic_qos,393,391,41.05,0
QOS-UPLOAD_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,38.07,index,valid,synthetic_qos,124,120,15.15,0
QOS-UPLOAD_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,31.43,index,valid,synthetic_qos,152,146,44.21,0
QOS-UPLOAD_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,19.82,index,valid,synthetic_qos,384,376,35.87,0
QOS-UPLOAD_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,15.87,index,valid,synthetic_qos,237,233,38.92,0
QOS-UPLOAD_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,26.55,index,valid,synthetic_qos,117,108,36.2,0
QOS-UPLOAD_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,21.37,index,valid,synthetic_qos,244,243,22.36,0
QOS-UPLOAD_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,39.29,index,valid,synthetic_qos,290,288,31.37,0
QOS-UPLOAD_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,58.05,index,valid,synthetic_qos,102,94,16.87,0
QOS-UPLOAD_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,33.1,index,valid,synthetic_qos,102,97,24.54,0
QOS-UPLOAD_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,26.95,index,valid,synthetic_qos,177,173,21.43,0
QOS-UPLOAD_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,30.99,index,valid,synthetic_qos,392,391,42.1,0
QOS-UPLOAD_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,57.69,index,valid,synthetic_qos,131,128,30.19,0
QOS-UPLOAD_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,45.61,index,valid,synthetic_qos,380,372,38.22,0
QOS-UPLOAD_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,53.81,index,valid,synthetic_qos,399,396,22.06,0
QOS-UPLOAD_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,47.01,index,valid,synthetic_qos,166,157,38.6,0
QOS-UPLOAD_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,24.55,index,valid,synthetic_qos,285,282,39.06,0
QOS-UPLOAD_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,62.28,index,valid,synthetic_qos,244,242,20.22,0
