sla_result_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-SLA_RESULT_HOURLY-00-21,PLAN01,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,70.9,index,valid,synthetic_qos,244,238,29.65,0
QOS-SLA_RESULT_HOURLY-00-22,PLAN01,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,15.3,index,valid,synthetic_qos,322,319,16.02,0
QOS-SLA_RESULT_HOURLY-00-23,PLAN01,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,77.0,index,valid,synthetic_qos,213,207,22.52,0
QOS-SLA_RESULT_HOURLY-00-24,PLAN01,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,73.93,index,valid,synthetic_qos,259,250,27.84,0
QOS-SLA_RESULT_HOURLY-00-25,PLAN01,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,28.56,index,valid,synthetic_qos,390,388,31.81,0
QOS-SLA_RESULT_HOURLY-00-26,PLAN01,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,32.55,index,valid,synthetic_qos,231,229,16.05,0
QOS-SLA_RESULT_HOURLY-00-27,PLAN01,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,34.8,index,degraded,synthetic_qos,387,381,93.12,1
QOS-SLA_RESULT_HOURLY-00-28,PLAN01,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,28.07,index,valid,synthetic_qos,274,265,16.41,0
QOS-SLA_RESULT_HOURLY-00-29,PLAN01,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,45.27,index,valid,synthetic_qos,369,366,43.77,0
QOS-SLA_RESULT_HOURLY-00-30,PLAN01,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,52.77,index,valid,synthetic_qos,228,218,17.76,0
QOS-SLA_RESULT_HOURLY-00-31,PLAN01,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,57.29,index,valid,synthetic_qos,270,268,27.31,0
QOS-SLA_RESULT_HOURLY-00-32,PLAN01,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,55.61,index,valid,synthetic_qos,140,130,26.91,0
QOS-SLA_RESULT_HOURLY-00-33,PLAN01,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,83.43,index,valid,synthetic_qos,340,333,43.51,0
QOS-SLA_RESULT_HOURLY-00-34,PLAN01,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,63.03,index,valid,synthetic_qos,339,334,27.65,0
QOS-SLA_RESULT_HOURLY-00-35,PLAN01,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,36.79,index,valid,synthetic_qos,110,107,30.27,0
QOS-SLA_RESULT_HOURLY-00-36,PLAN01,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,66.42,index,valid,synthetic_qos,185,176,28.83,0
QOS-SLA_RESULT_HOURLY-00-37,PLAN01,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,16.17,index,valid,synthetic_qos,326,325,41.19,0
QOS-SLA_RESULT_HOURLY-00-38,PLAN01,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,34.08,index,valid,synthetic_qos,256,249,40.82,0
QOS-SLA_RESULT_HOURLY-00-39,PLAN01,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,70.68,index,valid,synthetic_qos,114,110,44.64,0
QOS-SLA_RESULT_HOURLY-00-40,PLAN01,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,63.48,index,valid,synthetic_qos,213,206,25.96,0
QOS-SLA_RESULT_HOURLY-00-41,PLAN01,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,65.93,index,valid,synthetic_qos,185,178,33.9,0
QOS-SLA_RESULT_HOURLY-00-42,PLAN01,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,35.21,index,valid,synthetic_qos,370,364,27.65,0
QOS-SLA_RESULT_HOURLY-00-43,PLAN01,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,71.28,index,valid,synthetic_qos,320,311,23.98,0
QOS-SLA_RESULT_HOURLY-00-44,PLAN01,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,20.71,index,valid,synthetic_qos,142,135,38.81,0
QOS-SLA_RESULT_HOURLY-00-45,PLAN01,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,78.18,index,valid,synthetic_qos,147,137,27.31,0
QOS-SLA_RESULT_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,78.69,index,valid,synthetic_qos,325,317,23.71,0
QOS-SLA_RESULT_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,63.22,index,valid,synthetic_qos,383,377,15.45,0
QOS-SLA_RESULT_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,76.45,index,valid,synthetic_qos,224,220,27.69,0
QOS-SLA_RESULT_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,36.52,index,valid,synthetic_qos,394,393,25.22,0
QOS-SLA_RESULT_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,38.6,index,valid,synthetic_qos,230,224,26.56,0
QOS-SLA_RESULT_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,39.63,index,valid,synthetic_qos,117,109,15.69,0
QOS-SLA_RESULT_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,33.69,index,valid,synthetic_qos,198,196,29.89,0
QOS-SLA_RESULT_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,49.07,index,valid,synthetic_qos,137,133,21.37,0
QOS-SLA_RESULT_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,67.53,index,valid,synthetic_qos,109,104,34.8,0
QOS-SLA_RESULT_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,71.25,index,valid,synthetic_qos,244,236,30.16,0
QOS-SLA_RESULT_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,68.09,index,valid,synthetic_qos,223,219,43.79,0
QOS-SLA_RESULT_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,29.36,index,valid,synthetic_qos,258,249,21.49,0
QOS-SLA_RESULT_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,45.93,index,valid,synthetic_qos,232,229,37.97,0
QOS-SLA_RESULT_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,67.2,index,valid,synthetic_qos,306,301,38.98,0
QOS-SLA_RESULT_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,18.79,index,valid,synthetic_qos,237,228,29.86,0
QOS-SLA_RESULT_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,71.83,index,valid,synthetic_qos,184,175,26.16,0
QOS-SLA_RESULT_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,46.76,index,valid,synthetic_qos,349,339,23.24,0
QOS-SLA_RESULT_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,69.15,index,valid,synthetic_qos,400,391,27.02,0
QOS-SLA_RESULT_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,52.21,index,valid,synthetic_qos,107,97,15.43,0
QOS-SLA_RESULT_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,63.89,index,valid,synthetic_qos,122,119,35.68,0
QOS-SLA_RESULT_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,72.06,index,valid,synthetic_qos,177,176,43.74,0
QOS-SLA_RESULT_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,21.87,index,valid,synthetic_qos,187,180,42.99,0
QOS-SLA_RESULT_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,33.22,index,valid,synthetic_qos,372,364,35.85,0
QOS-SLA_RESULT_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,47.9,index,valid,synthetic_qos,173,170,16.84,0
QOS-SLA_RESULT_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,47.69,index,valid,synthetic_qos,265,257,19.5,0
QOS-SLA_RESULT_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,26.52,index,valid,synthetic_qos,196,187,17.32,0
QOS-SLA_RESULT_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,58.9,index,valid,synthetic_qos,346,343,17.9,0
QOS-SLA_RESULT_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,71.71,index,valid,synthetic_qos,311,302,35.28,0
QOS-SLA_RESULT_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,78.9,index,valid,synthetic_qos,199,192,35.16,0
QOS-SLA_RESULT_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,17.76,index,valid,synthetic_qos,139,132,33.12,0
QOS-SLA_RESULT_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,70.71,index,valid,synthetic_qos,377,369,40.87,0
QOS-SLA_RESULT_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,39.47,index,valid,synthetic_qos,166,164,30.27,0
QOS-SLA_RESULT_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,34.75,index,valid,synthetic_qos,289,280,31.74,0
QOS-SLA_RESULT_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,84.99,index,valid,synthetic_qos,204,198,24.56,0
QOS-SLA_RESULT_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,26.99,index,valid,synthetic_qos,306,302,44.64,0
QOS-SLA_RESULT_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,17.14,index,valid,synthetic_qos,228,224,37.24,0
QOS-SLA_RESULT_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,31.38,index,valid,synthetic_qos,119,110,31.03,0
QOS-SLA_RESULT_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,22.55,index,valid,synthetic_qos,209,203,41.53,0
QOS-SLA_RESULT_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,44.89,index,valid,synthetic_qos,222,219,24.42,0
QOS-SLA_RESULT_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,28.05,index,valid,synthetic_qos,155,150,40.45,0
QOS-SLA_RESULT_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,27.64,index,valid,synthetic_qos,344,342,19.73,0
QOS-SLA_RESULT_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,65.13,index,valid,synthetic_qos,252,243,42.11,0
QOS-SLA_RESULT_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,81.19,index,valid,synthetic_qos,235,227,41.05,0
QOS-SLA_RESULT_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,80.68,index,valid,synthetic_qos,137,128,29.29,0
QOS-SLA_RESULT_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.6,index,valid,synthetic_qos,104,101,17.67,0
QOS-SLA_RESULT_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,21.28,index,valid,synthetic_qos,173,165,39.4,0
QOS-SLA_RESULT_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,24.51,index,valid,synthetic_qos,260,253,25.05,0
QOS-SLA_RESULT_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,57.89,index,valid,synthetic_qos,179,169,40.04,0
QOS-SLA_RESULT_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,71.33,index,valid,synthetic_qos,161,157,35.67,0
QOS-SLA_RESULT_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,72.4,index,valid,synthetic_qos,326,321,30.85,0
QOS-SLA_RESULT_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,69.44,index,valid,synthetic_qos,226,222,35.83,0
QOS-SLA_RESULT_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,24.96,index,valid,synthetic_qos,164,161,44.17,0
QOS-SLA_RESULT_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,26.16,index,valid,synthetic_qos,313,303,24.01,0
QOS-SLA_RESULT_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,43.01,index,valid,synthetic_qos,331,326,32.65,0
QOS-SLA_RESULT_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,53.89,index,valid,synthetic_qos,110,108,30.65,0
QOS-SLA_RESULT_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,41.26,index,valid,synthetic_qos,345,340,40.2,0
QOS-SLA_RESULT_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,27.95,index,valid,synthetic_qos,127,124,20.7,0
QOS-SLA_RESULT_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,71.9,index,valid,synthetic_qos,150,143,25.18,0
QOS-SLA_RESULT_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,79.94,index,valid,synthetic_qos,285,278,43.13,0
QOS-SLA_RESULT_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,71.68,index,valid,synthetic_qos,220,219,32.52,0
QOS-SLA_RESULT_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,32.07,index,valid,synthetic_qos,369,366,32.0,0
QOS-SLA_RESULT_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,25.87,index,valid,synthetic_qos,218,213,26.18,0
QOS-SLA_RESULT_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,35.28,index,valid,synthetic_qos,398,393,25.22,0
QOS-SLA_RESULT_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,40.1,index,valid,synthetic_qos,175,167,18.32,0
QOS-SLA_RESULT_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,26.94,index,valid,synthetic_qos,206,199,44.63,0
QOS-SLA_RESULT_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,40.76,index,valid,synthetic_qos,156,146,36.92,0
QOS-SLA_RESULT_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,43.36,index,valid,synthetic_qos,141,136,32.01,0
QOS-SLA_RESULT_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,37.34,index,valid,synthetic_qos,156,146,40.57,0
QOS-SLA_RESULT_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,43.87,index,valid,synthetic_qos,213,204,41.49,0
QOS-SLA_RESULT_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,49.78,index,valid,synthetic_qos,290,285,33.91,0
QOS-SLA_RESULT_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,32.98,index,valid,synthetic_qos,298,295,23.26,0
QOS-SLA_RESULT_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,82.55,index,degraded,synthetic_qos,288,286,76.96,1
QOS-SLA_RESULT_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,80.64,index,valid,synthetic_qos,327,322,25.68,0
QOS-SLA_RESULT_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,59.35,index,valid,synthetic_qos,294,284,25.85,0
QOS-SLA_RESULT_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,40.37,index,valid,synthetic_qos,368,360,24.72,0
QOS-SLA_RESULT_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,82.09,index,valid,synthetic_qos,115,113,29.86,0
QOS-SLA_RESULT_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,73.28,index,valid,synthetic_qos,257,254,23.69,0
QOS-SLA_RESULT_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,43.19,index,valid,synthetic_qos,294,291,21.21,0
QOS-SLA_RESULT_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,52.81,index,valid,synthetic_qos,158,149,23.55,0
QOS-SLA_RESULT_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,52.7,index,valid,synthetic_qos,251,249,41.73,0
QOS-SLA_RESULT_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,75.46,index,valid,synthetic_qos,177,170,39.02,0
QOS-SLA_RESULT_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,33.06,index,valid,synthetic_qos,169,165,32.32,0
QOS-SLA_RESULT_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,81.92,index,valid,synthetic_qos,154,150,40.55,0
QOS-SLA_RESULT_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,55.46,index,valid,synthetic_qos,324,318,29.17,0
QOS-SLA_RESULT_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,66.36,index,valid,synthetic_qos,145,138,37.95,0
QOS-SLA_RESULT_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,45.98,index,valid,synthetic_qos,272,270,36.28,0
QOS-SLA_RESULT_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,51.06,index,valid,synthetic_qos,182,176,29.94,0
QOS-SLA_RESULT_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,67.83,index,valid,synthetic_qos,376,372,22.92,0
QOS-SLA_RESULT_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,64.63,index,valid,synthetic_qos,209,206,26.26,0
QOS-SLA_RESULT_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,41.07,index,valid,synthetic_qos,389,379,25.25,0
QOS-SLA_RESULT_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,27.45,index,valid,synthetic_qos,273,271,16.43,0
QOS-SLA_RESULT_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,81.99,index,valid,synthetic_qos,175,170,44.41,0
QOS-SLA_RESULT_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.76,index,valid,synthetic_qos,311,308,31.26,0
QOS-SLA_RESULT_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,21.7,index,valid,synthetic_qos,215,206,33.08,0
QOS-SLA_RESULT_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,15.59,index,valid,synthetic_qos,232,228,34.94,0
QOS-SLA_RESULT_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,19.92,index,valid,synthetic_qos,198,189,20.59,0
QOS-SLA_RESULT_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,74.48,index,valid,synthetic_qos,169,165,37.22,0
QOS-SLA_RESULT_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,20.21,index,valid,synthetic_qos,147,140,40.69,0
QOS-SLA_RESULT_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,25.21,index,valid,synthetic_qos,385,384,23.64,0
QOS-SLA_RESULT_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,52.5,index,valid,synthetic_qos,125,118,34.3,0
QOS-SLA_RESULT_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,71.82,index,valid,synthetic_qos,360,354,42.24,0
QOS-SLA_RESULT_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,69.57,index,valid,synthetic_qos,210,206,41.45,0
QOS-SLA_RESULT_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,31.39,index,valid,synthetic_qos,316,312,18.9,0
QOS-SLA_RESULT_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,42.82,index,valid,synthetic_qos,200,196,41.34,0
QOS-SLA_RESULT_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,29.47,index,valid,synthetic_qos,377,376,31.89,0
QOS-SLA_RESULT_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,40.88,index,valid,synthetic_qos,210,201,43.11,0
QOS-SLA_RESULT_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,46.56,index,valid,synthetic_qos,165,162,27.89,0
QOS-SLA_RESULT_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,82.18,index,valid,synthetic_qos,267,266,35.73,0
QOS-SLA_RESULT_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,26.84,index,valid,synthetic_qos,179,171,17.7,0
QOS-SLA_RESULT_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,68.85,index,valid,synthetic_qos,290,287,31.22,0
QOS-SLA_RESULT_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,58.4,index,valid,synthetic_qos,257,250,43.43,0
