dns_hourly_id,plan_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,p95_latency_ms,breach_count
QOS-DNS_HOURLY-00-46,PLAN01,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,83.83,index,valid,synthetic_qos,142,140,30.8,0
QOS-DNS_HOURLY-00-47,PLAN01,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,40.99,index,valid,synthetic_qos,342,339,23.17,0
QOS-DNS_HOURLY-00-48,PLAN01,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,23.13,index,valid,synthetic_qos,332,329,37.15,0
QOS-DNS_HOURLY-00-49,PLAN01,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,45.79,index,valid,synthetic_qos,313,307,28.77,0
QOS-DNS_HOURLY-00-50,PLAN01,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,67.31,index,valid,synthetic_qos,392,388,42.84,0
QOS-DNS_HOURLY-00-51,PLAN01,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,67.93,index,valid,synthetic_qos,309,303,19.56,0
QOS-DNS_HOURLY-00-52,PLAN01,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,55.93,index,valid,synthetic_qos,295,286,39.39,0
QOS-DNS_HOURLY-00-53,PLAN01,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,82.9,index,valid,synthetic_qos,352,342,19.79,0
QOS-DNS_HOURLY-00-54,PLAN01,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,45.36,index,valid,synthetic_qos,148,142,42.58,0
QOS-DNS_HOURLY-00-55,PLAN01,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,76.7,index,valid,synthetic_qos,262,259,15.85,0
QOS-DNS_HOURLY-00-56,PLAN01,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,26.14,index,valid,synthetic_qos,380,377,16.85,0
QOS-DNS_HOURLY-00-57,PLAN01,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,34.98,index,valid,synthetic_qos,209,200,18.82,0
QOS-DNS_HOURLY-00-58,PLAN01,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,60.08,index,valid,synthetic_qos,126,117,16.82,0
QOS-DNS_HOURLY-00-59,PLAN01,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,74.88,index,valid,synthetic_qos,163,158,18.07,0
QOS-DNS_HOURLY-00-60,PLAN01,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,37.48,index,valid,synthetic_qos,125,116,33.63,0
QOS-DNS_HOURLY-00-61,PLAN01,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,39.31,index,valid,synthetic_qos,144,136,38.09,0
QOS-DNS_HOURLY-00-62,PLAN01,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,84.95,index,valid,synthetic_qos,209,206,44.56,0
QOS-DNS_HOURLY-00-63,PLAN01,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,20.74,index,valid,synthetic_qos,203,195,24.79,0
QOS-DNS_HOURLY-00-64,PLAN01,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,42.89,index,valid,synthetic_qos,292,285,32.22,0
QOS-DNS_HOURLY-00-65,PLAN01,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,52.79,index,valid,synthetic_qos,192,183,40.97,0
QOS-DNS_HOURLY-00-66,PLAN01,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,42.47,index,valid,synthetic_qos,145,142,42.9,0
QOS-DNS_HOURLY-00-67,PLAN01,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,34.83,index,valid,synthetic_qos,347,342,40.51,0
QOS-DNS_HOURLY-00-68,PLAN01,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,80.35,index,valid,synthetic_qos,146,141,35.92,0
QOS-DNS_HOURLY-00-69,PLAN01,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,27.83,index,valid,synthetic_qos,254,253,19.86,0
QOS-DNS_HOURLY-00-70,PLAN01,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,43.34,index,valid,synthetic_qos,197,189,38.23,0
QOS-DNS_HOURLY-00-71,PLAN01,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,84.68,index,valid,synthetic_qos,302,296,29.45,0
QOS-DNS_HOURLY-01-00,PLAN02,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,74.55,index,valid,synthetic_qos,209,206,25.58,0
QOS-DNS_HOURLY-01-01,PLAN02,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,60.55,index,valid,synthetic_qos,288,280,20.62,0
QOS-DNS_HOURLY-01-02,PLAN02,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,42.07,index,valid,synthetic_qos,233,225,35.49,0
QOS-DNS_HOURLY-01-03,PLAN02,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,43.55,index,valid,synthetic_qos,199,192,39.34,0
QOS-DNS_HOURLY-01-04,PLAN02,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,77.03,index,valid,synthetic_qos,356,353,20.46,0
QOS-DNS_HOURLY-01-05,PLAN02,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,65.9,index,valid,synthetic_qos,322,320,45.0,0
QOS-DNS_HOURLY-01-06,PLAN02,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,73.57,index,valid,synthetic_qos,386,382,30.43,0
QOS-DNS_HOURLY-01-07,PLAN02,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,68.43,index,valid,synthetic_qos,103,93,22.54,0
QOS-DNS_HOURLY-01-08,PLAN02,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,26.44,index,valid,synthetic_qos,231,230,28.79,0
QOS-DNS_HOURLY-01-09,PLAN02,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,51.39,index,valid,synthetic_qos,274,267,28.16,0
QOS-DNS_HOURLY-01-10,PLAN02,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,39.5,index,valid,synthetic_qos,185,184,34.67,0
QOS-DNS_HOURLY-01-11,PLAN02,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,45.71,index,valid,synthetic_qos,183,175,32.65,0
QOS-DNS_HOURLY-01-12,PLAN02,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,29.59,index,valid,synthetic_qos,254,252,43.44,0
QOS-DNS_HOURLY-01-13,PLAN02,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,26.71,index,valid,synthetic_qos,241,235,30.38,0
QOS-DNS_HOURLY-01-14,PLAN02,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,52.37,index,valid,synthetic_qos,390,385,40.95,0
QOS-DNS_HOURLY-01-15,PLAN02,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,44.76,index,valid,synthetic_qos,257,247,40.29,0
QOS-DNS_HOURLY-01-16,PLAN02,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,54.84,index,valid,synthetic_qos,349,343,31.09,0
QOS-DNS_HOURLY-01-17,PLAN02,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,83.63,index,valid,synthetic_qos,391,390,36.37,0
QOS-DNS_HOURLY-01-18,PLAN02,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,80.78,index,valid,synthetic_qos,179,178,44.92,0
QOS-DNS_HOURLY-01-19,PLAN02,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,33.91,index,valid,synthetic_qos,181,179,18.05,0
QOS-DNS_HOURLY-01-20,PLAN02,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,51.55,index,valid,synthetic_qos,190,186,32.49,0
QOS-DNS_HOURLY-01-21,PLAN02,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.43,index,valid,synthetic_qos,375,369,26.09,0
QOS-DNS_HOURLY-01-22,PLAN02,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,67.38,index,valid,synthetic_qos,158,157,39.96,0
QOS-DNS_HOURLY-01-23,PLAN02,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,28.0,index,valid,synthetic_qos,338,331,25.23,0
QOS-DNS_HOURLY-01-24,PLAN02,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,19.45,index,valid,synthetic_qos,273,266,33.47,0
QOS-DNS_HOURLY-01-25,PLAN02,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,25.29,index,valid,synthetic_qos,393,389,28.08,0
QOS-DNS_HOURLY-01-26,PLAN02,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,72.29,index,valid,synthetic_qos,351,341,26.61,0
QOS-DNS_HOURLY-01-27,PLAN02,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,78.52,index,valid,synthetic_qos,308,301,44.56,0
QOS-DNS_HOURLY-01-28,PLAN02,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,58.0,index,valid,synthetic_qos,194,188,18.24,0
QOS-DNS_HOURLY-01-29,PLAN02,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,30.01,index,valid,synthetic_qos,225,215,43.19,0
QOS-DNS_HOURLY-01-30,PLAN02,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,83.96,index,valid,synthetic_qos,382,373,41.8,0
QOS-DNS_HOURLY-01-31,PLAN02,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,69.96,index,valid,synthetic_qos,111,105,31.56,0
QOS-DNS_HOURLY-01-32,PLAN02,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,80.69,index,valid,synthetic_qos,195,187,19.27,0
QOS-DNS_HOURLY-01-33,PLAN02,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,67.38,index,valid,synthetic_qos,250,241,44.4,0
QOS-DNS_HOURLY-01-34,PLAN02,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,23.76,index,valid,synthetic_qos,239,238,17.93,0
QOS-DNS_HOURLY-01-35,PLAN02,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,70.61,index,valid,synthetic_qos,280,270,21.79,0
QOS-DNS_HOURLY-01-36,PLAN02,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,59.58,index,valid,synthetic_qos,273,271,16.55,0
QOS-DNS_HOURLY-01-37,PLAN02,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,25.17,index,valid,synthetic_qos,235,233,17.56,0
QOS-DNS_HOURLY-01-38,PLAN02,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,40.49,index,valid,synthetic_qos,310,308,27.45,0
QOS-DNS_HOURLY-01-39,PLAN02,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,42.5,index,valid,synthetic_qos,124,117,37.69,0
QOS-DNS_HOURLY-01-40,PLAN02,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,50.67,index,valid,synthetic_qos,136,130,16.51,0
QOS-DNS_HOURLY-01-41,PLAN02,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,59.51,index,valid,synthetic_qos,242,240,42.6,0
QOS-DNS_HOURLY-01-42,PLAN02,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,29.13,index,valid,synthetic_qos,133,124,37.75,0
QOS-DNS_HOURLY-01-43,PLAN02,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,24.07,index,valid,synthetic_qos,266,260,18.15,0
QOS-DNS_HOURLY-01-44,PLAN02,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,32.53,index,valid,synthetic_qos,136,128,39.32,0
QOS-DNS_HOURLY-01-45,PLAN02,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,92.49,index,degraded,synthetic_qos,347,340,93.28,1
QOS-DNS_HOURLY-01-46,PLAN02,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,33.88,index,valid,synthetic_qos,311,307,26.05,0
QOS-DNS_HOURLY-01-47,PLAN02,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,31.16,index,valid,synthetic_qos,219,218,29.42,0
QOS-DNS_HOURLY-01-48,PLAN02,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,30.85,index,valid,synthetic_qos,211,204,41.08,0
QOS-DNS_HOURLY-01-49,PLAN02,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,16.26,index,valid,synthetic_qos,180,171,34.92,0
QOS-DNS_HOURLY-01-50,PLAN02,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,20.78,index,valid,synthetic_qos,282,280,28.0,0
QOS-DNS_HOURLY-01-51,PLAN02,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,80.11,index,valid,synthetic_qos,253,246,36.42,0
QOS-DNS_HOURLY-01-52,PLAN02,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,39.12,index,valid,synthetic_qos,356,347,43.4,0
QOS-DNS_HOURLY-01-53,PLAN02,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,72.4,index,valid,synthetic_qos,368,364,25.48,0
QOS-DNS_HOURLY-01-54,PLAN02,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,52.95,index,valid,synthetic_qos,338,331,26.76,0
QOS-DNS_HOURLY-01-55,PLAN02,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,43.05,index,valid,synthetic_qos,139,129,40.35,0
QOS-DNS_HOURLY-01-56,PLAN02,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,38.64,index,valid,synthetic_qos,107,103,20.35,0
QOS-DNS_HOURLY-01-57,PLAN02,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,63.78,index,valid,synthetic_qos,400,399,31.32,0
QOS-DNS_HOURLY-01-58,PLAN02,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,36.96,index,valid,synthetic_qos,373,367,16.31,0
QOS-DNS_HOURLY-01-59,PLAN02,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,59.84,index,valid,synthetic_qos,397,389,23.04,0
QOS-DNS_HOURLY-01-60,PLAN02,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,62.93,index,valid,synthetic_qos,344,336,26.55,0
QOS-DNS_HOURLY-01-61,PLAN02,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,60.26,index,valid,synthetic_qos,162,155,24.37,0
QOS-DNS_HOURLY-01-62,PLAN02,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,38.93,index,valid,synthetic_qos,223,218,33.38,0
QOS-DNS_HOURLY-01-63,PLAN02,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.22,index,valid,synthetic_qos,242,236,34.35,0
QOS-DNS_HOURLY-01-64,PLAN02,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,53.19,index,valid,synthetic_qos,369,360,26.44,0
QOS-DNS_HOURLY-01-65,PLAN02,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,40.82,index,valid,synthetic_qos,383,374,32.6,0
QOS-DNS_HOURLY-01-66,PLAN02,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,17.67,index,valid,synthetic_qos,396,387,43.93,0
QOS-DNS_HOURLY-01-67,PLAN02,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,20.86,index,valid,synthetic_qos,157,155,43.05,0
QOS-DNS_HOURLY-01-68,PLAN02,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,66.85,index,valid,synthetic_qos,237,233,23.52,0
QOS-DNS_HOURLY-01-69,PLAN02,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,61.39,index,valid,synthetic_qos,163,157,21.75,0
QOS-DNS_HOURLY-01-70,PLAN02,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,19.07,index,valid,synthetic_qos,185,178,31.29,0
QOS-DNS_HOURLY-01-71,PLAN02,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,72.78,index,valid,synthetic_qos,243,237,41.99,0
QOS-DNS_HOURLY-02-00,PLAN03,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,26.71,index,valid,synthetic_qos,201,194,43.28,0
QOS-DNS_HOURLY-02-01,PLAN03,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,52.71,index,valid,synthetic_qos,148,146,33.85,0
QOS-DNS_HOURLY-02-02,PLAN03,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,64.68,index,valid,synthetic_qos,201,197,33.39,0
QOS-DNS_HOURLY-02-03,PLAN03,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,44.96,index,valid,synthetic_qos,296,287,41.61,0
QOS-DNS_HOURLY-02-04,PLAN03,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,52.58,index,valid,synthetic_qos,196,189,35.67,0
QOS-DNS_HOURLY-02-05,PLAN03,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,41.48,index,valid,synthetic_qos,345,341,20.41,0
QOS-DNS_HOURLY-02-06,PLAN03,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,50.36,index,valid,synthetic_qos,189,181,17.93,0
QOS-DNS_HOURLY-02-07,PLAN03,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,65.96,index,valid,synthetic_qos,180,176,31.93,0
QOS-DNS_HOURLY-02-08,PLAN03,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,63.21,index,valid,synthetic_qos,379,369,39.86,0
QOS-DNS_HOURLY-02-09,PLAN03,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,58.52,index,valid,synthetic_qos,109,106,15.07,0
QOS-DNS_HOURLY-02-10,PLAN03,CMU,KV3,active,2026-08-18-10,2026-08-18 10:00:00,78.39,index,valid,synthetic_qos,202,197,41.48,0
QOS-DNS_HOURLY-02-11,PLAN03,CMU,KV3,active,2026-08-18-11,2026-08-18 11:00:00,39.19,index,valid,synthetic_qos,328,322,38.83,0
QOS-DNS_HOURLY-02-12,PLAN03,CMU,KV3,active,2026-08-18-12,2026-08-18 12:00:00,65.32,index,valid,synthetic_qos,297,290,15.75,0
QOS-DNS_HOURLY-02-13,PLAN03,CMU,KV3,active,2026-08-18-13,2026-08-18 13:00:00,65.33,index,valid,synthetic_qos,112,102,40.41,0
QOS-DNS_HOURLY-02-14,PLAN03,CMU,KV3,active,2026-08-18-14,2026-08-18 14:00:00,73.48,index,valid,synthetic_qos,126,123,20.56,0
QOS-DNS_HOURLY-02-15,PLAN03,CMU,KV3,active,2026-08-18-15,2026-08-18 15:00:00,69.27,index,valid,synthetic_qos,303,297,28.29,0
QOS-DNS_HOURLY-02-16,PLAN03,CMU,KV3,active,2026-08-18-16,2026-08-18 16:00:00,28.29,index,valid,synthetic_qos,396,386,40.48,0
QOS-DNS_HOURLY-02-17,PLAN03,CMU,KV3,active,2026-08-18-17,2026-08-18 17:00:00,26.99,index,valid,synthetic_qos,117,112,39.25,0
QOS-DNS_HOURLY-02-18,PLAN03,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,29.86,index,valid,synthetic_qos,183,181,37.5,0
QOS-DNS_HOURLY-02-19,PLAN03,CMU,KV3,active,2026-08-18-19,2026-08-18 19:00:00,21.62,index,valid,synthetic_qos,320,316,29.72,0
QOS-DNS_HOURLY-02-20,PLAN03,CMU,KV3,active,2026-08-18-20,2026-08-18 20:00:00,35.28,index,valid,synthetic_qos,221,216,34.93,0
QOS-DNS_HOURLY-02-21,PLAN03,CMU,KV3,active,2026-08-18-21,2026-08-18 21:00:00,52.49,index,valid,synthetic_qos,213,207,38.34,0
