cell_state_history_id,cell_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,frequency_mhz,bandwidth_mhz,tx_power_dbm,sector_count
RAN-CELL_STATE_HISTORY-01-36,CELL020201,SLA,KV1,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.26,2
RAN-CELL_STATE_HISTORY-01-45,CELL020201,SLA,KV1,degraded,2026-08-19 21:00:00,CELL_STATE_HISTORY,major,failed,3600,synthetic_ran,3500,100,42.45,2
RAN-CELL_STATE_HISTORY-01-54,CELL020201,SLA,KV1,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,26.13,2
RAN-CELL_STATE_HISTORY-01-63,CELL020201,SLA,KV1,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.33,2
RAN-CELL_STATE_HISTORY-02-00,CELL030101,CMU,KV3,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,35.95,2
RAN-CELL_STATE_HISTORY-02-09,CELL030101,CMU,KV3,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,38.21,2
RAN-CELL_STATE_HISTORY-02-18,CELL030101,CMU,KV3,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,28.28,2
RAN-CELL_STATE_HISTORY-02-27,CELL030101,CMU,KV3,active,2026-08-19 03:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.45,2
RAN-CELL_STATE_HISTORY-02-36,CELL030101,CMU,KV3,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.16,2
RAN-CELL_STATE_HISTORY-02-45,CELL030101,CMU,KV3,active,2026-08-19 21:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,32.1,2
RAN-CELL_STATE_HISTORY-02-54,CELL030101,CMU,KV3,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,20.08,2
RAN-CELL_STATE_HISTORY-02-63,CELL030101,CMU,KV3,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,38.55,2
RAN-CELL_STATE_HISTORY-03-00,CELL040201,NBH,KV1,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.96,2
RAN-CELL_STATE_HISTORY-03-09,CELL040201,NBH,KV1,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,24.95,2
RAN-CELL_STATE_HISTORY-03-18,CELL040201,NBH,KV1,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,23.96,2
RAN-CELL_STATE_HISTORY-03-27,CELL040201,NBH,KV1,active,2026-08-19 03:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,24.34,2
RAN-CELL_STATE_HISTORY-03-36,CELL040201,NBH,KV1,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,32.03,2
RAN-CELL_STATE_HISTORY-03-45,CELL040201,NBH,KV1,active,2026-08-19 21:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,31.01,2
RAN-CELL_STATE_HISTORY-03-54,CELL040201,NBH,KV1,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,28.79,2
RAN-CELL_STATE_HISTORY-03-63,CELL040201,NBH,KV1,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,27.51,2
RAN-CELL_STATE_HISTORY-04-00,CELL050101,HCM,KV3,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,24.06,2
RAN-CELL_STATE_HISTORY-04-09,CELL050101,HCM,KV3,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.48,2
RAN-CELL_STATE_HISTORY-04-18,CELL050101,HCM,KV3,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,32.54,2
RAN-CELL_STATE_HISTORY-04-27,CELL050101,HCM,KV3,active,2026-08-19 03:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,37.58,2
RAN-CELL_STATE_HISTORY-04-36,CELL050101,HCM,KV3,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,44.36,2
RAN-CELL_STATE_HISTORY-04-45,CELL050101,HCM,KV3,active,2026-08-19 21:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.37,2
RAN-CELL_STATE_HISTORY-04-54,CELL050101,HCM,KV3,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,33.38,2
RAN-CELL_STATE_HISTORY-04-63,CELL050101,HCM,KV3,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,37.29,2
RAN-CELL_STATE_HISTORY-05-00,CELL060101,KHA,KV2,active,2026-08-18 00:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,31.95,2
RAN-CELL_STATE_HISTORY-05-09,CELL060101,KHA,KV2,active,2026-08-18 09:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.54,2
RAN-CELL_STATE_HISTORY-05-18,CELL060101,KHA,KV2,active,2026-08-18 18:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.42,2
RAN-CELL_STATE_HISTORY-05-27,CELL060101,KHA,KV2,active,2026-08-19 03:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,30.71,2
RAN-CELL_STATE_HISTORY-05-36,CELL060101,KHA,KV2,active,2026-08-19 12:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,44.44,2
RAN-CELL_STATE_HISTORY-05-45,CELL060101,KHA,KV2,active,2026-08-19 21:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,21.89,2
RAN-CELL_STATE_HISTORY-05-54,CELL060101,KHA,KV2,active,2026-08-20 06:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,22.73,2
RAN-CELL_STATE_HISTORY-05-63,CELL060101,KHA,KV2,active,2026-08-20 15:00:00,CELL_STATE_HISTORY,info,success,60,synthetic_ran,3500,100,32.16,2
