handover_relation_id,cell_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,frequency_mhz,bandwidth_mhz,tx_power_dbm,sector_count
RAN-HANDOVER_RELATION-01-27,CELL020201,SLA,KV1,active,2026-08-19 03:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,31.82,2
RAN-HANDOVER_RELATION-01-36,CELL020201,SLA,KV1,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,27.7,2
RAN-HANDOVER_RELATION-01-45,CELL020201,SLA,KV1,degraded,2026-08-19 21:00:00,HANDOVER_RELATION,major,failed,3600,synthetic_ran,3500,100,27.89,2
RAN-HANDOVER_RELATION-01-54,CELL020201,SLA,KV1,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,41.86,2
RAN-HANDOVER_RELATION-01-63,CELL020201,SLA,KV1,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,39.12,2
RAN-HANDOVER_RELATION-02-00,CELL030101,CMU,KV3,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,26.15,2
RAN-HANDOVER_RELATION-02-09,CELL030101,CMU,KV3,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,22.5,2
RAN-HANDOVER_RELATION-02-18,CELL030101,CMU,KV3,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,35.5,2
RAN-HANDOVER_RELATION-02-27,CELL030101,CMU,KV3,active,2026-08-19 03:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,31.66,2
RAN-HANDOVER_RELATION-02-36,CELL030101,CMU,KV3,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,35.86,2
RAN-HANDOVER_RELATION-02-45,CELL030101,CMU,KV3,active,2026-08-19 21:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,20.34,2
RAN-HANDOVER_RELATION-02-54,CELL030101,CMU,KV3,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,37.59,2
RAN-HANDOVER_RELATION-02-63,CELL030101,CMU,KV3,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,21.26,2
RAN-HANDOVER_RELATION-03-00,CELL040201,NBH,KV1,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,37.96,2
RAN-HANDOVER_RELATION-03-09,CELL040201,NBH,KV1,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,24.91,2
RAN-HANDOVER_RELATION-03-18,CELL040201,NBH,KV1,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,28.16,2
RAN-HANDOVER_RELATION-03-27,CELL040201,NBH,KV1,active,2026-08-19 03:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,34.05,2
RAN-HANDOVER_RELATION-03-36,CELL040201,NBH,KV1,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,24.4,2
RAN-HANDOVER_RELATION-03-45,CELL040201,NBH,KV1,active,2026-08-19 21:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,23.18,2
RAN-HANDOVER_RELATION-03-54,CELL040201,NBH,KV1,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,42.22,2
RAN-HANDOVER_RELATION-03-63,CELL040201,NBH,KV1,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,41.05,2
RAN-HANDOVER_RELATION-04-00,CELL050101,HCM,KV3,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,41.92,2
RAN-HANDOVER_RELATION-04-09,CELL050101,HCM,KV3,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,34.93,2
RAN-HANDOVER_RELATION-04-18,CELL050101,HCM,KV3,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,31.87,2
RAN-HANDOVER_RELATION-04-27,CELL050101,HCM,KV3,active,2026-08-19 03:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,26.87,2
RAN-HANDOVER_RELATION-04-36,CELL050101,HCM,KV3,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,41.75,2
RAN-HANDOVER_RELATION-04-45,CELL050101,HCM,KV3,active,2026-08-19 21:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,30.85,2
RAN-HANDOVER_RELATION-04-54,CELL050101,HCM,KV3,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,31.14,2
RAN-HANDOVER_RELATION-04-63,CELL050101,HCM,KV3,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,39.8,2
RAN-HANDOVER_RELATION-05-00,CELL060101,KHA,KV2,active,2026-08-18 00:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,44.59,2
RAN-HANDOVER_RELATION-05-09,CELL060101,KHA,KV2,active,2026-08-18 09:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,23.85,2
RAN-HANDOVER_RELATION-05-18,CELL060101,KHA,KV2,active,2026-08-18 18:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,37.34,2
RAN-HANDOVER_RELATION-05-27,CELL060101,KHA,KV2,active,2026-08-19 03:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,32.75,2
RAN-HANDOVER_RELATION-05-36,CELL060101,KHA,KV2,active,2026-08-19 12:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,41.47,2
RAN-HANDOVER_RELATION-05-45,CELL060101,KHA,KV2,active,2026-08-19 21:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,40.18,2
RAN-HANDOVER_RELATION-05-54,CELL060101,KHA,KV2,active,2026-08-20 06:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,43.53,2
RAN-HANDOVER_RELATION-05-63,CELL060101,KHA,KV2,active,2026-08-20 15:00:00,HANDOVER_RELATION,info,success,60,synthetic_ran,3500,100,33.72,2
