payment_reversal_id,invoice_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,amount_vnd,tax_vnd,paid_vnd,outstanding_vnd
BILLING-PAYMENT_REVERSAL-02-63,INV0013,CMU,KV3,active,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,450000,45000,495000,0
BILLING-PAYMENT_REVERSAL-03-00,INV0019,NBH,KV1,active,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-09,INV0019,NBH,KV1,active,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-18,INV0019,NBH,KV1,active,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-27,INV0019,NBH,KV1,active,2026-08-19 03:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-36,INV0019,NBH,KV1,active,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-45,INV0019,NBH,KV1,active,2026-08-19 21:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-54,INV0019,NBH,KV1,active,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-03-63,INV0019,NBH,KV1,active,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,220000,22000,242000,0
BILLING-PAYMENT_REVERSAL-04-00,INV0025,HCM,KV3,active,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-09,INV0025,HCM,KV3,active,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-18,INV0025,HCM,KV3,active,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-27,INV0025,HCM,KV3,active,2026-08-19 03:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-36,INV0025,HCM,KV3,active,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-45,INV0025,HCM,KV3,active,2026-08-19 21:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-54,INV0025,HCM,KV3,active,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-04-63,INV0025,HCM,KV3,active,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,success,60,synthetic_billing,300000,30000,330000,0
BILLING-PAYMENT_REVERSAL-05-00,INV0026,KHA,KV2,rejected,2026-08-18 00:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-09,INV0026,KHA,KV2,rejected,2026-08-18 09:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-18,INV0026,KHA,KV2,rejected,2026-08-18 18:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-27,INV0026,KHA,KV2,rejected,2026-08-19 03:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-36,INV0026,KHA,KV2,rejected,2026-08-19 12:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-45,INV0026,KHA,KV2,rejected,2026-08-19 21:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-54,INV0026,KHA,KV2,rejected,2026-08-20 06:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
BILLING-PAYMENT_REVERSAL-05-63,INV0026,KHA,KV2,rejected,2026-08-20 15:00:00,PAYMENT_REVERSAL,info,failed,60,synthetic_billing,220000,22000,0,242000
