rainfall_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct
GEO-RAINFALL_HOURLY-00-11,LOC001,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,77.87,index,valid,synthetic_geo,21.38,103.02,100000,93.93
GEO-RAINFALL_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,25.6,index,valid,synthetic_geo,21.38,103.02,100000,88.36
GEO-RAINFALL_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,84.91,index,valid,synthetic_geo,21.38,103.02,100000,92.14
GEO-RAINFALL_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,61.91,index,valid,synthetic_geo,21.38,103.02,100000,93.15
GEO-RAINFALL_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,60.54,index,valid,synthetic_geo,21.38,103.02,100000,87.3
GEO-RAINFALL_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,57.2,index,valid,synthetic_geo,21.38,103.02,100000,98.15
GEO-RAINFALL_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,60.09,index,valid,synthetic_geo,21.38,103.02,100000,97.15
GEO-RAINFALL_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,27.86,index,valid,synthetic_geo,21.38,103.02,100000,95.87
GEO-RAINFALL_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,65.75,index,valid,synthetic_geo,21.38,103.02,100000,88.49
GEO-RAINFALL_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,38.53,index,valid,synthetic_geo,21.38,103.02,100000,97.8
GEO-RAINFALL_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,49.14,index,valid,synthetic_geo,21.38,103.02,100000,98.22
GEO-RAINFALL_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,78.1,index,valid,synthetic_geo,21.38,103.02,100000,92.04
GEO-RAINFALL_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,32.27,index,valid,synthetic_geo,21.38,103.02,100000,87.94
GEO-RAINFALL_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,80.87,index,valid,synthetic_geo,21.38,103.02,100000,88.69
GEO-RAINFALL_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,70.33,index,valid,synthetic_geo,21.38,103.02,100000,88.53
GEO-RAINFALL_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,51.38,index,valid,synthetic_geo,21.38,103.02,100000,89.97
GEO-RAINFALL_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,105.53,index,degraded,synthetic_geo,21.38,103.02,100000,95.64
GEO-RAINFALL_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,31.34,index,valid,synthetic_geo,21.38,103.02,100000,93.76
GEO-RAINFALL_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,66.69,index,valid,synthetic_geo,21.38,103.02,100000,95.27
GEO-RAINFALL_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,36.41,index,valid,synthetic_geo,21.38,103.02,100000,97.52
GEO-RAINFALL_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,49.7,index,valid,synthetic_geo,21.38,103.02,100000,96.59
GEO-RAINFALL_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,17.24,index,valid,synthetic_geo,21.38,103.02,100000,94.43
GEO-RAINFALL_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,68.76,index,valid,synthetic_geo,21.38,103.02,100000,98.38
GEO-RAINFALL_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,23.11,index,valid,synthetic_geo,21.38,103.02,100000,85.65
GEO-RAINFALL_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,42.02,index,valid,synthetic_geo,21.38,103.02,100000,96.13
GEO-RAINFALL_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,80.64,index,valid,synthetic_geo,21.38,103.02,100000,97.0
GEO-RAINFALL_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,69.9,index,valid,synthetic_geo,21.38,103.02,100000,88.06
GEO-RAINFALL_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,52.93,index,valid,synthetic_geo,21.38,103.02,100000,88.41
GEO-RAINFALL_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,81.51,index,valid,synthetic_geo,21.38,103.02,100000,88.84
GEO-RAINFALL_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,17.51,index,valid,synthetic_geo,21.38,103.02,100000,92.07
GEO-RAINFALL_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,60.08,index,valid,synthetic_geo,21.38,103.02,100000,88.15
GEO-RAINFALL_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,69.72,index,valid,synthetic_geo,21.38,103.02,100000,93.25
GEO-RAINFALL_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,22.22,index,valid,synthetic_geo,21.38,103.02,100000,88.29
GEO-RAINFALL_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,65.0,index,valid,synthetic_geo,21.38,103.02,100000,88.27
GEO-RAINFALL_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,48.78,index,valid,synthetic_geo,21.38,103.02,100000,96.51
GEO-RAINFALL_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,45.5,index,valid,synthetic_geo,21.38,103.02,100000,86.16
GEO-RAINFALL_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,49.16,index,valid,synthetic_geo,21.38,103.02,100000,88.6
GEO-RAINFALL_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,34.41,index,valid,synthetic_geo,21.38,103.02,100000,85.12
GEO-RAINFALL_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,31.28,index,valid,synthetic_geo,21.38,103.02,100000,98.19
GEO-RAINFALL_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,35.81,index,valid,synthetic_geo,21.38,103.02,100000,92.39
GEO-RAINFALL_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,48.85,index,valid,synthetic_geo,21.38,103.02,100000,97.71
GEO-RAINFALL_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,69.94,index,valid,synthetic_geo,21.38,103.02,100000,86.05
GEO-RAINFALL_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,75.53,index,valid,synthetic_geo,21.38,103.02,100000,87.75
GEO-RAINFALL_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,26.11,index,valid,synthetic_geo,21.38,103.02,100000,87.08
GEO-RAINFALL_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,30.76,index,valid,synthetic_geo,21.38,103.02,100000,96.14
GEO-RAINFALL_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,42.11,index,valid,synthetic_geo,21.38,103.02,100000,90.41
GEO-RAINFALL_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,55.79,index,valid,synthetic_geo,21.38,103.02,100000,88.85
GEO-RAINFALL_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,31.82,index,valid,synthetic_geo,21.38,103.02,100000,90.52
GEO-RAINFALL_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,47.24,index,valid,synthetic_geo,21.38,103.02,100000,95.54
GEO-RAINFALL_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,66.84,index,valid,synthetic_geo,21.38,103.02,100000,91.15
GEO-RAINFALL_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,60.55,index,valid,synthetic_geo,21.38,103.02,100000,95.09
GEO-RAINFALL_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,39.89,index,valid,synthetic_geo,21.38,103.02,100000,97.5
GEO-RAINFALL_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,59.75,index,valid,synthetic_geo,21.38,103.02,100000,96.35
GEO-RAINFALL_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,42.53,index,valid,synthetic_geo,21.38,103.02,100000,96.27
GEO-RAINFALL_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,58.76,index,valid,synthetic_geo,21.38,103.02,100000,92.51
GEO-RAINFALL_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.36,index,valid,synthetic_geo,21.38,103.02,100000,97.11
GEO-RAINFALL_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,49.29,index,valid,synthetic_geo,21.38,103.02,100000,97.67
GEO-RAINFALL_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,80.9,index,valid,synthetic_geo,21.38,103.02,100000,89.74
GEO-RAINFALL_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,73.34,index,valid,synthetic_geo,21.38,103.02,100000,97.58
GEO-RAINFALL_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,23.42,index,valid,synthetic_geo,21.38,103.02,100000,90.55
GEO-RAINFALL_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,77.14,index,valid,synthetic_geo,21.38,103.02,100000,87.8
GEO-RAINFALL_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,69.68,index,valid,synthetic_geo,21.33,103.91,125000,91.43
GEO-RAINFALL_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,76.18,index,valid,synthetic_geo,21.33,103.91,125000,87.14
GEO-RAINFALL_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,37.78,index,valid,synthetic_geo,21.33,103.91,125000,92.77
GEO-RAINFALL_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,64.52,index,valid,synthetic_geo,21.33,103.91,125000,92.28
GEO-RAINFALL_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,49.98,index,valid,synthetic_geo,21.33,103.91,125000,95.52
GEO-RAINFALL_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,17.24,index,valid,synthetic_geo,21.33,103.91,125000,90.23
GEO-RAINFALL_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,73.56,index,valid,synthetic_geo,21.33,103.91,125000,98.67
GEO-RAINFALL_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,26.02,index,valid,synthetic_geo,21.33,103.91,125000,91.51
GEO-RAINFALL_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,31.45,index,valid,synthetic_geo,21.33,103.91,125000,85.92
GEO-RAINFALL_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,39.71,index,valid,synthetic_geo,21.33,103.91,125000,89.14
GEO-RAINFALL_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,26.09,index,valid,synthetic_geo,21.33,103.91,125000,97.53
GEO-RAINFALL_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,49.25,index,valid,synthetic_geo,21.33,103.91,125000,98.88
GEO-RAINFALL_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,66.03,index,valid,synthetic_geo,21.33,103.91,125000,98.36
GEO-RAINFALL_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,18.88,index,valid,synthetic_geo,21.33,103.91,125000,98.49
GEO-RAINFALL_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,71.94,index,valid,synthetic_geo,21.33,103.91,125000,91.32
GEO-RAINFALL_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,63.94,index,valid,synthetic_geo,21.33,103.91,125000,94.11
GEO-RAINFALL_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,71.4,index,valid,synthetic_geo,21.33,103.91,125000,94.9
GEO-RAINFALL_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,58.16,index,valid,synthetic_geo,21.33,103.91,125000,95.69
GEO-RAINFALL_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,55.65,index,valid,synthetic_geo,21.33,103.91,125000,88.0
GEO-RAINFALL_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,48.46,index,valid,synthetic_geo,21.33,103.91,125000,97.87
GEO-RAINFALL_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,46.6,index,valid,synthetic_geo,21.33,103.91,125000,91.02
GEO-RAINFALL_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,82.27,index,valid,synthetic_geo,21.33,103.91,125000,93.63
GEO-RAINFALL_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,39.17,index,valid,synthetic_geo,21.33,103.91,125000,89.8
GEO-RAINFALL_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,39.44,index,valid,synthetic_geo,21.33,103.91,125000,91.8
GEO-RAINFALL_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,77.01,index,valid,synthetic_geo,21.33,103.91,125000,86.76
GEO-RAINFALL_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,60.66,index,valid,synthetic_geo,21.33,103.91,125000,87.49
GEO-RAINFALL_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,43.63,index,valid,synthetic_geo,21.33,103.91,125000,91.59
GEO-RAINFALL_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,33.97,index,valid,synthetic_geo,21.33,103.91,125000,93.62
GEO-RAINFALL_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,18.83,index,valid,synthetic_geo,21.33,103.91,125000,92.93
GEO-RAINFALL_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,57.67,index,valid,synthetic_geo,21.33,103.91,125000,88.59
GEO-RAINFALL_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,34.65,index,valid,synthetic_geo,21.33,103.91,125000,89.15
GEO-RAINFALL_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,28.32,index,valid,synthetic_geo,21.33,103.91,125000,95.09
GEO-RAINFALL_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,57.53,index,valid,synthetic_geo,21.33,103.91,125000,86.51
GEO-RAINFALL_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,34.21,index,valid,synthetic_geo,21.33,103.91,125000,91.78
GEO-RAINFALL_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,82.39,index,valid,synthetic_geo,21.33,103.91,125000,94.63
GEO-RAINFALL_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,16.11,index,valid,synthetic_geo,21.33,103.91,125000,85.29
GEO-RAINFALL_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,19.86,index,valid,synthetic_geo,21.33,103.91,125000,93.68
GEO-RAINFALL_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,72.07,index,valid,synthetic_geo,21.33,103.91,125000,94.64
GEO-RAINFALL_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,84.83,index,valid,synthetic_geo,21.33,103.91,125000,92.24
GEO-RAINFALL_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,52.59,index,valid,synthetic_geo,21.33,103.91,125000,85.35
GEO-RAINFALL_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,22.38,index,valid,synthetic_geo,21.33,103.91,125000,94.92
GEO-RAINFALL_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,32.79,index,valid,synthetic_geo,21.33,103.91,125000,85.31
GEO-RAINFALL_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,73.3,index,valid,synthetic_geo,21.33,103.91,125000,86.38
GEO-RAINFALL_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,16.89,index,valid,synthetic_geo,21.33,103.91,125000,92.87
GEO-RAINFALL_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,18.94,index,valid,synthetic_geo,21.33,103.91,125000,91.52
GEO-RAINFALL_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,57.55,index,degraded,synthetic_geo,21.33,103.91,125000,91.48
GEO-RAINFALL_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,44.56,index,valid,synthetic_geo,21.33,103.91,125000,87.68
GEO-RAINFALL_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,64.38,index,valid,synthetic_geo,21.33,103.91,125000,94.28
GEO-RAINFALL_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,51.26,index,valid,synthetic_geo,21.33,103.91,125000,95.17
GEO-RAINFALL_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,77.21,index,valid,synthetic_geo,21.33,103.91,125000,93.62
GEO-RAINFALL_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,83.13,index,valid,synthetic_geo,21.33,103.91,125000,97.8
GEO-RAINFALL_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,84.77,index,valid,synthetic_geo,21.33,103.91,125000,86.78
GEO-RAINFALL_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,39.49,index,valid,synthetic_geo,21.33,103.91,125000,90.37
GEO-RAINFALL_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,29.09,index,valid,synthetic_geo,21.33,103.91,125000,98.07
GEO-RAINFALL_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,35.45,index,valid,synthetic_geo,21.33,103.91,125000,89.4
GEO-RAINFALL_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,26.38,index,valid,synthetic_geo,21.33,103.91,125000,98.64
GEO-RAINFALL_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,77.18,index,valid,synthetic_geo,21.33,103.91,125000,91.82
GEO-RAINFALL_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,40.12,index,valid,synthetic_geo,21.33,103.91,125000,85.23
GEO-RAINFALL_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,68.93,index,valid,synthetic_geo,21.33,103.91,125000,96.2
GEO-RAINFALL_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,62.83,index,valid,synthetic_geo,21.33,103.91,125000,86.28
GEO-RAINFALL_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,25.62,index,valid,synthetic_geo,21.33,103.91,125000,87.94
GEO-RAINFALL_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,72.26,index,valid,synthetic_geo,21.33,103.91,125000,86.87
GEO-RAINFALL_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,51.35,index,valid,synthetic_geo,21.33,103.91,125000,92.33
GEO-RAINFALL_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,46.74,index,valid,synthetic_geo,21.33,103.91,125000,91.25
GEO-RAINFALL_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,70.91,index,valid,synthetic_geo,21.33,103.91,125000,91.58
GEO-RAINFALL_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,39.32,index,valid,synthetic_geo,21.33,103.91,125000,95.37
GEO-RAINFALL_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,31.74,index,valid,synthetic_geo,21.33,103.91,125000,98.07
GEO-RAINFALL_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,83.7,index,valid,synthetic_geo,21.33,103.91,125000,88.94
GEO-RAINFALL_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,41.22,index,valid,synthetic_geo,21.33,103.91,125000,92.91
GEO-RAINFALL_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,58.2,index,valid,synthetic_geo,21.33,103.91,125000,87.53
GEO-RAINFALL_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,38.11,index,valid,synthetic_geo,21.33,103.91,125000,89.75
GEO-RAINFALL_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,25.37,index,valid,synthetic_geo,21.33,103.91,125000,98.68
GEO-RAINFALL_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,39.61,index,valid,synthetic_geo,9.18,105.15,150000,89.12
GEO-RAINFALL_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,56.86,index,valid,synthetic_geo,9.18,105.15,150000,88.98
GEO-RAINFALL_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,50.5,index,valid,synthetic_geo,9.18,105.15,150000,86.82
GEO-RAINFALL_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,41.97,index,valid,synthetic_geo,9.18,105.15,150000,96.69
GEO-RAINFALL_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,67.01,index,valid,synthetic_geo,9.18,105.15,150000,86.36
GEO-RAINFALL_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,77.24,index,valid,synthetic_geo,9.18,105.15,150000,92.7
GEO-RAINFALL_HOURLY-02-06,LOC003,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,46.73,index,valid,synthetic_geo,9.18,105.15,150000,98.38
GEO-RAINFALL_HOURLY-02-07,LOC003,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,84.13,index,valid,synthetic_geo,9.18,105.15,150000,88.58
GEO-RAINFALL_HOURLY-02-08,LOC003,CMU,KV3,active,2026-08-18-08,2026-08-18 08:00:00,30.6,index,valid,synthetic_geo,9.18,105.15,150000,95.11
