temperature_hourly_id,location_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,latitude,longitude,population_est,coverage_pct
GEO-TEMPERATURE_HOURLY-00-12,LOC001,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,82.21,index,valid,synthetic_geo,21.38,103.02,100000,96.53
GEO-TEMPERATURE_HOURLY-00-13,LOC001,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,69.74,index,valid,synthetic_geo,21.38,103.02,100000,91.81
GEO-TEMPERATURE_HOURLY-00-14,LOC001,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,78.36,index,valid,synthetic_geo,21.38,103.02,100000,96.51
GEO-TEMPERATURE_HOURLY-00-15,LOC001,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,84.19,index,valid,synthetic_geo,21.38,103.02,100000,87.66
GEO-TEMPERATURE_HOURLY-00-16,LOC001,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,26.62,index,valid,synthetic_geo,21.38,103.02,100000,90.44
GEO-TEMPERATURE_HOURLY-00-17,LOC001,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,76.63,index,valid,synthetic_geo,21.38,103.02,100000,87.77
GEO-TEMPERATURE_HOURLY-00-18,LOC001,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,24.52,index,valid,synthetic_geo,21.38,103.02,100000,95.24
GEO-TEMPERATURE_HOURLY-00-19,LOC001,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,47.23,index,valid,synthetic_geo,21.38,103.02,100000,87.36
GEO-TEMPERATURE_HOURLY-00-20,LOC001,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,50.55,index,valid,synthetic_geo,21.38,103.02,100000,98.76
GEO-TEMPERATURE_HOURLY-00-21,LOC001,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,72.97,index,valid,synthetic_geo,21.38,103.02,100000,92.61
GEO-TEMPERATURE_HOURLY-00-22,LOC001,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,60.08,index,valid,synthetic_geo,21.38,103.02,100000,90.67
GEO-TEMPERATURE_HOURLY-00-23,LOC001,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,56.37,index,valid,synthetic_geo,21.38,103.02,100000,97.36
GEO-TEMPERATURE_HOURLY-00-24,LOC001,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,41.81,index,valid,synthetic_geo,21.38,103.02,100000,85.19
GEO-TEMPERATURE_HOURLY-00-25,LOC001,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,22.41,index,valid,synthetic_geo,21.38,103.02,100000,85.64
GEO-TEMPERATURE_HOURLY-00-26,LOC001,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,40.99,index,valid,synthetic_geo,21.38,103.02,100000,93.36
GEO-TEMPERATURE_HOURLY-00-27,LOC001,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,32.64,index,degraded,synthetic_geo,21.38,103.02,100000,93.47
GEO-TEMPERATURE_HOURLY-00-28,LOC001,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,17.37,index,valid,synthetic_geo,21.38,103.02,100000,95.98
GEO-TEMPERATURE_HOURLY-00-29,LOC001,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.76,index,valid,synthetic_geo,21.38,103.02,100000,96.18
GEO-TEMPERATURE_HOURLY-00-30,LOC001,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,28.88,index,valid,synthetic_geo,21.38,103.02,100000,98.18
GEO-TEMPERATURE_HOURLY-00-31,LOC001,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,76.52,index,valid,synthetic_geo,21.38,103.02,100000,85.14
GEO-TEMPERATURE_HOURLY-00-32,LOC001,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,58.05,index,valid,synthetic_geo,21.38,103.02,100000,95.67
GEO-TEMPERATURE_HOURLY-00-33,LOC001,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,42.01,index,valid,synthetic_geo,21.38,103.02,100000,92.27
GEO-TEMPERATURE_HOURLY-00-34,LOC001,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,26.25,index,valid,synthetic_geo,21.38,103.02,100000,97.43
GEO-TEMPERATURE_HOURLY-00-35,LOC001,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,83.49,index,valid,synthetic_geo,21.38,103.02,100000,95.75
GEO-TEMPERATURE_HOURLY-00-36,LOC001,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,71.4,index,valid,synthetic_geo,21.38,103.02,100000,97.39
GEO-TEMPERATURE_HOURLY-00-37,LOC001,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,67.22,index,valid,synthetic_geo,21.38,103.02,100000,86.18
GEO-TEMPERATURE_HOURLY-00-38,LOC001,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,39.15,index,valid,synthetic_geo,21.38,103.02,100000,96.52
GEO-TEMPERATURE_HOURLY-00-39,LOC001,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,56.81,index,valid,synthetic_geo,21.38,103.02,100000,89.13
GEO-TEMPERATURE_HOURLY-00-40,LOC001,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,38.8,index,valid,synthetic_geo,21.38,103.02,100000,87.47
GEO-TEMPERATURE_HOURLY-00-41,LOC001,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,82.97,index,valid,synthetic_geo,21.38,103.02,100000,95.64
GEO-TEMPERATURE_HOURLY-00-42,LOC001,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,51.42,index,valid,synthetic_geo,21.38,103.02,100000,95.3
GEO-TEMPERATURE_HOURLY-00-43,LOC001,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,59.22,index,valid,synthetic_geo,21.38,103.02,100000,86.2
GEO-TEMPERATURE_HOURLY-00-44,LOC001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,25.51,index,valid,synthetic_geo,21.38,103.02,100000,90.24
GEO-TEMPERATURE_HOURLY-00-45,LOC001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,81.75,index,valid,synthetic_geo,21.38,103.02,100000,98.88
GEO-TEMPERATURE_HOURLY-00-46,LOC001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,69.75,index,valid,synthetic_geo,21.38,103.02,100000,89.95
GEO-TEMPERATURE_HOURLY-00-47,LOC001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,40.19,index,valid,synthetic_geo,21.38,103.02,100000,95.28
GEO-TEMPERATURE_HOURLY-00-48,LOC001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.39,index,valid,synthetic_geo,21.38,103.02,100000,93.46
GEO-TEMPERATURE_HOURLY-00-49,LOC001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,29.47,index,valid,synthetic_geo,21.38,103.02,100000,85.97
GEO-TEMPERATURE_HOURLY-00-50,LOC001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,30.71,index,valid,synthetic_geo,21.38,103.02,100000,87.48
GEO-TEMPERATURE_HOURLY-00-51,LOC001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,44.38,index,valid,synthetic_geo,21.38,103.02,100000,97.56
GEO-TEMPERATURE_HOURLY-00-52,LOC001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,26.25,index,valid,synthetic_geo,21.38,103.02,100000,97.67
GEO-TEMPERATURE_HOURLY-00-53,LOC001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,63.11,index,valid,synthetic_geo,21.38,103.02,100000,94.47
GEO-TEMPERATURE_HOURLY-00-54,LOC001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,80.42,index,valid,synthetic_geo,21.38,103.02,100000,88.74
GEO-TEMPERATURE_HOURLY-00-55,LOC001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,83.85,index,valid,synthetic_geo,21.38,103.02,100000,86.79
GEO-TEMPERATURE_HOURLY-00-56,LOC001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,25.0,index,valid,synthetic_geo,21.38,103.02,100000,85.31
GEO-TEMPERATURE_HOURLY-00-57,LOC001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,21.1,index,valid,synthetic_geo,21.38,103.02,100000,92.31
GEO-TEMPERATURE_HOURLY-00-58,LOC001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,68.26,index,valid,synthetic_geo,21.38,103.02,100000,85.58
GEO-TEMPERATURE_HOURLY-00-59,LOC001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,72.58,index,valid,synthetic_geo,21.38,103.02,100000,87.17
GEO-TEMPERATURE_HOURLY-00-60,LOC001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,45.02,index,valid,synthetic_geo,21.38,103.02,100000,88.59
GEO-TEMPERATURE_HOURLY-00-61,LOC001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,76.56,index,valid,synthetic_geo,21.38,103.02,100000,85.97
GEO-TEMPERATURE_HOURLY-00-62,LOC001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,25.76,index,valid,synthetic_geo,21.38,103.02,100000,86.66
GEO-TEMPERATURE_HOURLY-00-63,LOC001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,65.49,index,valid,synthetic_geo,21.38,103.02,100000,94.56
GEO-TEMPERATURE_HOURLY-00-64,LOC001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,24.52,index,valid,synthetic_geo,21.38,103.02,100000,88.48
GEO-TEMPERATURE_HOURLY-00-65,LOC001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,62.79,index,valid,synthetic_geo,21.38,103.02,100000,94.2
GEO-TEMPERATURE_HOURLY-00-66,LOC001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,55.58,index,valid,synthetic_geo,21.38,103.02,100000,92.66
GEO-TEMPERATURE_HOURLY-00-67,LOC001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,34.98,index,valid,synthetic_geo,21.38,103.02,100000,96.27
GEO-TEMPERATURE_HOURLY-00-68,LOC001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,49.51,index,valid,synthetic_geo,21.38,103.02,100000,89.47
GEO-TEMPERATURE_HOURLY-00-69,LOC001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,70.99,index,valid,synthetic_geo,21.38,103.02,100000,97.25
GEO-TEMPERATURE_HOURLY-00-70,LOC001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,33.77,index,valid,synthetic_geo,21.38,103.02,100000,95.7
GEO-TEMPERATURE_HOURLY-00-71,LOC001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,77.13,index,valid,synthetic_geo,21.38,103.02,100000,92.26
GEO-TEMPERATURE_HOURLY-01-00,LOC002,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.85,index,valid,synthetic_geo,21.33,103.91,125000,97.63
GEO-TEMPERATURE_HOURLY-01-01,LOC002,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,84.73,index,valid,synthetic_geo,21.33,103.91,125000,90.74
GEO-TEMPERATURE_HOURLY-01-02,LOC002,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,74.35,index,valid,synthetic_geo,21.33,103.91,125000,92.19
GEO-TEMPERATURE_HOURLY-01-03,LOC002,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,38.28,index,valid,synthetic_geo,21.33,103.91,125000,92.28
GEO-TEMPERATURE_HOURLY-01-04,LOC002,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,48.14,index,valid,synthetic_geo,21.33,103.91,125000,98.17
GEO-TEMPERATURE_HOURLY-01-05,LOC002,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,42.8,index,valid,synthetic_geo,21.33,103.91,125000,98.28
GEO-TEMPERATURE_HOURLY-01-06,LOC002,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,78.32,index,valid,synthetic_geo,21.33,103.91,125000,89.08
GEO-TEMPERATURE_HOURLY-01-07,LOC002,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,84.4,index,valid,synthetic_geo,21.33,103.91,125000,90.89
GEO-TEMPERATURE_HOURLY-01-08,LOC002,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,28.94,index,valid,synthetic_geo,21.33,103.91,125000,96.7
GEO-TEMPERATURE_HOURLY-01-09,LOC002,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,40.76,index,valid,synthetic_geo,21.33,103.91,125000,93.29
GEO-TEMPERATURE_HOURLY-01-10,LOC002,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,40.76,index,valid,synthetic_geo,21.33,103.91,125000,87.46
GEO-TEMPERATURE_HOURLY-01-11,LOC002,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,25.8,index,valid,synthetic_geo,21.33,103.91,125000,96.7
GEO-TEMPERATURE_HOURLY-01-12,LOC002,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,45.22,index,valid,synthetic_geo,21.33,103.91,125000,98.91
GEO-TEMPERATURE_HOURLY-01-13,LOC002,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,21.32,index,valid,synthetic_geo,21.33,103.91,125000,89.56
GEO-TEMPERATURE_HOURLY-01-14,LOC002,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,70.79,index,valid,synthetic_geo,21.33,103.91,125000,87.68
GEO-TEMPERATURE_HOURLY-01-15,LOC002,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,23.83,index,valid,synthetic_geo,21.33,103.91,125000,95.58
GEO-TEMPERATURE_HOURLY-01-16,LOC002,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,29.58,index,valid,synthetic_geo,21.33,103.91,125000,86.3
GEO-TEMPERATURE_HOURLY-01-17,LOC002,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,31.51,index,valid,synthetic_geo,21.33,103.91,125000,92.25
GEO-TEMPERATURE_HOURLY-01-18,LOC002,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,39.26,index,valid,synthetic_geo,21.33,103.91,125000,85.7
GEO-TEMPERATURE_HOURLY-01-19,LOC002,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,33.08,index,valid,synthetic_geo,21.33,103.91,125000,88.52
GEO-TEMPERATURE_HOURLY-01-20,LOC002,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,52.61,index,valid,synthetic_geo,21.33,103.91,125000,94.61
GEO-TEMPERATURE_HOURLY-01-21,LOC002,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,62.53,index,valid,synthetic_geo,21.33,103.91,125000,93.94
GEO-TEMPERATURE_HOURLY-01-22,LOC002,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,45.49,index,valid,synthetic_geo,21.33,103.91,125000,91.41
GEO-TEMPERATURE_HOURLY-01-23,LOC002,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,75.51,index,valid,synthetic_geo,21.33,103.91,125000,85.77
GEO-TEMPERATURE_HOURLY-01-24,LOC002,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,19.86,index,valid,synthetic_geo,21.33,103.91,125000,92.89
GEO-TEMPERATURE_HOURLY-01-25,LOC002,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,63.16,index,valid,synthetic_geo,21.33,103.91,125000,96.46
GEO-TEMPERATURE_HOURLY-01-26,LOC002,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,64.43,index,valid,synthetic_geo,21.33,103.91,125000,98.5
GEO-TEMPERATURE_HOURLY-01-27,LOC002,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,39.36,index,valid,synthetic_geo,21.33,103.91,125000,90.89
GEO-TEMPERATURE_HOURLY-01-28,LOC002,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,30.33,index,valid,synthetic_geo,21.33,103.91,125000,87.8
GEO-TEMPERATURE_HOURLY-01-29,LOC002,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,56.17,index,valid,synthetic_geo,21.33,103.91,125000,95.94
GEO-TEMPERATURE_HOURLY-01-30,LOC002,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,51.11,index,valid,synthetic_geo,21.33,103.91,125000,96.12
GEO-TEMPERATURE_HOURLY-01-31,LOC002,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,29.22,index,valid,synthetic_geo,21.33,103.91,125000,97.25
GEO-TEMPERATURE_HOURLY-01-32,LOC002,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,73.94,index,valid,synthetic_geo,21.33,103.91,125000,94.05
GEO-TEMPERATURE_HOURLY-01-33,LOC002,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,23.62,index,valid,synthetic_geo,21.33,103.91,125000,87.18
GEO-TEMPERATURE_HOURLY-01-34,LOC002,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,23.33,index,valid,synthetic_geo,21.33,103.91,125000,98.15
GEO-TEMPERATURE_HOURLY-01-35,LOC002,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,34.05,index,valid,synthetic_geo,21.33,103.91,125000,85.23
GEO-TEMPERATURE_HOURLY-01-36,LOC002,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,65.0,index,valid,synthetic_geo,21.33,103.91,125000,93.93
GEO-TEMPERATURE_HOURLY-01-37,LOC002,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,35.95,index,valid,synthetic_geo,21.33,103.91,125000,91.44
GEO-TEMPERATURE_HOURLY-01-38,LOC002,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,63.1,index,valid,synthetic_geo,21.33,103.91,125000,90.6
GEO-TEMPERATURE_HOURLY-01-39,LOC002,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,15.04,index,valid,synthetic_geo,21.33,103.91,125000,91.76
GEO-TEMPERATURE_HOURLY-01-40,LOC002,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,37.65,index,valid,synthetic_geo,21.33,103.91,125000,97.78
GEO-TEMPERATURE_HOURLY-01-41,LOC002,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,19.8,index,valid,synthetic_geo,21.33,103.91,125000,89.57
GEO-TEMPERATURE_HOURLY-01-42,LOC002,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,51.19,index,valid,synthetic_geo,21.33,103.91,125000,96.3
GEO-TEMPERATURE_HOURLY-01-43,LOC002,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,47.29,index,valid,synthetic_geo,21.33,103.91,125000,93.81
GEO-TEMPERATURE_HOURLY-01-44,LOC002,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,66.39,index,valid,synthetic_geo,21.33,103.91,125000,94.22
GEO-TEMPERATURE_HOURLY-01-45,LOC002,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,31.78,index,degraded,synthetic_geo,21.33,103.91,125000,96.37
GEO-TEMPERATURE_HOURLY-01-46,LOC002,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,26.86,index,valid,synthetic_geo,21.33,103.91,125000,88.39
GEO-TEMPERATURE_HOURLY-01-47,LOC002,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,78.25,index,valid,synthetic_geo,21.33,103.91,125000,95.42
GEO-TEMPERATURE_HOURLY-01-48,LOC002,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,42.03,index,valid,synthetic_geo,21.33,103.91,125000,86.62
GEO-TEMPERATURE_HOURLY-01-49,LOC002,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,66.84,index,valid,synthetic_geo,21.33,103.91,125000,86.74
GEO-TEMPERATURE_HOURLY-01-50,LOC002,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,56.2,index,valid,synthetic_geo,21.33,103.91,125000,95.07
GEO-TEMPERATURE_HOURLY-01-51,LOC002,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,37.41,index,valid,synthetic_geo,21.33,103.91,125000,87.33
GEO-TEMPERATURE_HOURLY-01-52,LOC002,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,29.31,index,valid,synthetic_geo,21.33,103.91,125000,93.1
GEO-TEMPERATURE_HOURLY-01-53,LOC002,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,70.36,index,valid,synthetic_geo,21.33,103.91,125000,92.86
GEO-TEMPERATURE_HOURLY-01-54,LOC002,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,83.24,index,valid,synthetic_geo,21.33,103.91,125000,87.75
GEO-TEMPERATURE_HOURLY-01-55,LOC002,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,33.61,index,valid,synthetic_geo,21.33,103.91,125000,94.25
GEO-TEMPERATURE_HOURLY-01-56,LOC002,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,33.36,index,valid,synthetic_geo,21.33,103.91,125000,90.22
GEO-TEMPERATURE_HOURLY-01-57,LOC002,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,71.69,index,valid,synthetic_geo,21.33,103.91,125000,89.68
GEO-TEMPERATURE_HOURLY-01-58,LOC002,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,75.63,index,valid,synthetic_geo,21.33,103.91,125000,91.25
GEO-TEMPERATURE_HOURLY-01-59,LOC002,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,29.06,index,valid,synthetic_geo,21.33,103.91,125000,97.71
GEO-TEMPERATURE_HOURLY-01-60,LOC002,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.87,index,valid,synthetic_geo,21.33,103.91,125000,87.88
GEO-TEMPERATURE_HOURLY-01-61,LOC002,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,32.82,index,valid,synthetic_geo,21.33,103.91,125000,95.26
GEO-TEMPERATURE_HOURLY-01-62,LOC002,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,56.47,index,valid,synthetic_geo,21.33,103.91,125000,90.74
GEO-TEMPERATURE_HOURLY-01-63,LOC002,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,46.48,index,valid,synthetic_geo,21.33,103.91,125000,95.09
GEO-TEMPERATURE_HOURLY-01-64,LOC002,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,35.64,index,valid,synthetic_geo,21.33,103.91,125000,90.58
GEO-TEMPERATURE_HOURLY-01-65,LOC002,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,20.56,index,valid,synthetic_geo,21.33,103.91,125000,85.75
GEO-TEMPERATURE_HOURLY-01-66,LOC002,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,40.88,index,valid,synthetic_geo,21.33,103.91,125000,97.67
GEO-TEMPERATURE_HOURLY-01-67,LOC002,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,17.35,index,valid,synthetic_geo,21.33,103.91,125000,93.39
GEO-TEMPERATURE_HOURLY-01-68,LOC002,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.82,index,valid,synthetic_geo,21.33,103.91,125000,88.64
GEO-TEMPERATURE_HOURLY-01-69,LOC002,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,80.85,index,valid,synthetic_geo,21.33,103.91,125000,95.66
GEO-TEMPERATURE_HOURLY-01-70,LOC002,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,70.98,index,valid,synthetic_geo,21.33,103.91,125000,88.95
GEO-TEMPERATURE_HOURLY-01-71,LOC002,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,59.25,index,valid,synthetic_geo,21.33,103.91,125000,88.15
GEO-TEMPERATURE_HOURLY-02-00,LOC003,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,70.0,index,valid,synthetic_geo,9.18,105.15,150000,90.24
GEO-TEMPERATURE_HOURLY-02-01,LOC003,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,35.92,index,valid,synthetic_geo,9.18,105.15,150000,94.06
GEO-TEMPERATURE_HOURLY-02-02,LOC003,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,43.6,index,valid,synthetic_geo,9.18,105.15,150000,97.2
GEO-TEMPERATURE_HOURLY-02-03,LOC003,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,30.8,index,valid,synthetic_geo,9.18,105.15,150000,90.35
GEO-TEMPERATURE_HOURLY-02-04,LOC003,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,35.92,index,valid,synthetic_geo,9.18,105.15,150000,93.86
GEO-TEMPERATURE_HOURLY-02-05,LOC003,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,49.52,index,valid,synthetic_geo,9.18,105.15,150000,85.9
