microwave_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-MICROWAVE_HOURLY-00-11,ST0101,DBN,KV1,active,2026-08-18-11,2026-08-18 11:00:00,16.38,index,valid,synthetic_transport,1000,74.5,2.46,0.05
TRANSPORT-MICROWAVE_HOURLY-00-12,ST0101,DBN,KV1,active,2026-08-18-12,2026-08-18 12:00:00,47.97,index,valid,synthetic_transport,1000,55.29,12.01,0.05
TRANSPORT-MICROWAVE_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,84.43,index,valid,synthetic_transport,1000,53.96,14.57,0.05
TRANSPORT-MICROWAVE_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,75.75,index,valid,synthetic_transport,1000,73.01,10.54,0.05
TRANSPORT-MICROWAVE_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,71.97,index,valid,synthetic_transport,1000,58.42,7.02,0.05
TRANSPORT-MICROWAVE_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,83.81,index,valid,synthetic_transport,1000,47.44,5.49,0.05
TRANSPORT-MICROWAVE_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,38.04,index,valid,synthetic_transport,1000,69.49,11.95,0.05
TRANSPORT-MICROWAVE_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,78.64,index,valid,synthetic_transport,1000,72.1,9.67,0.05
TRANSPORT-MICROWAVE_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,35.79,index,valid,synthetic_transport,1000,36.33,13.65,0.05
TRANSPORT-MICROWAVE_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,42.96,index,valid,synthetic_transport,1000,47.02,3.34,0.05
TRANSPORT-MICROWAVE_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,24.11,index,valid,synthetic_transport,1000,59.53,5.07,0.05
TRANSPORT-MICROWAVE_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,81.47,index,valid,synthetic_transport,1000,36.71,9.06,0.05
TRANSPORT-MICROWAVE_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,84.51,index,valid,synthetic_transport,1000,62.25,4.93,0.05
TRANSPORT-MICROWAVE_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,42.53,index,valid,synthetic_transport,1000,37.4,12.57,0.05
TRANSPORT-MICROWAVE_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,31.62,index,valid,synthetic_transport,1000,44.52,7.9,0.05
TRANSPORT-MICROWAVE_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,66.02,index,valid,synthetic_transport,1000,28.3,14.53,0.05
TRANSPORT-MICROWAVE_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,107.9,index,degraded,synthetic_transport,1000,40.87,38.95,2.5
TRANSPORT-MICROWAVE_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,70.14,index,valid,synthetic_transport,1000,48.38,12.86,0.05
TRANSPORT-MICROWAVE_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,60.77,index,valid,synthetic_transport,1000,27.28,10.09,0.05
TRANSPORT-MICROWAVE_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,33.89,index,valid,synthetic_transport,1000,54.94,8.2,0.05
TRANSPORT-MICROWAVE_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,65.14,index,valid,synthetic_transport,1000,36.76,2.84,0.05
TRANSPORT-MICROWAVE_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,68.69,index,valid,synthetic_transport,1000,28.77,11.75,0.05
TRANSPORT-MICROWAVE_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,39.57,index,valid,synthetic_transport,1000,44.38,4.81,0.05
TRANSPORT-MICROWAVE_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.75,index,valid,synthetic_transport,1000,41.44,11.54,0.05
TRANSPORT-MICROWAVE_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,39.49,index,valid,synthetic_transport,1000,33.51,7.79,0.05
TRANSPORT-MICROWAVE_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,73.16,index,valid,synthetic_transport,1000,39.54,4.33,0.05
TRANSPORT-MICROWAVE_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,58.71,index,valid,synthetic_transport,1000,44.73,7.15,0.05
TRANSPORT-MICROWAVE_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,45.69,index,valid,synthetic_transport,1000,40.15,2.57,0.05
TRANSPORT-MICROWAVE_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,57.42,index,valid,synthetic_transport,1000,48.25,12.59,0.05
TRANSPORT-MICROWAVE_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,39.91,index,valid,synthetic_transport,1000,26.51,6.83,0.05
TRANSPORT-MICROWAVE_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,71.39,index,valid,synthetic_transport,1000,44.67,11.0,0.05
TRANSPORT-MICROWAVE_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,39.76,index,valid,synthetic_transport,1000,42.02,14.9,0.05
TRANSPORT-MICROWAVE_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,41.37,index,valid,synthetic_transport,1000,43.16,2.19,0.05
TRANSPORT-MICROWAVE_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,78.58,index,valid,synthetic_transport,1000,63.41,14.26,0.05
TRANSPORT-MICROWAVE_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,79.07,index,valid,synthetic_transport,1000,66.18,3.49,0.05
TRANSPORT-MICROWAVE_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,76.75,index,valid,synthetic_transport,1000,39.12,7.29,0.05
TRANSPORT-MICROWAVE_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,45.05,index,valid,synthetic_transport,1000,29.55,12.96,0.05
TRANSPORT-MICROWAVE_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,82.73,index,valid,synthetic_transport,1000,68.12,13.2,0.05
TRANSPORT-MICROWAVE_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,43.37,index,valid,synthetic_transport,1000,37.48,5.25,0.05
TRANSPORT-MICROWAVE_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,28.73,index,valid,synthetic_transport,1000,74.15,8.77,0.05
TRANSPORT-MICROWAVE_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,71.29,index,valid,synthetic_transport,1000,31.62,13.17,0.05
TRANSPORT-MICROWAVE_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,77.82,index,valid,synthetic_transport,1000,59.57,10.55,0.05
TRANSPORT-MICROWAVE_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,67.46,index,valid,synthetic_transport,1000,52.44,12.56,0.05
TRANSPORT-MICROWAVE_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,82.16,index,valid,synthetic_transport,1000,33.61,3.84,0.05
TRANSPORT-MICROWAVE_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,24.35,index,valid,synthetic_transport,1000,69.48,4.58,0.05
TRANSPORT-MICROWAVE_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,29.97,index,valid,synthetic_transport,1000,54.78,11.51,0.05
TRANSPORT-MICROWAVE_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,28.64,index,valid,synthetic_transport,1000,43.56,5.58,0.05
TRANSPORT-MICROWAVE_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,21.22,index,valid,synthetic_transport,1000,29.39,3.26,0.05
TRANSPORT-MICROWAVE_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,63.61,index,valid,synthetic_transport,1000,61.25,7.98,0.05
TRANSPORT-MICROWAVE_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,26.37,index,valid,synthetic_transport,1000,34.33,13.47,0.05
TRANSPORT-MICROWAVE_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,21.18,index,valid,synthetic_transport,1000,38.48,5.03,0.05
TRANSPORT-MICROWAVE_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,54.92,index,valid,synthetic_transport,1000,60.74,5.07,0.05
TRANSPORT-MICROWAVE_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.83,index,valid,synthetic_transport,1000,39.4,2.93,0.05
TRANSPORT-MICROWAVE_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,81.28,index,valid,synthetic_transport,1000,36.63,12.85,0.05
TRANSPORT-MICROWAVE_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,83.71,index,valid,synthetic_transport,1000,27.64,5.85,0.05
TRANSPORT-MICROWAVE_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,33.21,index,valid,synthetic_transport,1000,74.14,4.32,0.05
TRANSPORT-MICROWAVE_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,38.53,index,valid,synthetic_transport,1000,56.57,10.09,0.05
TRANSPORT-MICROWAVE_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,82.87,index,valid,synthetic_transport,1000,55.22,5.59,0.05
TRANSPORT-MICROWAVE_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,33.62,index,valid,synthetic_transport,1000,39.24,5.08,0.05
TRANSPORT-MICROWAVE_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,46.33,index,valid,synthetic_transport,1000,35.62,8.93,0.05
TRANSPORT-MICROWAVE_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,43.19,index,valid,synthetic_transport,1000,59.25,13.91,0.05
TRANSPORT-MICROWAVE_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,72.55,index,valid,synthetic_transport,1000,51.42,9.64,0.05
TRANSPORT-MICROWAVE_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,24.86,index,valid,synthetic_transport,1000,52.17,5.09,0.05
TRANSPORT-MICROWAVE_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,38.29,index,valid,synthetic_transport,1000,52.13,14.96,0.05
TRANSPORT-MICROWAVE_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,19.13,index,valid,synthetic_transport,1000,55.39,2.91,0.05
TRANSPORT-MICROWAVE_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,42.32,index,valid,synthetic_transport,1000,69.47,9.71,0.05
TRANSPORT-MICROWAVE_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,63.75,index,valid,synthetic_transport,1000,65.98,7.6,0.05
TRANSPORT-MICROWAVE_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,58.07,index,valid,synthetic_transport,1000,54.23,11.99,0.05
TRANSPORT-MICROWAVE_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,18.71,index,valid,synthetic_transport,1000,53.9,2.72,0.05
TRANSPORT-MICROWAVE_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,78.58,index,valid,synthetic_transport,1000,51.22,14.7,0.05
TRANSPORT-MICROWAVE_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,64.33,index,valid,synthetic_transport,1000,31.52,9.54,0.05
TRANSPORT-MICROWAVE_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,64.04,index,valid,synthetic_transport,1000,55.71,9.73,0.05
TRANSPORT-MICROWAVE_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,29.29,index,valid,synthetic_transport,1000,30.26,7.76,0.05
TRANSPORT-MICROWAVE_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,57.06,index,valid,synthetic_transport,1000,63.07,12.74,0.05
TRANSPORT-MICROWAVE_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,17.05,index,valid,synthetic_transport,1000,42.85,12.87,0.05
TRANSPORT-MICROWAVE_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,60.5,index,valid,synthetic_transport,1000,66.62,2.03,0.05
TRANSPORT-MICROWAVE_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,68.09,index,valid,synthetic_transport,1000,37.31,10.34,0.05
TRANSPORT-MICROWAVE_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,77.22,index,valid,synthetic_transport,1000,26.4,7.03,0.05
TRANSPORT-MICROWAVE_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,49.58,index,valid,synthetic_transport,1000,30.05,10.27,0.05
TRANSPORT-MICROWAVE_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,77.99,index,valid,synthetic_transport,1000,41.21,5.02,0.05
TRANSPORT-MICROWAVE_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,25.4,index,valid,synthetic_transport,1000,34.54,12.88,0.05
TRANSPORT-MICROWAVE_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,35.32,index,valid,synthetic_transport,1000,47.12,3.05,0.05
TRANSPORT-MICROWAVE_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,60.07,index,valid,synthetic_transport,1000,61.09,9.35,0.05
TRANSPORT-MICROWAVE_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,46.4,index,valid,synthetic_transport,1000,44.65,6.95,0.05
TRANSPORT-MICROWAVE_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,22.63,index,valid,synthetic_transport,1000,58.7,3.55,0.05
TRANSPORT-MICROWAVE_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,20.38,index,valid,synthetic_transport,1000,43.17,9.93,0.05
TRANSPORT-MICROWAVE_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,55.87,index,valid,synthetic_transport,1000,72.46,13.32,0.05
TRANSPORT-MICROWAVE_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,56.09,index,valid,synthetic_transport,1000,68.43,5.69,0.05
TRANSPORT-MICROWAVE_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,80.98,index,valid,synthetic_transport,1000,49.57,14.97,0.05
TRANSPORT-MICROWAVE_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,80.34,index,valid,synthetic_transport,1000,42.08,4.17,0.05
TRANSPORT-MICROWAVE_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,58.26,index,valid,synthetic_transport,1000,51.47,14.77,0.05
TRANSPORT-MICROWAVE_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,82.53,index,valid,synthetic_transport,1000,65.94,9.25,0.05
TRANSPORT-MICROWAVE_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,38.4,index,valid,synthetic_transport,1000,55.05,14.07,0.05
TRANSPORT-MICROWAVE_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,18.62,index,valid,synthetic_transport,1000,53.48,4.48,0.05
TRANSPORT-MICROWAVE_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,69.39,index,valid,synthetic_transport,1000,59.79,10.54,0.05
TRANSPORT-MICROWAVE_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,74.44,index,valid,synthetic_transport,1000,72.46,12.44,0.05
TRANSPORT-MICROWAVE_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,74.37,index,valid,synthetic_transport,1000,59.35,9.7,0.05
TRANSPORT-MICROWAVE_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,17.11,index,valid,synthetic_transport,1000,48.25,2.28,0.05
TRANSPORT-MICROWAVE_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,47.71,index,valid,synthetic_transport,1000,37.11,8.89,0.05
TRANSPORT-MICROWAVE_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,50.09,index,valid,synthetic_transport,1000,40.69,11.01,0.05
TRANSPORT-MICROWAVE_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,74.6,index,valid,synthetic_transport,1000,50.79,8.49,0.05
TRANSPORT-MICROWAVE_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,24.26,index,valid,synthetic_transport,1000,25.68,5.07,0.05
TRANSPORT-MICROWAVE_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,63.12,index,valid,synthetic_transport,1000,40.52,2.94,0.05
TRANSPORT-MICROWAVE_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,76.78,index,valid,synthetic_transport,1000,44.54,14.66,0.05
TRANSPORT-MICROWAVE_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,79.88,index,valid,synthetic_transport,1000,53.61,7.05,0.05
TRANSPORT-MICROWAVE_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,47.35,index,valid,synthetic_transport,1000,57.94,6.0,0.05
TRANSPORT-MICROWAVE_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,91.26,index,degraded,synthetic_transport,1000,70.45,44.03,2.5
TRANSPORT-MICROWAVE_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,58.08,index,valid,synthetic_transport,1000,25.32,11.62,0.05
TRANSPORT-MICROWAVE_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,44.8,index,valid,synthetic_transport,1000,31.05,4.33,0.05
TRANSPORT-MICROWAVE_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,19.08,index,valid,synthetic_transport,1000,73.82,5.02,0.05
TRANSPORT-MICROWAVE_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,76.17,index,valid,synthetic_transport,1000,49.09,7.95,0.05
TRANSPORT-MICROWAVE_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,78.77,index,valid,synthetic_transport,1000,27.8,14.51,0.05
TRANSPORT-MICROWAVE_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,19.8,index,valid,synthetic_transport,1000,68.98,8.65,0.05
TRANSPORT-MICROWAVE_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,42.54,index,valid,synthetic_transport,1000,54.91,5.65,0.05
TRANSPORT-MICROWAVE_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,37.92,index,valid,synthetic_transport,1000,70.42,13.95,0.05
TRANSPORT-MICROWAVE_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,84.8,index,valid,synthetic_transport,1000,47.2,11.89,0.05
TRANSPORT-MICROWAVE_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,72.67,index,valid,synthetic_transport,1000,34.16,6.68,0.05
TRANSPORT-MICROWAVE_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,80.13,index,valid,synthetic_transport,1000,52.21,4.97,0.05
TRANSPORT-MICROWAVE_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,65.43,index,valid,synthetic_transport,1000,44.52,8.91,0.05
TRANSPORT-MICROWAVE_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,17.47,index,valid,synthetic_transport,1000,26.16,13.89,0.05
TRANSPORT-MICROWAVE_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,20.14,index,valid,synthetic_transport,1000,30.98,10.45,0.05
TRANSPORT-MICROWAVE_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,50.25,index,valid,synthetic_transport,1000,25.58,9.22,0.05
TRANSPORT-MICROWAVE_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,38.56,index,valid,synthetic_transport,1000,31.81,7.83,0.05
TRANSPORT-MICROWAVE_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,26.38,index,valid,synthetic_transport,1000,53.96,4.57,0.05
TRANSPORT-MICROWAVE_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,83.98,index,valid,synthetic_transport,1000,26.0,3.06,0.05
TRANSPORT-MICROWAVE_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,16.29,index,valid,synthetic_transport,1000,53.68,10.78,0.05
TRANSPORT-MICROWAVE_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,81.98,index,valid,synthetic_transport,1000,40.53,5.78,0.05
TRANSPORT-MICROWAVE_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,40.54,index,valid,synthetic_transport,1000,47.24,3.36,0.05
TRANSPORT-MICROWAVE_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,37.41,index,valid,synthetic_transport,1000,56.95,7.33,0.05
TRANSPORT-MICROWAVE_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,28.62,index,valid,synthetic_transport,1000,38.85,14.61,0.05
TRANSPORT-MICROWAVE_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,70.44,index,valid,synthetic_transport,1000,61.09,14.17,0.05
TRANSPORT-MICROWAVE_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,54.24,index,valid,synthetic_transport,1000,65.9,3.66,0.05
TRANSPORT-MICROWAVE_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,67.89,index,valid,synthetic_transport,1000,70.39,13.41,0.05
TRANSPORT-MICROWAVE_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,44.55,index,valid,synthetic_transport,1000,51.23,9.86,0.05
