optical_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-OPTICAL_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,84.15,index,valid,synthetic_transport,1000,43.77,12.77,0.05
TRANSPORT-OPTICAL_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,58.0,index,valid,synthetic_transport,1000,40.46,7.21,0.05
TRANSPORT-OPTICAL_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,38.52,index,valid,synthetic_transport,1000,59.25,12.99,0.05
TRANSPORT-OPTICAL_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,71.25,index,valid,synthetic_transport,1000,65.94,11.65,0.05
TRANSPORT-OPTICAL_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,39.94,index,valid,synthetic_transport,1000,46.67,14.15,0.05
TRANSPORT-OPTICAL_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,38.57,index,valid,synthetic_transport,1000,41.21,2.43,0.05
TRANSPORT-OPTICAL_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,64.08,index,valid,synthetic_transport,1000,71.94,4.5,0.05
TRANSPORT-OPTICAL_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,48.02,index,valid,synthetic_transport,1000,31.21,11.16,0.05
TRANSPORT-OPTICAL_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,24.23,index,valid,synthetic_transport,1000,73.02,7.49,0.05
TRANSPORT-OPTICAL_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,69.37,index,valid,synthetic_transport,1000,49.69,3.19,0.05
TRANSPORT-OPTICAL_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,40.91,index,valid,synthetic_transport,1000,67.51,6.29,0.05
TRANSPORT-OPTICAL_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,29.65,index,valid,synthetic_transport,1000,73.05,5.5,0.05
TRANSPORT-OPTICAL_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,65.81,index,valid,synthetic_transport,1000,68.11,10.12,0.05
TRANSPORT-OPTICAL_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,45.21,index,valid,synthetic_transport,1000,48.49,10.02,0.05
TRANSPORT-OPTICAL_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,27.95,index,valid,synthetic_transport,1000,38.88,8.6,0.05
TRANSPORT-OPTICAL_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,78.73,index,valid,synthetic_transport,1000,37.84,14.11,0.05
TRANSPORT-OPTICAL_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,84.82,index,valid,synthetic_transport,1000,40.17,8.65,0.05
TRANSPORT-OPTICAL_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,32.4,index,valid,synthetic_transport,1000,57.18,10.22,0.05
TRANSPORT-OPTICAL_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,21.16,index,valid,synthetic_transport,1000,58.86,13.43,0.05
TRANSPORT-OPTICAL_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,76.15,index,valid,synthetic_transport,1000,64.66,14.01,0.05
TRANSPORT-OPTICAL_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,37.2,index,valid,synthetic_transport,1000,72.49,4.62,0.05
TRANSPORT-OPTICAL_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,58.76,index,valid,synthetic_transport,1000,56.16,10.13,0.05
TRANSPORT-OPTICAL_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,42.47,index,valid,synthetic_transport,1000,63.58,3.62,0.05
TRANSPORT-OPTICAL_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,76.71,index,valid,synthetic_transport,1000,66.04,11.36,0.05
TRANSPORT-OPTICAL_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,82.19,index,valid,synthetic_transport,1000,53.6,3.57,0.05
TRANSPORT-OPTICAL_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,78.0,index,valid,synthetic_transport,1000,52.11,11.06,0.05
TRANSPORT-OPTICAL_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,47.65,index,valid,synthetic_transport,1000,63.96,3.4,0.05
TRANSPORT-OPTICAL_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,37.82,index,valid,synthetic_transport,1000,57.57,6.5,0.05
TRANSPORT-OPTICAL_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,59.8,index,valid,synthetic_transport,1000,36.89,9.51,0.05
TRANSPORT-OPTICAL_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,16.38,index,valid,synthetic_transport,1000,30.56,2.8,0.05
TRANSPORT-OPTICAL_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,55.3,index,valid,synthetic_transport,1000,67.27,2.93,0.05
TRANSPORT-OPTICAL_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,38.5,index,valid,synthetic_transport,1000,25.08,5.92,0.05
TRANSPORT-OPTICAL_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,34.09,index,valid,synthetic_transport,1000,72.52,3.19,0.05
TRANSPORT-OPTICAL_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,64.63,index,valid,synthetic_transport,1000,59.34,5.46,0.05
TRANSPORT-OPTICAL_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,67.14,index,valid,synthetic_transport,1000,65.85,11.46,0.05
TRANSPORT-OPTICAL_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,65.33,index,valid,synthetic_transport,1000,66.59,11.35,0.05
TRANSPORT-OPTICAL_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,32.47,index,valid,synthetic_transport,1000,74.82,12.11,0.05
TRANSPORT-OPTICAL_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,33.68,index,valid,synthetic_transport,1000,67.68,3.55,0.05
TRANSPORT-OPTICAL_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,74.37,index,valid,synthetic_transport,1000,36.56,7.83,0.05
TRANSPORT-OPTICAL_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,19.29,index,valid,synthetic_transport,1000,62.37,14.35,0.05
TRANSPORT-OPTICAL_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,35.44,index,valid,synthetic_transport,1000,58.68,10.67,0.05
TRANSPORT-OPTICAL_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,77.94,index,valid,synthetic_transport,1000,61.78,5.51,0.05
TRANSPORT-OPTICAL_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,54.13,index,valid,synthetic_transport,1000,32.37,6.26,0.05
TRANSPORT-OPTICAL_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,81.15,index,valid,synthetic_transport,1000,25.73,11.6,0.05
TRANSPORT-OPTICAL_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,52.13,index,valid,synthetic_transport,1000,29.64,3.41,0.05
TRANSPORT-OPTICAL_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,20.48,index,valid,synthetic_transport,1000,28.46,11.47,0.05
TRANSPORT-OPTICAL_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,58.24,index,valid,synthetic_transport,1000,64.86,9.12,0.05
TRANSPORT-OPTICAL_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,33.1,index,valid,synthetic_transport,1000,34.21,8.11,0.05
TRANSPORT-OPTICAL_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,21.55,index,valid,synthetic_transport,1000,55.23,2.28,0.05
TRANSPORT-OPTICAL_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.27,index,valid,synthetic_transport,1000,26.09,12.36,0.05
TRANSPORT-OPTICAL_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,51.12,index,valid,synthetic_transport,1000,30.85,13.14,0.05
TRANSPORT-OPTICAL_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.33,index,valid,synthetic_transport,1000,41.02,14.56,0.05
TRANSPORT-OPTICAL_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,74.7,index,valid,synthetic_transport,1000,56.79,5.1,0.05
TRANSPORT-OPTICAL_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,58.93,index,valid,synthetic_transport,1000,65.94,13.4,0.05
TRANSPORT-OPTICAL_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,38.63,index,valid,synthetic_transport,1000,48.63,10.36,0.05
TRANSPORT-OPTICAL_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,58.76,index,valid,synthetic_transport,1000,33.1,11.99,0.05
TRANSPORT-OPTICAL_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,18.77,index,valid,synthetic_transport,1000,43.78,8.21,0.05
TRANSPORT-OPTICAL_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,47.97,index,valid,synthetic_transport,1000,69.88,13.57,0.05
TRANSPORT-OPTICAL_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,21.13,index,valid,synthetic_transport,1000,55.12,13.85,0.05
TRANSPORT-OPTICAL_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,17.1,index,valid,synthetic_transport,1000,65.94,2.83,0.05
TRANSPORT-OPTICAL_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,72.97,index,degraded,synthetic_transport,1000,49.37,38.61,2.5
TRANSPORT-OPTICAL_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,62.57,index,valid,synthetic_transport,1000,71.16,8.54,0.05
TRANSPORT-OPTICAL_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,68.71,index,valid,synthetic_transport,1000,58.33,7.93,0.05
TRANSPORT-OPTICAL_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,35.64,index,valid,synthetic_transport,1000,72.96,14.91,0.05
TRANSPORT-OPTICAL_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,81.74,index,valid,synthetic_transport,1000,34.74,8.82,0.05
TRANSPORT-OPTICAL_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,25.31,index,valid,synthetic_transport,1000,72.3,11.88,0.05
TRANSPORT-OPTICAL_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,22.67,index,valid,synthetic_transport,1000,62.53,12.29,0.05
TRANSPORT-OPTICAL_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,22.83,index,valid,synthetic_transport,1000,48.08,3.89,0.05
TRANSPORT-OPTICAL_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,24.95,index,valid,synthetic_transport,1000,29.98,13.16,0.05
TRANSPORT-OPTICAL_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,22.62,index,valid,synthetic_transport,1000,42.83,5.53,0.05
TRANSPORT-OPTICAL_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,22.65,index,valid,synthetic_transport,1000,40.69,8.5,0.05
TRANSPORT-OPTICAL_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,58.3,index,valid,synthetic_transport,1000,66.62,3.65,0.05
TRANSPORT-OPTICAL_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,78.05,index,valid,synthetic_transport,1000,58.67,10.09,0.05
TRANSPORT-OPTICAL_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,39.54,index,valid,synthetic_transport,1000,56.48,2.91,0.05
TRANSPORT-OPTICAL_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,60.23,index,valid,synthetic_transport,1000,49.9,10.03,0.05
TRANSPORT-OPTICAL_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,57.6,index,valid,synthetic_transport,1000,60.39,6.93,0.05
TRANSPORT-OPTICAL_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,68.15,index,valid,synthetic_transport,1000,67.13,2.76,0.05
TRANSPORT-OPTICAL_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,41.97,index,valid,synthetic_transport,1000,30.29,12.95,0.05
TRANSPORT-OPTICAL_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,74.02,index,valid,synthetic_transport,1000,29.24,6.92,0.05
TRANSPORT-OPTICAL_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,39.74,index,valid,synthetic_transport,1000,33.16,12.15,0.05
TRANSPORT-OPTICAL_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,31.88,index,valid,synthetic_transport,1000,71.27,6.54,0.05
TRANSPORT-OPTICAL_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,71.8,index,valid,synthetic_transport,1000,74.0,14.21,0.05
TRANSPORT-OPTICAL_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,52.31,index,valid,synthetic_transport,1000,56.64,14.51,0.05
TRANSPORT-OPTICAL_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,34.43,index,valid,synthetic_transport,1000,65.84,7.07,0.05
TRANSPORT-OPTICAL_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,19.44,index,valid,synthetic_transport,1000,67.99,9.28,0.05
TRANSPORT-OPTICAL_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,65.3,index,valid,synthetic_transport,1000,61.56,4.23,0.05
TRANSPORT-OPTICAL_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,73.35,index,valid,synthetic_transport,1000,30.24,7.69,0.05
TRANSPORT-OPTICAL_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,25.77,index,valid,synthetic_transport,1000,69.49,3.66,0.05
TRANSPORT-OPTICAL_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,61.5,index,valid,synthetic_transport,1000,45.54,13.09,0.05
TRANSPORT-OPTICAL_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,21.07,index,valid,synthetic_transport,1000,26.07,13.29,0.05
