path_reroute_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-PATH_REROUTE_EVENT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,67.19,14.58,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,25.84,11.13,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,74.83,12.7,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,PATH_REROUTE_EVENT,major,failed,3600,synthetic_transport,1000,36.37,39.94,2.5
TRANSPORT-PATH_REROUTE_EVENT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,41.88,11.53,0.05
TRANSPORT-PATH_REROUTE_EVENT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,62.57,9.92,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,35.58,5.15,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,60.81,8.06,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,51.77,13.41,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,29.39,7.54,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,29.4,6.24,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,25.52,4.59,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,28.6,13.05,0.05
TRANSPORT-PATH_REROUTE_EVENT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,31.21,11.01,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,33.99,7.61,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,65.9,8.12,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,42.95,13.72,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,58.76,3.61,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,56.65,12.55,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,56.51,13.84,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,65.98,4.05,0.05
TRANSPORT-PATH_REROUTE_EVENT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,31.01,9.83,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,27.6,4.58,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,45.49,14.74,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,39.78,2.66,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,52.39,3.07,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,36.05,9.3,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,45.81,4.23,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,25.41,13.85,0.05
TRANSPORT-PATH_REROUTE_EVENT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,34.5,14.83,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,61.74,9.89,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,59.0,5.5,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,69.07,5.74,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,37.79,14.82,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,52.52,5.15,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,68.41,9.23,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,32.88,3.58,0.05
TRANSPORT-PATH_REROUTE_EVENT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,PATH_REROUTE_EVENT,info,success,60,synthetic_transport,1000,73.83,14.37,0.05
