link_alarm_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-LINK_ALARM-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,29.05,9.08,0.05
TRANSPORT-LINK_ALARM-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,53.72,9.02,0.05
TRANSPORT-LINK_ALARM-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,35.89,12.75,0.05
TRANSPORT-LINK_ALARM-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,26.56,13.72,0.05
TRANSPORT-LINK_ALARM-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,50.1,14.45,0.05
TRANSPORT-LINK_ALARM-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,63.66,13.57,0.05
TRANSPORT-LINK_ALARM-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,74.53,4.24,0.05
TRANSPORT-LINK_ALARM-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,49.71,9.19,0.05
TRANSPORT-LINK_ALARM-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,48.98,11.22,0.05
TRANSPORT-LINK_ALARM-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,73.23,13.63,0.05
TRANSPORT-LINK_ALARM-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,LINK_ALARM,info,success,60,synthetic_transport,1000,29.29,11.88,0.05
