port_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-PORT_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,61.83,index,valid,synthetic_transport,1000,60.48,8.74,0.05
TRANSPORT-PORT_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,64.2,index,valid,synthetic_transport,1000,67.0,9.6,0.05
TRANSPORT-PORT_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,41.56,index,valid,synthetic_transport,1000,42.5,11.56,0.05
TRANSPORT-PORT_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,65.5,index,valid,synthetic_transport,1000,43.21,12.57,0.05
TRANSPORT-PORT_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,92.67,index,degraded,synthetic_transport,1000,57.97,36.36,2.5
TRANSPORT-PORT_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,19.29,index,valid,synthetic_transport,1000,58.21,3.82,0.05
TRANSPORT-PORT_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,34.04,index,valid,synthetic_transport,1000,29.81,8.34,0.05
TRANSPORT-PORT_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,21.74,index,valid,synthetic_transport,1000,34.94,14.99,0.05
TRANSPORT-PORT_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,44.81,index,valid,synthetic_transport,1000,51.77,8.16,0.05
TRANSPORT-PORT_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,45.7,index,valid,synthetic_transport,1000,40.12,7.67,0.05
TRANSPORT-PORT_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,16.84,index,valid,synthetic_transport,1000,29.82,8.17,0.05
TRANSPORT-PORT_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,75.72,index,valid,synthetic_transport,1000,34.21,6.06,0.05
TRANSPORT-PORT_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,66.64,index,valid,synthetic_transport,1000,34.75,12.16,0.05
TRANSPORT-PORT_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,20.2,index,valid,synthetic_transport,1000,41.37,14.2,0.05
TRANSPORT-PORT_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,29.17,index,valid,synthetic_transport,1000,65.27,5.73,0.05
TRANSPORT-PORT_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,75.93,index,valid,synthetic_transport,1000,29.64,13.62,0.05
TRANSPORT-PORT_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,76.09,index,valid,synthetic_transport,1000,50.47,7.69,0.05
TRANSPORT-PORT_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,73.53,index,valid,synthetic_transport,1000,48.2,3.51,0.05
TRANSPORT-PORT_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,31.89,index,valid,synthetic_transport,1000,70.8,14.09,0.05
TRANSPORT-PORT_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,67.35,index,valid,synthetic_transport,1000,70.26,2.93,0.05
TRANSPORT-PORT_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,23.81,index,valid,synthetic_transport,1000,61.01,2.44,0.05
TRANSPORT-PORT_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,54.44,index,valid,synthetic_transport,1000,37.8,4.26,0.05
TRANSPORT-PORT_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,61.5,index,valid,synthetic_transport,1000,46.69,11.68,0.05
TRANSPORT-PORT_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,58.42,index,valid,synthetic_transport,1000,43.34,14.0,0.05
TRANSPORT-PORT_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,24.42,index,valid,synthetic_transport,1000,47.2,3.74,0.05
TRANSPORT-PORT_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,31.06,index,valid,synthetic_transport,1000,36.5,4.91,0.05
TRANSPORT-PORT_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,55.56,index,valid,synthetic_transport,1000,48.01,2.35,0.05
TRANSPORT-PORT_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,68.34,index,valid,synthetic_transport,1000,61.31,10.64,0.05
TRANSPORT-PORT_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,77.68,index,valid,synthetic_transport,1000,45.72,4.65,0.05
TRANSPORT-PORT_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,68.15,index,valid,synthetic_transport,1000,53.52,12.61,0.05
TRANSPORT-PORT_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,44.62,index,valid,synthetic_transport,1000,51.89,12.47,0.05
TRANSPORT-PORT_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,18.34,index,valid,synthetic_transport,1000,48.83,12.16,0.05
TRANSPORT-PORT_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,53.81,index,valid,synthetic_transport,1000,25.32,3.89,0.05
TRANSPORT-PORT_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,40.34,index,valid,synthetic_transport,1000,56.72,8.69,0.05
TRANSPORT-PORT_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,73.52,index,valid,synthetic_transport,1000,74.85,3.27,0.05
TRANSPORT-PORT_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,23.55,index,valid,synthetic_transport,1000,52.89,6.1,0.05
TRANSPORT-PORT_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,25.78,index,valid,synthetic_transport,1000,66.25,12.56,0.05
TRANSPORT-PORT_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,30.17,index,valid,synthetic_transport,1000,45.06,5.24,0.05
TRANSPORT-PORT_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,49.15,index,valid,synthetic_transport,1000,66.78,13.51,0.05
TRANSPORT-PORT_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,74.92,index,valid,synthetic_transport,1000,27.56,6.02,0.05
TRANSPORT-PORT_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,80.79,index,valid,synthetic_transport,1000,51.11,7.04,0.05
TRANSPORT-PORT_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,45.64,index,valid,synthetic_transport,1000,50.08,7.66,0.05
TRANSPORT-PORT_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,78.88,index,valid,synthetic_transport,1000,28.4,13.77,0.05
TRANSPORT-PORT_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,81.33,index,valid,synthetic_transport,1000,64.59,14.32,0.05
TRANSPORT-PORT_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,70.1,index,valid,synthetic_transport,1000,35.93,12.47,0.05
TRANSPORT-PORT_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,52.71,index,valid,synthetic_transport,1000,48.87,5.02,0.05
TRANSPORT-PORT_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,25.79,index,valid,synthetic_transport,1000,26.02,2.09,0.05
TRANSPORT-PORT_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,27.62,index,valid,synthetic_transport,1000,73.8,10.38,0.05
TRANSPORT-PORT_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,58.78,index,valid,synthetic_transport,1000,64.71,7.75,0.05
TRANSPORT-PORT_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,39.19,index,valid,synthetic_transport,1000,46.71,5.22,0.05
TRANSPORT-PORT_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,41.32,index,valid,synthetic_transport,1000,47.93,9.9,0.05
TRANSPORT-PORT_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,16.54,index,valid,synthetic_transport,1000,33.55,12.81,0.05
TRANSPORT-PORT_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,40.83,index,valid,synthetic_transport,1000,62.6,3.48,0.05
TRANSPORT-PORT_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,60.52,index,valid,synthetic_transport,1000,55.82,8.42,0.05
TRANSPORT-PORT_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,74.58,index,valid,synthetic_transport,1000,44.57,6.82,0.05
TRANSPORT-PORT_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.24,index,valid,synthetic_transport,1000,54.77,14.46,0.05
TRANSPORT-PORT_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,50.24,index,valid,synthetic_transport,1000,43.77,3.86,0.05
TRANSPORT-PORT_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,74.49,index,valid,synthetic_transport,1000,73.8,2.6,0.05
TRANSPORT-PORT_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,70.01,index,valid,synthetic_transport,1000,54.87,11.21,0.05
TRANSPORT-PORT_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,46.73,index,valid,synthetic_transport,1000,74.72,13.71,0.05
TRANSPORT-PORT_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,48.05,index,valid,synthetic_transport,1000,67.32,10.32,0.05
TRANSPORT-PORT_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,52.74,index,valid,synthetic_transport,1000,31.54,6.42,0.05
TRANSPORT-PORT_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,52.5,index,valid,synthetic_transport,1000,68.84,9.15,0.05
TRANSPORT-PORT_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,31.05,index,valid,synthetic_transport,1000,49.26,6.82,0.05
TRANSPORT-PORT_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,33.55,index,valid,synthetic_transport,1000,40.84,5.91,0.05
TRANSPORT-PORT_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,62.53,index,valid,synthetic_transport,1000,42.97,5.33,0.05
TRANSPORT-PORT_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,64.81,index,valid,synthetic_transport,1000,62.54,7.35,0.05
TRANSPORT-PORT_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,77.26,index,valid,synthetic_transport,1000,39.61,13.65,0.05
TRANSPORT-PORT_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,81.47,index,valid,synthetic_transport,1000,32.56,5.39,0.05
TRANSPORT-PORT_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,59.82,index,valid,synthetic_transport,1000,50.13,6.24,0.05
TRANSPORT-PORT_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,35.71,index,valid,synthetic_transport,1000,71.34,7.9,0.05
TRANSPORT-PORT_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,41.98,index,valid,synthetic_transport,1000,66.16,5.89,0.05
TRANSPORT-PORT_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.75,index,valid,synthetic_transport,1000,39.27,14.89,0.05
TRANSPORT-PORT_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,83.69,index,valid,synthetic_transport,1000,64.83,10.11,0.05
TRANSPORT-PORT_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,45.22,index,valid,synthetic_transport,1000,25.03,9.92,0.05
TRANSPORT-PORT_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,67.44,index,valid,synthetic_transport,1000,30.1,3.71,0.05
TRANSPORT-PORT_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,77.65,index,valid,synthetic_transport,1000,42.24,11.1,0.05
TRANSPORT-PORT_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,68.75,index,valid,synthetic_transport,1000,55.62,14.65,0.05
TRANSPORT-PORT_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,72.84,index,valid,synthetic_transport,1000,33.22,13.58,0.05
TRANSPORT-PORT_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,18.26,index,valid,synthetic_transport,1000,56.86,2.92,0.05
TRANSPORT-PORT_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,53.07,index,valid,synthetic_transport,1000,36.4,8.82,0.05
TRANSPORT-PORT_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,23.9,index,valid,synthetic_transport,1000,51.52,6.41,0.05
TRANSPORT-PORT_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,62.93,index,valid,synthetic_transport,1000,72.31,2.75,0.05
TRANSPORT-PORT_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,83.38,index,valid,synthetic_transport,1000,57.68,12.68,0.05
TRANSPORT-PORT_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,48.25,index,valid,synthetic_transport,1000,66.43,13.74,0.05
TRANSPORT-PORT_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,78.19,index,valid,synthetic_transport,1000,60.4,14.32,0.05
TRANSPORT-PORT_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,77.59,index,valid,synthetic_transport,1000,64.12,5.6,0.05
TRANSPORT-PORT_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,27.4,index,valid,synthetic_transport,1000,72.74,10.55,0.05
TRANSPORT-PORT_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,61.33,index,valid,synthetic_transport,1000,72.33,11.65,0.05
TRANSPORT-PORT_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,34.65,index,valid,synthetic_transport,1000,72.25,8.24,0.05
TRANSPORT-PORT_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,60.34,index,valid,synthetic_transport,1000,48.3,13.77,0.05
TRANSPORT-PORT_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,77.56,index,valid,synthetic_transport,1000,70.37,2.67,0.05
TRANSPORT-PORT_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.95,index,valid,synthetic_transport,1000,56.45,11.93,0.05
TRANSPORT-PORT_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,55.87,index,valid,synthetic_transport,1000,49.58,4.66,0.05
TRANSPORT-PORT_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,71.89,index,degraded,synthetic_transport,1000,60.54,37.8,2.5
TRANSPORT-PORT_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,52.05,index,valid,synthetic_transport,1000,25.0,14.29,0.05
TRANSPORT-PORT_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,17.66,index,valid,synthetic_transport,1000,50.85,12.33,0.05
TRANSPORT-PORT_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,49.97,index,valid,synthetic_transport,1000,70.32,10.52,0.05
TRANSPORT-PORT_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,70.91,index,valid,synthetic_transport,1000,44.4,3.67,0.05
TRANSPORT-PORT_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,26.05,index,valid,synthetic_transport,1000,36.6,9.95,0.05
TRANSPORT-PORT_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,62.66,index,valid,synthetic_transport,1000,39.63,4.54,0.05
TRANSPORT-PORT_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,31.1,index,valid,synthetic_transport,1000,27.26,4.53,0.05
TRANSPORT-PORT_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,30.56,index,valid,synthetic_transport,1000,36.11,13.04,0.05
TRANSPORT-PORT_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,81.12,index,valid,synthetic_transport,1000,43.99,10.98,0.05
TRANSPORT-PORT_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,83.23,index,valid,synthetic_transport,1000,59.21,10.15,0.05
TRANSPORT-PORT_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,55.4,index,valid,synthetic_transport,1000,36.25,3.5,0.05
TRANSPORT-PORT_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,48.59,index,valid,synthetic_transport,1000,57.59,12.41,0.05
TRANSPORT-PORT_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,58.97,index,valid,synthetic_transport,1000,38.32,2.97,0.05
TRANSPORT-PORT_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,39.33,index,valid,synthetic_transport,1000,70.14,10.19,0.05
TRANSPORT-PORT_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,73.97,index,valid,synthetic_transport,1000,31.32,10.8,0.05
TRANSPORT-PORT_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,28.3,index,valid,synthetic_transport,1000,57.01,7.49,0.05
TRANSPORT-PORT_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,67.71,index,valid,synthetic_transport,1000,71.37,10.22,0.05
TRANSPORT-PORT_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,80.75,index,valid,synthetic_transport,1000,64.34,6.43,0.05
TRANSPORT-PORT_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,77.81,index,valid,synthetic_transport,1000,63.86,2.29,0.05
TRANSPORT-PORT_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,57.24,index,valid,synthetic_transport,1000,42.36,12.87,0.05
TRANSPORT-PORT_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,29.29,index,valid,synthetic_transport,1000,60.43,2.45,0.05
TRANSPORT-PORT_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,15.52,index,valid,synthetic_transport,1000,63.31,2.14,0.05
TRANSPORT-PORT_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,76.84,index,valid,synthetic_transport,1000,67.01,8.75,0.05
TRANSPORT-PORT_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,17.02,index,valid,synthetic_transport,1000,61.68,10.17,0.05
TRANSPORT-PORT_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,76.08,index,valid,synthetic_transport,1000,31.79,7.41,0.05
TRANSPORT-PORT_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,31.18,index,valid,synthetic_transport,1000,55.32,14.07,0.05
TRANSPORT-PORT_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,58.22,index,valid,synthetic_transport,1000,56.18,3.65,0.05
TRANSPORT-PORT_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,19.87,index,valid,synthetic_transport,1000,67.88,5.53,0.05
TRANSPORT-PORT_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,53.85,index,valid,synthetic_transport,1000,34.11,11.71,0.05
TRANSPORT-PORT_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,18.68,index,valid,synthetic_transport,1000,67.5,9.95,0.05
TRANSPORT-PORT_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,18.33,index,valid,synthetic_transport,1000,56.42,11.93,0.05
TRANSPORT-PORT_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,68.97,index,valid,synthetic_transport,1000,57.34,4.76,0.05
TRANSPORT-PORT_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,82.66,index,valid,synthetic_transport,1000,61.81,9.44,0.05
