fiber_fault_event_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-FIBER_FAULT_EVENT-01-18,ST0202,SLA,KV1,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,66.13,10.13,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-27,ST0202,SLA,KV1,active,2026-08-19 03:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,54.77,4.77,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-36,ST0202,SLA,KV1,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,73.44,3.98,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,FIBER_FAULT_EVENT,major,failed,3600,synthetic_transport,1000,48.08,41.87,2.5
TRANSPORT-FIBER_FAULT_EVENT-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,57.61,6.02,0.05
TRANSPORT-FIBER_FAULT_EVENT-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,46.6,7.05,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,41.41,4.15,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,62.61,7.63,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,37.78,11.21,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,25.61,9.26,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,33.99,9.99,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,40.79,10.33,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,39.16,3.54,0.05
TRANSPORT-FIBER_FAULT_EVENT-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,70.93,5.47,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,73.54,12.63,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,69.54,7.01,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,30.89,6.27,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,58.41,10.51,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,62.41,8.59,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,64.3,2.98,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,55.61,4.47,0.05
TRANSPORT-FIBER_FAULT_EVENT-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,54.78,13.6,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,40.56,14.0,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,72.86,5.72,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,53.89,4.25,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,65.72,5.11,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,38.89,3.35,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,67.6,5.04,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,40.67,14.95,0.05
TRANSPORT-FIBER_FAULT_EVENT-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,72.4,7.46,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,66.33,4.89,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,36.56,8.01,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,73.12,4.04,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,59.06,12.17,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,42.61,8.04,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,30.49,13.4,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,61.3,14.77,0.05
TRANSPORT-FIBER_FAULT_EVENT-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,FIBER_FAULT_EVENT,info,success,60,synthetic_transport,1000,42.82,5.1,0.05
