bgp_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-BGP_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,47.38,index,valid,synthetic_transport,1000,70.34,4.6,0.05
TRANSPORT-BGP_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,68.37,index,valid,synthetic_transport,1000,70.1,7.63,0.05
TRANSPORT-BGP_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,53.3,index,valid,synthetic_transport,1000,66.43,5.59,0.05
TRANSPORT-BGP_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,56.76,index,valid,synthetic_transport,1000,52.97,2.14,0.05
TRANSPORT-BGP_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,62.58,index,valid,synthetic_transport,1000,38.01,2.16,0.05
TRANSPORT-BGP_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,62.42,index,valid,synthetic_transport,1000,55.37,6.23,0.05
TRANSPORT-BGP_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,80.95,index,valid,synthetic_transport,1000,43.91,14.12,0.05
TRANSPORT-BGP_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,52.98,index,valid,synthetic_transport,1000,47.68,2.29,0.05
TRANSPORT-BGP_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,82.75,index,valid,synthetic_transport,1000,67.96,12.25,0.05
TRANSPORT-BGP_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,58.57,index,valid,synthetic_transport,1000,38.24,10.28,0.05
TRANSPORT-BGP_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,26.3,index,valid,synthetic_transport,1000,56.0,2.11,0.05
TRANSPORT-BGP_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,49.11,index,valid,synthetic_transport,1000,35.33,2.56,0.05
TRANSPORT-BGP_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,21.36,index,valid,synthetic_transport,1000,38.94,14.5,0.05
TRANSPORT-BGP_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,18.75,index,valid,synthetic_transport,1000,73.63,10.26,0.05
TRANSPORT-BGP_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,27.85,index,valid,synthetic_transport,1000,27.42,13.88,0.05
TRANSPORT-BGP_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,26.38,index,valid,synthetic_transport,1000,43.29,8.3,0.05
TRANSPORT-BGP_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,55.43,index,valid,synthetic_transport,1000,69.2,3.99,0.05
TRANSPORT-BGP_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,55.66,index,valid,synthetic_transport,1000,63.67,5.51,0.05
TRANSPORT-BGP_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,66.31,index,valid,synthetic_transport,1000,38.79,9.43,0.05
TRANSPORT-BGP_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,22.91,index,valid,synthetic_transport,1000,61.62,3.94,0.05
TRANSPORT-BGP_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,70.73,index,valid,synthetic_transport,1000,30.81,6.27,0.05
TRANSPORT-BGP_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,79.99,index,valid,synthetic_transport,1000,54.68,2.24,0.05
TRANSPORT-BGP_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,82.97,index,valid,synthetic_transport,1000,67.82,7.66,0.05
TRANSPORT-BGP_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,29.09,index,valid,synthetic_transport,1000,41.26,3.09,0.05
TRANSPORT-BGP_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,67.19,index,valid,synthetic_transport,1000,57.2,8.59,0.05
TRANSPORT-BGP_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,52.61,index,valid,synthetic_transport,1000,46.36,14.67,0.05
TRANSPORT-BGP_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,21.6,index,valid,synthetic_transport,1000,25.79,6.68,0.05
TRANSPORT-BGP_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,35.74,index,valid,synthetic_transport,1000,48.2,7.34,0.05
TRANSPORT-BGP_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,49.69,index,valid,synthetic_transport,1000,48.99,6.03,0.05
TRANSPORT-BGP_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,22.64,index,valid,synthetic_transport,1000,54.69,14.78,0.05
TRANSPORT-BGP_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.6,index,valid,synthetic_transport,1000,32.99,14.79,0.05
TRANSPORT-BGP_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,53.32,index,valid,synthetic_transport,1000,66.2,12.24,0.05
TRANSPORT-BGP_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,29.4,index,valid,synthetic_transport,1000,35.07,7.7,0.05
TRANSPORT-BGP_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,59.89,index,valid,synthetic_transport,1000,54.38,14.89,0.05
TRANSPORT-BGP_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,67.98,index,valid,synthetic_transport,1000,46.85,4.34,0.05
TRANSPORT-BGP_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,52.1,index,valid,synthetic_transport,1000,65.22,3.31,0.05
TRANSPORT-BGP_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,45.03,index,valid,synthetic_transport,1000,32.14,12.3,0.05
TRANSPORT-BGP_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,46.09,index,valid,synthetic_transport,1000,56.65,4.38,0.05
TRANSPORT-BGP_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,58.48,index,valid,synthetic_transport,1000,53.7,11.38,0.05
TRANSPORT-BGP_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,18.76,index,valid,synthetic_transport,1000,50.17,4.17,0.05
TRANSPORT-BGP_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,16.47,index,valid,synthetic_transport,1000,29.13,11.6,0.05
TRANSPORT-BGP_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,48.01,index,valid,synthetic_transport,1000,73.3,12.83,0.05
TRANSPORT-BGP_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,26.16,index,valid,synthetic_transport,1000,67.52,5.81,0.05
TRANSPORT-BGP_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,21.32,index,valid,synthetic_transport,1000,31.08,13.34,0.05
TRANSPORT-BGP_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,51.97,index,valid,synthetic_transport,1000,31.29,14.02,0.05
TRANSPORT-BGP_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,54.65,index,valid,synthetic_transport,1000,59.76,11.67,0.05
TRANSPORT-BGP_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,31.41,index,valid,synthetic_transport,1000,34.38,14.08,0.05
TRANSPORT-BGP_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,62.57,index,valid,synthetic_transport,1000,43.78,6.51,0.05
TRANSPORT-BGP_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,27.33,index,valid,synthetic_transport,1000,63.17,11.25,0.05
TRANSPORT-BGP_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,58.03,index,valid,synthetic_transport,1000,41.91,6.91,0.05
TRANSPORT-BGP_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,79.67,index,valid,synthetic_transport,1000,38.72,4.39,0.05
TRANSPORT-BGP_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,58.29,index,valid,synthetic_transport,1000,51.7,2.82,0.05
TRANSPORT-BGP_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,39.99,index,valid,synthetic_transport,1000,64.83,3.81,0.05
TRANSPORT-BGP_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,77.2,index,valid,synthetic_transport,1000,56.87,11.61,0.05
TRANSPORT-BGP_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,77.64,index,valid,synthetic_transport,1000,39.46,12.59,0.05
TRANSPORT-BGP_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,60.84,index,valid,synthetic_transport,1000,26.63,3.36,0.05
TRANSPORT-BGP_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,68.77,index,valid,synthetic_transport,1000,68.38,14.42,0.05
TRANSPORT-BGP_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,40.59,index,valid,synthetic_transport,1000,61.37,11.34,0.05
TRANSPORT-BGP_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,79.27,index,valid,synthetic_transport,1000,44.42,14.62,0.05
TRANSPORT-BGP_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,63.97,index,valid,synthetic_transport,1000,55.38,8.67,0.05
TRANSPORT-BGP_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,84.84,index,valid,synthetic_transport,1000,29.12,3.38,0.05
TRANSPORT-BGP_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,45.02,index,valid,synthetic_transport,1000,29.69,6.99,0.05
TRANSPORT-BGP_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,35.02,index,valid,synthetic_transport,1000,74.09,4.89,0.05
TRANSPORT-BGP_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,25.87,index,valid,synthetic_transport,1000,32.56,11.0,0.05
TRANSPORT-BGP_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,40.87,index,valid,synthetic_transport,1000,29.25,8.15,0.05
TRANSPORT-BGP_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,46.88,index,valid,synthetic_transport,1000,71.43,13.81,0.05
TRANSPORT-BGP_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,81.3,index,valid,synthetic_transport,1000,33.72,7.97,0.05
TRANSPORT-BGP_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,71.09,index,valid,synthetic_transport,1000,45.18,8.75,0.05
TRANSPORT-BGP_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,29.92,index,valid,synthetic_transport,1000,35.38,10.64,0.05
TRANSPORT-BGP_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,26.34,index,valid,synthetic_transport,1000,25.1,5.19,0.05
TRANSPORT-BGP_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,37.53,index,valid,synthetic_transport,1000,59.67,9.17,0.05
TRANSPORT-BGP_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,76.04,index,valid,synthetic_transport,1000,35.14,12.13,0.05
TRANSPORT-BGP_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,53.06,index,valid,synthetic_transport,1000,70.42,7.28,0.05
TRANSPORT-BGP_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,51.48,index,valid,synthetic_transport,1000,37.76,14.91,0.05
TRANSPORT-BGP_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,60.5,index,valid,synthetic_transport,1000,62.07,14.44,0.05
TRANSPORT-BGP_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,64.41,index,valid,synthetic_transport,1000,72.69,7.75,0.05
TRANSPORT-BGP_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,57.81,index,valid,synthetic_transport,1000,56.49,9.07,0.05
TRANSPORT-BGP_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,53.62,index,valid,synthetic_transport,1000,34.49,3.78,0.05
TRANSPORT-BGP_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,78.5,index,valid,synthetic_transport,1000,65.73,3.62,0.05
TRANSPORT-BGP_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,63.52,index,valid,synthetic_transport,1000,65.17,4.59,0.05
TRANSPORT-BGP_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,78.73,index,valid,synthetic_transport,1000,58.85,11.77,0.05
TRANSPORT-BGP_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,73.1,index,valid,synthetic_transport,1000,36.64,7.81,0.05
TRANSPORT-BGP_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,20.69,index,valid,synthetic_transport,1000,72.03,7.83,0.05
TRANSPORT-BGP_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,54.92,index,valid,synthetic_transport,1000,65.01,2.57,0.05
TRANSPORT-BGP_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,42.45,index,valid,synthetic_transport,1000,56.52,8.8,0.05
TRANSPORT-BGP_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,65.89,index,degraded,synthetic_transport,1000,36.68,36.98,2.5
TRANSPORT-BGP_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,67.97,index,valid,synthetic_transport,1000,48.06,5.42,0.05
TRANSPORT-BGP_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,46.85,index,valid,synthetic_transport,1000,74.34,6.29,0.05
TRANSPORT-BGP_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,50.08,index,valid,synthetic_transport,1000,70.94,4.79,0.05
TRANSPORT-BGP_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,63.74,index,valid,synthetic_transport,1000,44.71,14.33,0.05
TRANSPORT-BGP_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,51.69,index,valid,synthetic_transport,1000,68.16,12.21,0.05
TRANSPORT-BGP_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,38.98,index,valid,synthetic_transport,1000,51.15,6.86,0.05
TRANSPORT-BGP_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,72.25,index,valid,synthetic_transport,1000,49.92,14.72,0.05
TRANSPORT-BGP_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,50.3,index,valid,synthetic_transport,1000,44.52,6.42,0.05
TRANSPORT-BGP_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,16.6,index,valid,synthetic_transport,1000,70.44,5.25,0.05
TRANSPORT-BGP_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,49.19,index,valid,synthetic_transport,1000,63.45,12.14,0.05
TRANSPORT-BGP_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,40.16,index,valid,synthetic_transport,1000,66.64,7.29,0.05
TRANSPORT-BGP_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,66.54,index,valid,synthetic_transport,1000,33.51,8.09,0.05
TRANSPORT-BGP_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,23.61,index,valid,synthetic_transport,1000,56.49,4.32,0.05
TRANSPORT-BGP_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,51.57,index,valid,synthetic_transport,1000,25.42,10.61,0.05
TRANSPORT-BGP_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,15.67,index,valid,synthetic_transport,1000,39.36,7.92,0.05
TRANSPORT-BGP_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,27.45,index,valid,synthetic_transport,1000,56.89,2.9,0.05
TRANSPORT-BGP_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,36.91,index,valid,synthetic_transport,1000,65.27,10.42,0.05
TRANSPORT-BGP_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,58.43,index,valid,synthetic_transport,1000,56.31,2.83,0.05
TRANSPORT-BGP_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,70.65,index,valid,synthetic_transport,1000,39.92,9.04,0.05
TRANSPORT-BGP_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,65.8,index,valid,synthetic_transport,1000,47.17,3.83,0.05
TRANSPORT-BGP_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,57.7,index,valid,synthetic_transport,1000,33.87,10.54,0.05
TRANSPORT-BGP_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,39.34,index,valid,synthetic_transport,1000,40.78,10.84,0.05
TRANSPORT-BGP_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,58.36,index,valid,synthetic_transport,1000,47.7,11.25,0.05
TRANSPORT-BGP_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,58.53,index,valid,synthetic_transport,1000,68.92,11.99,0.05
TRANSPORT-BGP_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,34.62,index,valid,synthetic_transport,1000,39.27,4.91,0.05
TRANSPORT-BGP_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,76.5,index,valid,synthetic_transport,1000,50.39,6.63,0.05
TRANSPORT-BGP_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,38.91,index,valid,synthetic_transport,1000,67.21,3.92,0.05
TRANSPORT-BGP_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,40.87,index,valid,synthetic_transport,1000,26.24,6.08,0.05
TRANSPORT-BGP_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,37.39,index,valid,synthetic_transport,1000,73.72,3.04,0.05
TRANSPORT-BGP_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,45.43,index,valid,synthetic_transport,1000,31.65,12.3,0.05
TRANSPORT-BGP_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,29.7,index,valid,synthetic_transport,1000,67.58,4.93,0.05
TRANSPORT-BGP_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,43.69,index,valid,synthetic_transport,1000,70.47,7.86,0.05
TRANSPORT-BGP_HOURLY-02-06,ST0301,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,45.95,index,valid,synthetic_transport,1000,27.3,14.0,0.05
