link_id,from_station_id,to_station_id,province_code,date_hour,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct,availability_pct,link_type,vendor,status
LINK04,ST0202,ST0301,SLA,2026-08-18-02,1000,40.72,8.52,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-02,1000,40.48,3.1,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-02,1000,47.65,8.7,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-02,1000,43.76,4.71,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-02,1000,40.5,4.87,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-02,1000,34.46,8.1,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-02,1000,60.16,8.64,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-02,1000,27.29,9.07,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-02,1000,50.11,5.49,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-03,1000,63.96,5.93,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-03,1000,64.18,3.63,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-03,1000,37.68,8.73,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-03,1000,27.05,7.19,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-03,1000,41.69,4.71,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-03,1000,57.56,6.93,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-03,1000,56.32,5.0,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-03,1000,30.27,7.71,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-03,1000,43.59,3.24,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-03,1000,42.8,6.84,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-03,1000,44.67,7.0,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-03,1000,57.76,4.16,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-04,1000,34.78,3.7,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-04,1000,28.75,4.31,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-04,1000,40.04,3.89,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-04,1000,40.59,2.73,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-04,1000,48.87,6.24,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-04,1000,31.75,2.78,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-04,1000,38.33,9.91,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-04,1000,37.83,5.54,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-04,1000,52.52,4.2,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-04,1000,27.58,9.52,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-04,1000,35.34,4.1,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-04,1000,40.9,3.74,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-05,1000,35.63,3.31,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-05,1000,63.36,5.01,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-05,1000,60.76,5.97,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-05,1000,47.84,3.42,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-05,1000,37.69,3.09,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-05,1000,35.73,9.49,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-05,1000,25.87,5.2,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-05,1000,36.86,6.06,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-05,1000,54.46,4.52,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-05,1000,35.17,4.0,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-05,1000,38.6,7.49,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-05,1000,28.47,7.51,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-06,1000,45.21,5.19,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-06,1000,49.84,9.01,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-06,1000,40.96,6.87,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-06,1000,32.95,2.51,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-06,1000,44.93,4.01,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-06,1000,58.35,5.96,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-06,1000,35.13,7.64,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-06,1000,40.15,7.55,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-06,1000,30.01,2.08,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-06,1000,35.21,5.21,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-06,1000,25.15,5.01,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-06,1000,57.94,6.13,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-07,1000,53.41,6.94,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-07,1000,35.38,4.98,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-07,1000,43.68,9.62,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-07,1000,51.39,7.23,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-07,1000,45.96,9.8,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-07,1000,44.97,6.58,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-07,1000,37.99,3.12,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-07,1000,44.37,4.53,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-07,1000,26.32,2.49,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-07,1000,60.19,4.44,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-07,1000,39.06,6.98,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-07,1000,61.64,9.36,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-08,1000,40.05,8.58,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-08,1000,26.51,5.55,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-08,1000,50.01,5.64,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-08,1000,36.47,4.77,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-08,1000,55.29,8.39,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-08,1000,40.44,5.83,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-08,1000,54.83,2.73,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-08,1000,49.66,5.33,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-08,1000,42.03,3.83,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-08,1000,52.41,3.19,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-08,1000,61.88,8.61,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-08,1000,60.98,4.94,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-09,1000,64.9,6.46,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-09,1000,32.68,9.2,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-09,1000,63.19,2.39,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-09,1000,31.44,8.64,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-09,1000,44.63,7.71,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-09,1000,27.59,4.44,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-09,1000,60.82,6.66,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-09,1000,30.7,9.88,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-09,1000,50.32,9.87,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-09,1000,28.52,2.65,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-09,1000,46.35,3.67,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-09,1000,51.3,9.62,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-10,1000,46.92,7.74,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-10,1000,55.9,7.42,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-10,1000,46.3,8.03,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-10,1000,64.68,9.04,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-10,1000,35.67,3.17,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-10,1000,50.31,5.32,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-10,1000,48.88,4.76,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-10,1000,26.64,9.39,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-10,1000,53.96,7.94,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-10,1000,33.06,8.97,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-10,1000,52.7,8.93,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-10,1000,53.78,8.94,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-11,1000,32.28,3.67,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-11,1000,28.53,4.42,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-11,1000,50.05,5.37,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-11,1000,34.77,6.1,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-11,1000,62.0,2.3,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-11,1000,49.34,2.79,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-11,1000,34.32,8.79,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-11,1000,41.97,9.67,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-11,1000,61.29,3.95,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-11,1000,55.23,7.39,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-11,1000,56.25,6.82,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-11,1000,52.9,3.04,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-12,1000,30.04,6.2,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-12,1000,30.84,5.2,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-12,1000,46.02,9.28,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-12,1000,46.49,8.9,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-12,1000,41.98,7.31,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-12,1000,32.47,5.42,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-12,1000,28.77,5.29,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-12,1000,52.79,2.36,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-12,1000,56.93,2.84,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-12,1000,44.26,7.03,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-12,1000,26.11,5.9,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-12,1000,35.1,4.57,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-13,1000,45.23,3.75,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-13,1000,40.16,7.82,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-13,1000,62.82,8.11,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-13,1000,42.49,2.19,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-13,1000,46.35,6.74,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-13,1000,51.43,8.54,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-13,1000,37.72,8.02,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-13,1000,28.77,7.44,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-13,1000,41.23,5.5,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-13,1000,45.62,3.92,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-13,1000,41.33,3.22,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-13,1000,33.06,4.01,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-14,1000,38.26,3.97,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-14,1000,37.8,7.96,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-14,1000,56.26,9.07,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-14,1000,41.99,3.09,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-14,1000,64.17,2.72,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-14,1000,51.99,4.23,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-14,1000,43.08,9.46,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-14,1000,44.09,5.68,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-14,1000,37.93,8.66,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-14,1000,47.22,2.72,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-14,1000,36.8,4.5,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-14,1000,39.76,9.73,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-15,1000,45.69,3.2,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-15,1000,58.81,8.99,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-15,1000,41.42,3.4,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-15,1000,48.44,2.78,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-15,1000,29.5,4.03,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-15,1000,45.84,7.24,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-15,1000,44.28,6.08,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-15,1000,40.6,8.65,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-15,1000,35.9,9.87,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-15,1000,56.87,4.08,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-15,1000,34.31,4.24,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-15,1000,44.34,9.14,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-16,1000,31.56,5.67,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-16,1000,25.33,4.17,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-16,1000,37.88,2.28,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-16,1000,55.84,6.37,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-16,1000,37.49,4.16,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-16,1000,61.12,2.61,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-16,1000,45.5,3.61,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-16,1000,27.64,3.73,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-16,1000,47.03,9.52,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-16,1000,64.63,4.76,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-16,1000,35.6,2.96,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-16,1000,46.4,5.28,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-17,1000,64.09,5.26,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-17,1000,60.19,4.18,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-17,1000,30.38,7.73,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-17,1000,62.49,7.88,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-17,1000,53.63,3.77,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-17,1000,55.55,2.75,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-17,1000,48.6,3.01,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-17,1000,28.06,5.43,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-17,1000,41.86,7.54,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-17,1000,25.99,4.46,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-17,1000,48.37,3.2,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-17,1000,39.66,5.56,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-18,1000,41.53,2.2,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-18,1000,35.1,6.04,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-18,1000,47.85,5.74,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-18,1000,40.38,9.23,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-18,1000,34.06,3.32,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-18,1000,43.8,8.04,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-18,1000,56.96,2.91,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-18,1000,61.86,6.96,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-18,1000,47.1,7.23,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-18,1000,62.09,4.76,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-18,1000,60.07,6.64,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-18,1000,51.88,6.25,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-19,1000,43.39,6.43,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-19,1000,45.53,7.63,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-19,1000,55.89,5.75,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-19,1000,52.61,6.95,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-19,1000,56.68,2.87,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-19,1000,48.26,3.71,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-19,1000,31.29,7.16,0.05,99.9,fiber,zte,up
LINK08,ST0402,ST0501,NBH,2026-08-18-19,1000,63.84,9.73,0.05,99.9,fiber,zte,up
LINK09,ST0501,ST0502,HCM,2026-08-18-19,1000,46.73,4.75,0.05,99.9,fiber,zte,up
LINK10,ST0502,ST0601,HCM,2026-08-18-19,1000,35.76,7.4,0.05,99.9,fiber,zte,up
LINK11,ST0601,ST0602,KHA,2026-08-18-19,1000,39.25,8.59,0.05,99.9,fiber,zte,up
LINK12,ST0602,ST0101,KHA,2026-08-18-19,1000,36.63,6.06,0.05,99.9,fiber,zte,up
LINK01,ST0101,ST0102,DBN,2026-08-18-20,1000,45.12,9.87,0.05,99.9,fiber,zte,up
LINK02,ST0102,ST0201,DBN,2026-08-18-20,1000,56.37,5.41,0.05,99.9,fiber,zte,up
LINK03,ST0201,ST0202,SLA,2026-08-18-20,1000,27.2,8.01,0.05,99.9,fiber,zte,up
LINK04,ST0202,ST0301,SLA,2026-08-18-20,1000,31.69,7.94,0.05,99.9,fiber,zte,up
LINK05,ST0301,ST0302,CMU,2026-08-18-20,1000,27.85,9.19,0.05,99.9,fiber,zte,up
LINK06,ST0302,ST0401,CMU,2026-08-18-20,1000,46.32,5.15,0.05,99.9,fiber,zte,up
LINK07,ST0401,ST0402,NBH,2026-08-18-20,1000,31.04,5.08,0.05,99.9,fiber,zte,up
