mpls_hourly_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,capacity_mbps,utilization_pct,latency_ms,packet_loss_pct
TRANSPORT-MPLS_HOURLY-00-13,ST0101,DBN,KV1,active,2026-08-18-13,2026-08-18 13:00:00,49.52,index,valid,synthetic_transport,1000,37.38,11.01,0.05
TRANSPORT-MPLS_HOURLY-00-14,ST0101,DBN,KV1,active,2026-08-18-14,2026-08-18 14:00:00,66.92,index,valid,synthetic_transport,1000,38.23,8.68,0.05
TRANSPORT-MPLS_HOURLY-00-15,ST0101,DBN,KV1,active,2026-08-18-15,2026-08-18 15:00:00,51.47,index,valid,synthetic_transport,1000,57.91,4.23,0.05
TRANSPORT-MPLS_HOURLY-00-16,ST0101,DBN,KV1,active,2026-08-18-16,2026-08-18 16:00:00,63.14,index,valid,synthetic_transport,1000,58.41,13.95,0.05
TRANSPORT-MPLS_HOURLY-00-17,ST0101,DBN,KV1,active,2026-08-18-17,2026-08-18 17:00:00,67.62,index,valid,synthetic_transport,1000,72.09,3.92,0.05
TRANSPORT-MPLS_HOURLY-00-18,ST0101,DBN,KV1,active,2026-08-18-18,2026-08-18 18:00:00,53.43,index,valid,synthetic_transport,1000,35.87,8.04,0.05
TRANSPORT-MPLS_HOURLY-00-19,ST0101,DBN,KV1,active,2026-08-18-19,2026-08-18 19:00:00,59.91,index,valid,synthetic_transport,1000,42.68,8.88,0.05
TRANSPORT-MPLS_HOURLY-00-20,ST0101,DBN,KV1,active,2026-08-18-20,2026-08-18 20:00:00,71.54,index,valid,synthetic_transport,1000,58.16,12.96,0.05
TRANSPORT-MPLS_HOURLY-00-21,ST0101,DBN,KV1,active,2026-08-18-21,2026-08-18 21:00:00,54.87,index,valid,synthetic_transport,1000,47.47,5.29,0.05
TRANSPORT-MPLS_HOURLY-00-22,ST0101,DBN,KV1,active,2026-08-18-22,2026-08-18 22:00:00,45.29,index,valid,synthetic_transport,1000,37.25,4.82,0.05
TRANSPORT-MPLS_HOURLY-00-23,ST0101,DBN,KV1,active,2026-08-18-23,2026-08-18 23:00:00,17.1,index,valid,synthetic_transport,1000,28.7,7.52,0.05
TRANSPORT-MPLS_HOURLY-00-24,ST0101,DBN,KV1,active,2026-08-19-00,2026-08-19 00:00:00,25.28,index,valid,synthetic_transport,1000,41.55,8.2,0.05
TRANSPORT-MPLS_HOURLY-00-25,ST0101,DBN,KV1,active,2026-08-19-01,2026-08-19 01:00:00,83.8,index,valid,synthetic_transport,1000,42.62,10.76,0.05
TRANSPORT-MPLS_HOURLY-00-26,ST0101,DBN,KV1,active,2026-08-19-02,2026-08-19 02:00:00,31.17,index,valid,synthetic_transport,1000,69.04,5.65,0.05
TRANSPORT-MPLS_HOURLY-00-27,ST0101,DBN,KV1,degraded,2026-08-19-03,2026-08-19 03:00:00,26.43,index,degraded,synthetic_transport,1000,56.2,42.31,2.5
TRANSPORT-MPLS_HOURLY-00-28,ST0101,DBN,KV1,active,2026-08-19-04,2026-08-19 04:00:00,41.19,index,valid,synthetic_transport,1000,56.84,5.8,0.05
TRANSPORT-MPLS_HOURLY-00-29,ST0101,DBN,KV1,active,2026-08-19-05,2026-08-19 05:00:00,59.9,index,valid,synthetic_transport,1000,51.45,12.22,0.05
TRANSPORT-MPLS_HOURLY-00-30,ST0101,DBN,KV1,active,2026-08-19-06,2026-08-19 06:00:00,28.1,index,valid,synthetic_transport,1000,58.9,12.99,0.05
TRANSPORT-MPLS_HOURLY-00-31,ST0101,DBN,KV1,active,2026-08-19-07,2026-08-19 07:00:00,48.02,index,valid,synthetic_transport,1000,31.88,6.11,0.05
TRANSPORT-MPLS_HOURLY-00-32,ST0101,DBN,KV1,active,2026-08-19-08,2026-08-19 08:00:00,18.2,index,valid,synthetic_transport,1000,33.0,5.34,0.05
TRANSPORT-MPLS_HOURLY-00-33,ST0101,DBN,KV1,active,2026-08-19-09,2026-08-19 09:00:00,17.23,index,valid,synthetic_transport,1000,38.71,12.54,0.05
TRANSPORT-MPLS_HOURLY-00-34,ST0101,DBN,KV1,active,2026-08-19-10,2026-08-19 10:00:00,42.76,index,valid,synthetic_transport,1000,35.97,4.67,0.05
TRANSPORT-MPLS_HOURLY-00-35,ST0101,DBN,KV1,active,2026-08-19-11,2026-08-19 11:00:00,74.56,index,valid,synthetic_transport,1000,68.18,5.42,0.05
TRANSPORT-MPLS_HOURLY-00-36,ST0101,DBN,KV1,active,2026-08-19-12,2026-08-19 12:00:00,42.06,index,valid,synthetic_transport,1000,44.85,9.15,0.05
TRANSPORT-MPLS_HOURLY-00-37,ST0101,DBN,KV1,active,2026-08-19-13,2026-08-19 13:00:00,35.47,index,valid,synthetic_transport,1000,73.23,12.82,0.05
TRANSPORT-MPLS_HOURLY-00-38,ST0101,DBN,KV1,active,2026-08-19-14,2026-08-19 14:00:00,19.91,index,valid,synthetic_transport,1000,55.25,5.53,0.05
TRANSPORT-MPLS_HOURLY-00-39,ST0101,DBN,KV1,active,2026-08-19-15,2026-08-19 15:00:00,42.09,index,valid,synthetic_transport,1000,58.21,10.39,0.05
TRANSPORT-MPLS_HOURLY-00-40,ST0101,DBN,KV1,active,2026-08-19-16,2026-08-19 16:00:00,65.88,index,valid,synthetic_transport,1000,39.61,5.58,0.05
TRANSPORT-MPLS_HOURLY-00-41,ST0101,DBN,KV1,active,2026-08-19-17,2026-08-19 17:00:00,56.71,index,valid,synthetic_transport,1000,62.59,14.6,0.05
TRANSPORT-MPLS_HOURLY-00-42,ST0101,DBN,KV1,active,2026-08-19-18,2026-08-19 18:00:00,18.1,index,valid,synthetic_transport,1000,39.89,14.77,0.05
TRANSPORT-MPLS_HOURLY-00-43,ST0101,DBN,KV1,active,2026-08-19-19,2026-08-19 19:00:00,81.52,index,valid,synthetic_transport,1000,32.2,13.62,0.05
TRANSPORT-MPLS_HOURLY-00-44,ST0101,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,33.83,index,valid,synthetic_transport,1000,25.78,8.39,0.05
TRANSPORT-MPLS_HOURLY-00-45,ST0101,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,58.08,index,valid,synthetic_transport,1000,51.66,5.66,0.05
TRANSPORT-MPLS_HOURLY-00-46,ST0101,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,50.81,index,valid,synthetic_transport,1000,27.01,11.01,0.05
TRANSPORT-MPLS_HOURLY-00-47,ST0101,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,20.51,index,valid,synthetic_transport,1000,45.63,4.52,0.05
TRANSPORT-MPLS_HOURLY-00-48,ST0101,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,74.23,index,valid,synthetic_transport,1000,61.91,14.76,0.05
TRANSPORT-MPLS_HOURLY-00-49,ST0101,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,42.27,index,valid,synthetic_transport,1000,29.51,11.93,0.05
TRANSPORT-MPLS_HOURLY-00-50,ST0101,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,77.21,index,valid,synthetic_transport,1000,35.1,13.65,0.05
TRANSPORT-MPLS_HOURLY-00-51,ST0101,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,55.56,index,valid,synthetic_transport,1000,43.8,6.85,0.05
TRANSPORT-MPLS_HOURLY-00-52,ST0101,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,61.51,index,valid,synthetic_transport,1000,30.53,8.59,0.05
TRANSPORT-MPLS_HOURLY-00-53,ST0101,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,46.46,index,valid,synthetic_transport,1000,38.61,12.4,0.05
TRANSPORT-MPLS_HOURLY-00-54,ST0101,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,33.22,index,valid,synthetic_transport,1000,36.88,5.53,0.05
TRANSPORT-MPLS_HOURLY-00-55,ST0101,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,39.7,index,valid,synthetic_transport,1000,69.05,8.36,0.05
TRANSPORT-MPLS_HOURLY-00-56,ST0101,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,81.3,index,valid,synthetic_transport,1000,49.39,2.81,0.05
TRANSPORT-MPLS_HOURLY-00-57,ST0101,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,73.58,index,valid,synthetic_transport,1000,49.19,11.44,0.05
TRANSPORT-MPLS_HOURLY-00-58,ST0101,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,45.83,index,valid,synthetic_transport,1000,53.24,3.44,0.05
TRANSPORT-MPLS_HOURLY-00-59,ST0101,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,64.23,index,valid,synthetic_transport,1000,73.94,14.78,0.05
TRANSPORT-MPLS_HOURLY-00-60,ST0101,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,15.81,index,valid,synthetic_transport,1000,64.42,9.99,0.05
TRANSPORT-MPLS_HOURLY-00-61,ST0101,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,60.99,index,valid,synthetic_transport,1000,64.44,6.94,0.05
TRANSPORT-MPLS_HOURLY-00-62,ST0101,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,44.86,index,valid,synthetic_transport,1000,37.63,8.29,0.05
TRANSPORT-MPLS_HOURLY-00-63,ST0101,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,39.55,index,valid,synthetic_transport,1000,49.84,13.72,0.05
TRANSPORT-MPLS_HOURLY-00-64,ST0101,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,21.54,index,valid,synthetic_transport,1000,26.33,10.06,0.05
TRANSPORT-MPLS_HOURLY-00-65,ST0101,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,49.82,index,valid,synthetic_transport,1000,51.03,7.21,0.05
TRANSPORT-MPLS_HOURLY-00-66,ST0101,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,48.42,index,valid,synthetic_transport,1000,63.16,7.18,0.05
TRANSPORT-MPLS_HOURLY-00-67,ST0101,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,18.85,index,valid,synthetic_transport,1000,51.75,2.44,0.05
TRANSPORT-MPLS_HOURLY-00-68,ST0101,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,52.59,index,valid,synthetic_transport,1000,73.5,4.77,0.05
TRANSPORT-MPLS_HOURLY-00-69,ST0101,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,22.66,index,valid,synthetic_transport,1000,46.77,11.42,0.05
TRANSPORT-MPLS_HOURLY-00-70,ST0101,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,52.78,index,valid,synthetic_transport,1000,33.04,12.57,0.05
TRANSPORT-MPLS_HOURLY-00-71,ST0101,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,69.47,index,valid,synthetic_transport,1000,40.41,11.53,0.05
TRANSPORT-MPLS_HOURLY-01-00,ST0202,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,77.68,index,valid,synthetic_transport,1000,70.92,7.85,0.05
TRANSPORT-MPLS_HOURLY-01-01,ST0202,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,69.72,index,valid,synthetic_transport,1000,46.83,11.68,0.05
TRANSPORT-MPLS_HOURLY-01-02,ST0202,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,38.73,index,valid,synthetic_transport,1000,53.67,10.86,0.05
TRANSPORT-MPLS_HOURLY-01-03,ST0202,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,68.23,index,valid,synthetic_transport,1000,58.9,14.77,0.05
TRANSPORT-MPLS_HOURLY-01-04,ST0202,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,41.93,index,valid,synthetic_transport,1000,57.9,10.61,0.05
TRANSPORT-MPLS_HOURLY-01-05,ST0202,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,41.75,index,valid,synthetic_transport,1000,55.69,10.66,0.05
TRANSPORT-MPLS_HOURLY-01-06,ST0202,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,44.04,index,valid,synthetic_transport,1000,38.65,14.36,0.05
TRANSPORT-MPLS_HOURLY-01-07,ST0202,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,41.82,index,valid,synthetic_transport,1000,25.02,7.84,0.05
TRANSPORT-MPLS_HOURLY-01-08,ST0202,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,16.68,index,valid,synthetic_transport,1000,69.31,4.93,0.05
TRANSPORT-MPLS_HOURLY-01-09,ST0202,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,78.88,index,valid,synthetic_transport,1000,62.64,3.24,0.05
TRANSPORT-MPLS_HOURLY-01-10,ST0202,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,36.52,index,valid,synthetic_transport,1000,42.8,10.02,0.05
TRANSPORT-MPLS_HOURLY-01-11,ST0202,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,35.1,index,valid,synthetic_transport,1000,40.95,5.02,0.05
TRANSPORT-MPLS_HOURLY-01-12,ST0202,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,37.18,index,valid,synthetic_transport,1000,48.53,7.82,0.05
TRANSPORT-MPLS_HOURLY-01-13,ST0202,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,62.39,index,valid,synthetic_transport,1000,54.06,10.19,0.05
TRANSPORT-MPLS_HOURLY-01-14,ST0202,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,48.28,index,valid,synthetic_transport,1000,31.43,14.84,0.05
TRANSPORT-MPLS_HOURLY-01-15,ST0202,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,73.83,index,valid,synthetic_transport,1000,41.5,4.74,0.05
TRANSPORT-MPLS_HOURLY-01-16,ST0202,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,80.92,index,valid,synthetic_transport,1000,46.77,14.98,0.05
TRANSPORT-MPLS_HOURLY-01-17,ST0202,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,46.58,index,valid,synthetic_transport,1000,57.95,2.88,0.05
TRANSPORT-MPLS_HOURLY-01-18,ST0202,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,33.18,index,valid,synthetic_transport,1000,42.17,3.89,0.05
TRANSPORT-MPLS_HOURLY-01-19,ST0202,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,64.72,index,valid,synthetic_transport,1000,48.19,3.49,0.05
TRANSPORT-MPLS_HOURLY-01-20,ST0202,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,35.29,index,valid,synthetic_transport,1000,32.23,10.94,0.05
TRANSPORT-MPLS_HOURLY-01-21,ST0202,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,27.27,index,valid,synthetic_transport,1000,50.21,13.69,0.05
TRANSPORT-MPLS_HOURLY-01-22,ST0202,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,35.41,index,valid,synthetic_transport,1000,59.99,3.98,0.05
TRANSPORT-MPLS_HOURLY-01-23,ST0202,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,18.29,index,valid,synthetic_transport,1000,45.34,8.44,0.05
TRANSPORT-MPLS_HOURLY-01-24,ST0202,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,62.92,index,valid,synthetic_transport,1000,25.6,12.72,0.05
TRANSPORT-MPLS_HOURLY-01-25,ST0202,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,68.5,index,valid,synthetic_transport,1000,50.62,7.6,0.05
TRANSPORT-MPLS_HOURLY-01-26,ST0202,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,67.43,index,valid,synthetic_transport,1000,67.69,6.18,0.05
TRANSPORT-MPLS_HOURLY-01-27,ST0202,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,74.8,index,valid,synthetic_transport,1000,56.88,13.8,0.05
TRANSPORT-MPLS_HOURLY-01-28,ST0202,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,75.46,index,valid,synthetic_transport,1000,43.17,9.52,0.05
TRANSPORT-MPLS_HOURLY-01-29,ST0202,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,44.93,index,valid,synthetic_transport,1000,39.44,11.22,0.05
TRANSPORT-MPLS_HOURLY-01-30,ST0202,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,65.51,index,valid,synthetic_transport,1000,33.46,6.34,0.05
TRANSPORT-MPLS_HOURLY-01-31,ST0202,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,27.16,index,valid,synthetic_transport,1000,25.04,12.91,0.05
TRANSPORT-MPLS_HOURLY-01-32,ST0202,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,74.13,index,valid,synthetic_transport,1000,55.06,3.88,0.05
TRANSPORT-MPLS_HOURLY-01-33,ST0202,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,75.8,index,valid,synthetic_transport,1000,34.17,9.69,0.05
TRANSPORT-MPLS_HOURLY-01-34,ST0202,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,63.28,index,valid,synthetic_transport,1000,58.15,12.1,0.05
TRANSPORT-MPLS_HOURLY-01-35,ST0202,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,81.2,index,valid,synthetic_transport,1000,60.48,8.76,0.05
TRANSPORT-MPLS_HOURLY-01-36,ST0202,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,74.45,index,valid,synthetic_transport,1000,42.73,6.01,0.05
TRANSPORT-MPLS_HOURLY-01-37,ST0202,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,51.34,index,valid,synthetic_transport,1000,48.42,3.08,0.05
TRANSPORT-MPLS_HOURLY-01-38,ST0202,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,29.97,index,valid,synthetic_transport,1000,54.82,8.55,0.05
TRANSPORT-MPLS_HOURLY-01-39,ST0202,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,82.46,index,valid,synthetic_transport,1000,54.59,3.49,0.05
TRANSPORT-MPLS_HOURLY-01-40,ST0202,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,67.23,index,valid,synthetic_transport,1000,62.61,4.5,0.05
TRANSPORT-MPLS_HOURLY-01-41,ST0202,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,43.27,index,valid,synthetic_transport,1000,27.82,9.65,0.05
TRANSPORT-MPLS_HOURLY-01-42,ST0202,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,48.36,index,valid,synthetic_transport,1000,70.04,8.77,0.05
TRANSPORT-MPLS_HOURLY-01-43,ST0202,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,37.08,index,valid,synthetic_transport,1000,51.42,6.74,0.05
TRANSPORT-MPLS_HOURLY-01-44,ST0202,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,27.85,index,valid,synthetic_transport,1000,32.44,4.2,0.05
TRANSPORT-MPLS_HOURLY-01-45,ST0202,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,89.83,index,degraded,synthetic_transport,1000,58.78,43.59,2.5
TRANSPORT-MPLS_HOURLY-01-46,ST0202,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,58.41,index,valid,synthetic_transport,1000,31.26,4.08,0.05
TRANSPORT-MPLS_HOURLY-01-47,ST0202,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,75.32,index,valid,synthetic_transport,1000,34.92,10.5,0.05
TRANSPORT-MPLS_HOURLY-01-48,ST0202,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,19.48,index,valid,synthetic_transport,1000,31.02,2.56,0.05
TRANSPORT-MPLS_HOURLY-01-49,ST0202,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,27.41,index,valid,synthetic_transport,1000,46.19,13.5,0.05
TRANSPORT-MPLS_HOURLY-01-50,ST0202,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,45.48,index,valid,synthetic_transport,1000,38.05,4.48,0.05
TRANSPORT-MPLS_HOURLY-01-51,ST0202,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,32.19,index,valid,synthetic_transport,1000,39.51,3.64,0.05
TRANSPORT-MPLS_HOURLY-01-52,ST0202,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,46.6,index,valid,synthetic_transport,1000,26.68,5.95,0.05
TRANSPORT-MPLS_HOURLY-01-53,ST0202,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,22.1,index,valid,synthetic_transport,1000,42.22,3.18,0.05
TRANSPORT-MPLS_HOURLY-01-54,ST0202,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,74.57,index,valid,synthetic_transport,1000,52.55,10.77,0.05
TRANSPORT-MPLS_HOURLY-01-55,ST0202,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,40.42,index,valid,synthetic_transport,1000,41.52,14.02,0.05
TRANSPORT-MPLS_HOURLY-01-56,ST0202,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,63.92,index,valid,synthetic_transport,1000,26.11,8.94,0.05
TRANSPORT-MPLS_HOURLY-01-57,ST0202,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,56.86,index,valid,synthetic_transport,1000,55.63,4.55,0.05
TRANSPORT-MPLS_HOURLY-01-58,ST0202,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,76.75,index,valid,synthetic_transport,1000,60.55,2.29,0.05
TRANSPORT-MPLS_HOURLY-01-59,ST0202,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,54.58,index,valid,synthetic_transport,1000,50.04,6.8,0.05
TRANSPORT-MPLS_HOURLY-01-60,ST0202,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,83.34,index,valid,synthetic_transport,1000,74.75,8.65,0.05
TRANSPORT-MPLS_HOURLY-01-61,ST0202,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,65.41,index,valid,synthetic_transport,1000,28.13,7.92,0.05
TRANSPORT-MPLS_HOURLY-01-62,ST0202,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,31.91,index,valid,synthetic_transport,1000,66.19,14.25,0.05
TRANSPORT-MPLS_HOURLY-01-63,ST0202,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,61.35,index,valid,synthetic_transport,1000,61.14,11.24,0.05
TRANSPORT-MPLS_HOURLY-01-64,ST0202,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,69.18,index,valid,synthetic_transport,1000,30.37,7.15,0.05
TRANSPORT-MPLS_HOURLY-01-65,ST0202,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,66.74,index,valid,synthetic_transport,1000,66.71,12.77,0.05
TRANSPORT-MPLS_HOURLY-01-66,ST0202,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,68.67,index,valid,synthetic_transport,1000,28.76,7.7,0.05
TRANSPORT-MPLS_HOURLY-01-67,ST0202,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,78.67,index,valid,synthetic_transport,1000,38.73,2.75,0.05
TRANSPORT-MPLS_HOURLY-01-68,ST0202,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,40.62,index,valid,synthetic_transport,1000,32.85,3.01,0.05
TRANSPORT-MPLS_HOURLY-01-69,ST0202,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,57.13,index,valid,synthetic_transport,1000,29.8,2.45,0.05
TRANSPORT-MPLS_HOURLY-01-70,ST0202,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,36.85,index,valid,synthetic_transport,1000,63.91,12.61,0.05
TRANSPORT-MPLS_HOURLY-01-71,ST0202,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,15.68,index,valid,synthetic_transport,1000,35.6,6.48,0.05
TRANSPORT-MPLS_HOURLY-02-00,ST0301,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,77.99,index,valid,synthetic_transport,1000,34.61,4.75,0.05
TRANSPORT-MPLS_HOURLY-02-01,ST0301,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,38.93,index,valid,synthetic_transport,1000,39.68,13.15,0.05
TRANSPORT-MPLS_HOURLY-02-02,ST0301,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,71.13,index,valid,synthetic_transport,1000,34.32,3.16,0.05
TRANSPORT-MPLS_HOURLY-02-03,ST0301,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,16.34,index,valid,synthetic_transport,1000,46.64,11.87,0.05
TRANSPORT-MPLS_HOURLY-02-04,ST0301,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,32.05,index,valid,synthetic_transport,1000,25.73,7.21,0.05
TRANSPORT-MPLS_HOURLY-02-05,ST0301,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,68.48,index,valid,synthetic_transport,1000,73.75,4.51,0.05
