service_usage_hourly_id,subscription_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_USAGE_HOURLY-00-44,SUB0001,DBN,KV1,active,2026-08-19-20,2026-08-19 20:00:00,64.23,index,valid,synthetic_service,96,91,56,6.67
SERVICE-SERVICE_USAGE_HOURLY-00-45,SUB0001,DBN,KV1,active,2026-08-19-21,2026-08-19 21:00:00,22.4,index,valid,synthetic_service,269,265,33,26.19
SERVICE-SERVICE_USAGE_HOURLY-00-46,SUB0001,DBN,KV1,active,2026-08-19-22,2026-08-19 22:00:00,31.29,index,valid,synthetic_service,189,185,70,12.16
SERVICE-SERVICE_USAGE_HOURLY-00-47,SUB0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,17.82,index,valid,synthetic_service,98,97,40,26.58
SERVICE-SERVICE_USAGE_HOURLY-00-48,SUB0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,28.18,index,valid,synthetic_service,280,276,67,8.05
SERVICE-SERVICE_USAGE_HOURLY-00-49,SUB0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,58.82,index,valid,synthetic_service,171,167,90,18.56
SERVICE-SERVICE_USAGE_HOURLY-00-50,SUB0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,74.96,index,valid,synthetic_service,199,198,63,28.64
SERVICE-SERVICE_USAGE_HOURLY-00-51,SUB0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,57.16,index,valid,synthetic_service,115,111,61,13.86
SERVICE-SERVICE_USAGE_HOURLY-00-52,SUB0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,33.95,index,valid,synthetic_service,146,142,49,11.05
SERVICE-SERVICE_USAGE_HOURLY-00-53,SUB0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,61.73,index,valid,synthetic_service,176,172,77,10.32
SERVICE-SERVICE_USAGE_HOURLY-00-54,SUB0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,65.65,index,valid,synthetic_service,288,286,29,5.53
SERVICE-SERVICE_USAGE_HOURLY-00-55,SUB0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,31.24,index,valid,synthetic_service,156,155,84,16.45
SERVICE-SERVICE_USAGE_HOURLY-00-56,SUB0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,28.99,index,valid,synthetic_service,178,177,47,11.32
SERVICE-SERVICE_USAGE_HOURLY-00-57,SUB0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,70.62,index,valid,synthetic_service,67,66,85,14.19
SERVICE-SERVICE_USAGE_HOURLY-00-58,SUB0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,33.0,index,valid,synthetic_service,249,248,100,30.3
SERVICE-SERVICE_USAGE_HOURLY-00-59,SUB0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,15.06,index,valid,synthetic_service,233,232,25,18.38
SERVICE-SERVICE_USAGE_HOURLY-00-60,SUB0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,19.62,index,valid,synthetic_service,300,297,66,32.24
SERVICE-SERVICE_USAGE_HOURLY-00-61,SUB0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,42.23,index,valid,synthetic_service,74,72,61,5.55
SERVICE-SERVICE_USAGE_HOURLY-00-62,SUB0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,41.54,index,valid,synthetic_service,175,174,73,8.67
SERVICE-SERVICE_USAGE_HOURLY-00-63,SUB0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,57.27,index,valid,synthetic_service,170,165,74,32.49
SERVICE-SERVICE_USAGE_HOURLY-00-64,SUB0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,49.96,index,valid,synthetic_service,182,181,50,11.22
SERVICE-SERVICE_USAGE_HOURLY-00-65,SUB0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,72.51,index,valid,synthetic_service,213,210,64,9.34
SERVICE-SERVICE_USAGE_HOURLY-00-66,SUB0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,51.88,index,valid,synthetic_service,118,116,63,31.17
SERVICE-SERVICE_USAGE_HOURLY-00-67,SUB0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,68.81,index,valid,synthetic_service,161,160,98,29.17
SERVICE-SERVICE_USAGE_HOURLY-00-68,SUB0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,38.62,index,valid,synthetic_service,215,214,21,32.28
SERVICE-SERVICE_USAGE_HOURLY-00-69,SUB0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,37.34,index,valid,synthetic_service,161,158,30,29.08
SERVICE-SERVICE_USAGE_HOURLY-00-70,SUB0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,79.73,index,valid,synthetic_service,272,270,29,9.88
SERVICE-SERVICE_USAGE_HOURLY-00-71,SUB0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,46.86,index,valid,synthetic_service,222,220,28,18.87
SERVICE-SERVICE_USAGE_HOURLY-01-00,SUB0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,41.69,index,valid,synthetic_service,213,209,21,20.18
SERVICE-SERVICE_USAGE_HOURLY-01-01,SUB0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,83.07,index,valid,synthetic_service,100,98,51,12.07
SERVICE-SERVICE_USAGE_HOURLY-01-02,SUB0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,17.66,index,valid,synthetic_service,85,84,66,13.82
SERVICE-SERVICE_USAGE_HOURLY-01-03,SUB0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,43.42,index,valid,synthetic_service,231,229,46,18.72
SERVICE-SERVICE_USAGE_HOURLY-01-04,SUB0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,54.84,index,valid,synthetic_service,258,255,68,13.88
SERVICE-SERVICE_USAGE_HOURLY-01-05,SUB0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,41.78,index,valid,synthetic_service,193,192,32,14.05
SERVICE-SERVICE_USAGE_HOURLY-01-06,SUB0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,32.11,index,valid,synthetic_service,99,98,42,34.42
SERVICE-SERVICE_USAGE_HOURLY-01-07,SUB0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,52.06,index,valid,synthetic_service,282,281,72,33.41
SERVICE-SERVICE_USAGE_HOURLY-01-08,SUB0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,31.89,index,valid,synthetic_service,218,216,100,8.49
SERVICE-SERVICE_USAGE_HOURLY-01-09,SUB0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,84.51,index,valid,synthetic_service,58,56,63,9.66
SERVICE-SERVICE_USAGE_HOURLY-01-10,SUB0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,63.21,index,valid,synthetic_service,137,132,33,23.53
SERVICE-SERVICE_USAGE_HOURLY-01-11,SUB0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,61.59,index,valid,synthetic_service,75,71,26,24.15
SERVICE-SERVICE_USAGE_HOURLY-01-12,SUB0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,80.27,index,valid,synthetic_service,174,172,28,17.45
SERVICE-SERVICE_USAGE_HOURLY-01-13,SUB0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,50.1,index,valid,synthetic_service,110,107,67,16.53
SERVICE-SERVICE_USAGE_HOURLY-01-14,SUB0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,49.65,index,valid,synthetic_service,235,230,95,6.17
SERVICE-SERVICE_USAGE_HOURLY-01-15,SUB0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,24.36,index,valid,synthetic_service,131,130,60,16.57
SERVICE-SERVICE_USAGE_HOURLY-01-16,SUB0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,45.75,index,valid,synthetic_service,59,57,23,21.55
SERVICE-SERVICE_USAGE_HOURLY-01-17,SUB0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,65.86,index,valid,synthetic_service,176,175,52,27.75
SERVICE-SERVICE_USAGE_HOURLY-01-18,SUB0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,37.62,index,valid,synthetic_service,143,142,39,6.1
SERVICE-SERVICE_USAGE_HOURLY-01-19,SUB0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,56.65,index,valid,synthetic_service,183,182,87,25.2
SERVICE-SERVICE_USAGE_HOURLY-01-20,SUB0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,16.82,index,valid,synthetic_service,230,226,71,26.32
SERVICE-SERVICE_USAGE_HOURLY-01-21,SUB0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,39.04,index,valid,synthetic_service,167,164,42,34.22
SERVICE-SERVICE_USAGE_HOURLY-01-22,SUB0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,27.9,index,valid,synthetic_service,128,125,51,9.39
SERVICE-SERVICE_USAGE_HOURLY-01-23,SUB0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,33.5,index,valid,synthetic_service,238,236,47,5.21
SERVICE-SERVICE_USAGE_HOURLY-01-24,SUB0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,66.33,index,valid,synthetic_service,168,164,85,16.95
SERVICE-SERVICE_USAGE_HOURLY-01-25,SUB0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,32.06,index,valid,synthetic_service,87,83,58,20.01
SERVICE-SERVICE_USAGE_HOURLY-01-26,SUB0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,68.63,index,valid,synthetic_service,253,250,54,34.97
SERVICE-SERVICE_USAGE_HOURLY-01-27,SUB0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.86,index,valid,synthetic_service,129,125,96,23.24
SERVICE-SERVICE_USAGE_HOURLY-01-28,SUB0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,42.78,index,valid,synthetic_service,96,94,89,31.47
SERVICE-SERVICE_USAGE_HOURLY-01-29,SUB0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,51.81,index,valid,synthetic_service,232,231,90,8.13
SERVICE-SERVICE_USAGE_HOURLY-01-30,SUB0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,44.64,index,valid,synthetic_service,59,58,90,21.74
SERVICE-SERVICE_USAGE_HOURLY-01-31,SUB0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,53.74,index,valid,synthetic_service,201,196,46,24.27
SERVICE-SERVICE_USAGE_HOURLY-01-32,SUB0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,81.11,index,valid,synthetic_service,207,206,56,23.38
SERVICE-SERVICE_USAGE_HOURLY-01-33,SUB0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,27.44,index,valid,synthetic_service,219,215,54,27.35
SERVICE-SERVICE_USAGE_HOURLY-01-34,SUB0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,36.0,index,valid,synthetic_service,269,265,56,6.27
SERVICE-SERVICE_USAGE_HOURLY-01-35,SUB0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,38.31,index,valid,synthetic_service,286,284,46,19.44
SERVICE-SERVICE_USAGE_HOURLY-01-36,SUB0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,46.74,index,valid,synthetic_service,203,201,86,30.75
SERVICE-SERVICE_USAGE_HOURLY-01-37,SUB0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,24.74,index,valid,synthetic_service,69,64,47,23.4
SERVICE-SERVICE_USAGE_HOURLY-01-38,SUB0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,38.87,index,valid,synthetic_service,217,216,66,22.93
SERVICE-SERVICE_USAGE_HOURLY-01-39,SUB0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,38.37,index,valid,synthetic_service,62,57,86,19.24
SERVICE-SERVICE_USAGE_HOURLY-01-40,SUB0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,55.62,index,valid,synthetic_service,150,148,92,31.75
SERVICE-SERVICE_USAGE_HOURLY-01-41,SUB0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,48.62,index,valid,synthetic_service,275,270,28,12.81
SERVICE-SERVICE_USAGE_HOURLY-01-42,SUB0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,31.59,index,valid,synthetic_service,150,145,73,24.2
SERVICE-SERVICE_USAGE_HOURLY-01-43,SUB0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,79.53,index,valid,synthetic_service,152,147,39,17.45
SERVICE-SERVICE_USAGE_HOURLY-01-44,SUB0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,40.45,index,valid,synthetic_service,82,80,66,10.27
SERVICE-SERVICE_USAGE_HOURLY-01-45,SUB0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,35.44,index,degraded,synthetic_service,102,101,62,24.17
SERVICE-SERVICE_USAGE_HOURLY-01-46,SUB0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,78.74,index,valid,synthetic_service,147,142,21,23.7
SERVICE-SERVICE_USAGE_HOURLY-01-47,SUB0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,24.12,index,valid,synthetic_service,286,282,29,12.42
SERVICE-SERVICE_USAGE_HOURLY-01-48,SUB0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,73.9,index,valid,synthetic_service,191,186,79,11.76
SERVICE-SERVICE_USAGE_HOURLY-01-49,SUB0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,31.79,index,valid,synthetic_service,106,105,92,14.97
SERVICE-SERVICE_USAGE_HOURLY-01-50,SUB0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,71.23,index,valid,synthetic_service,69,68,28,13.59
SERVICE-SERVICE_USAGE_HOURLY-01-51,SUB0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,32.65,index,valid,synthetic_service,150,147,51,23.13
SERVICE-SERVICE_USAGE_HOURLY-01-52,SUB0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,82.63,index,valid,synthetic_service,99,98,70,23.5
SERVICE-SERVICE_USAGE_HOURLY-01-53,SUB0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,49.35,index,valid,synthetic_service,109,107,34,14.56
SERVICE-SERVICE_USAGE_HOURLY-01-54,SUB0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,36.12,index,valid,synthetic_service,229,227,41,24.98
SERVICE-SERVICE_USAGE_HOURLY-01-55,SUB0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,36.12,index,valid,synthetic_service,276,271,75,31.64
SERVICE-SERVICE_USAGE_HOURLY-01-56,SUB0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,23.24,index,valid,synthetic_service,61,57,46,10.93
SERVICE-SERVICE_USAGE_HOURLY-01-57,SUB0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,55.04,index,valid,synthetic_service,154,153,31,6.95
SERVICE-SERVICE_USAGE_HOURLY-01-58,SUB0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,67.67,index,valid,synthetic_service,195,190,43,34.22
SERVICE-SERVICE_USAGE_HOURLY-01-59,SUB0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,48.15,index,valid,synthetic_service,281,276,27,27.54
SERVICE-SERVICE_USAGE_HOURLY-01-60,SUB0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,24.63,index,valid,synthetic_service,129,125,58,19.49
SERVICE-SERVICE_USAGE_HOURLY-01-61,SUB0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,18.63,index,valid,synthetic_service,115,111,90,26.2
SERVICE-SERVICE_USAGE_HOURLY-01-62,SUB0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,78.72,index,valid,synthetic_service,114,112,50,18.61
SERVICE-SERVICE_USAGE_HOURLY-01-63,SUB0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,59.12,index,valid,synthetic_service,217,213,35,6.63
SERVICE-SERVICE_USAGE_HOURLY-01-64,SUB0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,28.26,index,valid,synthetic_service,186,181,21,22.19
SERVICE-SERVICE_USAGE_HOURLY-01-65,SUB0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,52.24,index,valid,synthetic_service,212,208,45,22.08
SERVICE-SERVICE_USAGE_HOURLY-01-66,SUB0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,50.59,index,valid,synthetic_service,283,279,94,16.57
SERVICE-SERVICE_USAGE_HOURLY-01-67,SUB0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,71.94,index,valid,synthetic_service,284,282,88,34.34
SERVICE-SERVICE_USAGE_HOURLY-01-68,SUB0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,47.45,index,valid,synthetic_service,264,259,74,7.23
SERVICE-SERVICE_USAGE_HOURLY-01-69,SUB0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,65.16,index,valid,synthetic_service,259,257,59,16.48
SERVICE-SERVICE_USAGE_HOURLY-01-70,SUB0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,66.31,index,valid,synthetic_service,280,277,31,31.7
SERVICE-SERVICE_USAGE_HOURLY-01-71,SUB0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,65.76,index,valid,synthetic_service,102,101,24,13.81
SERVICE-SERVICE_USAGE_HOURLY-02-00,SUB0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,63.65,index,valid,synthetic_service,140,137,26,22.85
SERVICE-SERVICE_USAGE_HOURLY-02-01,SUB0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,68.67,index,valid,synthetic_service,98,94,22,21.29
SERVICE-SERVICE_USAGE_HOURLY-02-02,SUB0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,80.14,index,valid,synthetic_service,269,268,71,21.23
SERVICE-SERVICE_USAGE_HOURLY-02-03,SUB0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,67.29,index,valid,synthetic_service,201,198,35,25.14
SERVICE-SERVICE_USAGE_HOURLY-02-04,SUB0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,57.68,index,valid,synthetic_service,237,236,20,23.17
SERVICE-SERVICE_USAGE_HOURLY-02-05,SUB0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,39.41,index,valid,synthetic_service,123,122,93,33.58
SERVICE-SERVICE_USAGE_HOURLY-02-06,SUB0013,CMU,KV3,active,2026-08-18-06,2026-08-18 06:00:00,15.15,index,valid,synthetic_service,246,241,31,19.66
SERVICE-SERVICE_USAGE_HOURLY-02-07,SUB0013,CMU,KV3,active,2026-08-18-07,2026-08-18 07:00:00,31.5,index,valid,synthetic_service,215,212,43,28.07
