service_notification_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_NOTIFICATION-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,65,62,91,13.49
SERVICE-SERVICE_NOTIFICATION-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,62,60,72,29.65
SERVICE-SERVICE_NOTIFICATION-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,215,210,61,20.82
SERVICE-SERVICE_NOTIFICATION-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,138,134,27,30.34
SERVICE-SERVICE_NOTIFICATION-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,200,198,62,19.13
SERVICE-SERVICE_NOTIFICATION-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,104,99,42,31.73
SERVICE-SERVICE_NOTIFICATION-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,148,146,63,5.76
SERVICE-SERVICE_NOTIFICATION-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,52,50,40,35.0
SERVICE-SERVICE_NOTIFICATION-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,237,234,91,24.95
SERVICE-SERVICE_NOTIFICATION-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,204,200,100,10.05
SERVICE-SERVICE_NOTIFICATION-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,118,114,68,17.08
SERVICE-SERVICE_NOTIFICATION-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,63,60,26,6.42
SERVICE-SERVICE_NOTIFICATION-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,171,166,91,9.28
SERVICE-SERVICE_NOTIFICATION-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,223,222,33,26.91
SERVICE-SERVICE_NOTIFICATION-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,300,299,49,8.4
SERVICE-SERVICE_NOTIFICATION-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,284,279,33,26.69
SERVICE-SERVICE_NOTIFICATION-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,127,124,27,32.23
SERVICE-SERVICE_NOTIFICATION-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,60,56,90,5.35
SERVICE-SERVICE_NOTIFICATION-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,290,287,40,27.83
SERVICE-SERVICE_NOTIFICATION-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,239,236,66,24.81
SERVICE-SERVICE_NOTIFICATION-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,162,160,97,26.38
SERVICE-SERVICE_NOTIFICATION-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SERVICE_NOTIFICATION,info,success,60,synthetic_service,268,263,38,8.46
