service_migration_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_MIGRATION-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,111,106,47,34.91
SERVICE-SERVICE_MIGRATION-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,130,129,55,15.5
SERVICE-SERVICE_MIGRATION-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,289,284,86,33.95
SERVICE-SERVICE_MIGRATION-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,109,106,48,20.63
SERVICE-SERVICE_MIGRATION-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,300,299,25,6.25
SERVICE-SERVICE_MIGRATION-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,264,260,24,21.44
SERVICE-SERVICE_MIGRATION-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,179,178,55,28.4
SERVICE-SERVICE_MIGRATION-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,118,113,50,29.0
SERVICE-SERVICE_MIGRATION-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,242,241,76,15.09
SERVICE-SERVICE_MIGRATION-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,78,76,28,14.8
SERVICE-SERVICE_MIGRATION-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,266,264,52,6.95
SERVICE-SERVICE_MIGRATION-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,177,173,27,18.31
SERVICE-SERVICE_MIGRATION-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,232,230,46,21.58
SERVICE-SERVICE_MIGRATION-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,196,194,82,12.53
SERVICE-SERVICE_MIGRATION-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,226,222,94,17.4
SERVICE-SERVICE_MIGRATION-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,132,128,48,9.21
SERVICE-SERVICE_MIGRATION-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,261,256,74,27.19
SERVICE-SERVICE_MIGRATION-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,97,94,54,25.97
SERVICE-SERVICE_MIGRATION-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,97,95,70,19.45
SERVICE-SERVICE_MIGRATION-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,210,206,42,22.3
SERVICE-SERVICE_MIGRATION-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,234,233,86,17.71
SERVICE-SERVICE_MIGRATION-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,263,261,52,12.54
SERVICE-SERVICE_MIGRATION-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,149,144,64,26.71
SERVICE-SERVICE_MIGRATION-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,63,62,43,8.98
SERVICE-SERVICE_MIGRATION-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,56,51,22,29.94
SERVICE-SERVICE_MIGRATION-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,231,230,72,32.61
SERVICE-SERVICE_MIGRATION-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,55,50,67,27.19
SERVICE-SERVICE_MIGRATION-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,286,285,26,19.21
SERVICE-SERVICE_MIGRATION-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,203,198,100,16.57
SERVICE-SERVICE_MIGRATION-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SERVICE_MIGRATION,info,success,60,synthetic_service,155,154,98,6.46
