subscription_history_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SUBSCRIPTION_HISTORY-02-00,SUB0013,CMU,KV3,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,168,164,93,22.79
SERVICE-SUBSCRIPTION_HISTORY-02-09,SUB0013,CMU,KV3,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,93,92,42,29.07
SERVICE-SUBSCRIPTION_HISTORY-02-18,SUB0013,CMU,KV3,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,221,219,53,18.39
SERVICE-SUBSCRIPTION_HISTORY-02-27,SUB0013,CMU,KV3,active,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,122,120,20,10.06
SERVICE-SUBSCRIPTION_HISTORY-02-36,SUB0013,CMU,KV3,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,268,263,57,23.73
SERVICE-SUBSCRIPTION_HISTORY-02-45,SUB0013,CMU,KV3,active,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,238,235,55,23.9
SERVICE-SUBSCRIPTION_HISTORY-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,232,229,43,20.36
SERVICE-SUBSCRIPTION_HISTORY-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,249,244,33,34.36
SERVICE-SUBSCRIPTION_HISTORY-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,181,178,100,24.29
SERVICE-SUBSCRIPTION_HISTORY-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,133,129,31,32.99
SERVICE-SUBSCRIPTION_HISTORY-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,89,88,82,18.82
SERVICE-SUBSCRIPTION_HISTORY-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,104,102,26,32.33
SERVICE-SUBSCRIPTION_HISTORY-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,187,185,54,7.88
SERVICE-SUBSCRIPTION_HISTORY-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,176,173,23,23.38
SERVICE-SUBSCRIPTION_HISTORY-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,200,199,34,30.63
SERVICE-SUBSCRIPTION_HISTORY-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,146,144,56,20.6
SERVICE-SUBSCRIPTION_HISTORY-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,240,235,31,13.48
SERVICE-SUBSCRIPTION_HISTORY-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,85,82,40,7.78
SERVICE-SUBSCRIPTION_HISTORY-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,163,158,74,23.04
SERVICE-SUBSCRIPTION_HISTORY-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,103,99,75,17.29
SERVICE-SUBSCRIPTION_HISTORY-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,281,278,76,28.35
SERVICE-SUBSCRIPTION_HISTORY-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,174,173,42,34.44
SERVICE-SUBSCRIPTION_HISTORY-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,164,160,76,29.84
SERVICE-SUBSCRIPTION_HISTORY-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,262,258,65,23.92
SERVICE-SUBSCRIPTION_HISTORY-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,209,207,70,6.74
SERVICE-SUBSCRIPTION_HISTORY-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,144,140,31,12.44
SERVICE-SUBSCRIPTION_HISTORY-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,151,150,85,18.94
SERVICE-SUBSCRIPTION_HISTORY-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,271,269,79,7.85
SERVICE-SUBSCRIPTION_HISTORY-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,224,220,35,20.79
SERVICE-SUBSCRIPTION_HISTORY-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,150,146,51,8.16
SERVICE-SUBSCRIPTION_HISTORY-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,223,221,93,10.87
SERVICE-SUBSCRIPTION_HISTORY-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SUBSCRIPTION_HISTORY,info,success,60,synthetic_service,152,147,81,9.68
