service_config_history_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_CONFIG_HISTORY-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,109,106,59,9.08
SERVICE-SERVICE_CONFIG_HISTORY-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,114,109,55,27.01
SERVICE-SERVICE_CONFIG_HISTORY-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,132,127,59,25.61
SERVICE-SERVICE_CONFIG_HISTORY-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,300,298,44,22.05
SERVICE-SERVICE_CONFIG_HISTORY-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,195,194,90,18.22
SERVICE-SERVICE_CONFIG_HISTORY-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,202,198,27,14.34
SERVICE-SERVICE_CONFIG_HISTORY-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,92,87,43,30.12
SERVICE-SERVICE_CONFIG_HISTORY-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,275,272,20,18.67
SERVICE-SERVICE_CONFIG_HISTORY-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,234,231,72,22.72
SERVICE-SERVICE_CONFIG_HISTORY-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,90,87,77,26.04
SERVICE-SERVICE_CONFIG_HISTORY-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,251,247,85,11.79
SERVICE-SERVICE_CONFIG_HISTORY-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,252,251,74,6.62
SERVICE-SERVICE_CONFIG_HISTORY-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,112,111,70,9.37
SERVICE-SERVICE_CONFIG_HISTORY-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,271,267,71,6.05
SERVICE-SERVICE_CONFIG_HISTORY-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,99,96,33,15.37
SERVICE-SERVICE_CONFIG_HISTORY-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,277,276,68,28.9
SERVICE-SERVICE_CONFIG_HISTORY-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SERVICE_CONFIG_HISTORY,info,success,60,synthetic_service,83,81,51,13.46
