service_health_hourly_id,subscription_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SERVICE_HEALTH_HOURLY-00-47,SUB0001,DBN,KV1,active,2026-08-19-23,2026-08-19 23:00:00,27.03,index,valid,synthetic_service,269,267,72,17.3
SERVICE-SERVICE_HEALTH_HOURLY-00-48,SUB0001,DBN,KV1,active,2026-08-20-00,2026-08-20 00:00:00,17.51,index,valid,synthetic_service,188,183,63,13.1
SERVICE-SERVICE_HEALTH_HOURLY-00-49,SUB0001,DBN,KV1,active,2026-08-20-01,2026-08-20 01:00:00,25.59,index,valid,synthetic_service,219,215,88,28.31
SERVICE-SERVICE_HEALTH_HOURLY-00-50,SUB0001,DBN,KV1,active,2026-08-20-02,2026-08-20 02:00:00,71.27,index,valid,synthetic_service,262,258,74,8.3
SERVICE-SERVICE_HEALTH_HOURLY-00-51,SUB0001,DBN,KV1,active,2026-08-20-03,2026-08-20 03:00:00,74.42,index,valid,synthetic_service,78,73,42,24.9
SERVICE-SERVICE_HEALTH_HOURLY-00-52,SUB0001,DBN,KV1,active,2026-08-20-04,2026-08-20 04:00:00,33.89,index,valid,synthetic_service,93,89,71,27.33
SERVICE-SERVICE_HEALTH_HOURLY-00-53,SUB0001,DBN,KV1,active,2026-08-20-05,2026-08-20 05:00:00,24.17,index,valid,synthetic_service,295,294,80,12.74
SERVICE-SERVICE_HEALTH_HOURLY-00-54,SUB0001,DBN,KV1,active,2026-08-20-06,2026-08-20 06:00:00,62.18,index,valid,synthetic_service,296,294,45,26.31
SERVICE-SERVICE_HEALTH_HOURLY-00-55,SUB0001,DBN,KV1,active,2026-08-20-07,2026-08-20 07:00:00,64.5,index,valid,synthetic_service,157,154,43,21.83
SERVICE-SERVICE_HEALTH_HOURLY-00-56,SUB0001,DBN,KV1,active,2026-08-20-08,2026-08-20 08:00:00,51.44,index,valid,synthetic_service,132,131,30,9.1
SERVICE-SERVICE_HEALTH_HOURLY-00-57,SUB0001,DBN,KV1,active,2026-08-20-09,2026-08-20 09:00:00,17.7,index,valid,synthetic_service,245,243,25,9.15
SERVICE-SERVICE_HEALTH_HOURLY-00-58,SUB0001,DBN,KV1,active,2026-08-20-10,2026-08-20 10:00:00,46.13,index,valid,synthetic_service,197,193,29,24.53
SERVICE-SERVICE_HEALTH_HOURLY-00-59,SUB0001,DBN,KV1,active,2026-08-20-11,2026-08-20 11:00:00,53.94,index,valid,synthetic_service,161,157,64,23.4
SERVICE-SERVICE_HEALTH_HOURLY-00-60,SUB0001,DBN,KV1,active,2026-08-20-12,2026-08-20 12:00:00,22.22,index,valid,synthetic_service,284,282,60,17.97
SERVICE-SERVICE_HEALTH_HOURLY-00-61,SUB0001,DBN,KV1,active,2026-08-20-13,2026-08-20 13:00:00,32.87,index,valid,synthetic_service,99,98,27,30.56
SERVICE-SERVICE_HEALTH_HOURLY-00-62,SUB0001,DBN,KV1,active,2026-08-20-14,2026-08-20 14:00:00,67.09,index,valid,synthetic_service,123,121,54,26.5
SERVICE-SERVICE_HEALTH_HOURLY-00-63,SUB0001,DBN,KV1,active,2026-08-20-15,2026-08-20 15:00:00,77.36,index,valid,synthetic_service,187,186,49,34.33
SERVICE-SERVICE_HEALTH_HOURLY-00-64,SUB0001,DBN,KV1,active,2026-08-20-16,2026-08-20 16:00:00,74.45,index,valid,synthetic_service,181,176,83,32.09
SERVICE-SERVICE_HEALTH_HOURLY-00-65,SUB0001,DBN,KV1,active,2026-08-20-17,2026-08-20 17:00:00,65.18,index,valid,synthetic_service,144,142,55,24.44
SERVICE-SERVICE_HEALTH_HOURLY-00-66,SUB0001,DBN,KV1,active,2026-08-20-18,2026-08-20 18:00:00,65.91,index,valid,synthetic_service,297,295,73,30.7
SERVICE-SERVICE_HEALTH_HOURLY-00-67,SUB0001,DBN,KV1,active,2026-08-20-19,2026-08-20 19:00:00,75.21,index,valid,synthetic_service,212,209,37,26.31
SERVICE-SERVICE_HEALTH_HOURLY-00-68,SUB0001,DBN,KV1,active,2026-08-20-20,2026-08-20 20:00:00,64.24,index,valid,synthetic_service,80,76,87,34.48
SERVICE-SERVICE_HEALTH_HOURLY-00-69,SUB0001,DBN,KV1,active,2026-08-20-21,2026-08-20 21:00:00,58.1,index,valid,synthetic_service,233,231,75,9.76
SERVICE-SERVICE_HEALTH_HOURLY-00-70,SUB0001,DBN,KV1,active,2026-08-20-22,2026-08-20 22:00:00,38.6,index,valid,synthetic_service,288,286,50,30.58
SERVICE-SERVICE_HEALTH_HOURLY-00-71,SUB0001,DBN,KV1,active,2026-08-20-23,2026-08-20 23:00:00,35.74,index,valid,synthetic_service,266,262,54,17.41
SERVICE-SERVICE_HEALTH_HOURLY-01-00,SUB0007,SLA,KV1,active,2026-08-18-00,2026-08-18 00:00:00,65.11,index,valid,synthetic_service,90,89,89,27.22
SERVICE-SERVICE_HEALTH_HOURLY-01-01,SUB0007,SLA,KV1,active,2026-08-18-01,2026-08-18 01:00:00,78.54,index,valid,synthetic_service,227,223,92,23.23
SERVICE-SERVICE_HEALTH_HOURLY-01-02,SUB0007,SLA,KV1,active,2026-08-18-02,2026-08-18 02:00:00,48.31,index,valid,synthetic_service,298,294,91,34.62
SERVICE-SERVICE_HEALTH_HOURLY-01-03,SUB0007,SLA,KV1,active,2026-08-18-03,2026-08-18 03:00:00,23.46,index,valid,synthetic_service,242,239,69,31.6
SERVICE-SERVICE_HEALTH_HOURLY-01-04,SUB0007,SLA,KV1,active,2026-08-18-04,2026-08-18 04:00:00,74.61,index,valid,synthetic_service,137,135,31,19.64
SERVICE-SERVICE_HEALTH_HOURLY-01-05,SUB0007,SLA,KV1,active,2026-08-18-05,2026-08-18 05:00:00,36.61,index,valid,synthetic_service,230,225,52,31.1
SERVICE-SERVICE_HEALTH_HOURLY-01-06,SUB0007,SLA,KV1,active,2026-08-18-06,2026-08-18 06:00:00,16.17,index,valid,synthetic_service,267,263,72,14.73
SERVICE-SERVICE_HEALTH_HOURLY-01-07,SUB0007,SLA,KV1,active,2026-08-18-07,2026-08-18 07:00:00,66.85,index,valid,synthetic_service,112,108,40,8.22
SERVICE-SERVICE_HEALTH_HOURLY-01-08,SUB0007,SLA,KV1,active,2026-08-18-08,2026-08-18 08:00:00,31.45,index,valid,synthetic_service,73,68,62,12.6
SERVICE-SERVICE_HEALTH_HOURLY-01-09,SUB0007,SLA,KV1,active,2026-08-18-09,2026-08-18 09:00:00,56.97,index,valid,synthetic_service,298,293,63,29.64
SERVICE-SERVICE_HEALTH_HOURLY-01-10,SUB0007,SLA,KV1,active,2026-08-18-10,2026-08-18 10:00:00,43.78,index,valid,synthetic_service,242,238,95,16.36
SERVICE-SERVICE_HEALTH_HOURLY-01-11,SUB0007,SLA,KV1,active,2026-08-18-11,2026-08-18 11:00:00,50.07,index,valid,synthetic_service,111,109,48,18.93
SERVICE-SERVICE_HEALTH_HOURLY-01-12,SUB0007,SLA,KV1,active,2026-08-18-12,2026-08-18 12:00:00,70.45,index,valid,synthetic_service,231,229,50,7.65
SERVICE-SERVICE_HEALTH_HOURLY-01-13,SUB0007,SLA,KV1,active,2026-08-18-13,2026-08-18 13:00:00,72.74,index,valid,synthetic_service,184,183,56,34.78
SERVICE-SERVICE_HEALTH_HOURLY-01-14,SUB0007,SLA,KV1,active,2026-08-18-14,2026-08-18 14:00:00,50.26,index,valid,synthetic_service,122,121,57,6.75
SERVICE-SERVICE_HEALTH_HOURLY-01-15,SUB0007,SLA,KV1,active,2026-08-18-15,2026-08-18 15:00:00,27.85,index,valid,synthetic_service,157,155,36,30.47
SERVICE-SERVICE_HEALTH_HOURLY-01-16,SUB0007,SLA,KV1,active,2026-08-18-16,2026-08-18 16:00:00,26.99,index,valid,synthetic_service,212,207,90,20.29
SERVICE-SERVICE_HEALTH_HOURLY-01-17,SUB0007,SLA,KV1,active,2026-08-18-17,2026-08-18 17:00:00,41.25,index,valid,synthetic_service,254,251,37,27.66
SERVICE-SERVICE_HEALTH_HOURLY-01-18,SUB0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,57.67,index,valid,synthetic_service,160,155,51,12.68
SERVICE-SERVICE_HEALTH_HOURLY-01-19,SUB0007,SLA,KV1,active,2026-08-18-19,2026-08-18 19:00:00,18.48,index,valid,synthetic_service,191,186,82,26.48
SERVICE-SERVICE_HEALTH_HOURLY-01-20,SUB0007,SLA,KV1,active,2026-08-18-20,2026-08-18 20:00:00,51.33,index,valid,synthetic_service,243,239,49,7.65
SERVICE-SERVICE_HEALTH_HOURLY-01-21,SUB0007,SLA,KV1,active,2026-08-18-21,2026-08-18 21:00:00,40.02,index,valid,synthetic_service,204,199,60,30.8
SERVICE-SERVICE_HEALTH_HOURLY-01-22,SUB0007,SLA,KV1,active,2026-08-18-22,2026-08-18 22:00:00,64.07,index,valid,synthetic_service,232,229,82,24.75
SERVICE-SERVICE_HEALTH_HOURLY-01-23,SUB0007,SLA,KV1,active,2026-08-18-23,2026-08-18 23:00:00,66.96,index,valid,synthetic_service,50,48,87,21.13
SERVICE-SERVICE_HEALTH_HOURLY-01-24,SUB0007,SLA,KV1,active,2026-08-19-00,2026-08-19 00:00:00,16.22,index,valid,synthetic_service,182,181,99,24.27
SERVICE-SERVICE_HEALTH_HOURLY-01-25,SUB0007,SLA,KV1,active,2026-08-19-01,2026-08-19 01:00:00,28.13,index,valid,synthetic_service,189,188,97,23.18
SERVICE-SERVICE_HEALTH_HOURLY-01-26,SUB0007,SLA,KV1,active,2026-08-19-02,2026-08-19 02:00:00,25.25,index,valid,synthetic_service,59,55,34,19.73
SERVICE-SERVICE_HEALTH_HOURLY-01-27,SUB0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,25.76,index,valid,synthetic_service,223,221,37,5.46
SERVICE-SERVICE_HEALTH_HOURLY-01-28,SUB0007,SLA,KV1,active,2026-08-19-04,2026-08-19 04:00:00,29.95,index,valid,synthetic_service,243,238,31,17.25
SERVICE-SERVICE_HEALTH_HOURLY-01-29,SUB0007,SLA,KV1,active,2026-08-19-05,2026-08-19 05:00:00,17.18,index,valid,synthetic_service,292,291,29,13.76
SERVICE-SERVICE_HEALTH_HOURLY-01-30,SUB0007,SLA,KV1,active,2026-08-19-06,2026-08-19 06:00:00,64.11,index,valid,synthetic_service,266,265,71,7.81
SERVICE-SERVICE_HEALTH_HOURLY-01-31,SUB0007,SLA,KV1,active,2026-08-19-07,2026-08-19 07:00:00,24.92,index,valid,synthetic_service,183,181,84,9.56
SERVICE-SERVICE_HEALTH_HOURLY-01-32,SUB0007,SLA,KV1,active,2026-08-19-08,2026-08-19 08:00:00,38.03,index,valid,synthetic_service,167,162,37,33.86
SERVICE-SERVICE_HEALTH_HOURLY-01-33,SUB0007,SLA,KV1,active,2026-08-19-09,2026-08-19 09:00:00,31.96,index,valid,synthetic_service,235,232,30,25.63
SERVICE-SERVICE_HEALTH_HOURLY-01-34,SUB0007,SLA,KV1,active,2026-08-19-10,2026-08-19 10:00:00,78.11,index,valid,synthetic_service,64,59,90,19.24
SERVICE-SERVICE_HEALTH_HOURLY-01-35,SUB0007,SLA,KV1,active,2026-08-19-11,2026-08-19 11:00:00,37.86,index,valid,synthetic_service,174,170,62,33.76
SERVICE-SERVICE_HEALTH_HOURLY-01-36,SUB0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,36.9,index,valid,synthetic_service,286,283,65,11.98
SERVICE-SERVICE_HEALTH_HOURLY-01-37,SUB0007,SLA,KV1,active,2026-08-19-13,2026-08-19 13:00:00,80.84,index,valid,synthetic_service,66,61,42,25.57
SERVICE-SERVICE_HEALTH_HOURLY-01-38,SUB0007,SLA,KV1,active,2026-08-19-14,2026-08-19 14:00:00,46.53,index,valid,synthetic_service,184,183,22,12.91
SERVICE-SERVICE_HEALTH_HOURLY-01-39,SUB0007,SLA,KV1,active,2026-08-19-15,2026-08-19 15:00:00,24.97,index,valid,synthetic_service,76,74,36,11.65
SERVICE-SERVICE_HEALTH_HOURLY-01-40,SUB0007,SLA,KV1,active,2026-08-19-16,2026-08-19 16:00:00,16.86,index,valid,synthetic_service,178,173,53,31.83
SERVICE-SERVICE_HEALTH_HOURLY-01-41,SUB0007,SLA,KV1,active,2026-08-19-17,2026-08-19 17:00:00,42.59,index,valid,synthetic_service,103,99,51,16.32
SERVICE-SERVICE_HEALTH_HOURLY-01-42,SUB0007,SLA,KV1,active,2026-08-19-18,2026-08-19 18:00:00,52.68,index,valid,synthetic_service,136,134,29,6.58
SERVICE-SERVICE_HEALTH_HOURLY-01-43,SUB0007,SLA,KV1,active,2026-08-19-19,2026-08-19 19:00:00,64.52,index,valid,synthetic_service,142,141,37,30.2
SERVICE-SERVICE_HEALTH_HOURLY-01-44,SUB0007,SLA,KV1,active,2026-08-19-20,2026-08-19 20:00:00,49.95,index,valid,synthetic_service,134,133,45,32.52
SERVICE-SERVICE_HEALTH_HOURLY-01-45,SUB0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,110.39,index,degraded,synthetic_service,294,293,30,29.8
SERVICE-SERVICE_HEALTH_HOURLY-01-46,SUB0007,SLA,KV1,active,2026-08-19-22,2026-08-19 22:00:00,82.7,index,valid,synthetic_service,170,167,23,9.81
SERVICE-SERVICE_HEALTH_HOURLY-01-47,SUB0007,SLA,KV1,active,2026-08-19-23,2026-08-19 23:00:00,29.89,index,valid,synthetic_service,53,48,57,20.35
SERVICE-SERVICE_HEALTH_HOURLY-01-48,SUB0007,SLA,KV1,active,2026-08-20-00,2026-08-20 00:00:00,80.53,index,valid,synthetic_service,242,237,77,21.42
SERVICE-SERVICE_HEALTH_HOURLY-01-49,SUB0007,SLA,KV1,active,2026-08-20-01,2026-08-20 01:00:00,44.12,index,valid,synthetic_service,254,250,99,15.44
SERVICE-SERVICE_HEALTH_HOURLY-01-50,SUB0007,SLA,KV1,active,2026-08-20-02,2026-08-20 02:00:00,15.29,index,valid,synthetic_service,131,128,79,8.89
SERVICE-SERVICE_HEALTH_HOURLY-01-51,SUB0007,SLA,KV1,active,2026-08-20-03,2026-08-20 03:00:00,26.3,index,valid,synthetic_service,299,295,21,11.05
SERVICE-SERVICE_HEALTH_HOURLY-01-52,SUB0007,SLA,KV1,active,2026-08-20-04,2026-08-20 04:00:00,52.98,index,valid,synthetic_service,174,171,43,10.84
SERVICE-SERVICE_HEALTH_HOURLY-01-53,SUB0007,SLA,KV1,active,2026-08-20-05,2026-08-20 05:00:00,72.6,index,valid,synthetic_service,70,69,50,30.14
SERVICE-SERVICE_HEALTH_HOURLY-01-54,SUB0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,32.2,index,valid,synthetic_service,201,198,51,19.81
SERVICE-SERVICE_HEALTH_HOURLY-01-55,SUB0007,SLA,KV1,active,2026-08-20-07,2026-08-20 07:00:00,67.12,index,valid,synthetic_service,146,141,39,24.49
SERVICE-SERVICE_HEALTH_HOURLY-01-56,SUB0007,SLA,KV1,active,2026-08-20-08,2026-08-20 08:00:00,44.96,index,valid,synthetic_service,288,285,75,26.46
SERVICE-SERVICE_HEALTH_HOURLY-01-57,SUB0007,SLA,KV1,active,2026-08-20-09,2026-08-20 09:00:00,27.12,index,valid,synthetic_service,230,225,65,29.13
SERVICE-SERVICE_HEALTH_HOURLY-01-58,SUB0007,SLA,KV1,active,2026-08-20-10,2026-08-20 10:00:00,62.28,index,valid,synthetic_service,50,49,63,30.47
SERVICE-SERVICE_HEALTH_HOURLY-01-59,SUB0007,SLA,KV1,active,2026-08-20-11,2026-08-20 11:00:00,60.39,index,valid,synthetic_service,146,145,32,26.77
SERVICE-SERVICE_HEALTH_HOURLY-01-60,SUB0007,SLA,KV1,active,2026-08-20-12,2026-08-20 12:00:00,32.02,index,valid,synthetic_service,196,195,85,16.62
SERVICE-SERVICE_HEALTH_HOURLY-01-61,SUB0007,SLA,KV1,active,2026-08-20-13,2026-08-20 13:00:00,40.36,index,valid,synthetic_service,300,298,46,21.78
SERVICE-SERVICE_HEALTH_HOURLY-01-62,SUB0007,SLA,KV1,active,2026-08-20-14,2026-08-20 14:00:00,58.78,index,valid,synthetic_service,292,291,73,7.36
SERVICE-SERVICE_HEALTH_HOURLY-01-63,SUB0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,35.04,index,valid,synthetic_service,169,166,24,34.97
SERVICE-SERVICE_HEALTH_HOURLY-01-64,SUB0007,SLA,KV1,active,2026-08-20-16,2026-08-20 16:00:00,71.09,index,valid,synthetic_service,236,231,94,20.87
SERVICE-SERVICE_HEALTH_HOURLY-01-65,SUB0007,SLA,KV1,active,2026-08-20-17,2026-08-20 17:00:00,61.08,index,valid,synthetic_service,165,162,43,34.85
SERVICE-SERVICE_HEALTH_HOURLY-01-66,SUB0007,SLA,KV1,active,2026-08-20-18,2026-08-20 18:00:00,35.16,index,valid,synthetic_service,223,218,32,28.69
SERVICE-SERVICE_HEALTH_HOURLY-01-67,SUB0007,SLA,KV1,active,2026-08-20-19,2026-08-20 19:00:00,80.19,index,valid,synthetic_service,188,186,78,8.78
SERVICE-SERVICE_HEALTH_HOURLY-01-68,SUB0007,SLA,KV1,active,2026-08-20-20,2026-08-20 20:00:00,71.12,index,valid,synthetic_service,90,86,37,22.44
SERVICE-SERVICE_HEALTH_HOURLY-01-69,SUB0007,SLA,KV1,active,2026-08-20-21,2026-08-20 21:00:00,83.95,index,valid,synthetic_service,136,132,61,14.95
SERVICE-SERVICE_HEALTH_HOURLY-01-70,SUB0007,SLA,KV1,active,2026-08-20-22,2026-08-20 22:00:00,61.1,index,valid,synthetic_service,279,275,87,29.73
SERVICE-SERVICE_HEALTH_HOURLY-01-71,SUB0007,SLA,KV1,active,2026-08-20-23,2026-08-20 23:00:00,48.52,index,valid,synthetic_service,73,72,74,23.62
SERVICE-SERVICE_HEALTH_HOURLY-02-00,SUB0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,59.71,index,valid,synthetic_service,190,185,91,34.03
SERVICE-SERVICE_HEALTH_HOURLY-02-01,SUB0013,CMU,KV3,active,2026-08-18-01,2026-08-18 01:00:00,31.86,index,valid,synthetic_service,52,48,45,11.16
SERVICE-SERVICE_HEALTH_HOURLY-02-02,SUB0013,CMU,KV3,active,2026-08-18-02,2026-08-18 02:00:00,75.12,index,valid,synthetic_service,162,161,40,13.16
SERVICE-SERVICE_HEALTH_HOURLY-02-03,SUB0013,CMU,KV3,active,2026-08-18-03,2026-08-18 03:00:00,49.04,index,valid,synthetic_service,227,222,76,32.2
SERVICE-SERVICE_HEALTH_HOURLY-02-04,SUB0013,CMU,KV3,active,2026-08-18-04,2026-08-18 04:00:00,35.72,index,valid,synthetic_service,146,144,30,12.49
SERVICE-SERVICE_HEALTH_HOURLY-02-05,SUB0013,CMU,KV3,active,2026-08-18-05,2026-08-18 05:00:00,71.66,index,valid,synthetic_service,179,176,47,32.99
