restoration_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-RESTORATION_EVENT-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,238,234,50,9.95
SERVICE-RESTORATION_EVENT-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,157,155,69,27.47
SERVICE-RESTORATION_EVENT-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,200,198,43,21.43
SERVICE-RESTORATION_EVENT-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,134,132,50,9.03
SERVICE-RESTORATION_EVENT-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,288,287,57,18.12
SERVICE-RESTORATION_EVENT-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,275,272,54,28.33
SERVICE-RESTORATION_EVENT-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,221,216,72,19.67
SERVICE-RESTORATION_EVENT-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,75,73,31,31.69
SERVICE-RESTORATION_EVENT-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,158,155,30,11.77
SERVICE-RESTORATION_EVENT-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,54,52,37,10.52
SERVICE-RESTORATION_EVENT-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,54,50,95,22.12
SERVICE-RESTORATION_EVENT-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,264,259,42,10.69
SERVICE-RESTORATION_EVENT-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,252,247,73,27.31
SERVICE-RESTORATION_EVENT-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,74,70,78,6.18
SERVICE-RESTORATION_EVENT-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,146,145,100,12.13
SERVICE-RESTORATION_EVENT-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,132,128,32,12.97
SERVICE-RESTORATION_EVENT-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,89,85,35,8.67
SERVICE-RESTORATION_EVENT-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,229,224,50,34.5
SERVICE-RESTORATION_EVENT-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,244,241,81,31.82
SERVICE-RESTORATION_EVENT-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,71,68,63,5.19
SERVICE-RESTORATION_EVENT-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,112,109,44,31.39
SERVICE-RESTORATION_EVENT-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,RESTORATION_EVENT,info,success,60,synthetic_service,289,285,69,7.92
