activation_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-ACTIVATION_EVENT-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,254,253,41,6.84
SERVICE-ACTIVATION_EVENT-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,142,138,42,21.15
SERVICE-ACTIVATION_EVENT-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,203,201,60,10.51
SERVICE-ACTIVATION_EVENT-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,128,126,72,34.85
SERVICE-ACTIVATION_EVENT-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,69,66,25,15.57
SERVICE-ACTIVATION_EVENT-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,168,165,70,7.74
SERVICE-ACTIVATION_EVENT-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,206,205,41,12.53
SERVICE-ACTIVATION_EVENT-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,147,145,75,7.39
SERVICE-ACTIVATION_EVENT-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,53,52,78,7.55
SERVICE-ACTIVATION_EVENT-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,278,277,94,28.67
SERVICE-ACTIVATION_EVENT-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,63,60,55,27.62
SERVICE-ACTIVATION_EVENT-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,89,85,64,6.83
SERVICE-ACTIVATION_EVENT-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,ACTIVATION_EVENT,info,success,60,synthetic_service,163,159,39,18.21
