suspension_event_id,subscription_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,request_count,success_count,active_count,latency_ms
SERVICE-SUSPENSION_EVENT-02-54,SUB0013,CMU,KV3,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,295,294,61,26.77
SERVICE-SUSPENSION_EVENT-02-63,SUB0013,CMU,KV3,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,218,213,47,26.49
SERVICE-SUSPENSION_EVENT-03-00,SUB0019,NBH,KV1,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,185,181,46,34.67
SERVICE-SUSPENSION_EVENT-03-09,SUB0019,NBH,KV1,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,131,128,28,18.28
SERVICE-SUSPENSION_EVENT-03-18,SUB0019,NBH,KV1,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,77,72,28,11.04
SERVICE-SUSPENSION_EVENT-03-27,SUB0019,NBH,KV1,active,2026-08-19 03:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,207,202,92,18.47
SERVICE-SUSPENSION_EVENT-03-36,SUB0019,NBH,KV1,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,223,218,33,34.35
SERVICE-SUSPENSION_EVENT-03-45,SUB0019,NBH,KV1,active,2026-08-19 21:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,70,66,96,8.84
SERVICE-SUSPENSION_EVENT-03-54,SUB0019,NBH,KV1,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,107,106,38,16.36
SERVICE-SUSPENSION_EVENT-03-63,SUB0019,NBH,KV1,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,83,80,40,8.69
SERVICE-SUSPENSION_EVENT-04-00,SUB0025,HCM,KV3,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,274,272,78,9.01
SERVICE-SUSPENSION_EVENT-04-09,SUB0025,HCM,KV3,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,57,54,57,13.4
SERVICE-SUSPENSION_EVENT-04-18,SUB0025,HCM,KV3,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,202,200,98,17.22
SERVICE-SUSPENSION_EVENT-04-27,SUB0025,HCM,KV3,active,2026-08-19 03:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,244,243,28,26.88
SERVICE-SUSPENSION_EVENT-04-36,SUB0025,HCM,KV3,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,105,101,98,32.98
SERVICE-SUSPENSION_EVENT-04-45,SUB0025,HCM,KV3,active,2026-08-19 21:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,111,107,68,30.25
SERVICE-SUSPENSION_EVENT-04-54,SUB0025,HCM,KV3,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,94,89,68,18.18
SERVICE-SUSPENSION_EVENT-04-63,SUB0025,HCM,KV3,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,249,244,58,30.46
SERVICE-SUSPENSION_EVENT-05-00,SUB0026,KHA,KV2,active,2026-08-18 00:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,269,264,85,15.64
SERVICE-SUSPENSION_EVENT-05-09,SUB0026,KHA,KV2,active,2026-08-18 09:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,146,142,21,30.0
SERVICE-SUSPENSION_EVENT-05-18,SUB0026,KHA,KV2,active,2026-08-18 18:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,293,289,51,19.98
SERVICE-SUSPENSION_EVENT-05-27,SUB0026,KHA,KV2,active,2026-08-19 03:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,169,166,84,10.44
SERVICE-SUSPENSION_EVENT-05-36,SUB0026,KHA,KV2,active,2026-08-19 12:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,136,134,29,24.4
SERVICE-SUSPENSION_EVENT-05-45,SUB0026,KHA,KV2,active,2026-08-19 21:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,80,79,63,6.32
SERVICE-SUSPENSION_EVENT-05-54,SUB0026,KHA,KV2,active,2026-08-20 06:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,73,69,79,19.94
SERVICE-SUSPENSION_EVENT-05-63,SUB0026,KHA,KV2,active,2026-08-20 15:00:00,SUSPENSION_EVENT,info,success,60,synthetic_service,137,134,50,22.48
