customer_churn_score_id,customer_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-CUSTOMER_CHURN_SCORE-01-18,CUS0007,SLA,KV1,active,2026-08-18-18,2026-08-18 18:00:00,39.64,count,valid,synthetic_customer,15,2,5,0.15
CUSTOMER-CUSTOMER_CHURN_SCORE-01-27,CUS0007,SLA,KV1,active,2026-08-19-03,2026-08-19 03:00:00,71.88,count,valid,synthetic_customer,15,0,5,0.18
CUSTOMER-CUSTOMER_CHURN_SCORE-01-36,CUS0007,SLA,KV1,active,2026-08-19-12,2026-08-19 12:00:00,67.36,count,valid,synthetic_customer,15,0,5,0.09
CUSTOMER-CUSTOMER_CHURN_SCORE-01-45,CUS0007,SLA,KV1,degraded,2026-08-19-21,2026-08-19 21:00:00,26.84,count,degraded,synthetic_customer,15,4,3,0.39
CUSTOMER-CUSTOMER_CHURN_SCORE-01-54,CUS0007,SLA,KV1,active,2026-08-20-06,2026-08-20 06:00:00,22.31,count,valid,synthetic_customer,15,2,5,0.09
CUSTOMER-CUSTOMER_CHURN_SCORE-01-63,CUS0007,SLA,KV1,active,2026-08-20-15,2026-08-20 15:00:00,69.36,count,valid,synthetic_customer,15,4,5,0.08
CUSTOMER-CUSTOMER_CHURN_SCORE-02-00,CUS0013,CMU,KV3,active,2026-08-18-00,2026-08-18 00:00:00,42.97,count,valid,synthetic_customer,15,3,5,0.18
CUSTOMER-CUSTOMER_CHURN_SCORE-02-09,CUS0013,CMU,KV3,active,2026-08-18-09,2026-08-18 09:00:00,72.63,count,valid,synthetic_customer,15,1,5,0.05
CUSTOMER-CUSTOMER_CHURN_SCORE-02-18,CUS0013,CMU,KV3,active,2026-08-18-18,2026-08-18 18:00:00,15.03,count,valid,synthetic_customer,15,0,5,0.15
CUSTOMER-CUSTOMER_CHURN_SCORE-02-27,CUS0013,CMU,KV3,active,2026-08-19-03,2026-08-19 03:00:00,73.07,count,valid,synthetic_customer,15,2,5,0.17
CUSTOMER-CUSTOMER_CHURN_SCORE-02-36,CUS0013,CMU,KV3,active,2026-08-19-12,2026-08-19 12:00:00,55.42,count,valid,synthetic_customer,15,3,5,0.15
CUSTOMER-CUSTOMER_CHURN_SCORE-02-45,CUS0013,CMU,KV3,active,2026-08-19-21,2026-08-19 21:00:00,45.36,count,valid,synthetic_customer,15,4,5,0.05
CUSTOMER-CUSTOMER_CHURN_SCORE-02-54,CUS0013,CMU,KV3,active,2026-08-20-06,2026-08-20 06:00:00,34.98,count,valid,synthetic_customer,15,1,5,0.2
CUSTOMER-CUSTOMER_CHURN_SCORE-02-63,CUS0013,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,79.26,count,valid,synthetic_customer,15,4,5,0.1
CUSTOMER-CUSTOMER_CHURN_SCORE-03-00,CUS0019,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,52.29,count,valid,synthetic_customer,15,5,5,0.18
CUSTOMER-CUSTOMER_CHURN_SCORE-03-09,CUS0019,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,39.96,count,valid,synthetic_customer,15,3,5,0.13
CUSTOMER-CUSTOMER_CHURN_SCORE-03-18,CUS0019,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,75.42,count,valid,synthetic_customer,15,0,5,0.12
CUSTOMER-CUSTOMER_CHURN_SCORE-03-27,CUS0019,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,36.54,count,valid,synthetic_customer,15,0,5,0.18
CUSTOMER-CUSTOMER_CHURN_SCORE-03-36,CUS0019,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,52.83,count,valid,synthetic_customer,15,2,5,0.06
CUSTOMER-CUSTOMER_CHURN_SCORE-03-45,CUS0019,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,81.32,count,valid,synthetic_customer,15,0,5,0.2
CUSTOMER-CUSTOMER_CHURN_SCORE-03-54,CUS0019,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,32.5,count,valid,synthetic_customer,15,1,5,0.06
CUSTOMER-CUSTOMER_CHURN_SCORE-03-63,CUS0019,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,39.92,count,valid,synthetic_customer,15,2,5,0.06
CUSTOMER-CUSTOMER_CHURN_SCORE-04-00,CUS0025,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,32.12,count,valid,synthetic_customer,15,0,5,0.19
CUSTOMER-CUSTOMER_CHURN_SCORE-04-09,CUS0025,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,32.12,count,valid,synthetic_customer,15,1,5,0.09
CUSTOMER-CUSTOMER_CHURN_SCORE-04-18,CUS0025,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,63.24,count,valid,synthetic_customer,15,3,5,0.17
CUSTOMER-CUSTOMER_CHURN_SCORE-04-27,CUS0025,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,27.13,count,valid,synthetic_customer,15,1,5,0.09
CUSTOMER-CUSTOMER_CHURN_SCORE-04-36,CUS0025,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,84.88,count,valid,synthetic_customer,15,4,5,0.2
CUSTOMER-CUSTOMER_CHURN_SCORE-04-45,CUS0025,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,63.07,count,valid,synthetic_customer,15,1,5,0.17
CUSTOMER-CUSTOMER_CHURN_SCORE-04-54,CUS0025,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,31.7,count,valid,synthetic_customer,15,1,5,0.2
CUSTOMER-CUSTOMER_CHURN_SCORE-04-63,CUS0025,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,53.63,count,valid,synthetic_customer,15,5,5,0.2
CUSTOMER-CUSTOMER_CHURN_SCORE-05-00,CUS0026,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,39.22,count,valid,synthetic_customer,15,4,5,0.11
CUSTOMER-CUSTOMER_CHURN_SCORE-05-09,CUS0026,KHA,KV2,active,2026-08-18-09,2026-08-18 09:00:00,32.49,count,valid,synthetic_customer,15,0,5,0.14
CUSTOMER-CUSTOMER_CHURN_SCORE-05-18,CUS0026,KHA,KV2,active,2026-08-18-18,2026-08-18 18:00:00,80.6,count,valid,synthetic_customer,15,5,5,0.11
CUSTOMER-CUSTOMER_CHURN_SCORE-05-27,CUS0026,KHA,KV2,active,2026-08-19-03,2026-08-19 03:00:00,19.88,count,valid,synthetic_customer,15,2,5,0.13
CUSTOMER-CUSTOMER_CHURN_SCORE-05-36,CUS0026,KHA,KV2,active,2026-08-19-12,2026-08-19 12:00:00,44.34,count,valid,synthetic_customer,15,2,5,0.12
CUSTOMER-CUSTOMER_CHURN_SCORE-05-45,CUS0026,KHA,KV2,active,2026-08-19-21,2026-08-19 21:00:00,26.24,count,valid,synthetic_customer,15,3,5,0.1
CUSTOMER-CUSTOMER_CHURN_SCORE-05-54,CUS0026,KHA,KV2,active,2026-08-20-06,2026-08-20 06:00:00,39.13,count,valid,synthetic_customer,15,0,5,0.14
CUSTOMER-CUSTOMER_CHURN_SCORE-05-63,CUS0026,KHA,KV2,active,2026-08-20-15,2026-08-20 15:00:00,21.07,count,valid,synthetic_customer,15,0,5,0.12
