subscriber_status_history_id,customer_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,tenure_months,interaction_count,satisfaction_score,churn_score
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-18,CUS0007,SLA,KV1,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,4,5,0.11
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-27,CUS0007,SLA,KV1,active,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.13
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-36,CUS0007,SLA,KV1,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.05
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-45,CUS0007,SLA,KV1,degraded,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,major,failed,3600,synthetic_customer,15,1,3,0.49
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-54,CUS0007,SLA,KV1,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.16
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-01-63,CUS0007,SLA,KV1,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.18
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-00,CUS0013,CMU,KV3,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-09,CUS0013,CMU,KV3,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.05
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-18,CUS0013,CMU,KV3,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-27,CUS0013,CMU,KV3,active,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.05
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-36,CUS0013,CMU,KV3,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.14
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-45,CUS0013,CMU,KV3,active,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,0,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-54,CUS0013,CMU,KV3,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.05
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-02-63,CUS0013,CMU,KV3,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.13
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-00,CUS0019,NBH,KV1,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.15
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-09,CUS0019,NBH,KV1,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.18
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-18,CUS0019,NBH,KV1,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.14
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-27,CUS0019,NBH,KV1,active,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,0,5,0.15
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-36,CUS0019,NBH,KV1,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.12
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-45,CUS0019,NBH,KV1,active,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,0,5,0.18
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-54,CUS0019,NBH,KV1,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,5,5,0.07
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-03-63,CUS0019,NBH,KV1,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.11
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-00,CUS0025,HCM,KV3,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.06
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-09,CUS0025,HCM,KV3,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.17
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-18,CUS0025,HCM,KV3,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.1
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-27,CUS0025,HCM,KV3,active,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.07
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-36,CUS0025,HCM,KV3,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.16
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-45,CUS0025,HCM,KV3,active,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-54,CUS0025,HCM,KV3,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.07
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-04-63,CUS0025,HCM,KV3,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.07
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-00,CUS0026,KHA,KV2,active,2026-08-18 00:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.1
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-09,CUS0026,KHA,KV2,active,2026-08-18 09:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.11
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-18,CUS0026,KHA,KV2,active,2026-08-18 18:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-27,CUS0026,KHA,KV2,active,2026-08-19 03:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,4,5,0.09
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-36,CUS0026,KHA,KV2,active,2026-08-19 12:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,3,5,0.2
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-45,CUS0026,KHA,KV2,active,2026-08-19 21:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,1,5,0.1
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-54,CUS0026,KHA,KV2,active,2026-08-20 06:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.2
CUSTOMER-SUBSCRIBER_STATUS_HISTORY-05-63,CUS0026,KHA,KV2,active,2026-08-20 15:00:00,SUBSCRIBER_STATUS_HISTORY,info,success,60,synthetic_customer,15,2,5,0.15
