spare_part_usage_id,station_id,province_code,area_code,status,date_hour,observed_at,metric_value,metric_unit,quality_flag,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-SPARE_PART_USAGE-02-63,ST0301,CMU,KV3,active,2026-08-20-15,2026-08-20 15:00:00,66.38,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-00,ST0402,NBH,KV1,active,2026-08-18-00,2026-08-18 00:00:00,84.5,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-09,ST0402,NBH,KV1,active,2026-08-18-09,2026-08-18 09:00:00,24.54,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-18,ST0402,NBH,KV1,active,2026-08-18-18,2026-08-18 18:00:00,29.82,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-27,ST0402,NBH,KV1,active,2026-08-19-03,2026-08-19 03:00:00,61.93,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-36,ST0402,NBH,KV1,active,2026-08-19-12,2026-08-19 12:00:00,41.4,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-45,ST0402,NBH,KV1,active,2026-08-19-21,2026-08-19 21:00:00,62.15,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-54,ST0402,NBH,KV1,active,2026-08-20-06,2026-08-20 06:00:00,15.68,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-03-63,ST0402,NBH,KV1,active,2026-08-20-15,2026-08-20 15:00:00,15.6,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-00,ST0501,HCM,KV3,active,2026-08-18-00,2026-08-18 00:00:00,47.23,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-09,ST0501,HCM,KV3,active,2026-08-18-09,2026-08-18 09:00:00,74.72,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-18,ST0501,HCM,KV3,active,2026-08-18-18,2026-08-18 18:00:00,42.43,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-27,ST0501,HCM,KV3,active,2026-08-19-03,2026-08-19 03:00:00,26.21,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-36,ST0501,HCM,KV3,active,2026-08-19-12,2026-08-19 12:00:00,51.16,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-45,ST0501,HCM,KV3,active,2026-08-19-21,2026-08-19 21:00:00,62.67,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-54,ST0501,HCM,KV3,active,2026-08-20-06,2026-08-20 06:00:00,43.88,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-04-63,ST0501,HCM,KV3,active,2026-08-20-15,2026-08-20 15:00:00,81.15,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-00,ST0601,KHA,KV2,active,2026-08-18-00,2026-08-18 00:00:00,57.02,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-09,ST0601,KHA,KV2,active,2026-08-18-09,2026-08-18 09:00:00,32.2,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-18,ST0601,KHA,KV2,active,2026-08-18-18,2026-08-18 18:00:00,42.58,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-27,ST0601,KHA,KV2,active,2026-08-19-03,2026-08-19 03:00:00,18.35,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-36,ST0601,KHA,KV2,active,2026-08-19-12,2026-08-19 12:00:00,66.23,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-45,ST0601,KHA,KV2,active,2026-08-19-21,2026-08-19 21:00:00,45.46,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-54,ST0601,KHA,KV2,active,2026-08-20-06,2026-08-20 06:00:00,26.27,count,valid,synthetic_ops,360,5,30,0
OPS-SPARE_PART_USAGE-05-63,ST0601,KHA,KV2,active,2026-08-20-15,2026-08-20 15:00:00,16.98,count,valid,synthetic_ops,360,5,30,0
