incident_timeline_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-INCIDENT_TIMELINE-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
OPS-INCIDENT_TIMELINE-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,INCIDENT_TIMELINE,info,success,60,synthetic_ops,360,5,30,0
