visit_checklist_id,station_id,province_code,area_code,status,event_time,event_code,severity,outcome,duration_s,source_system,sla_minutes,response_minutes,resolution_minutes,reopen_count
OPS-VISIT_CHECKLIST-01-45,ST0202,SLA,KV1,degraded,2026-08-19 21:00:00,VISIT_CHECKLIST,major,failed,3600,synthetic_ops,360,10,240,0
OPS-VISIT_CHECKLIST-01-54,ST0202,SLA,KV1,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-01-63,ST0202,SLA,KV1,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-00,ST0301,CMU,KV3,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-09,ST0301,CMU,KV3,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-18,ST0301,CMU,KV3,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-27,ST0301,CMU,KV3,active,2026-08-19 03:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-36,ST0301,CMU,KV3,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-45,ST0301,CMU,KV3,active,2026-08-19 21:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-54,ST0301,CMU,KV3,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-02-63,ST0301,CMU,KV3,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-00,ST0402,NBH,KV1,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-09,ST0402,NBH,KV1,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-18,ST0402,NBH,KV1,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-27,ST0402,NBH,KV1,active,2026-08-19 03:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-36,ST0402,NBH,KV1,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-45,ST0402,NBH,KV1,active,2026-08-19 21:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-54,ST0402,NBH,KV1,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-03-63,ST0402,NBH,KV1,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-00,ST0501,HCM,KV3,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-09,ST0501,HCM,KV3,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-18,ST0501,HCM,KV3,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-27,ST0501,HCM,KV3,active,2026-08-19 03:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-36,ST0501,HCM,KV3,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-45,ST0501,HCM,KV3,active,2026-08-19 21:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-54,ST0501,HCM,KV3,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-04-63,ST0501,HCM,KV3,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-00,ST0601,KHA,KV2,active,2026-08-18 00:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-09,ST0601,KHA,KV2,active,2026-08-18 09:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-18,ST0601,KHA,KV2,active,2026-08-18 18:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-27,ST0601,KHA,KV2,active,2026-08-19 03:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-36,ST0601,KHA,KV2,active,2026-08-19 12:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-45,ST0601,KHA,KV2,active,2026-08-19 21:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-54,ST0601,KHA,KV2,active,2026-08-20 06:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
OPS-VISIT_CHECKLIST-05-63,ST0601,KHA,KV2,active,2026-08-20 15:00:00,VISIT_CHECKLIST,info,success,60,synthetic_ops,360,5,30,0
